dates,nzd0318-0000,nzd0318-0001,nzd0318-0002,nzd0318-0003,nzd0318-0004,nzd0318-0005,nzd0318-0006,nzd0318-0007,nzd0318-0008,nzd0318-0009,nzd0318-0010,nzd0318-0011,nzd0318-0012,nzd0318-0013,nzd0318-0014,nzd0318-0015,nzd0318-0016,nzd0318-0017,nzd0318-0018,nzd0318-0019,nzd0318-0020,nzd0318-0021,nzd0318-0022,nzd0318-0023,nzd0318-0024,nzd0318-0025,nzd0318-0026,nzd0318-0027,nzd0318-0028,nzd0318-0029,nzd0318-0030,nzd0318-0031,nzd0318-0032,nzd0318-0033,nzd0318-0034,nzd0318-0035,nzd0318-0036,satname
1999-08-26 22:05:56+00:00,334.57,324.49,329.15,335.95,332.49,,325.79,,293.55,,,,361.72,,,,,,,,,,230.98,,,,,312.36,,,,,,,,,,L7
1999-11-30 22:05:47+00:00,334.57,342.55,329.15,335.95,332.49,316.18,325.79,,293.55,,,288.45,341.9,,,,,,,,296.99,325.81,230.98,,,,,312.36,,,,,,,291.53,288.79,,L7
1999-12-16 22:05:57+00:00,334.57,342.55,329.15,335.95,332.49,316.18,325.79,,293.55,,,288.45,341.9,,,,,,,,304.925,325.81,230.98,,,,344.76,326.69,351.9,,262.12,,,,309.9,303.525,,L7
2000-02-25 22:11:49+00:00,329.87,360.61,349.0,352.03,,316.18,,,311.44,,,291.485,324.67999999999995,,,,,,,,304.925,327.83000000000004,248.22,,,,344.76,341.02,351.9,,262.12,,,,309.9,303.525,,L7
2000-03-05 22:05:36+00:00,329.87,346.4,345.48,343.54999999999995,321.62,316.18,315.2,,320.245,336.79,,282.31666666666666,307.16333333333336,281.36,,,,,325.58,,304.925,327.83000000000004,240.43,,,,347.6,345.525,355.935,324.45,261.95500000000004,381.05,,,309.9,303.525,,L7
2000-03-21 22:05:37+00:00,337.485,349.77,345.48,343.54999999999995,337.825,316.18,333.895,,326.45,346.345,281.98,280.375,302.865,281.385,277.75,271.05,,,323.56,,295.31,327.83000000000004,240.43,,,331.37,345.18333333333334,350.9666666666667,357.56666666666666,341.115,261.95500000000004,366.14,,,327.0433333333333,312.4633333333333,,L7
2000-04-13 22:11:30+00:00,337.485,349.77,345.48,342.45666666666665,327.8633333333333,316.18,333.895,,326.45,346.345,280.725,280.375,302.865,281.385,277.75,271.05,,,323.56,,295.31,327.83000000000004,240.43,,,331.37,345.18333333333334,350.9666666666667,357.56666666666666,341.115,263.25,366.14,201.05,240.9,327.0433333333333,312.4633333333333,,L7
2000-05-24 22:04:58+00:00,337.485,349.77,345.48,342.45666666666665,327.8633333333333,316.18,340.3633333333333,,335.05,347.71000000000004,280.725,280.375,302.865,281.385,277.75,271.05,,,323.56,,295.31,327.83000000000004,240.43,,,331.37,345.18333333333334,350.9666666666667,357.56666666666666,344.2833333333333,263.25,366.14,201.05,240.9,327.0433333333333,312.4633333333333,,L7
2000-09-13 22:03:38+00:00,333.61,339.12,281.55,321.765,315.45666666666665,293.04,335.5533333333333,297.45,349.855,353.1700000000001,280.725,274.55,289.97,281.41,267.185,257.11,214.11,,321.54,,276.08,,,,,329.34000000000003,329.74,361.85,360.83,354.19999999999993,279.575,351.23,201.05,245.10000000000002,361.33,334.30499999999995,,L7
2000-10-15 22:03:08+00:00,322.12,321.73,281.55,303.26,284.4,293.04,327.03499999999997,297.45,360.85,350.44,,261.37,273.81,252.32,252.685,240.69,212.9,,,,,,,,,309.45500000000004,319.13,,,350.62,293.31,,222.44,249.3,,338.27,,L7
2000-10-31 22:03:22+00:00,327.765,323.595,300.105,300.46000000000004,277.40999999999997,286.55,315.75333333333333,309.455,338.6,329.66499999999996,268.16,271.86,294.19,295.505,279.70666666666665,259.73333333333335,212.9,285.1,293.0,275.27,,,,,,309.45500000000004,319.13,,,350.62,293.31,350.21,222.44,249.3,,324.515,217.35,L7
2001-01-03 22:03:24+00:00,327.765,323.595,300.105,300.46000000000004,277.40999999999997,286.55,296.98,309.455,316.35,308.89,268.16,271.86,294.19,295.505,301.77750000000003,259.73333333333335,212.9,285.1,293.0,275.27,,,,,,309.45500000000004,319.13,314.31,332.67,344.98,299.355,350.21,228.08499999999998,230.47,,324.515,199.78,L7
2001-01-19 22:03:31+00:00,331.0133333333333,325.09666666666664,303.40000000000003,306.1766666666667,279.81666666666666,294.2266666666667,304.83,314.44,318.975,316.085,287.22,277.46333333333337,306.73333333333335,308.18,307.146,268.805,212.9,300.315,309.36,293.185,306.1,338.96,,352.41,353.95,327.72333333333336,319.13,332.79499999999996,341.235,344.98,299.62666666666667,350.21,229.26999999999998,220.90333333333334,,324.515,199.78,L7
