dates,satname,nzd0503-0000,nzd0503-0001,nzd0503-0002,nzd0503-0003,nzd0503-0004,nzd0503-0005
2017-01-30 22:20:50.623000,L8,248.78,218.00,252.82,261.46,267.90,267.07
2017-02-15 22:20:43.526000,L8,,,,,140.43,274.75
2017-04-04 22:20:20.280000,L8,,,237.71,257.17,265.57,258.62
2017-04-20 22:20:11.117000,L8,211.33,204.93,252.93,263.78,270.06,267.58
2017-07-02 22:14:23.696000,L8,202.98,172.16,137.08,266.20,282.74,281.77
2017-08-03 22:14:35.682000,L8,216.14,179.16,253.31,273.31,279.48,286.67
2017-11-30 22:20:56.190000,L8,257.28,230.43,261.85,269.12,271.90,272.19
2017-12-25 22:14:47.702000,L8,160.35,,248.73,265.30,269.56,265.63
2018-02-11 22:14:26.201000,L8,252.80,213.63,255.84,261.60,264.84,260.30
2018-03-06 22:20:26.446000,L8,254.29,245.48,275.31,282.22,286.11,285.85
2018-03-15 22:14:10.086000,L8,269.07,233.93,273.04,281.85,289.03,290.38
2018-04-16 22:13:54.370000,L8,265.49,265.31,335.07,335.68,340.02,352.08
2018-05-02 22:13:45.572000,L8,197.71,140.10,254.10,269.23,273.91,272.63
2018-07-21 22:13:49.390000,L8,205.55,183.52,193.99,278.31,282.24,288.33
2018-09-07 22:14:12.130000,L8,211.44,218.25,256.93,271.82,236.82,
2018-12-28 22:14:29.227000,L8,278.24,246.91,275.92,283.33,285.57,292.31
2019-01-13 22:14:27.136000,L8,256.43,224.99,260.42,271.31,272.15,269.40
2019-02-05 22:20:33.244000,L8,269.56,253.99,281.01,290.94,291.51,303.15
2019-02-14 22:14:21.185000,L8,273.05,255.76,278.78,295.00,296.51,302.57
2019-02-21 22:20:30.485000,L8,261.23,300.18,319.06,322.65,322.04,325.43
2019-03-02 22:14:17.011000,L8,253.44,230.52,266.68,276.53,278.60,279.31
2019-06-22 22:14:28.716000,L8,210.26,172.74,140.26,275.43,285.10,297.02
2019-09-10 22:14:51.565000,L8,257.32,297.49,322.80,317.94,323.50,325.69
2019-09-26 22:14:56.917000,L8,298.03,295.74,283.01,285.01,275.21,152.61
2019-11-13 22:14:57.837000,L8,274.06,261.38,280.68,291.38,288.62,299.30
2019-11-29 22:14:55.870000,L8,263.59,230.85,256.75,270.85,260.19,273.10
2019-12-22 22:21:03.498000,L8,249.99,227.77,258.73,267.67,266.16,267.43
2020-01-23 22:20:55.593000,L8,251.66,232.29,262.26,273.72,271.16,272.42
2020-03-04 22:14:32.767000,L8,248.95,241.19,266.42,275.81,274.07,277.09
2020-03-11 22:20:40.527000,L8,241.22,234.78,262.29,275.18,273.50,274.35
