dates,satname,nzd0320-0000,nzd0320-0001,nzd0320-0002,nzd0320-0003,nzd0320-0004,nzd0320-0005,nzd0320-0006,nzd0320-0007,nzd0320-0008,nzd0320-0009,nzd0320-0010,nzd0320-0011,nzd0320-0012,nzd0320-0013,nzd0320-0014,nzd0320-0015,nzd0320-0016,nzd0320-0017,nzd0320-0018,nzd0320-0019,nzd0320-0020,nzd0320-0021,nzd0320-0022,nzd0320-0023
1999-08-17 22:12:02.089000,L7,330.71,309.86,297.02,280.28,256.65,298.01,227.07,293.58,278.20,279.30,324.39,318.30,332.20,350.43,291.63,328.73,323.61,316.83,325.10,357.85,321.54,314.40,297.28,272.60
1999-08-26 22:05:56.841000,L7,341.37,306.85,275.80,270.49,259.84,242.19,,,,,289.69,304.12,318.11,316.74,291.05,303.32,282.57,299.47,301.16,335.18,323.24,289.10,272.02,261.28
1999-11-21 22:12:00.068000,L7,198.85,222.39,244.86,251.99,242.48,199.67,,,,,,,,,,,,,,,,,,
1999-12-16 22:05:57.846000,L7,345.97,306.88,294.56,267.71,274.14,292.36,257.89,280.20,271.24,297.44,338.88,334.63,341.66,376.45,346.50,308.64,341.99,338.48,390.11,339.51,328.00,325.25,270.02,297.19
2000-02-25 22:11:49.490000,L7,328.23,307.69,295.62,270.25,265.13,283.28,331.80,295.81,296.37,302.52,324.25,316.06,337.47,340.30,309.56,309.90,318.19,317.43,322.29,358.03,354.71,311.06,259.59,264.95
2000-03-05 22:05:36.285000,L7,425.44,393.99,393.79,403.56,431.48,425.87,348.63,361.23,360.01,360.52,538.80,537.35,525.57,422.21,472.71,494.07,311.31,307.83,309.38,345.67,354.58,321.55,332.38,335.87
2000-03-21 22:05:37.143000,L7,206.16,204.15,249.82,252.40,246.30,224.65,174.68,,,,,,269.16,304.63,261.43,,254.94,213.97,210.12,,,,,
2000-04-13 22:11:30.253000,L7,280.56,304.05,264.85,257.18,251.73,209.10,,,,,,205.92,256.37,307.99,278.32,286.69,,,,,,,,
2001-01-03 22:03:24.303000,L7,328.15,308.27,323.95,280.52,287.53,328.76,304.96,357.56,344.69,344.56,337.11,318.77,357.08,332.01,317.24,346.52,366.39,336.66,394.43,359.84,341.50,255.78,289.76,284.65
2001-01-10 22:09:39.742000,L7,223.93,262.80,267.15,280.19,278.34,243.62,234.86,272.19,268.58,290.01,319.20,310.93,330.58,330.27,316.02,290.58,314.19,301.37,311.24,356.31,326.73,197.73,232.80,241.14
2001-01-19 22:03:31.103000,L7,270.63,199.00,229.07,232.95,213.81,203.90,,,,,,,,,,,,,,,,,,
2001-02-20 22:03:24.667000,L7,319.20,302.94,274.38,264.02,252.38,280.40,263.10,280.95,281.42,284.25,293.03,309.25,325.92,323.25,310.62,292.50,292.93,278.90,302.50,327.68,318.41,298.89,252.15,262.79
2001-03-31 22:09:19.667000,L7,279.25,307.38,268.15,265.01,260.20,225.48,228.38,237.36,228.43,246.24,292.60,234.63,313.67,309.02,231.77,290.22,292.65,273.18,306.51,287.48,,,,
2001-07-05 22:08:33.658000,L7,207.81,209.47,266.30,264.17,250.85,238.99,,,,,,,,,,,,,,305.55,315.95,,,
2001-08-31 22:01:41.241000,L7,327.53,297.05,296.17,266.83,262.80,285.88,239.47,294.64,275.00,311.54,315.56,315.11,320.70,321.41,292.60,325.17,327.77,318.52,372.06,367.92,368.45,363.11,302.53,335.84
2001-10-02 22:01:16.521000,L7,309.54,290.02,261.49,262.38,261.76,240.82,,275.73,258.54,279.87,285.18,301.52,306.33,317.07,287.61,294.04,271.48,275.26,294.17,320.58,318.81,261.58,251.24,251.58
2001-11-03 22:01:22.838000,L7,326.66,301.93,292.31,270.83,278.63,281.32,261.98,296.04,292.21,302.05,332.83,322.07,325.50,332.97,291.34,309.24,312.40,304.85,312.61,360.47,316.60,364.29,326.64,340.67
2002-01-22 22:01:52.791000,L7,,,,,,,,,,258.13,261.51,,,291.37,269.21,241.85,228.90,269.30,287.88,,,,,
2002-01-29 22:07:57.272000,L7,187.39,211.60,208.14,236.54,231.31,203.36,,,,,,,,,,,,,,,,,,
2002-02-07 22:01:54.032000,L7,267.87,288.93,269.80,228.46,221.70,,214.73,226.32,250.09,261.52,272.07,259.25,303.81,280.92,266.76,223.51,269.30,211.30,163.26,188.69,317.85,176.50,223.50,257.07
2002-03-02 22:08:08.883000,L7,,,,,,,,,235.38,303.16,328.55,420.17,422.73,418.37,417.77,440.15,436.02,431.72,441.23,458.26,473.89,463.71,493.15,505.47
2002-07-24 22:07:26.560000,L7,329.46,305.27,283.76,269.37,281.84,227.74,,,,303.43,317.42,314.70,314.07,312.19,288.94,291.19,309.75,300.12,311.52,355.45,319.55,275.94,280.58,275.84
2002-12-31 22:07:32.046000,L7,559.79,482.29,465.25,529.71,349.66,357.27,474.36,436.34,479.85,333.16,357.80,353.37,364.16,358.18,326.26,329.14,325.29,335.16,389.67,378.01,372.65,377.57,349.27,376.87
2003-01-25 22:01:30.681000,L7,,,,,,,220.72,249.72,273.50,268.02,312.65,310.24,327.78,324.77,287.93,293.51,302.55,289.45,317.80,339.98,313.08,,249.14,256.57
2003-03-14 22:01:44.544000,L7,314.55,296.33,260.11,294.14,248.80,236.34,225.58,,198.34,283.17,299.97,301.70,313.22,309.17,297.30,288.45,290.53,276.21,300.96,321.70,315.26,278.38,279.11,269.95
2003-03-21 22:07:51.717000,L7,412.57,407.65,398.64,404.63,324.42,339.17,333.04,461.34,437.92,433.84,464.96,451.53,434.18,418.75,407.94,414.76,430.32,429.69,441.59,477.73,478.32,451.89,430.73,426.36
2003-04-15 22:01:45.971000,L7,330.24,303.70,297.72,296.93,295.87,291.64,233.04,292.06,296.01,294.50,303.29,322.89,335.35,321.67,292.31,286.75,289.95,276.03,301.17,369.66,374.54,358.92,263.39,267.88
2003-08-13 21:49:56.757000,L5,249.31,247.15,259.14,252.38,246.34,241.20,,,,,,,,275.92,275.75,266.58,247.40,246.16,261.15,310.34,328.70,233.51,238.36,287.97
2003-08-29 21:50:14.179000,L5,,365.20,339.10,328.37,323.73,331.65,316.95,318.12,302.71,308.19,313.30,324.07,327.08,331.41,321.48,304.45,299.84,295.61,322.11,380.23,396.91,383.24,325.04,332.73
2003-09-05 21:56:31.676000,L5,369.86,347.20,333.74,309.70,287.90,320.57,293.57,315.09,304.25,314.13,317.52,327.71,328.78,342.58,326.33,307.07,310.28,295.90,311.30,378.19,382.01,377.99,306.46,333.89
2003-10-16 21:50:55.996000,L5,344.66,325.75,287.54,284.87,273.39,271.17,228.24,291.14,278.41,296.03,307.50,321.46,343.48,358.15,332.12,311.65,310.86,302.61,332.17,390.65,397.62,391.04,303.19,344.69
2003-10-23 21:57:12.504000,L5,355.60,339.94,311.92,293.60,276.67,313.20,309.60,307.66,293.95,308.72,318.76,327.78,338.36,334.20,316.95,306.32,306.08,285.74,296.52,334.55,342.15,331.67,292.87,322.81
2004-01-04 21:51:46.048000,L5,384.88,377.61,374.00,384.76,413.18,394.58,380.10,382.47,357.68,348.91,333.55,340.35,342.33,346.64,326.35,317.32,329.11,309.27,307.80,405.50,391.44,376.83,321.10,340.67
2004-01-27 21:58:02.115000,L5,372.38,360.31,294.60,291.16,283.94,264.82,224.24,285.53,270.26,291.88,311.82,327.65,338.63,348.85,326.49,314.85,305.89,287.71,303.25,335.28,339.99,322.69,283.69,328.64
2004-04-09 21:52:31.725000,L5,345.36,325.54,285.99,288.13,273.53,269.50,229.75,292.25,276.45,291.51,302.07,317.84,324.93,336.91,320.74,299.82,297.55,291.06,305.55,378.85,378.70,371.45,292.34,334.39
2004-05-18 21:59:50.535000,L5,317.68,260.67,271.27,268.31,259.29,248.23,,259.75,231.79,201.63,256.92,279.28,288.60,303.27,298.12,272.39,263.68,249.46,271.64,323.12,330.30,237.35,258.54,297.08
2004-06-12 21:54:23.537000,L5,,,,,,,,,,,,,,,,,,213.22,241.26,308.10,313.12,203.03,,281.77
2004-07-05 22:01:15.300000,L5,233.53,235.96,263.53,257.64,247.47,243.75,,,,,,,,,,,,209.40,246.02,303.17,327.37,220.39,,286.84
2004-07-14 21:55:18.989000,L5,223.94,223.42,257.49,253.26,245.62,240.08,,,,,,,,,,,,,,,,,,
2004-08-15 21:56:01.630000,L5,314.09,247.97,264.12,263.15,251.97,241.87,178.67,,,,,257.25,273.20,287.05,276.50,264.26,253.95,241.03,256.42,308.63,320.56,230.08,260.80,288.13
2004-08-22 22:02:24.313000,L5,217.42,234.92,248.96,247.89,237.33,227.61,167.72,,,,,240.50,275.16,283.03,270.54,256.79,240.01,235.56,254.38,291.39,305.32,218.75,241.49,278.03
2004-10-02 21:57:14.880000,L5,308.60,255.44,252.15,252.47,252.34,241.50,198.57,258.16,238.52,255.36,265.75,284.73,285.13,290.27,274.01,193.83,234.58,215.24,256.03,301.03,308.63,221.50,254.55,287.17
2004-10-18 21:57:35.668000,L5,313.03,254.41,258.08,256.61,244.51,229.47,190.67,254.55,228.63,201.23,,167.77,274.07,288.20,272.58,254.09,238.03,226.25,251.45,304.82,305.69,213.38,258.05,288.59
2004-12-21 21:58:48.236000,L5,302.59,271.94,243.61,233.65,233.59,226.73,,,,,,,,,,186.18,243.81,224.43,237.60,282.54,297.04,189.15,232.31,271.67
2005-01-29 22:05:29.709000,L5,204.74,229.20,244.41,242.53,232.09,222.35,178.86,243.71,219.68,247.58,175.60,,283.74,286.53,210.92,200.26,246.90,232.24,246.14,290.73,298.88,194.71,215.98,266.79
2005-02-14 22:05:45.214000,L5,338.49,314.51,285.43,284.70,270.70,261.93,244.80,291.45,282.05,285.26,298.53,308.17,314.75,323.22,309.46,287.50,283.48,286.14,308.66,348.19,347.13,338.16,290.85,326.19
2005-02-23 21:59:43.397000,L5,213.49,230.58,248.70,242.23,232.73,222.22,178.74,250.67,217.83,198.86,,171.56,267.98,264.60,259.90,196.63,236.48,234.63,254.05,301.86,304.25,212.78,249.66,281.39
2005-03-11 21:59:55.791000,L5,368.14,353.72,341.20,346.17,363.50,348.74,359.79,345.56,334.53,304.46,312.88,322.65,331.66,334.69,321.53,310.42,308.50,298.99,307.64,345.31,354.17,338.86,301.43,327.67
