dates,nzd0044-0000,nzd0044-0001,nzd0044-0002,nzd0044-0003,nzd0044-0004,nzd0044-0005,satname
1999-08-17 22:10:26+00:00,341.86,333.62,330.2,315.1,339.04,331.67,L7
1999-09-27 22:04:25+00:00,352.15,337.62,330.275,325.71500000000003,341.495,340.70000000000005,L7
1999-10-04 22:10:38+00:00,356.01666666666665,340.93,334.9866666666667,332.1766666666667,342.8966666666667,343.30333333333334,L7
1999-11-14 22:04:18+00:00,351.5375,337.345,332.4825,328.635,342.09749999999997,340.8,L7
2000-01-01 22:04:13+00:00,353.67400000000004,338.586,332.4825,328.635,342.09749999999997,340.8,L7
2000-02-09 22:10:19+00:00,353.855,340.1766666666667,334.248,325.88,340.46,334.9,L7
2000-04-29 22:09:53+00:00,350.46250000000003,340.3275,330.18,313.73,337.3666666666666,314.59,L7
2000-05-24 22:03:22+00:00,354.5833333333333,337.86,332.78499999999997,308.52000000000004,335.43666666666667,305.34,L7
2000-06-16 22:09:26+00:00,348.9925,336.986,327.84666666666664,309.9225,336.64,312.96750000000003,L7
2000-08-03 22:08:44+00:00,345.36249999999995,336.64,330.5575,313.346,336.16400000000004,316.332,L7
2000-08-12 22:02:30+00:00,336.33,333.76750000000004,317.09000000000003,311.606,336.076,315.01000000000005,L7
2000-09-04 22:08:22+00:00,335.802,333.49,311.794,309.99666666666667,335.71666666666664,312.64833333333337,L7
2001-03-08 22:01:45+00:00,332.35,325.31,320.49,305.02,335.03,317.62,L7
2001-03-24 22:01:35+00:00,334.995,326.87,320.62,308.7,335.67999999999995,323.42,L7
2001-06-03 22:07:16+00:00,332.96,329.07666666666665,320.3433333333333,310.74666666666667,335.22999999999996,323.42,L7
2001-06-19 22:07:05+00:00,323.1325,331.005,321.8075,311.65999999999997,335.1825,323.42,L7
2001-08-15 22:00:14+00:00,323.1325,335.934,324.23400000000004,318.61199999999997,339.058,334.71000000000004,L7
2001-09-07 22:06:11+00:00,320.06,338.61800000000005,327.808,320.436,337.47799999999995,330.92,L7
2001-09-23 22:06:03+00:00,307.09666666666664,340.398,329.48,323.542,337.74,326.17333333333335,L7
2001-10-18 21:59:42+00:00,315.405,338.0466666666667,328.74,324.8383333333333,338.5883333333333,331.4825,L7
2001-11-19 21:59:56+00:00,319.486,336.0571428571429,326.92571428571426,323.78000000000003,337.81857142857143,329.82000000000005,L7
2001-12-05 21:59:55+00:00,321.72,337.2114285714286,325.7,322.30285714285714,336.21999999999997,330.58166666666665,L7
2001-12-21 22:00:05+00:00,331.98,336.02571428571434,325.3885714285715,323.62,338.2142857142857,328.6242857142857,L7
2002-01-22 22:00:16+00:00,335.87,335.7625,326.5225,322.14428571428573,339.47125,330.65125,L7
2002-01-29 22:06:21+00:00,335.87,334.47111111111116,323.61333333333334,322.14428571428573,339.47125,330.65125,L7
2002-02-23 22:00:19+00:00,339.2271428571429,331.98333333333335,322.8122222222222,318.09833333333336,337.3157142857143,330.6675,L7
2002-03-18 22:06:22+00:00,341.6875,332.59666666666664,322.1766666666666,319.28000000000003,339.0885714285714,333.88875,L7
2002-03-27 22:00:13+00:00,347.82142857142856,331.32,318.7011111111111,315.15333333333336,339.67571428571426,337.91,L7
2002-06-22 22:06:03+00:00,357.8666666666666,330.7383333333333,315.575,311.89,337.72999999999996,345.3575,L7
2002-07-01 21:59:51+00:00,357.8666666666666,327.03285714285715,311.8585714285714,311.67,335.102,338.66999999999996,L7
2002-07-17 21:59:44+00:00,359.59999999999997,328.69375,315.49875,316.8916666666667,338.7833333333333,342.3183333333333,L7
2002-10-12 22:05:14+00:00,358.55,328.24,316.9325,325.18,339.35499999999996,341.49,L7
2002-10-28 22:05:22+00:00,355.51,330.02799999999996,321.486,325.18,339.35499999999996,342.1775,L7
2002-11-13 22:05:30+00:00,357.08500000000004,332.995,324.71666666666664,328.832,342.234,344.85,L7
2002-11-22 21:59:33+00:00,357.52200000000005,334.24571428571426,325.19714285714286,329.48,343.695,346.7916666666667,L7
2003-01-09 21:59:45+00:00,357.02500000000003,342.37166666666667,337.31666666666666,339.346,353.448,352.99,L7
2003-04-06 22:06:21+00:00,355.5216666666667,343.3183333333333,337.05,333.212,352.122,350.18,L7
2003-04-22 22:06:19+00:00,355.42333333333335,342.885,334.91166666666663,327.354,347.67400000000004,342.61833333333334,L7
2003-05-08 22:06:20+00:00,354.8416666666667,343.7183333333333,329.07,325.5233333333333,345.645,336.4766666666667,L7
2003-05-24 22:06:17+00:00,351.99250000000006,341.36,319.534,316.568,338.61199999999997,321.908,L7
2003-07-28 21:48:04+00:00,351.1433333333334,332.91999999999996,312.648,307.42999999999995,329.23,315.1075,L5
2003-08-29 21:48:38+00:00,351.1433333333334,328.9916666666667,312.065,305.58666666666664,326.63000000000005,316.906,L5
2003-09-05 21:54:56+00:00,351.1433333333334,324.14285714285717,309.57714285714286,301.23285714285714,320.71285714285716,316.906,L5
2004-06-12 21:52:47+00:00,328.98,317.57,311.67,308.09,,321.67,L5
2004-07-30 21:54:04+00:00,328.83500000000004,317.41999999999996,310.315,309.35,,324.01,L5
2004-10-18 21:55:59+00:00,329.3833333333334,318.4066666666667,310.9766666666667,307.25,306.55,324.83,L5
2004-11-19 21:56:31+00:00,329.07,317.45,311.7375,307.34749999999997,311.03499999999997,324.83,L5
2005-01-13 22:03:41+00:00,328.905,316.63,310.78749999999997,306.18,305.3933333333334,321.6333333333333,L5
2005-03-02 22:04:24+00:00,330.29499999999996,317.68,313.365,307.725,308.7925,322.3833333333333,L5
