dates,nzd0368-0000,nzd0368-0001,nzd0368-0002,nzd0368-0003,nzd0368-0004,nzd0368-0005,nzd0368-0006,nzd0368-0007,nzd0368-0008,nzd0368-0009,nzd0368-0010,nzd0368-0011,nzd0368-0012,nzd0368-0013,nzd0368-0014,nzd0368-0015,nzd0368-0016,nzd0368-0017,nzd0368-0018,nzd0368-0019,nzd0368-0020,nzd0368-0021,nzd0368-0022,nzd0368-0023,nzd0368-0024,nzd0368-0025,nzd0368-0026,nzd0368-0027,nzd0368-0028,nzd0368-0029,nzd0368-0030,nzd0368-0031,nzd0368-0032,nzd0368-0033,nzd0368-0034,nzd0368-0035,nzd0368-0036,nzd0368-0037,nzd0368-0038,nzd0368-0039,nzd0368-0040,nzd0368-0041,nzd0368-0042,nzd0368-0043,nzd0368-0044,nzd0368-0045,nzd0368-0046,nzd0368-0047,nzd0368-0048,nzd0368-0049,nzd0368-0050,nzd0368-0051,nzd0368-0052,nzd0368-0053,nzd0368-0054,nzd0368-0055,nzd0368-0056,nzd0368-0057,nzd0368-0058,nzd0368-0059,nzd0368-0060,nzd0368-0061,nzd0368-0062,nzd0368-0063,nzd0368-0064,nzd0368-0065,nzd0368-0066,nzd0368-0067,nzd0368-0068,nzd0368-0069,nzd0368-0070,nzd0368-0071,nzd0368-0072,nzd0368-0073,nzd0368-0074,nzd0368-0075,nzd0368-0076,nzd0368-0077,nzd0368-0078,nzd0368-0079,nzd0368-0080,nzd0368-0081,nzd0368-0082,nzd0368-0083,nzd0368-0084,nzd0368-0085,nzd0368-0086,nzd0368-0087,nzd0368-0088,nzd0368-0089,nzd0368-0090,nzd0368-0091,nzd0368-0092,nzd0368-0093,nzd0368-0094,nzd0368-0095,nzd0368-0096,nzd0368-0097,nzd0368-0098,nzd0368-0099,nzd0368-0100,nzd0368-0101,nzd0368-0102
2000-11-07 22:09:53+00:00,269.25,,390.04,,,,344.04,,328.17,249.01,302.055,308.625,,272.67333333333335,330.48,,320.98,319.91,300.53,298.18000000000006,303.515,305.655,345.2,324.34499999999997,375.36,356.85,,,388.32,380.48,374.88,379.14,367.635,350.76,364.555,284.21,322.125,323.47,324.41999999999996,318.515,321.65999999999997,322.205,317.435,356.99,364.03,379.56666666666666,366.99,373.42,371.21,395.93333333333334,388.11,410.54,425.09666666666664,437.3766666666667,428.81666666666666,400.53,418.56,403.76,385.58,399.185,396.9,393.0,,440.43,435.27,,,,448.24,,445.56,,424.7,414.75,423.73,431.37,438.67,440.22,439.04499999999996,447.235,457.4666666666667,435.0425,443.03999999999996,442.67999999999995,446.405,445.1,456.945,451.815,449.52,475.71500000000003,473.26,,367.99,435.94,486.92,479.11,424.46,452.37,405.57,406.3,454.45,289.01,
2001-01-10 22:10:03+00:00,286.69,,390.04,331.88,318.16,318.43,324.425,300.33,311.315,268.17499999999995,297.3,299.50333333333333,277.73,276.47499999999997,315.11,287.3,304.77,305.185,297.75333333333333,298.8466666666667,303.6466666666667,306.82,331.78999999999996,325.8833333333333,354.495,356.85,287.44,356.28,375.1166666666666,369.2633333333333,364.1266666666667,363.89333333333326,354.45,337.66999999999996,351.18666666666667,303.34000000000003,322.75,324.8633333333333,323.77666666666664,318.8433333333333,321.67,323.47666666666663,320.67333333333335,350.755,355.60999999999996,371.145,355.83000000000004,357.89,362.25,380.28,376.5,393.83000000000004,408.1766666666667,418.5733333333333,409.06,400.53,398.71000000000004,392.69666666666666,375.885,388.94,387.27,393.0,418.31,426.23,,381.84,383.38,391.08,411.07,424.65,425.28999999999996,401.7,415.08,408.88,438.35,445.38,440.78499999999997,444.15,429.5133333333333,447.235,449.61,419.37749999999994,443.03999999999996,431.7366666666667,446.405,445.1,438.01,451.815,459.47,444.02,440.825,416.0,387.89,410.22666666666663,,,424.46,,388.245,406.3,,307.845,304.68
2001-02-20 22:03:48+00:00,302.26666666666665,,370.65,356.635,345.06500000000005,342.975,324.845,317.53,315.955,287.17333333333335,286.57666666666665,304.5175,298.03499999999997,277.7525,320.26,303.155,303.005,307.37,293.05333333333334,301.2266666666667,300.3866666666667,305.84,328.90999999999997,324.93666666666667,341.68,356.85,287.44,364.80499999999995,367.57666666666665,365.89000000000004,363.66,360.59,354.56333333333333,341.99,353.15333333333336,318.74666666666667,317.6066666666666,320.75333333333333,321.07,317.21333333333337,319.28000000000003,321.27666666666664,323.7033333333333,350.395,357.57,370.675,351.71500000000003,353.83000000000004,368.94,380.9166666666667,376.305,391.615,404.8166666666666,417.6166666666666,408.17666666666673,403.16999999999996,398.9433333333333,397.3733333333333,382.03999999999996,390.5466666666666,389.26,417.51,407.075,413.395,410.95,396.125,383.38,407.99,416.66499999999996,422.685,429.90333333333336,425.565,405.46,403.01,449.925,452.87,456.03499999999997,462.355,427.92499999999995,457.91,464.23,421.8575,457.94,439.28,459.91999999999996,458.55,457.72,472.55,463.28999999999996,444.81333333333333,443.08666666666664,428.245,403.15333333333336,414.84,,,437.76,442.39,388.245,415.125,,324.8533333333333,323.32500000000005
2001-03-08 22:03:44+00:00,302.5875,,370.65,353.68666666666667,342.41333333333336,339.37333333333333,322.69,316.60999999999996,310.42,288.47249999999997,286.9375,301.69,293.13,281.696,314.1166666666666,300.32,300.0733333333333,301.58,293.7,301.51,302.315,307.585,325.4866666666667,325.73249999999996,338.6066666666666,345.115,298.625,357.80999999999995,360.135,357.86249999999995,355.5,352.77250000000004,346.185,334.17,341.905,315.925,315.91499999999996,318.21,320.06,317.8125,319.96000000000004,321.1875,323.7033333333333,350.395,357.57,370.675,344.72,347.5333333333333,368.94,380.9166666666667,376.305,391.615,404.8166666666666,417.6166666666666,408.17666666666673,403.16999999999996,405.665,397.3733333333333,382.03999999999996,390.5466666666666,389.26,417.51,407.075,413.395,410.95,396.125,383.38,407.99,416.66499999999996,422.685,429.90333333333336,425.565,405.46,403.01,449.925,452.87,456.03499999999997,462.355,427.92499999999995,466.9,474.605,433.64799999999997,453.04333333333335,441.815,459.69666666666666,458.55,448.46000000000004,472.55,456.74,450.95,438.0725,428.245,403.15333333333336,414.84,,,437.76,442.39,381.37999999999994,415.125,,326.6375,319.11
2001-03-31 22:09:43+00:00,302.5875,,370.65,353.68666666666667,342.41333333333336,339.37333333333333,322.69,316.60999999999996,310.42,288.47249999999997,286.9375,283.83000000000004,293.13,291.3375,314.1166666666666,300.32,300.0733333333333,301.58,302.56333333333333,311.3233333333333,312.2033333333333,319.41,325.4866666666667,337.34999999999997,338.6066666666666,333.38,298.625,357.80999999999995,349.78000000000003,348.4199999999999,346.48,341.55,334.82666666666665,334.17,330.39,315.925,315.91499999999996,318.21,320.06,317.8125,319.96000000000004,321.1875,339.34749999999997,364.41333333333336,363.0933333333334,361.44,344.72,347.5333333333333,384.96999999999997,385.09,392.37999999999994,391.615,393.80499999999995,418.37999999999994,410.55999999999995,389.0,401.36666666666673,403.2366666666667,398.59,398.3666666666666,398.03000000000003,426.37,407.075,422.3666666666666,428.16999999999996,414.1566666666667,383.38,425.2033333333333,416.66499999999996,422.685,422.07500000000005,425.565,405.46,403.01,449.925,452.87,456.03499999999997,462.355,410.45,475.89,484.98,428.22499999999997,452.17500000000007,434.9533333333334,459.0,,448.46000000000004,479.795,453.8,453.77250000000004,428.47333333333336,428.245,403.15333333333336,399.4266666666667,474.92,477.81,451.06,459.365,369.28499999999997,423.95,456.54,326.6375,319.11
2001-07-05 22:08:57+00:00,313.755,,370.65,346.1925,340.4775,339.19,323.625,315.7725,310.42,302.02,296.49749999999995,292.2325,291.815,305.87,314.1166666666666,300.32,300.0733333333333,302.615,301.8775,312.32000000000005,311.9125,320.77750000000003,329.14,338.395,338.7575,337.265,291.32666666666665,355.1525,349.2925,344.5825,344.99,340.87,331.885,329.9475,326.4275,324.3025,325.1525,327.03499999999997,329.1225,329.13,330.3025,332.85,355.42333333333335,364.41333333333336,356.4725,362.355,344.0325,347.5333333333333,384.96999999999997,385.09,392.37999999999994,391.615,393.80499999999995,418.37999999999994,410.55999999999995,389.0,393.89750000000004,403.2366666666667,389.435,398.3666666666666,398.03000000000003,426.37,394.1566666666667,422.3666666666666,428.16999999999996,414.1566666666667,383.38,425.2033333333333,416.66499999999996,422.685,422.07500000000005,425.565,405.46,403.01,432.0133333333333,452.87,456.03499999999997,462.355,410.45,475.89,484.98,445.1833333333332,452.17500000000007,434.9533333333334,459.0,,434.4866666666667,472.05,456.53000000000003,453.77250000000004,428.47333333333336,428.245,434.18666666666667,410.08,474.92,477.81,451.06,459.365,369.60666666666674,423.95,456.54,337.415,314.535
2001-07-14 22:02:45+00:00,316.9633333333333,390.93,370.65,350.9633333333333,347.9166666666667,346.10999999999996,329.8966666666667,320.92,318.4,306.91333333333336,299.3999999999999,295.89000000000004,296.51,311.8666666666666,321.30499999999995,306.83000000000004,305.83000000000004,306.6666666666667,305.1033333333333,316.36666666666673,314.58,324.65333333333336,332.72666666666663,341.53999999999996,340.46666666666664,337.265,293.27,354.77666666666664,349.4866666666667,343.8333333333333,345.78000000000003,343.35999999999996,333.15333333333336,331.7366666666667,327.08666666666664,324.91333333333336,325.53666666666663,326.8299999999999,331.3333333333333,332.34,333.17333333333335,335.1266666666667,376.33,380.66,362.3733333333334,374.47333333333336,343.82,350.11999999999995,400.80999999999995,396.03999999999996,409.8866666666667,406.11,406.31,432.61499999999995,422.93999999999994,397.58500000000004,398.91,423.13000000000005,397.18333333333334,416.87999999999994,416.8966666666667,422.0366666666667,382.08000000000004,420.1233333333333,427.30999999999995,428.7066666666667,,442.2033333333334,437.16499999999996,439.905,450.62,452.99,,,421.53499999999997,454.39,466.82000000000005,474.265,,471.995,476.32500000000005,463.1366666666667,454.24333333333334,453.47333333333336,457.3533333333333,460.38,434.4866666666667,470.06,455.445,466.425,435.32,449.22,447.385,414.175,464.43,467.65999999999997,450.255,453.3633333333333,368.95000000000005,427.63,443.88,340.99333333333334,317.82
2001-08-15 22:02:14+00:00,322.64750000000004,359.905,369.505,350.9633333333333,350.915,346.5225,330.47,321.595,320.08666666666664,307.9575,303.085,295.89000000000004,296.51,311.8666666666666,330.41,315.39000000000004,313.05333333333334,310.065,309.28749999999997,316.36666666666673,314.58,324.65333333333336,332.72666666666663,341.53999999999996,340.46666666666664,337.265,293.27,354.77666666666664,349.4866666666667,343.8333333333333,345.78000000000003,343.35999999999996,333.15333333333336,331.7366666666667,327.08666666666664,324.91333333333336,325.53666666666663,329.2125,332.70500000000004,334.4975,336.145,337.14,368.835,371.1,358.485,368.52,346.28,352.56666666666666,388.9533333333334,390.0566666666666,401.885,396.245,406.31,432.61499999999995,422.93999999999994,397.58500000000004,398.91,423.13000000000005,397.18333333333334,416.87999999999994,416.8966666666667,422.0366666666667,382.08000000000004,420.1233333333333,427.30999999999995,428.7066666666667,,442.2033333333334,437.16499999999996,439.905,450.62,441.5133333333333,413.92,,421.53499999999997,454.39,466.82000000000005,474.265,,471.995,476.32500000000005,463.1366666666667,445.2125,453.47333333333336,457.3533333333333,460.38,434.4866666666667,470.06,455.445,466.425,426.8866666666666,433.37000000000006,434.0,410.93333333333334,444.99,467.65999999999997,450.255,453.3633333333333,374.14333333333326,411.7833333333333,419.58666666666664,343.33,321.64
2001-08-31 22:02:05+00:00,320.215,344.6033333333333,335.70000000000005,337.71666666666664,340.2625,335.37,322.5625,316.1325,307.45666666666665,302.175,295.1225,288.5133333333334,292.22,306.51,321.46666666666664,320.3933333333334,312.1333333333333,305.3875,306.9925,310.19,311.6000000000001,320.3566666666666,326.40333333333336,334.1666666666667,335.4266666666667,337.265,295.6133333333333,348.2633333333333,342.0333333333333,333.76666666666665,335.15666666666664,332.53000000000003,321.68333333333334,317.36999999999995,311.17,312.9666666666667,316.74,321.09499999999997,327.4,330.9375,330.6425,330.9175,362.66,363.98,350.05,362.625,341.9575,342.9266666666667,378.34999999999997,386.2233333333333,396.3075,380.075,376.42,445.21,440.75,376.425,389.17333333333335,413.02666666666664,388.19000000000005,427.68999999999994,425.405,408.16,373.075,429.905,433.4199999999999,437.855,,450.855,452.07,424.75,426.21000000000004,421.94666666666666,404.17,406.31,399.84000000000003,462.43,464.47,471.9,,471.995,476.32500000000005,472.43500000000006,444.3175,461.31666666666666,456.655,454.39,424.45,463.8525,457.75,470.21,416.5249999999999,419.5133333333333,423.2633333333333,401.26,432.5825,467.05,453.83500000000004,458.84999999999997,374.15999999999997,391.4533333333333,403.015,338.1275,312.425
2001-10-02 22:01:40+00:00,315.6775,330.345,315.72333333333336,332.67999999999995,341.31333333333333,336.43666666666667,323.9566666666667,316.58666666666664,311.51,305.4433333333333,297.49,287.58000000000004,296.67,311.03,313.03666666666663,313.77,305.3866666666667,301.8775,310.77666666666664,301.88000000000005,303.17333333333335,315.01,330.28499999999997,337.19,336.90999999999997,341.15,280.61333333333334,337.48333333333335,334.59,324.9866666666667,327.50666666666666,323.29333333333335,312.9533333333333,307.46999999999997,304.44,315.72,319.69,324.59999999999997,330.8566666666666,334.71333333333337,333.5233333333333,334.25,354.7866666666667,354.49,335.5133333333334,362.625,336.27,346.91999999999996,359.01,374.18499999999995,386.90000000000003,380.075,356.815,,,376.425,370.845,400.93499999999995,366.44000000000005,423.99,424.61,394.625,373.075,419.5,427.43499999999995,425.49,,442.08,452.07,396.9533333333334,402.0833333333333,405.205,390.99,406.31,390.1133333333334,462.43,464.47,471.9,380.32,468.1,467.67,464.06,444.67333333333335,467.265,454.06,454.39,417.07499999999993,457.70666666666665,464.6366666666666,465.07,410.02,419.5133333333333,423.2633333333333,401.26,418.46999999999997,461.6700000000001,453.83500000000004,441.36,376.3299999999999,391.4533333333333,385.17333333333335,340.17333333333335,313.0066666666667
