dates,nzd0045-0000,nzd0045-0001,nzd0045-0002,nzd0045-0003,nzd0045-0004,nzd0045-0005,nzd0045-0006,nzd0045-0007,nzd0045-0008,nzd0045-0009,nzd0045-0010,nzd0045-0011,nzd0045-0012,satname
1999-08-17 22:10:26+00:00,,348.66,333.78,331.61,341.16,339.58,333.77,336.49,327.27,320.04,,,,L7
1999-09-27 22:04:25+00:00,376.9,334.475,328.53499999999997,327.915,339.31500000000005,339.34000000000003,333.61,339.375,337.03,326.295,334.89,340.74,333.54,L7
1999-11-14 22:04:18+00:00,377.465,331.3233333333333,328.09999999999997,326.6466666666667,335.9866666666667,337.9433333333333,334.94,340.55333333333334,340.43333333333334,327.81,338.28499999999997,342.98,336.83500000000004,L7
2000-02-09 22:10:19+00:00,374.91,338.245,333.8825,331.265,338.95500000000004,336.77,331.265,340.55333333333334,340.43333333333334,327.81,338.28499999999997,342.98,336.83500000000004,L7
2000-04-29 22:09:53+00:00,380.00333333333333,344.8433333333333,339.4366666666667,335.98333333333335,339.71,335.1366666666666,331.05333333333334,337.57500000000005,342.385,328.405,337.635,336.925,324.15999999999997,L7
2000-05-15 22:09:42+00:00,372.13000000000005,354.755,345.5400000000001,341.92,344.9,335.13,327.78,332.24,337.53,325.97,333.59,328.63,308.19,L7
2000-05-24 22:03:22+00:00,372.5775,344.3033333333333,338.53333333333336,335.97,341.51666666666665,336.54333333333335,331.7333333333333,338.39,342.17999999999995,330.87,338.445,340.0,327.25,L7
2000-06-16 22:09:26+00:00,372.5775,347.59,339.0625,336.09000000000003,342.895,337.8775,330.33,339.3566666666667,343.8533333333333,331.10999999999996,336.3433333333333,336.49333333333334,322.94,L7
2000-08-03 22:08:44+00:00,372.5775,349.474,339.482,337.26800000000003,342.692,338.988,331.664,339.3566666666667,343.8533333333333,331.10999999999996,336.3433333333333,336.49333333333334,322.94,L7
2000-08-12 22:02:30+00:00,372.165,342.12399999999997,333.468,332.40200000000004,339.31399999999996,338.386,333.62199999999996,341.28000000000003,348.04499999999996,331.72249999999997,336.1175,338.1875,327.41499999999996,L7
