dates,satname,nzd0045-0000,nzd0045-0001,nzd0045-0002,nzd0045-0003,nzd0045-0004,nzd0045-0005,nzd0045-0006,nzd0045-0007,nzd0045-0008,nzd0045-0009,nzd0045-0010,nzd0045-0011,nzd0045-0012
1999-08-17 22:10:26.276000,L7,,348.66,333.78,331.61,341.16,339.58,333.77,336.49,327.27,320.04,,,
1999-09-27 22:04:25.056000,L7,376.90,320.29,323.29,324.22,337.47,339.10,333.45,342.26,346.79,332.55,334.89,340.74,333.54
1999-11-14 22:04:18.343000,L7,378.03,325.02,327.23,324.11,329.33,335.15,337.60,342.91,347.24,330.84,341.68,345.22,340.13
1999-12-07 22:10:30.042000,L7,,,389.38,385.98,356.92,388.06,384.76,380.70,,,343.38,376.30,413.72
2000-01-17 22:04:11.868000,L7,352.24,321.42,321.92,317.36,317.94,321.11,312.65,,,,,,
2000-02-09 22:10:19.398000,L7,369.80,359.01,351.23,345.12,347.86,333.25,320.24,,,,,,
2000-04-29 22:09:53.797000,L7,392.18,350.50,339.85,338.72,341.94,337.01,335.32,332.24,337.53,325.97,333.59,328.63,308.19
2000-05-15 22:09:42.527000,L7,354.41,,,,,,,,,,,,
2000-05-24 22:03:22.722000,L7,373.92,323.40,324.52,324.07,334.75,339.37,339.64,344.54,346.83,335.77,343.30,351.37,346.31
2000-06-16 22:09:26.713000,L7,,357.45,340.65,336.45,347.03,341.88,326.12,341.29,347.20,331.59,332.14,329.48,314.32
2000-08-03 22:08:44.137000,L7,,357.01,341.16,341.98,341.88,343.43,337.00,,,,,,
2000-08-12 22:02:30.151000,L7,368.15,322.26,321.16,320.79,330.97,330.24,330.03,347.05,360.62,333.56,335.44,343.27,340.84
2000-09-04 22:08:22.800000,L7,346.10,350.68,334.14,332.07,332.84,324.09,,,,,,,
2001-06-19 22:07:05.722000,L7,,,,,343.22,347.21,340.13,341.00,346.83,323.51,,,
2001-06-28 22:00:45.094000,L7,,,,411.75,422.46,425.00,388.72,394.73,384.34,369.97,,,
2001-09-07 22:06:11.116000,L7,417.55,357.13,354.03,345.54,352.48,351.36,399.32,397.13,340.38,314.58,,,
2001-09-23 22:06:03.238000,L7,374.04,359.49,363.70,419.42,389.28,409.39,360.00,348.23,339.59,332.28,393.59,,
2001-10-02 21:59:40.713000,L7,408.31,415.43,322.06,325.10,332.13,343.13,346.89,348.72,348.39,321.76,,,
2002-02-14 22:06:29.522000,L7,,392.63,378.90,422.00,407.53,402.96,365.28,388.34,345.67,327.83,,,
2002-03-18 22:06:22.131000,L7,389.47,404.45,398.21,345.01,342.21,338.36,340.59,352.85,346.62,319.15,,,
2002-07-01 21:59:51.232000,L7,,,,305.60,327.72,339.24,335.67,344.25,351.00,327.42,313.18,,
2002-07-17 21:59:44.793000,L7,378.10,378.41,323.77,330.21,334.35,346.95,346.48,350.23,357.69,335.12,326.56,391.57,406.86
2002-10-12 22:05:14.598000,L7,416.75,365.55,346.99,349.24,369.21,346.57,341.31,356.71,344.65,326.62,,,
2002-10-28 22:05:22.323000,L7,417.08,357.80,343.11,338.11,335.95,325.90,,,,,,,
2002-11-13 22:05:30.425000,L7,419.46,408.04,408.17,377.65,409.09,360.86,358.24,357.67,351.52,331.82,,,407.53
2002-11-22 21:59:33.639000,L7,405.63,418.48,413.73,416.16,419.60,426.11,,,,,,,
2002-12-31 22:05:56.221000,L7,425.54,358.86,346.63,343.51,362.18,325.47,344.60,332.13,344.68,328.29,,,
2003-01-09 21:59:45.950000,L7,384.94,326.36,326.57,327.83,332.30,335.97,333.04,339.85,343.04,329.84,308.56,,
2003-04-22 22:06:19.091000,L7,412.72,365.68,347.03,344.74,348.24,347.62,350.74,345.17,352.78,331.72,,,
2003-08-29 21:48:38.429000,L5,,,309.85,326.63,334.55,336.41,336.64,343.30,342.44,316.61,,,
2003-10-23 21:55:36.755000,L5,359.06,336.32,334.35,336.49,345.03,343.62,340.12,339.17,333.52,311.96,,,
2004-06-12 21:52:47.645000,L5,352.62,320.09,327.63,336.33,339.74,348.80,347.32,347.75,347.08,330.24,,,
2004-07-30 21:54:04.170000,L5,,,,308.41,321.66,330.00,323.47,331.78,329.65,,,,
2004-10-18 21:55:59.918000,L5,350.99,325.24,323.91,343.22,346.33,354.63,356.77,354.93,354.04,336.51,,,
2004-11-03 21:56:19.004000,L5,344.52,327.11,334.50,348.25,356.44,368.94,356.68,355.93,351.63,337.68,,,
2005-01-13 22:03:41.143000,L5,350.23,323.70,316.66,325.20,333.03,331.99,335.54,336.55,333.49,,,,
2005-02-23 21:58:07.648000,L5,350.79,323.33,331.11,341.37,347.97,353.38,350.82,349.78,349.81,334.99,,,
2005-03-02 22:04:24.338000,L5,366.35,329.83,332.18,339.67,338.99,338.19,328.40,331.28,312.77,,,,
2005-04-12 21:58:31.220000,L5,,,322.55,328.69,337.94,334.85,324.35,325.32,321.18,,,,
2005-04-19 22:04:43.597000,L5,361.63,324.61,328.62,333.75,326.50,324.73,,,,,,,
2005-06-06 22:05:05.724000,L5,,315.43,325.25,333.35,332.89,337.00,326.30,328.97,318.36,,,,
2005-07-08 22:05:15.796000,L5,387.24,374.57,360.70,360.37,362.93,364.64,362.51,353.11,345.95,336.44,331.43,340.93,337.23
2005-09-03 21:59:32.312000,L5,352.92,329.81,332.08,344.21,351.36,355.86,351.86,358.29,356.45,342.96,,,
2005-09-26 22:05:42.687000,L5,363.84,327.37,336.89,340.76,343.00,341.33,338.49,337.87,333.45,,,,
2006-02-10 22:01:51.332000,L5,353.70,323.16,329.73,340.81,345.52,349.40,351.28,353.11,353.85,334.66,,,
2006-03-14 22:02:31.280000,L5,332.17,319.95,330.04,336.64,341.85,343.57,339.44,338.59,341.60,331.17,,,
2006-06-25 22:10:20.606000,L5,375.88,346.69,346.84,348.14,344.89,346.40,341.60,339.38,332.49,,,,
2006-08-12 22:10:59.603000,L5,386.79,365.70,359.10,362.39,366.68,363.10,358.55,358.92,342.75,333.41,330.61,346.99,335.20
2006-09-13 22:11:23.474000,L5,,,319.47,328.48,333.11,331.13,325.21,323.92,319.11,,,,
2006-09-29 22:11:34.525000,L5,367.02,341.96,334.25,337.62,340.08,339.15,329.96,330.89,324.09,,,,
2006-11-25 22:06:19.953000,L5,332.73,348.91,363.12,375.47,378.32,381.79,388.25,391.38,399.16,,,,
2006-12-02 22:12:34.352000,L5,351.70,359.60,383.88,347.30,366.30,363.50,363.09,360.47,359.42,,,,
2006-12-11 22:06:28.205000,L5,386.68,409.38,416.68,424.10,425.34,430.04,,,340.48,379.22,337.29,340.71,
2007-01-03 22:12:49.248000,L5,361.26,383.00,382.95,392.08,391.00,390.74,394.65,395.66,395.82,,,,
2007-02-13 22:06:23.395000,L5,339.73,318.15,321.94,330.86,341.31,346.91,350.43,354.29,352.78,336.21,,,
2007-09-25 22:04:24.972000,L5,346.33,318.71,321.26,338.45,342.21,348.03,347.90,351.93,346.58,329.19,,,
2009-01-01 21:56:07.642000,L5,336.80,312.10,319.79,327.17,337.77,341.67,343.54,344.32,344.70,328.62,,,
2009-02-02 21:56:58.438000,L5,,317.34,323.08,334.43,340.60,347.61,340.31,340.66,335.77,326.54,,,
2009-12-03 22:01:55.950000,L5,,,316.88,327.47,338.93,346.40,337.00,342.87,339.85,320.95,,,
2010-02-12 22:08:30.110000,L5,365.19,327.89,322.27,329.80,333.02,332.40,320.99,317.43,313.39,,,,
2010-11-27 22:07:24.215000,L5,355.81,313.29,317.27,323.94,330.12,326.35,312.25,313.03,,,,,
2011-03-12 22:01:19.581000,L5,358.13,320.91,323.18,336.51,340.79,348.40,348.18,347.70,350.49,334.91,,,
2011-09-04 22:00:03.630000,L5,360.08,321.00,326.92,340.54,344.45,352.82,348.22,348.89,349.99,333.60,,,
2013-04-25 22:19:21.025000,L8,360.65,353.54,350.85,353.64,354.02,353.67,350.75,350.23,346.81,326.70,,,
2013-05-11 22:19:31.249000,L8,,344.32,340.87,346.30,348.43,347.53,340.63,341.65,337.17,,,,
2013-05-20 22:13:26.604000,L8,362.79,328.43,332.59,338.07,345.73,350.65,350.70,354.70,354.89,343.42,,,
2013-06-28 22:19:33.252000,L8,419.30,408.34,403.30,390.19,385.49,389.75,382.89,368.56,370.99,358.39,358.66,365.71,362.25
2013-07-07 22:13:24.262000,L8,378.56,373.48,362.09,368.40,366.57,372.79,372.68,376.48,374.90,369.16,373.08,396.34,390.47
2013-07-14 22:19:34.707000,L8,417.66,405.89,385.43,383.91,376.26,379.54,373.73,369.02,368.06,353.86,349.32,364.98,346.04
2013-09-25 22:13:17.289000,L8,365.08,351.52,351.59,356.48,362.11,372.44,373.25,372.11,371.63,365.13,370.49,388.93,385.97
2013-10-02 22:19:28.820000,L8,403.61,361.23,358.56,359.28,362.53,364.21,359.31,358.03,355.96,339.78,,,
2013-10-18 22:19:25.762000,L8,389.28,351.13,350.52,347.66,351.96,352.85,340.12,322.18,350.48,,,,
2013-10-27 22:13:07.896000,L8,357.30,322.04,326.15,333.34,340.72,348.73,346.38,350.68,350.92,341.11,,,
2013-11-12 22:13:08.247000,L8,370.10,321.15,326.34,333.33,341.82,348.99,347.63,351.41,352.81,342.09,,,
2013-11-28 22:13:02.012000,L8,371.79,325.35,327.82,333.49,341.60,348.75,345.92,353.00,351.67,340.58,,,
2013-12-05 22:19:13.005000,L8,376.23,363.25,353.57,354.79,357.03,358.24,352.42,349.40,348.81,328.63,,,
2013-12-14 22:12:57.636000,L8,364.08,320.92,325.17,332.45,340.34,348.40,348.61,351.76,350.75,340.80,,,
2014-01-06 22:18:54.881000,L8,392.96,380.00,370.03,370.34,369.49,371.85,364.85,360.82,358.00,343.83,334.76,354.40,346.09
2014-01-15 22:12:33.689000,L8,381.05,353.79,346.75,352.27,361.31,369.90,371.02,370.48,374.71,367.60,371.55,393.71,397.84
2014-01-31 22:12:28.855000,L8,358.44,351.10,366.94,356.36,372.07,374.38,373.89,374.58,374.26,370.25,373.80,397.21,398.23
2014-02-07 22:18:33.391000,L8,391.06,379.60,366.75,365.04,368.08,370.30,366.55,363.60,363.57,346.01,337.64,358.20,349.36
2014-02-23 22:18:20.398000,L8,421.35,398.44,381.87,377.73,373.59,374.02,374.14,366.25,371.55,354.60,364.92,381.65,375.78
2014-03-04 22:11:59.077000,L8,404.11,338.25,379.49,343.36,371.94,,355.86,408.62,356.21,346.90,320.57,355.08,353.16
2014-03-11 22:18:08.266000,L8,376.12,353.34,351.51,352.49,355.41,356.57,348.73,349.58,347.89,330.44,,,
2014-03-27 22:17:50.001000,L8,380.09,357.30,357.62,357.16,358.96,359.53,354.74,354.52,352.92,336.91,,,
2014-04-05 22:11:34.747000,L8,377.24,377.40,372.58,359.08,377.22,377.23,373.41,373.93,378.89,373.43,372.54,387.23,381.36
2014-04-12 22:17:37.464000,L8,394.87,390.39,413.90,400.50,371.64,370.85,367.25,361.41,358.17,343.90,328.59,339.90,333.92
2014-05-07 22:11:02.102000,L8,355.14,319.75,325.29,332.05,341.48,346.95,343.07,347.24,347.50,336.74,,,
2014-05-14 22:17:08.923000,L8,401.87,370.89,365.26,367.74,366.48,367.80,363.30,358.03,356.12,342.57,324.00,337.40,335.21
2014-05-30 22:17:11.184000,L8,418.11,387.45,377.07,376.54,376.05,379.43,375.98,363.24,360.59,351.53,348.54,352.70,348.65
2014-07-17 22:17:28.260000,L8,417.04,406.63,399.95,379.33,381.54,376.37,376.72,366.73,366.50,352.27,345.15,346.65,331.87
2014-07-26 22:11:19.207000,L8,382.78,370.79,359.18,361.55,368.91,375.20,375.55,376.28,371.85,367.54,364.90,371.30,364.10
2014-10-14 22:11:38.746000,L8,348.74,325.96,330.28,338.95,344.45,352.23,352.63,353.62,354.20,342.62,304.53,,
2015-01-02 22:11:27.004000,L8,368.46,331.22,335.79,340.04,346.69,354.34,356.01,356.84,358.13,347.28,315.27,354.34,345.83
2015-01-25 22:17:32.812000,L8,374.86,354.54,349.25,348.85,350.71,349.58,338.12,342.90,337.74,321.77,,,
2015-02-19 22:11:13.759000,L8,369.24,390.17,352.55,358.26,372.66,366.61,376.47,371.37,374.01,367.84,368.54,396.60,393.75
2015-02-26 22:17:23.009000,L8,379.24,361.93,355.33,357.27,358.87,359.84,355.87,353.87,348.79,328.45,,,
2015-03-30 22:17:01.871000,L8,423.01,406.20,402.58,391.33,385.43,383.94,381.14,369.21,371.74,355.14,360.41,385.66,390.24
2015-04-24 22:10:44.446000,L8,344.97,318.15,324.03,328.65,331.70,344.40,346.11,348.08,346.74,337.18,,,
2015-05-10 22:10:28.533000,L8,338.22,311.49,322.86,327.55,330.28,342.55,344.15,345.22,344.21,336.95,,,
2015-06-02 22:16:44.532000,L8,394.05,368.28,366.54,371.08,373.94,367.92,360.75,357.94,358.43,346.85,,,
2015-06-27 22:10:46.339000,L8,372.22,323.71,326.64,336.84,340.38,346.99,348.57,350.34,352.86,342.67,,,
2015-07-04 22:17:02.361000,L8,369.55,350.17,347.90,350.08,349.05,353.06,348.41,342.28,340.85,323.90,,,
2015-07-20 22:17:10.706000,L8,420.71,379.89,376.17,373.29,372.93,377.73,379.31,364.28,364.15,349.47,351.01,362.64,354.33
2015-07-29 22:11:01.897000,L8,357.65,317.17,325.50,334.60,337.71,345.62,349.52,349.84,349.87,340.37,,,
2015-10-08 22:17:36.852000,L8,405.26,355.90,351.77,353.78,351.81,354.42,357.33,364.70,353.88,,,,
2015-10-24 22:17:40.820000,L8,383.01,353.25,348.55,353.17,350.23,349.75,350.39,346.32,348.10,330.83,,,
2015-12-11 22:17:42.627000,L8,402.38,369.73,362.38,366.45,366.04,366.83,363.71,359.44,356.42,342.58,333.16,357.53,344.60
2015-12-20 22:11:33.546000,L8,370.05,322.67,328.42,336.71,340.94,350.02,351.98,354.72,354.68,346.96,,,
2015-12-27 22:17:43.409000,L8,395.67,378.00,366.13,366.74,363.59,367.06,367.68,359.78,357.18,344.33,345.64,359.07,348.96
2016-01-12 22:17:40.472000,L8,377.24,357.43,351.82,351.52,355.33,348.60,349.70,348.95,349.27,323.51,,,
2016-01-21 22:11:30.113000,L8,361.09,323.72,335.68,330.57,335.50,341.28,345.56,353.73,348.21,336.06,,,
2016-01-28 22:17:39.790000,L8,392.14,393.22,379.87,369.99,369.55,368.05,366.81,364.68,363.82,353.30,347.97,351.14,340.75
2016-03-09 22:11:16.948000,L8,342.26,314.63,322.11,328.22,335.19,340.58,340.91,342.15,342.75,328.66,,,
2016-03-25 22:11:08.402000,L8,355.77,362.07,348.31,358.27,349.14,356.94,358.65,362.37,364.73,360.70,352.33,366.95,350.84
2016-04-10 22:11:01.721000,L8,351.56,329.62,331.97,340.83,344.14,350.05,352.87,353.26,356.58,345.11,315.47,,
2016-05-03 22:17:13.318000,L8,385.35,357.08,356.00,359.90,358.98,360.61,356.54,352.07,350.70,331.25,,,
2016-05-12 22:10:56.720000,L8,,,,328.26,333.91,339.63,336.36,341.01,339.21,325.63,,,
2016-05-19 22:17:11.230000,L8,381.22,355.50,357.62,357.51,357.46,358.07,355.98,350.71,348.30,330.75,,,
2016-06-04 22:17:16.433000,L8,,346.10,343.67,346.38,345.85,347.73,339.93,335.80,330.91,,,,
2016-06-13 22:11:06.720000,L8,354.68,322.45,327.65,333.96,340.50,347.42,348.10,349.96,349.62,339.45,,,
2016-07-15 22:11:22.376000,L8,368.66,324.37,328.18,335.43,341.23,347.71,348.54,351.19,351.88,,,,
2016-08-07 22:17:37.552000,L8,417.33,403.68,380.67,379.73,379.03,379.25,373.45,365.50,364.32,350.65,340.84,346.52,334.42
2016-08-16 22:11:29.744000,L8,363.11,324.95,330.83,338.60,343.40,350.40,351.20,354.88,353.80,343.59,,,
2016-09-08 22:17:48.858000,L8,409.53,371.75,368.34,371.55,374.80,405.01,369.42,362.90,360.51,349.51,336.92,348.81,335.60
2016-09-24 22:17:49.840000,L8,386.88,355.92,355.93,357.79,360.97,358.61,356.29,350.75,353.33,336.88,,,
2016-10-10 22:17:54.274000,L8,399.59,355.47,354.66,358.04,358.18,360.09,355.50,352.48,351.82,336.55,,,
2016-11-20 22:11:45.458000,L8,340.36,313.02,320.54,326.01,335.26,340.45,340.93,343.84,343.72,333.33,,,
2017-01-30 22:17:38.957000,L8,396.89,371.98,367.26,369.79,371.51,372.48,366.74,360.12,355.93,342.01,338.71,350.29,341.26
2017-03-03 22:17:25.727000,L8,389.15,376.78,367.03,365.16,367.46,369.56,366.10,363.13,359.84,345.00,343.02,350.44,338.24
2017-03-19 22:17:15.956000,L8,385.72,357.31,354.90,359.04,355.56,356.68,357.28,350.33,348.87,334.44,,,
2017-03-28 22:11:00.765000,L8,350.52,319.36,329.24,337.33,343.90,348.35,350.46,350.84,350.92,340.95,,,
2017-04-20 22:16:59.468000,L8,397.72,353.55,353.72,354.38,355.79,355.54,353.65,348.78,347.45,331.12,,,
2017-05-06 22:16:55.401000,L8,390.71,360.50,358.76,360.51,361.04,359.87,358.76,355.08,351.96,337.72,,,
2017-06-16 22:11:07.889000,L8,366.02,339.22,336.55,341.05,346.84,351.71,353.89,353.72,354.74,344.36,,,
2017-07-09 22:17:23.906000,L8,425.00,403.54,380.08,387.01,381.33,382.97,374.00,369.34,365.46,351.55,348.48,355.74,339.01
2017-07-25 22:17:30.862000,L8,418.83,381.22,375.37,376.64,373.44,377.58,375.83,365.43,362.41,345.37,344.84,344.86,330.56
2017-08-10 22:17:37.375000,L8,,343.55,341.00,344.40,346.13,344.63,341.50,338.84,340.78,,,,
2017-09-27 22:17:48.664000,L8,428.53,386.37,377.13,382.24,392.61,382.74,380.82,372.46,373.46,355.57,359.85,374.66,354.01
2018-01-10 22:11:30.163000,L8,371.25,339.23,341.74,352.34,355.11,361.45,361.46,362.82,365.40,361.51,371.10,401.32,397.76
2018-02-27 22:11:07.813000,L8,,,328.65,333.66,338.22,348.82,350.05,351.99,355.86,,,,
2018-04-07 22:16:59.037000,L8,418.05,405.14,393.98,388.70,375.75,377.36,376.55,372.51,368.45,359.95,355.33,358.43,351.14
2018-05-02 22:10:33.919000,L8,,,,,336.38,340.49,341.20,342.36,341.34,331.54,,,
2018-05-09 22:16:40.331000,L8,401.68,397.61,393.55,383.74,377.71,374.78,371.75,368.05,365.52,347.19,344.64,356.74,340.83
2018-05-25 22:16:28.178000,L8,390.23,358.10,357.09,360.44,359.10,359.90,356.43,352.38,350.71,334.12,,,
2018-06-26 22:16:36.823000,L8,380.81,359.64,357.73,359.07,360.61,360.07,356.74,352.18,349.16,334.60,,,
2018-08-06 22:10:46.333000,L8,366.28,325.90,332.57,341.27,346.69,354.34,352.21,355.23,355.18,344.56,,,
2018-09-07 22:11:00.442000,L8,371.80,323.73,328.63,339.06,344.24,350.18,350.75,352.52,352.37,343.43,,,
2018-10-09 22:11:13.339000,L8,356.48,327.93,333.21,341.61,346.63,353.15,353.90,353.41,354.45,346.10,313.69,,
2018-11-17 22:17:31.986000,L8,,,,348.47,351.37,349.07,342.29,340.19,342.03,328.57,,,
2018-12-12 22:11:17.117000,L8,374.70,364.50,356.22,358.82,367.42,373.12,378.11,376.14,382.83,371.91,381.52,396.71,396.01
2019-01-04 22:17:27.803000,L8,371.22,352.95,347.09,349.31,351.46,349.20,340.54,344.89,344.51,326.89,,,
2019-01-20 22:17:24.544000,L8,366.00,352.10,345.05,343.06,345.26,345.43,327.64,327.26,334.14,321.33,,,
2019-02-14 22:11:09.519000,L8,358.33,321.93,328.31,336.22,343.35,351.31,345.49,352.66,352.53,343.30,,,
2019-03-02 22:11:05.349000,L8,358.10,319.48,325.95,331.73,337.83,344.43,343.77,349.55,348.27,339.88,,,
2019-03-25 22:17:09.739000,L8,366.27,352.42,347.61,349.60,351.80,354.54,341.34,347.18,,,,,
2019-04-26 22:16:59.330000,L8,402.66,392.28,372.51,368.53,367.20,369.63,366.56,365.76,360.95,349.34,342.32,358.99,345.27
2019-05-12 22:17:08.680000,L8,385.41,360.67,359.37,363.56,360.99,360.15,357.93,353.63,351.02,335.98,,,
2019-05-28 22:17:17.913000,L8,,343.22,339.90,341.99,343.18,342.74,333.94,336.35,330.20,,,,
2019-06-22 22:11:17.033000,L8,343.19,321.43,325.17,334.88,340.95,347.77,345.49,345.94,351.48,339.69,,,
2019-07-08 22:11:20.766000,L8,365.46,349.67,346.16,344.45,352.80,358.72,360.47,364.05,365.02,357.56,352.53,369.77,369.31
2019-07-24 22:11:25.033000,L8,,,317.78,326.36,334.17,338.89,335.04,340.18,341.21,330.66,,,
2019-09-10 22:11:39.873000,L8,,,330.49,342.56,349.05,351.43,350.55,352.36,352.59,344.03,,,
2019-09-26 22:11:45.238000,L8,372.91,324.97,330.33,341.10,349.48,355.86,355.79,356.88,358.54,350.20,,,
2019-11-04 22:17:58.697000,L8,422.52,378.76,376.53,376.20,374.60,378.87,375.09,367.40,370.93,357.70,364.42,382.29,386.22
