dates,nzd0529-0000,nzd0529-0001,nzd0529-0002,nzd0529-0003,nzd0529-0004,nzd0529-0005,nzd0529-0006,nzd0529-0007,nzd0529-0008,nzd0529-0009,nzd0529-0010,nzd0529-0011,nzd0529-0012,nzd0529-0013,nzd0529-0014,nzd0529-0015,nzd0529-0016,nzd0529-0017,nzd0529-0018,nzd0529-0019,nzd0529-0020,nzd0529-0021,nzd0529-0022,nzd0529-0023,nzd0529-0024,nzd0529-0025,nzd0529-0026,nzd0529-0027,nzd0529-0028,nzd0529-0029,nzd0529-0030,nzd0529-0031,nzd0529-0032,nzd0529-0033,nzd0529-0034,nzd0529-0035,nzd0529-0036,nzd0529-0037
1999-08-17 22:13:37+00:00,,,,,,,,,,,260.64,262.8,268.87,,,,,200.87,,,,,,328.39,,,,,305.07,304.54,290.53,,,217.77,278.82,269.06,286.24,327.95
1999-12-07 22:13:41+00:00,,,,,,,,,,268.28,258.21,258.525,268.08500000000004,263.56,,,,201.39499999999998,,,342.68,335.12,336.34,327.735,326.35,318.53,306.94,300.17,301.66999999999996,304.485,297.69,293.77,286.18,232.875,270.59000000000003,263.055,278.44,318.67499999999995
2000-05-08 22:06:44+00:00,,,,,,,,,,268.28,255.78,254.25,267.3,263.56,,,,218.305,,,342.68,335.12,336.34,327.08,326.35,318.53,306.94,300.17,298.27,304.43,304.85,293.77,286.18,247.98,262.36,257.05,270.64,309.4
2000-09-20 22:11:14+00:00,,,,,,,,,,270.34,265.28,265.53,279.09,275.92,,322.2,334.42,280.935,332.34,329.21,343.31,334.5,335.0,328.88,324.39,315.4,308.99,312.4,300.37,317.01,306.83,304.72,298.44,,279.03,271.37,296.02,319.6
2001-07-14 22:03:57+00:00,,,,,,,,,,,270.23,263.31,279.13,,,313.73,333.23,335.81,292.72,,327.21,,,,328.37,314.54,275.84,336.88,317.42,317.28,315.73,291.05,,270.25,,,,
2001-08-15 22:03:26+00:00,,,,,,,,,,267.32,268.25,264.015,279.03,273.41,302.01,314.65999999999997,326.5,333.115,292.72,339.49,300.74,347.66,335.66,335.82,332.125,314.635,292.61,328.82,313.76,316.36,311.305,308.345,303.22,270.25,,,299.9,325.94
2002-01-29 22:09:33+00:00,,,,,,,,,,267.32,266.27,264.72,278.93,273.41,302.01,315.59,319.77,330.42,,339.49,274.27,347.66,335.66,335.82,335.88,314.73,309.38,320.76,310.1,315.44,306.88,325.64,303.22,,260.21,251.81,288.11,325.94
2002-05-05 22:09:37+00:00,,,,,,302.93,,,,,269.12,264.9,281.35,275.96,308.25,,,334.07,,,,,,,330.52,328.05,328.72,,,,,312.55,308.27,280.27,267.495,260.77,288.065,325.04
2002-05-14 22:03:19+00:00,,,,,,302.93,,,,,269.12,264.9,281.35,275.96,308.25,,,334.07,,,248.53,,,,330.52,328.05,328.72,,,,,312.55,308.27,280.27,267.495,260.77,288.065,325.04
2002-06-15 22:03:07+00:00,,,,,,302.93,,,,,269.12,264.9,281.35,275.96,308.25,,,334.07,,,257.36,,,,330.52,328.05,328.72,,,,,312.55,308.27,280.27,267.495,260.77,288.065,325.04
2002-06-22 22:09:15+00:00,,,314.34,,294.9,307.45000000000005,,,,271.34,271.93,265.06,279.5,276.47,304.9,,,334.07,,,288.3533333333333,,341.4,,330.52,328.05,326.47,315.1,320.83,315.79,324.97,317.555,311.86,285.21,269.3433333333333,261.82,303.9066666666667,344.51
2002-08-09 22:08:57+00:00,,,314.34,,294.9,307.45000000000005,,,,271.34,271.93,265.06,279.5,276.47,304.9,,,334.07,,,288.3533333333333,,341.4,,330.52,328.05,326.47,315.1,320.83,315.79,324.97,317.555,324.9166666666667,285.21,273.90999999999997,266.82500000000005,317.70000000000005,344.51
2002-09-10 22:08:43+00:00,,,314.34,,294.9,307.45000000000005,,,,270.135,268.05,261.42,279.5,276.47,304.9,,327.68,333.225,335.21,,301.59499999999997,,341.4,333.81,326.945,322.97,320.11,317.225,313.48,313.415,315.74,313.8433333333333,317.805,281.0,270.71666666666664,263.34333333333336,311.0466666666667,344.51
2003-02-01 22:09:21+00:00,249.26,,,,,,,,,268.93,260.29,254.14,,,,,327.68,332.38,335.21,,341.32,,,333.81,323.37,317.89,307.39,319.35,306.13,311.04,306.51,306.42,323.75,272.58,264.33,256.38,297.74,
2003-08-13 21:51:32+00:00,,311.47,319.16,335.28,331.51,333.66,,,279.18,281.89,303.75,300.19,302.0,313.36,359.23,356.51,359.43,366.35,,,,,,,,,,,,,,345.7,335.8,320.97,311.16,303.17,352.2,362.82
2003-10-07 21:58:35+00:00,,311.47,319.16,329.65,325.74,327.02,,,272.21500000000003,282.125,298.48,295.12,298.25,306.115,344.515,348.04499999999996,354.565,360.785,356.44,355.19,357.27,362.48,363.81,362.04,362.34,356.1,353.81,359.55,348.92,345.62,342.9,341.115,329.15,312.49,303.58500000000004,297.245,333.755,350.315
2003-12-26 21:59:30+00:00,,311.47,309.95000000000005,329.85999999999996,328.2966666666667,327.02,,,271.86333333333334,286.55,299.74666666666667,297.1066666666666,302.59999999999997,304.83666666666664,343.8066666666667,348.68333333333334,355.69,360.6766666666667,360.02,361.37,360.7,366.98,363.81,362.04,362.34,356.1,360.74,359.55,357.385,351.27,351.185,341.115,329.76,313.7266666666667,303.23,295.58,333.755,350.315
2004-01-20 21:53:24+00:00,,311.47,305.9066666666667,325.9025,327.04,327.57,,,270.7575,288.8725,300.46,297.11,303.9325,306.23,347.39750000000004,350.935,358.28999999999996,362.8275,363.23333333333335,364.26,362.85999999999996,367.0566666666667,363.81,362.04,362.34,354.45000000000005,359.0566666666667,359.485,357.49,351.48,352.89000000000004,343.77,332.99,316.05,305.9275,297.675,333.755,350.315
