dates,satname,nzd0529-0000,nzd0529-0001,nzd0529-0002,nzd0529-0003,nzd0529-0004,nzd0529-0005,nzd0529-0006,nzd0529-0007,nzd0529-0008,nzd0529-0009,nzd0529-0010,nzd0529-0011,nzd0529-0012,nzd0529-0013,nzd0529-0014,nzd0529-0015,nzd0529-0016,nzd0529-0017,nzd0529-0018,nzd0529-0019,nzd0529-0020,nzd0529-0021,nzd0529-0022,nzd0529-0023,nzd0529-0024,nzd0529-0025,nzd0529-0026,nzd0529-0027,nzd0529-0028,nzd0529-0029,nzd0529-0030,nzd0529-0031,nzd0529-0032,nzd0529-0033,nzd0529-0034,nzd0529-0035,nzd0529-0036,nzd0529-0037
2002-11-29 22:09:01.492000,L7,,395.21,389.83,454.56,433.84,392.29,370.39,368.78,370.21,395.24,356.24,371.55,364.56,375.04,387.48,369.23,391.39,445.10,438.68,430.88,432.51,445.70,428.40,425.95,439.66,430.60,446.35,450.00,435.16,419.60,411.63,407.83,401.78,408.88,427.85,429.20,311.36,314.14
2002-12-24 22:02:57.022000,L7,327.59,392.12,389.56,381.96,359.94,344.37,273.98,326.26,338.19,344.25,351.08,348.37,349.51,348.00,358.42,356.19,360.42,404.45,386.95,362.27,367.26,369.20,371.90,370.18,370.57,371.23,365.29,332.77,418.55,407.55,379.88,388.51,394.19,391.72,274.36,375.74,399.34,405.58
2003-02-01 22:09:21.746000,L7,249.26,415.01,409.77,402.10,376.01,366.84,505.85,494.22,421.39,460.24,453.62,454.96,480.72,483.08,485.03,481.23,455.72,484.47,490.86,488.92,484.72,483.26,475.77,471.36,469.78,464.50,453.79,467.22,463.36,458.18,468.77,465.87,456.63,463.30,460.16,465.68,472.15,470.94
2003-08-13 21:51:32.649000,L5,,311.47,319.16,335.28,331.51,333.66,,,279.18,281.89,303.75,300.19,302.00,313.36,359.23,356.51,359.43,366.35,370.03,366.66,371.67,369.16,367.22,364.61,358.08,359.03,355.54,367.73,353.20,349.43,354.30,345.70,335.80,320.97,311.16,303.17,352.20,362.82
2003-08-29 21:51:49.928000,L5,,,311.30,331.24,329.40,322.55,,,282.94,281.80,307.03,296.16,310.82,353.55,364.50,374.14,375.24,379.84,382.40,383.95,381.82,370.87,370.00,394.28,431.03,403.54,409.64,388.46,354.32,350.29,348.30,341.25,337.22,314.90,310.28,302.03,342.10,351.93
2003-10-07 21:58:35.519000,L5,,,,324.02,319.97,320.38,,,265.25,282.36,293.21,290.05,294.50,298.87,329.80,339.58,349.70,355.22,356.44,355.19,357.27,362.48,363.81,362.04,362.34,356.10,353.81,359.55,348.92,345.62,342.90,336.53,322.50,304.01,296.01,291.32,315.31,337.81
2003-11-17 21:52:57.120000,L5,,,,324.42,321.89,329.74,,,264.37,283.52,299.44,298.31,294.50,302.86,336.15,342.29,354.71,359.08,358.72,361.38,363.06,370.94,368.93,365.16,364.41,360.58,359.56,364.57,357.22,349.32,350.59,337.12,326.47,311.18,302.66,294.85,326.78,337.93
2003-12-26 21:59:30.091000,L5,,,300.74,330.28,333.41,236.45,,,271.16,295.40,302.28,301.08,311.30,302.28,342.39,349.96,357.94,360.46,363.60,367.55,364.13,371.48,378.57,375.87,373.20,366.77,367.67,375.98,365.85,356.92,359.47,356.73,330.98,316.20,302.52,292.25,339.29,350.89
2004-01-20 21:53:24.777000,L5,,,297.82,314.03,323.27,328.67,303.57,264.84,267.44,295.84,302.60,297.12,307.93,310.41,358.17,357.69,366.09,369.28,369.66,370.04,367.18,367.21,365.24,362.49,361.35,352.80,355.69,359.42,357.70,351.90,356.30,349.08,342.68,323.02,314.02,303.96,349.87,356.67
2004-05-02 22:00:57.398000,L5,,,323.52,321.76,328.90,327.34,,,268.05,291.91,304.92,295.53,305.24,312.60,344.38,350.14,359.62,361.12,364.08,366.34,366.10,366.39,364.12,360.44,365.41,357.02,356.47,365.28,356.04,352.38,350.78,346.82,337.88,320.11,302.63,297.66,336.21,353.57
2004-05-18 22:01:26.569000,L5,,,329.83,324.50,323.20,323.87,280.95,132.50,295.12,303.35,304.08,292.16,307.58,312.82,348.66,354.15,354.30,358.11,362.68,364.10,366.18,366.72,363.22,357.68,361.48,358.47,358.20,365.71,354.36,348.48,350.92,348.35,336.49,327.23,309.69,300.17,332.90,358.49
2004-07-30 21:57:15.668000,L5,,315.07,307.67,328.27,333.01,330.61,307.63,,269.87,294.90,310.20,300.23,310.99,322.07,353.01,354.74,352.27,368.31,370.40,365.73,366.57,364.79,364.35,366.56,370.78,362.70,366.14,368.28,361.87,360.18,359.33,353.10,341.47,337.97,316.74,306.78,345.74,370.26
2005-01-13 22:06:52.927000,L5,,,294.01,311.16,313.36,330.80,139.62,143.00,272.38,293.73,300.26,299.54,312.01,318.46,352.54,352.72,351.36,351.93,357.00,357.98,358.51,357.78,358.39,352.31,352.13,359.93,362.25,368.17,363.70,354.66,355.28,353.30,343.92,338.85,321.25,298.32,325.42,342.63
2005-02-14 22:07:21.106000,L5,,,291.31,313.84,313.26,235.34,,,263.62,282.80,294.38,297.26,309.54,314.53,349.10,355.09,150.79,160.09,172.32,172.41,161.46,145.12,158.18,354.91,352.16,345.29,345.66,360.24,361.22,354.16,354.14,350.46,342.12,334.58,321.98,304.64,348.29,347.79
2005-06-22 22:08:22.866000,L5,,314.22,343.17,347.06,328.56,339.49,,,271.58,285.04,295.84,289.35,305.23,312.13,348.93,360.76,358.43,362.78,365.68,366.80,365.99,366.62,363.06,358.10,361.20,364.07,355.19,359.22,352.44,352.32,344.94,355.41,346.05,340.23,316.40,304.61,343.74,365.48
2005-08-09 22:08:46.932000,L5,,316.54,252.15,333.16,323.87,328.88,292.01,,264.77,289.85,292.63,287.59,297.80,305.29,350.47,352.18,364.54,368.94,367.92,370.96,373.34,368.15,364.43,360.36,360.63,357.46,347.77,364.04,350.81,341.14,346.53,345.07,338.62,343.94,331.59,307.23,350.19,370.02
2005-08-25 22:08:52.862000,L5,,296.40,308.16,329.36,327.81,336.54,294.16,,275.12,308.66,303.46,296.52,314.09,335.36,357.20,358.47,362.41,362.68,367.18,365.21,361.22,357.59,361.18,355.05,361.10,357.80,362.25,367.32,356.66,350.06,352.68,352.37,343.93,345.62,333.21,308.23,335.05,365.10
2005-09-10 22:08:55.708000,L5,,,311.87,324.24,325.75,329.57,288.78,,263.16,279.59,289.25,290.23,298.11,308.13,342.34,350.08,361.65,361.63,367.13,367.80,365.78,359.08,361.75,358.72,359.67,354.82,352.67,359.46,349.82,346.45,351.40,350.46,340.23,337.94,327.19,302.08,345.39,361.89
2005-10-05 22:02:41.026000,L5,,,302.13,329.79,327.06,328.05,,,267.35,291.42,294.45,293.87,302.31,304.74,344.26,348.57,354.89,361.02,362.95,364.15,371.00,371.71,368.21,364.14,375.04,371.01,373.09,382.18,368.17,378.60,373.24,372.26,354.46,344.01,339.29,300.27,353.46,366.91
2005-11-06 22:02:46.848000,L5,,,,,,,,,,250.24,266.98,269.15,274.17,280.67,289.47,336.52,343.65,349.90,360.20,359.25,358.91,361.13,359.77,350.44,346.59,344.52,339.61,345.39,340.21,332.06,330.63,327.80,326.67,321.10,310.17,292.98,323.14,346.20
2005-11-13 22:09:08.414000,L5,,,,332.64,331.50,331.46,306.06,253.33,277.18,284.00,297.00,286.84,300.23,302.91,341.97,353.64,368.08,369.49,373.66,375.37,375.60,375.35,374.11,371.57,371.83,363.10,356.65,365.00,357.60,349.59,348.78,349.61,340.96,335.83,326.52,307.45,351.72,368.30
2006-02-17 22:11:22.491000,L5,,,325.24,337.55,331.86,331.53,319.49,315.46,295.70,313.14,311.98,311.19,329.24,318.68,357.61,362.06,369.44,372.33,374.57,374.13,375.67,370.53,369.74,366.96,366.98,362.84,363.23,366.45,365.52,356.02,357.43,357.03,353.17,341.61,332.50,307.49,348.04,359.51
2006-04-22 22:12:36.093000,L5,,308.66,339.14,345.58,335.34,336.64,316.98,,280.96,306.19,311.33,298.50,332.97,310.63,352.84,355.71,361.51,363.71,369.18,368.25,370.78,371.40,370.58,369.62,371.98,362.77,366.35,370.83,366.24,357.95,349.91,349.27,346.09,341.41,332.12,303.92,342.96,359.52
2006-07-27 22:13:58.731000,L5,,348.43,361.54,344.00,349.01,348.19,336.82,342.84,338.94,333.28,338.21,334.90,356.10,354.20,364.31,364.82,375.98,379.78,381.40,377.68,373.49,376.71,375.96,373.23,378.54,372.04,367.35,372.43,371.80,367.04,360.91,368.51,365.68,354.82,350.13,334.33,358.99,370.56
2006-08-05 22:07:55.109000,L5,,311.32,326.71,332.17,329.80,334.97,316.00,,264.81,302.94,310.24,306.92,324.30,306.11,342.25,352.63,359.33,361.02,366.78,365.53,366.98,361.69,364.24,357.48,366.24,358.59,356.98,365.45,357.73,350.52,352.41,349.80,349.99,346.14,333.85,304.53,345.56,359.04
2006-08-28 22:14:23.601000,L5,,345.16,338.57,337.91,332.90,336.91,325.29,328.10,327.67,330.01,315.10,301.49,340.34,334.70,371.16,366.98,380.20,390.20,384.12,385.96,386.10,385.96,370.58,365.78,369.41,369.86,366.20,369.84,363.14,353.44,355.63,367.45,368.80,363.43,352.05,328.87,366.11,384.93
2006-09-13 22:14:35.259000,L5,,,314.14,322.25,215.01,330.04,317.07,,261.18,292.13,316.26,304.10,317.77,315.11,356.55,359.28,367.54,370.73,364.48,363.71,361.72,360.55,360.83,360.81,359.29,357.63,354.55,362.97,364.98,359.47,358.24,359.94,352.11,347.26,332.42,315.99,345.90,352.23
2006-10-08 22:08:40.914000,L5,,323.38,325.34,339.19,339.92,235.04,318.81,313.10,307.64,311.14,310.48,308.66,328.69,315.07,347.83,358.72,366.91,373.31,375.62,374.84,377.16,374.39,374.02,374.11,374.55,366.96,363.28,368.72,359.78,353.89,354.98,352.05,341.66,327.78,319.70,317.56,348.20,369.08
2006-11-25 22:09:07.763000,L5,,,,301.10,306.54,316.29,,,253.95,274.76,288.09,284.55,298.82,296.40,336.20,335.53,343.96,344.51,347.99,350.67,349.51,346.50,348.91,344.74,344.85,350.40,352.91,357.52,353.06,334.23,,,,,,216.04,289.23,275.26
2007-09-09 22:07:45.163000,L5,,344.59,353.84,348.68,344.56,349.65,334.15,342.01,337.63,344.12,326.08,328.08,345.23,338.19,353.98,363.03,375.67,373.52,374.02,372.66,376.40,379.06,372.39,370.29,370.26,362.20,358.97,357.79,356.38,337.28,338.31,323.11,304.48,305.35,290.33,301.01,348.87,363.51
2008-11-14 21:57:52.281000,L5,,326.99,324.73,330.77,335.98,345.60,334.88,345.87,339.06,333.64,321.50,329.68,344.67,332.07,350.77,356.30,361.66,367.63,372.40,372.28,368.16,363.11,361.37,358.37,360.65,355.07,353.51,354.68,357.02,349.24,343.66,338.30,324.67,307.48,293.16,300.79,328.64,339.34
2008-12-23 22:05:16.170000,L5,,344.81,339.02,236.46,341.47,338.18,332.84,344.04,338.28,340.71,325.65,336.20,346.97,335.16,354.74,367.84,372.20,376.44,380.72,379.88,377.00,371.11,368.19,365.63,364.00,356.37,349.13,350.65,354.20,345.45,340.74,332.61,321.28,304.19,288.72,306.25,344.40,350.45
2009-01-17 21:59:44.398000,L5,,344.10,337.26,337.02,342.44,348.70,347.48,357.46,352.49,346.83,330.91,343.20,352.52,341.53,355.57,360.22,366.69,366.84,371.61,375.11,376.36,371.07,369.38,362.35,364.08,359.35,357.57,359.61,361.92,349.71,343.77,333.08,326.06,310.11,293.58,304.76,339.82,350.32
2010-02-05 22:05:29.575000,L5,,354.03,334.10,339.62,340.68,231.11,347.85,356.70,355.37,354.36,340.90,346.75,351.48,346.59,360.70,365.17,368.69,366.92,365.53,370.82,368.39,368.75,367.37,360.64,361.50,356.65,357.29,360.85,364.16,350.40,341.28,337.72,331.03,308.02,293.91,302.39,329.40,338.75
2010-10-26 22:10:38.745000,L5,,348.15,337.92,340.13,340.22,352.63,348.05,352.07,345.89,349.85,341.81,347.53,345.37,334.98,341.94,347.70,351.05,353.13,359.55,357.13,352.05,348.49,355.56,354.13,358.55,353.41,353.49,354.59,354.79,346.37,340.05,337.56,329.86,295.77,283.92,292.60,311.50,321.49
2010-11-27 22:10:35.713000,L5,,,,,,,,,,266.87,308.32,318.59,320.34,317.28,336.21,324.85,309.63,,292.51,335.78,336.29,332.46,324.75,314.57,,,,,,,,,,,,,,
2010-12-22 22:04:29.137000,L5,,367.20,352.17,343.43,342.37,352.92,355.45,361.08,358.50,357.41,348.91,351.76,356.92,353.73,363.91,365.15,367.11,370.83,377.83,381.82,378.85,371.70,369.19,361.65,363.85,359.88,357.66,363.15,360.99,353.50,344.55,336.56,334.65,316.47,305.40,309.18,335.09,338.42
