dates,satname,nzd0131-0000,nzd0131-0001,nzd0131-0002,nzd0131-0003,nzd0131-0004,nzd0131-0005,nzd0131-0006,nzd0131-0007,nzd0131-0008
1999-08-26 22:04:44.971000,L7,,,,,,,294.89,302.57,352.49
1999-09-27 22:04:48.949000,L7,164.80,208.35,227.46,235.21,222.93,136.94,365.77,362.80,364.75
1999-10-22 21:58:28.758000,L7,125.05,172.36,176.14,209.57,184.78,393.23,,,
1999-11-14 22:04:42.286000,L7,173.14,213.16,228.96,242.38,229.95,333.64,311.40,311.81,364.14
1999-12-09 21:58:33.708000,L7,329.92,335.79,254.39,,,302.19,294.23,267.85,
2000-01-01 22:04:37.439000,L7,,,,,272.43,282.09,257.51,295.13,
2000-02-11 21:58:22.025000,L7,352.24,362.71,345.75,348.31,351.72,358.94,360.47,362.13,363.14
2000-03-30 21:58:09.573000,L7,140.93,184.35,190.49,214.19,189.29,,390.73,387.47,386.19
2000-05-24 22:03:46.662000,L7,,,,,,,285.63,280.47,304.14
2000-08-12 22:02:54.094000,L7,424.84,399.39,378.16,394.48,384.33,386.63,384.60,385.26,384.77
2000-09-22 21:56:05.544000,L7,,,,,,,288.26,301.35,
2000-12-11 21:56:00.959000,L7,171.83,212.66,234.02,243.24,235.58,142.00,355.28,355.49,358.78
2001-01-03 22:02:12.432000,L7,132.74,172.21,176.48,209.56,179.63,,,,
2001-02-13 21:56:03.778000,L7,351.32,349.76,343.32,347.18,351.32,354.40,352.52,358.75,358.98
2001-03-24 22:01:59.719000,L7,342.40,363.25,352.20,339.21,352.85,349.65,360.63,357.72,359.42
2001-06-05 21:55:16.607000,L7,,,,,,263.53,303.27,310.23,311.97
2001-08-15 22:00:38.680000,L7,404.15,408.91,381.88,388.94,,,,,
2001-08-24 21:54:24.664000,L7,348.13,223.03,331.73,279.21,334.33,281.28,296.18,306.26,327.92
2001-09-09 21:54:12.928000,L7,,,,,,,289.66,283.57,299.03
2001-09-25 21:54:04.740000,L7,,227.54,282.93,279.12,327.97,294.70,295.45,307.06,305.92
2001-10-02 22:00:04.650000,L7,,,,278.40,282.83,311.57,297.22,306.08,304.72
2001-10-11 21:53:46.024000,L7,,172.82,169.78,202.61,167.77,,,,
2001-11-03 22:00:10.954000,L7,,,,,,290.56,291.22,306.29,
2001-12-05 22:00:18.987000,L7,,,,,,279.35,290.10,301.72,
2001-12-30 21:54:13.275000,L7,166.32,212.15,227.15,242.05,237.40,253.10,304.47,354.53,356.08
2002-01-22 22:00:40.906000,L7,,,,,279.08,283.79,288.87,264.17,
2002-01-31 21:54:26.647000,L7,152.26,195.09,207.72,221.12,215.04,111.38,355.23,359.48,358.69
2002-02-23 22:00:43.620000,L7,144.26,192.10,219.88,232.27,214.70,116.88,366.92,,
2002-04-12 22:00:37.812000,L7,,,,,,283.86,292.43,299.32,296.05
2002-05-23 21:54:18.991000,L7,,,,,,282.70,285.48,298.14,325.10
2002-06-15 22:00:19.658000,L7,,335.54,324.02,327.94,336.66,,344.39,334.95,322.84
2002-06-24 21:54:04.370000,L7,,,329.58,328.32,331.66,324.05,332.68,327.67,348.79
2002-07-17 22:00:08.747000,L7,,,,,,,278.23,281.78,297.03
2002-08-18 21:59:57.690000,L7,154.42,228.82,269.36,274.34,286.13,268.83,291.45,296.53,335.96
2002-08-27 21:53:36.267000,L7,168.19,223.78,257.45,265.20,242.92,170.17,299.66,307.80,307.84
2002-09-12 21:53:31.762000,L7,168.68,226.12,323.16,276.47,282.81,301.04,293.42,301.11,
2002-10-14 21:53:19.813000,L7,177.12,226.69,241.66,256.22,243.98,296.63,297.23,305.24,304.44
2002-10-30 21:53:25.867000,L7,,288.05,328.40,289.56,282.18,292.76,293.23,305.72,295.24
2002-12-01 21:53:52.985000,L7,140.29,185.09,196.96,227.48,187.21,389.39,,,
2002-12-24 22:00:09.147000,L7,127.18,159.81,175.78,178.15,192.62,390.53,387.12,391.95,393.17
2003-01-18 21:54:06.301000,L7,166.39,209.41,228.23,247.55,232.46,146.81,340.65,364.20,364.61
2003-03-23 21:54:16.760000,L7,326.52,287.16,282.27,,336.73,289.34,291.81,307.86,350.13
2003-03-30 22:00:31.029000,L7,,,,,279.81,280.05,276.95,294.92,304.77
2003-05-10 21:54:22.508000,L7,,,,,,274.52,294.07,301.11,306.99
2003-07-21 21:42:09.884000,L5,175.72,219.71,258.73,264.24,246.36,164.51,318.89,321.47,322.63
2003-08-06 21:42:27.230000,L5,162.17,211.63,233.47,260.08,246.38,172.82,322.35,329.61,327.38
2003-08-13 21:48:45.123000,L5,175.35,318.20,311.66,302.23,318.10,314.34,318.44,323.43,
2003-09-30 21:49:30.432000,L5,162.60,204.76,224.93,244.08,232.80,153.36,332.90,340.46,341.43
2003-10-25 21:43:40.253000,L5,338.46,329.96,320.16,321.66,331.55,330.29,334.35,338.44,341.39
2003-11-17 21:50:09.452000,L5,151.63,192.03,209.48,217.38,208.13,108.46,361.48,354.89,354.24
2003-12-12 21:44:10.398000,L5,370.86,364.19,343.94,,,,,,361.70
2004-02-14 21:44:33.705000,L5,182.76,212.81,234.23,250.20,241.15,163.20,331.17,328.07,326.65
2004-04-18 21:45:25.586000,L5,170.02,200.62,220.80,241.72,229.36,153.90,316.95,328.03,324.75
2004-05-04 21:45:52.076000,L5,191.82,218.00,251.10,262.65,245.04,177.15,312.03,321.48,313.57
2004-05-20 21:46:20.465000,L5,175.80,210.53,243.27,257.86,270.46,156.85,321.78,328.60,327.62
2004-06-12 21:53:11.618000,L5,,,,,316.59,277.21,317.83,319.78,329.36
2004-07-07 21:47:45.207000,L5,,,,,325.33,318.45,323.08,331.55,325.58
2004-07-23 21:48:09.192000,L5,182.63,210.49,242.51,267.42,283.68,184.35,320.06,319.98,325.63
2004-07-30 21:54:28.143000,L5,177.22,220.14,242.95,271.14,243.36,180.50,322.39,326.63,328.38
2004-09-09 21:49:19.975000,L5,,,,,,265.09,307.17,299.92,316.31
2004-09-16 21:55:41.721000,L5,335.84,327.48,318.09,313.60,326.70,314.18,318.92,307.95,325.85
2004-09-25 21:49:43.196000,L5,139.54,183.06,195.10,212.50,190.84,367.39,370.42,370.51,372.66
2004-10-18 21:56:23.891000,L5,,,,,285.13,341.10,345.51,357.90,355.19
2004-11-03 21:56:42.977000,L5,158.74,201.51,223.94,255.52,244.69,185.73,336.01,345.97,349.22
2004-11-19 21:56:55.269000,L5,348.61,317.98,306.68,307.67,315.99,313.78,316.05,326.52,344.87
2005-01-15 21:51:45.464000,L5,161.85,194.66,213.31,226.07,215.20,138.77,331.64,334.54,340.22
2005-01-22 21:58:02.481000,L5,161.60,192.85,213.81,226.27,210.54,104.72,331.88,337.80,337.25
2005-02-07 21:58:15.209000,L5,190.40,222.74,247.69,246.77,229.07,169.47,302.19,308.63,322.70
2005-02-23 21:58:31.621000,L5,162.73,199.68,223.60,232.69,219.99,142.06,332.60,336.86,342.09
2005-03-11 21:58:44.158000,L5,338.82,335.12,322.88,319.03,325.69,322.98,324.32,329.88,335.33
2005-04-12 21:58:55.193000,L5,336.79,319.41,312.25,310.80,316.78,315.00,313.60,334.53,330.22
2005-05-23 21:53:00.685000,L5,319.39,311.98,309.08,310.78,320.57,,,,
2005-06-08 21:53:09.034000,L5,,289.41,297.25,305.92,316.40,310.00,,,
2005-07-17 21:59:35.576000,L5,186.42,325.64,308.07,313.05,324.50,313.62,322.09,325.34,330.10
2005-07-26 21:53:30.504000,L5,322.73,314.23,266.70,270.38,273.62,288.42,319.98,326.06,325.48
2005-09-19 21:59:56.928000,L5,163.95,206.14,224.90,239.43,223.45,125.67,332.02,336.20,339.72
2005-11-22 22:00:23.113000,L5,,,,,331.95,315.25,301.44,321.52,315.87
2006-02-03 21:55:55.062000,L5,146.22,184.15,194.93,208.37,202.05,105.25,360.18,360.50,365.09
2006-02-19 21:56:15.936000,L5,343.00,336.34,315.15,324.26,350.51,346.90,342.10,349.81,353.53
2006-04-08 21:57:12.628000,L5,184.76,213.45,235.43,253.84,238.62,165.88,319.28,322.39,326.24
2006-05-17 22:03:57.969000,L5,178.35,218.86,236.97,260.63,236.50,160.00,323.94,325.33,330.06
2006-06-02 22:04:12.415000,L5,,,295.82,303.33,326.05,314.87,327.52,330.88,330.02
2006-07-04 22:04:41.660000,L5,,317.55,314.55,316.35,324.84,316.59,322.71,326.73,323.62
2006-11-25 22:06:43.926000,L5,,,,,,265.65,357.41,365.04,357.51
2006-12-11 22:06:52.177000,L5,200.52,227.12,243.66,243.35,202.01,138.78,275.45,286.35,288.89
2007-02-13 22:06:47.368000,L5,156.27,193.02,221.73,234.54,218.73,143.48,332.97,339.07,329.30
2008-02-16 22:02:22.163000,L5,174.35,334.86,329.47,323.78,310.34,,315.65,335.90,335.05
2008-12-25 21:50:10.387000,L5,144.09,187.96,199.50,212.73,196.22,367.81,372.52,366.72,372.40
2009-02-02 21:57:22.411000,L5,175.76,199.03,234.38,236.09,219.35,138.51,309.31,329.84,327.47
2010-02-21 22:02:44.773000,L5,163.40,198.07,207.83,217.08,207.11,126.76,329.28,338.64,349.30
2010-12-31 21:55:32.560000,L5,138.24,179.66,188.10,202.36,182.59,360.40,359.88,362.76,370.31
2011-01-07 22:01:44.406000,L5,346.75,335.65,329.20,322.51,327.17,324.43,318.65,330.01,329.22
2011-02-17 21:55:37.006000,L5,342.24,333.78,325.42,321.25,334.07,327.97,322.14,319.10,
2011-03-28 22:01:38.376000,L5,141.61,173.82,201.61,206.83,191.59,362.27,364.58,367.38,363.56
2011-04-13 22:01:34.017000,L5,329.44,318.09,311.22,305.00,316.60,320.31,327.05,332.88,330.26
2011-09-04 22:00:27.603000,L5,180.55,219.46,235.85,240.16,238.88,160.35,318.20,326.12,332.32
2013-04-11 22:07:51.092000,L8,163.13,291.70,308.88,277.45,321.50,284.11,291.44,313.10,319.24
2013-04-27 22:07:23.594000,L8,,289.97,307.79,,325.81,320.98,295.87,316.14,328.21
