dates,satname,nzd0142-0000,nzd0142-0001,nzd0142-0002,nzd0142-0003,nzd0142-0004
1999-12-09 21:58:33.708000,L7,,298.41,291.27,299.87,298.18
2000-02-27 21:58:16.566000,L7,308.69,348.28,345.18,,
2000-03-14 21:58:11.336000,L7,,,285.56,296.93,313.65
2000-03-30 21:58:09.573000,L7,350.55,355.73,355.87,355.99,366.75
2001-10-11 21:53:46.024000,L7,266.46,346.55,282.82,298.68,339.79
2002-04-05 21:54:25.270000,L7,,,365.93,372.82,378.76
2003-08-06 21:42:27.230000,L5,289.23,313.33,290.28,282.66,293.74
2003-10-25 21:43:40.253000,L5,309.83,331.12,313.25,303.10,312.18
2004-05-20 21:46:20.465000,L5,278.29,301.62,280.42,280.09,290.61
2004-09-25 21:49:43.196000,L5,301.32,323.12,301.62,298.43,308.02
2005-11-15 21:54:02.336000,L5,326.17,340.22,325.13,316.27,318.33
2010-01-13 21:56:25.416000,L5,293.00,308.32,295.94,287.00,301.18
2013-06-30 22:07:36.163000,L8,269.52,296.26,286.54,289.42,294.82
2013-09-02 22:07:40.639000,L8,300.56,317.79,299.44,304.95,317.92
2013-10-20 22:07:26.886000,L8,275.32,301.80,288.06,296.48,303.20
2013-11-05 22:07:22.900000,L8,267.69,276.97,279.40,283.75,288.03
2014-01-24 22:06:45.554000,L8,342.81,352.36,324.73,322.62,335.82
2014-02-09 22:06:33.299000,L8,299.58,313.67,301.75,305.50,323.18
2014-02-25 22:06:20.497000,L8,348.11,331.56,308.14,313.45,333.26
2014-03-29 22:05:52.007000,L8,327.45,334.32,309.88,315.73,329.97
2014-04-30 22:05:22.578000,L8,361.41,346.40,331.48,336.27,346.19
2014-05-16 22:05:09.831000,L8,271.58,295.32,285.96,287.00,294.54
2014-10-07 22:05:49.968000,L8,301.44,316.44,298.09,304.41,316.72
2014-11-08 22:05:52.173000,L8,275.65,302.43,290.36,293.65,310.92
2015-02-28 22:05:24.487000,L8,295.19,315.10,302.16,309.73,317.77
2015-05-19 22:04:40.718000,L8,292.64,313.26,299.36,304.50,
2015-07-22 22:05:13.606000,L8,272.29,300.96,289.47,283.27,295.01
2015-08-23 22:05:24.610000,L8,275.06,302.08,287.26,286.04,300.66
2016-04-19 22:05:11.034000,L8,277.86,297.09,288.71,292.48,303.02
2016-05-21 22:05:14.459000,L8,273.69,302.82,290.23,295.95,310.62
2016-09-10 22:05:51.530000,L8,305.37,318.09,304.27,310.81,321.42
2016-09-26 22:05:52.032000,L8,288.59,307.71,287.49,,
2016-10-12 22:05:57.250000,L8,311.58,368.83,304.15,309.73,327.84
2016-10-28 22:05:59.220000,L8,273.35,305.12,290.76,299.98,311.77
2017-01-16 22:05:47.126000,L8,328.04,347.46,331.43,325.39,336.92
2017-02-01 22:05:40.248000,L8,315.37,328.59,311.31,317.95,329.10
2017-03-05 22:05:27.019000,L8,352.34,358.71,353.35,340.90,337.72
2017-04-06 22:05:10.007000,L8,316.26,325.53,307.67,313.71,334.27
2017-05-08 22:04:59.325000,L8,319.98,327.91,315.54,319.89,335.35
2017-05-24 22:05:10.453000,L8,364.61,344.84,323.95,325.42,340.15
2017-06-25 22:05:23.687000,L8,286.70,309.63,296.13,297.32,308.97
2017-07-11 22:05:26.464000,L8,280.34,302.37,293.20,292.47,295.06
2017-12-02 22:05:46.939000,L8,331.61,344.74,314.48,318.84,337.80
2017-12-18 22:05:49.621000,L8,275.37,295.68,290.79,295.39,301.29
2018-03-08 22:05:15.942000,L8,310.65,320.34,306.49,312.83,327.63
2018-04-25 22:04:50.953000,L8,356.59,338.35,318.19,324.10,337.68
2018-06-28 22:04:40.307000,L8,275.93,303.04,290.72,293.19,305.25
2018-08-31 22:05:11.322000,L8,290.04,316.51,301.53,302.76,325.19
2018-10-02 22:05:23.291000,L8,352.47,336.02,318.36,321.42,331.93
2018-10-18 22:05:29.751000,L8,292.09,312.33,298.18,306.07,323.01
2018-11-03 22:05:33.462000,L8,463.12,318.19,303.84,312.44,336.37
2019-01-06 22:05:29.894000,L8,272.14,300.77,288.34,289.61,309.31
2019-01-22 22:05:26.296000,L8,321.81,328.92,316.38,320.86,331.08
2019-04-12 22:05:06.784000,L8,303.77,315.38,304.53,312.59,325.51
2019-06-15 22:05:27.936000,L8,287.24,305.69,296.46,299.66,314.06
2019-08-02 22:05:42.028000,L8,271.15,302.50,292.59,291.71,307.44
2019-09-19 22:05:56.310000,L8,268.80,297.76,288.47,292.45,297.48
2019-11-06 22:06:00.727000,L8,311.36,323.90,306.60,316.40,324.15
2019-11-22 22:05:57.141000,L8,312.66,322.20,306.01,314.22,326.27
