dates,satname,nzd0002-0000,nzd0002-0001,nzd0002-0002,nzd0002-0003,nzd0002-0004,nzd0002-0005,nzd0002-0006,nzd0002-0007,nzd0002-0008,nzd0002-0009,nzd0002-0010,nzd0002-0011,nzd0002-0012,nzd0002-0013,nzd0002-0014,nzd0002-0015,nzd0002-0016,nzd0002-0017,nzd0002-0018,nzd0002-0019,nzd0002-0020,nzd0002-0021
2000-04-29 22:09:53.797000,L7,475.14,217.51,285.44,293.05,371.52,235.51,320.55,240.83,258.89,242.85,283.92,256.63,264.20,278.57,254.05,255.55,248.60,272.67,278.59,293.23,319.95,252.61
2000-09-20 22:08:03.348000,L7,,,,,,,,,,,,,232.08,214.10,238.75,210.42,224.33,273.59,260.67,291.22,336.52,260.09
2001-03-15 22:07:52.114000,L7,,,,,,,,,,,,,,,,,226.06,262.34,256.00,282.24,,247.57
2001-06-19 22:07:05.722000,L7,,,,,,,,,,231.92,273.15,228.60,227.09,246.92,219.29,233.09,240.93,263.95,252.79,257.67,279.59,
2002-02-14 22:06:29.522000,L7,,,,,,,,,,,,,207.91,216.94,214.13,209.68,217.83,232.23,251.08,287.40,,
2003-09-05 21:54:56.069000,L5,,,,189.11,197.71,203.10,208.89,212.69,224.68,236.22,233.69,229.31,235.33,232.43,233.02,234.57,213.59,228.38,252.27,269.27,291.53,231.83
2003-12-26 21:56:18.593000,L5,251.89,247.46,250.55,253.39,247.98,252.75,258.30,265.28,279.72,279.81,288.87,293.13,291.86,284.13,283.81,284.41,288.10,286.33,304.74,320.35,345.50,297.05
2004-05-18 21:58:14.785000,L5,,202.63,193.53,202.81,208.04,214.88,222.13,226.41,236.80,247.66,244.00,243.87,246.59,239.52,241.27,242.46,224.52,208.71,242.03,269.26,293.09,248.68
2004-06-19 21:59:10.521000,L5,,,,,,191.96,200.55,203.85,218.15,226.42,224.84,225.05,221.95,218.06,219.31,216.75,187.89,,,,,
2004-08-06 22:00:22.463000,L5,,,,,,,,,,194.39,196.16,207.36,213.39,212.56,218.85,215.53,,,233.31,250.18,260.71,207.81
2004-08-22 22:00:48.706000,L5,,,,,,,,,,217.13,216.34,217.77,222.09,222.82,220.78,221.57,194.10,,235.73,254.86,272.74,217.47
2005-01-13 22:03:41.143000,L5,239.43,235.24,230.40,234.95,242.57,251.27,257.41,264.05,268.38,275.01,281.60,284.40,285.96,279.90,280.34,285.00,281.15,279.85,291.87,319.19,344.22,289.27
