dates,nzd0512-0000,nzd0512-0001,nzd0512-0002,nzd0512-0003,nzd0512-0004,nzd0512-0005,nzd0512-0006,nzd0512-0007,nzd0512-0008,nzd0512-0009,nzd0512-0010,nzd0512-0011,nzd0512-0012,nzd0512-0013,nzd0512-0014,nzd0512-0015,nzd0512-0016,nzd0512-0017,nzd0512-0018,nzd0512-0019,nzd0512-0020,nzd0512-0021,nzd0512-0022,nzd0512-0023,nzd0512-0024,nzd0512-0025,nzd0512-0026,nzd0512-0027,nzd0512-0028,nzd0512-0029,nzd0512-0030,nzd0512-0031,nzd0512-0032,nzd0512-0033,nzd0512-0034,nzd0512-0035,nzd0512-0036,nzd0512-0037,nzd0512-0038,nzd0512-0039,nzd0512-0040,nzd0512-0041,nzd0512-0042,nzd0512-0043,nzd0512-0044,nzd0512-0045,nzd0512-0046,nzd0512-0047
2003-11-17 21:52:57+00:00,283.14,276.33,279.655,275.5825,268.83,270.555,274.3725,274.58500000000004,276.115,271.15999999999997,273.4075,277.28,277.3,279.87,275.9325,278.56,281.645,289.0625,287.6725,285.19,262.3425,255.1275,297.5825,301.3625,310.0625,304.87666666666667,318.81,325.015,320.46500000000003,321.435,321.09000000000003,266.025,310.555,314.765,316.4633333333333,315.4166666666667,311.5133333333333,319.84000000000003,319.13,317.8425,310.6475,308.5375,313.1775,317.845,316.70000000000005,303.8533333333333,301.11,258.84999999999997
2004-03-31 21:59:59+00:00,278.3333333333333,274.37999999999994,280.37,276.2633333333333,269.49666666666667,272.49333333333334,276.75333333333333,276.7333333333333,279.76666666666665,274.0133333333333,277.78666666666663,278.56333333333333,279.65000000000003,282.2833333333333,277.8666666666667,280.00333333333333,283.40333333333336,291.3333333333333,287.16,285.75333333333333,261.8566666666666,250.60999999999999,298.49,300.75333333333333,310.17,307.3,320.84,319.84,,313.39,316.56,218.81,308.7333333333333,318.49,317.73,315.875,312.84499999999997,317.975,316.11,317.15000000000003,309.44,310.06,311.4166666666667,317.5833333333333,314.87,293.76,284.46,238.51999999999998
2004-04-25 21:54:35+00:00,276.27,273.3233333333333,276.60999999999996,272.63,265.12333333333333,269.5566666666667,273.64000000000004,274.71999999999997,275.45666666666665,271.2166666666667,274.52,276.57666666666665,276.31666666666666,279.5133333333333,274.27,272.6666666666667,277.1933333333333,291.23333333333335,285.5433333333333,284.62,259.33,249.29999999999998,295.81333333333333,300.6166666666666,310.1066666666666,308.8833333333333,318.74,318.16999999999996,313.3,255.685,238.16500000000002,169.99,281.2966666666667,,312.78,314.95,311.08,316.48,315.085,315.79,307.92333333333335,306.0066666666667,307.7633333333333,310.96333333333337,315.435,294.0,,243.68
2004-05-18 22:01:26+00:00,277.11333333333334,273.3866666666667,269.94,268.59,258.4,262.2033333333333,266.39,268.26666666666665,268.06,264.43333333333334,265.44,270.11999999999995,270.99333333333334,271.38999999999993,266.01666666666665,265.24333333333334,271.14666666666665,288.8866666666667,282.72999999999996,278.01666666666665,257.72333333333336,248.91,292.6033333333333,299.62999999999994,309.84666666666664,316.42333333333335,321.1166666666666,319.37666666666667,317.27,237.72,214.36666666666667,169.89,260.3833333333333,,,,,317.865,318.13,314.8433333333333,306.6566666666667,303.4533333333333,306.8833333333333,304.8433333333333,311.21,289.34,,
2004-06-12 21:55:59+00:00,277.11333333333334,273.6025,270.615,267.8025,258.485,261.19,262.775,264.96,266.445,262.385,264.0075,266.655,268.17,267.5675,263.705,263.3075,268.8825,286.94,282.97499999999997,276.1725,257.7325,249.6875,292.36,300.56,308.3625,316.42333333333335,321.1166666666666,319.37666666666667,317.27,237.72,214.36666666666667,169.89,260.3833333333333,,,,,317.865,318.04333333333335,314.8433333333333,306.6566666666667,303.4533333333333,306.8833333333333,302.1325,307.185,291.96,,
2004-07-30 21:57:15+00:00,277.11333333333334,272.75600000000003,269.68600000000004,265.796,257.32599999999996,259.71,260.796,263.504,264.098,260.63,261.73199999999997,265.4,266.224,266.614,262.366,262.002,267.43399999999997,285.93600000000004,281.96,276.166,256.006,249.084,292.196,300.294,307.794,316.42333333333335,321.1166666666666,319.37666666666667,317.27,231.52499999999998,202.745,172.31000000000003,258.96999999999997,,,,,317.8433333333333,318.04333333333335,314.8433333333333,306.6566666666667,302.0575,306.90999999999997,302.1325,307.185,291.96,,
2004-10-18 21:59:11+00:00,275.86333333333334,270.886,268.0,263.702,256.28200000000004,258.354,258.056,262.866,261.96000000000004,258.04200000000003,260.466,262.88,264.75200000000007,265.012,260.996,260.082,265.282,284.024,280.74799999999993,274.554,253.542,247.87800000000001,289.502,299.902,304.004,315.08666666666664,319.4566666666667,319.145,317.27,206.135,164.555,172.755,235.985,316.24,,315.0,314.5,317.96,317.775,312.84,304.8066666666667,300.125,304.77750000000003,297.1566666666667,303.16,294.58,,
2004-11-10 22:05:47+00:00,276.33666666666664,271.148,271.288,266.89399999999995,260.886,261.896,262.004,267.51800000000003,266.0,261.704,263.932,265.578,267.826,267.976,263.928,265.47400000000005,271.036,284.994,282.692,275.754,256.346,248.484,292.372,301.482,302.5325,317.2,316.1433333333333,317.71500000000003,315.32500000000005,208.85333333333332,166.15,173.67666666666665,237.58,316.87,315.3,315.03999999999996,314.11,318.8675,318.5475,314.40333333333336,304.8333333333333,302.2,305.2175,300.8933333333333,303.16,294.58,,
2005-01-13 22:06:52+00:00,275.18666666666667,269.09000000000003,271.76,268.49749999999995,262.395,266.3475,267.2875,273.5925,270.4175,266.4825,269.45,269.46000000000004,271.8025,274.39,270.52250000000004,270.185,274.8175,286.12,282.9975,279.485,257.3125,244.4725,290.64750000000004,300.6275,302.5133333333333,315.38,310.19666666666666,312.02,309.855,213.58666666666667,166.40333333333334,175.01666666666668,225.39666666666668,317.50666666666666,314.735,315.01,315.2966666666667,319.08,318.74666666666667,316.0366666666667,306.8066666666666,303.9975,305.395,304.62,,,,
2005-01-22 22:00:50+00:00,273.0175,268.64,270.294,267.866,260.8,264.57,266.712,271.698,269.21000000000004,264.82000000000005,266.55,268.232,270.95799999999997,273.272,270.288,269.622,273.556,285.44000000000005,281.184,277.84000000000003,254.92399999999998,242.56199999999998,287.706,300.6275,302.5133333333333,315.38,310.19666666666666,312.02,308.09,213.58666666666667,166.40333333333334,175.01666666666668,225.39666666666668,316.63,313.94,313.98,315.2966666666667,319.002,317.325,316.0366666666667,306.09749999999997,303.9975,304.696,304.62,,,,
2005-02-14 22:07:21+00:00,273.966,270.204,271.32399999999996,271.75199999999995,264.21,268.462,271.226,275.896,273.632,268.632,271.74399999999997,271.506,274.816,277.212,274.152,273.54200000000003,277.526,287.37,283.61199999999997,279.204,260.01599999999996,242.42200000000003,288.166,301.6975,303.15666666666664,314.1875,310.84,311.97999999999996,308.925,213.91,165.66500000000002,173.95000000000002,210.73000000000002,317.51,314.69,314.46799999999996,316.1575,319.904,318.566,316.8575,307.002,307.57000000000005,305.746,307.69,,,,
2005-06-15 22:02:10+00:00,272.81666666666666,272.2366666666667,267.95,271.46,262.1366666666667,266.3999999999999,269.4533333333333,272.21000000000004,271.1066666666667,267.27000000000004,268.89333333333326,269.6233333333334,273.25666666666666,275.64,273.53666666666663,271.7633333333333,274.41333333333336,286.92,281.93333333333334,277.5133333333334,260.62999999999994,239.28000000000006,286.85,299.99,306.36,311.385,310.4,311.15,308.7633333333333,215.99,167.53,173.81,203.25,317.93666666666667,314.4866666666667,314.08666666666664,318.20500000000004,320.6033333333333,319.03999999999996,318.495,308.24333333333334,311.19000000000005,308.31333333333333,310.76,,,,
2005-06-22 22:08:22+00:00,272.81666666666666,272.2366666666667,267.95,271.46,262.1366666666667,266.3999999999999,269.4533333333333,269.546,271.1066666666667,267.27000000000004,268.89333333333326,269.6233333333334,273.25666666666666,275.64,273.53666666666663,271.7633333333333,274.41333333333336,286.92,281.93333333333334,277.5133333333334,260.62999999999994,239.28000000000006,288.96999999999997,299.99,306.36,311.385,310.4,311.15,308.7633333333333,213.0,165.72,170.45499999999998,220.985,317.93666666666667,314.4866666666667,314.08666666666664,318.20500000000004,320.6033333333333,319.03999999999996,318.495,308.24333333333334,311.19000000000005,308.31333333333333,310.76,,,,
2005-08-09 22:08:46+00:00,277.61,276.75,272.53999999999996,274.74,263.975,268.345,272.455,267.4675,276.03499999999997,265.33000000000004,276.84000000000003,275.625,274.03499999999997,275.055,271.32,270.79499999999996,278.95000000000005,291.57,286.125,284.63,270.63,246.485,294.85499999999996,302.83,307.705,310.51,315.145,314.445,313.53999999999996,261.23,239.615,240.07500000000002,238.72,321.03,316.94,316.42,318.74,322.31,323.53,319.28999999999996,310.32,312.16,312.78,310.76,,,,
2005-08-25 22:08:52+00:00,276.41999999999996,274.27,270.62,272.155,257.28,263.4,266.845,264.47,273.7,257.57,270.905,272.36,270.7,269.475,266.735,267.255,277.70000000000005,,283.84000000000003,285.07500000000005,263.195,247.505,295.1,302.3,308.81,312.19500000000005,317.985,316.97,316.375,279.71999999999997,265.45666666666665,265.1066666666667,276.875,,,,,,,319.26,308.67999999999995,307.64,309.155,293.54,,,,
2005-09-10 22:08:55+00:00,278.0566666666667,275.79,272.43666666666667,274.64666666666665,261.43333333333334,267.2033333333333,268.50333333333333,266.90999999999997,276.37666666666667,261.4166666666667,274.10999999999996,273.61,273.00333333333333,273.48,268.77,270.75,281.03000000000003,292.47,286.21,285.61333333333334,267.07666666666665,248.65,295.148,302.9875,309.4533333333333,312.49666666666667,318.77666666666664,316.7266666666667,315.87333333333333,289.10249999999996,278.305,278.32,289.1066666666666,,,,,,,319.26,309.3233333333333,309.63,310.1133333333333,295.8,,,,
