dates,satname,nzd0512-0000,nzd0512-0001,nzd0512-0002,nzd0512-0003,nzd0512-0004,nzd0512-0005,nzd0512-0006,nzd0512-0007,nzd0512-0008,nzd0512-0009,nzd0512-0010,nzd0512-0011,nzd0512-0012,nzd0512-0013,nzd0512-0014,nzd0512-0015,nzd0512-0016,nzd0512-0017,nzd0512-0018,nzd0512-0019,nzd0512-0020,nzd0512-0021,nzd0512-0022,nzd0512-0023,nzd0512-0024,nzd0512-0025,nzd0512-0026,nzd0512-0027,nzd0512-0028,nzd0512-0029,nzd0512-0030,nzd0512-0031,nzd0512-0032,nzd0512-0033,nzd0512-0034,nzd0512-0035,nzd0512-0036,nzd0512-0037,nzd0512-0038,nzd0512-0039,nzd0512-0040,nzd0512-0041,nzd0512-0042,nzd0512-0043,nzd0512-0044,nzd0512-0045,nzd0512-0046,nzd0512-0047
1999-12-07 22:13:41.663000,L7,338.48,333.28,337.51,333.34,328.36,324.93,318.55,325.99,322.40,319.56,312.12,313.97,319.44,274.48,319.38,322.74,318.53,328.27,330.07,333.95,330.14,330.58,338.39,345.55,342.56,344.00,346.79,349.34,350.53,343.08,335.79,312.95,298.98,340.72,340.37,342.32,334.94,337.28,339.75,335.74,307.36,335.38,334.66,332.77,,,,
1999-12-16 22:07:33.708000,L7,273.46,264.04,253.24,256.24,249.65,245.26,240.39,249.73,248.68,248.90,246.13,247.41,244.68,254.73,248.19,249.33,245.34,252.18,249.58,245.33,245.25,,,,,,,,,,,,,,,276.49,296.91,297.14,293.63,295.62,295.53,294.44,299.18,295.74,310.33,271.98,,
2000-09-20 22:11:14.930000,L7,280.65,271.63,261.85,258.52,251.08,249.23,247.10,253.22,253.49,250.96,251.40,250.85,256.39,257.78,249.14,253.31,257.23,256.54,259.22,256.57,253.23,,,,,,,,,254.03,306.10,303.89,295.72,304.75,309.42,306.75,303.99,306.20,306.46,304.47,296.93,298.57,300.72,298.73,,,,
2000-12-18 22:05:01.704000,L7,315.52,308.72,309.78,290.29,298.13,308.63,314.32,314.05,304.17,308.04,296.55,309.70,300.69,288.26,298.51,300.30,301.49,276.66,291.47,302.63,312.23,314.30,320.03,376.00,375.45,382.87,,326.41,338.86,328.83,315.60,321.07,323.85,325.01,314.75,,,366.52,370.23,346.22,298.38,336.90,361.29,378.45,309.73,363.29,282.37,377.18
2001-01-03 22:05:00.181000,L7,337.47,325.07,323.04,318.30,324.12,312.63,333.12,313.15,308.77,315.22,312.61,307.00,304.55,317.48,309.69,307.57,266.96,312.55,309.04,313.12,318.20,320.11,322.00,333.74,332.71,329.79,335.55,335.68,338.73,328.93,331.42,324.12,298.56,326.19,326.84,325.28,333.74,330.36,338.65,336.40,336.19,334.76,334.65,342.06,340.33,334.48,333.82,370.20
2001-02-20 22:05:00.525000,L7,274.13,264.20,253.28,254.83,243.86,243.94,238.58,246.62,247.36,243.50,245.98,247.19,248.05,252.74,247.28,251.35,247.81,250.99,241.27,246.65,246.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-02-27 22:11:06.137000,L7,345.97,336.58,336.44,330.25,264.39,333.44,328.50,328.87,326.10,323.97,324.79,307.49,317.49,322.56,318.22,316.95,315.46,326.64,326.64,331.75,279.65,343.80,359.04,368.32,357.46,352.82,360.15,371.66,354.28,360.49,349.87,345.14,337.79,337.88,339.06,344.20,341.69,344.10,350.75,351.65,305.58,307.98,337.90,347.78,351.61,340.78,327.17,
2001-04-09 22:04:41.882000,L7,337.32,323.74,320.32,319.69,318.30,255.26,317.29,317.12,313.20,314.80,309.62,311.01,312.57,311.07,312.98,309.22,315.83,319.80,324.26,322.30,321.40,318.38,331.22,336.53,343.96,,,,,,,,,336.19,338.02,339.60,337.31,337.84,338.34,327.44,334.84,331.28,336.98,333.97,,,,
2001-08-15 22:03:26.328000,L7,348.65,374.82,335.49,316.78,341.98,349.01,353.38,343.64,345.16,341.41,368.71,308.34,304.75,326.64,329.80,366.99,331.48,337.11,327.97,332.05,349.75,341.21,349.33,340.70,336.16,,,,324.17,356.42,324.63,320.41,316.11,,,,344.84,378.54,343.99,330.48,342.03,356.21,371.82,315.80,320.87,,,
2001-11-26 22:09:21.320000,L7,331.77,318.99,313.07,315.57,311.93,319.64,315.16,311.60,319.57,317.97,310.10,302.85,310.65,315.78,275.77,319.33,317.76,327.38,326.07,333.18,328.66,328.38,337.07,341.91,343.16,330.38,,319.04,339.24,342.04,337.38,333.99,335.00,,,334.77,348.39,352.29,344.41,336.52,336.77,307.94,343.79,335.04,338.32,334.40,,
2001-12-12 22:09:26.650000,L7,278.83,267.18,260.85,260.42,254.03,250.02,247.35,255.68,253.20,258.81,247.46,251.31,248.86,257.14,251.22,259.08,258.52,258.28,252.11,250.71,254.36,,,,,,287.71,292.38,287.58,290.30,293.14,293.04,288.66,295.99,294.46,292.23,289.10,297.44,295.15,293.61,290.97,290.07,293.82,296.53,305.38,279.80,,278.77
2002-01-29 22:09:33.112000,L7,281.21,268.10,262.61,257.77,253.27,248.90,245.76,253.65,253.97,257.50,253.23,253.64,254.80,258.61,251.92,255.09,259.39,262.01,256.90,254.95,252.37,361.62,363.37,363.46,381.32,375.33,366.15,295.44,296.76,296.53,299.85,295.91,291.23,295.47,297.50,289.93,290.44,295.26,294.65,291.96,288.74,289.73,292.83,291.76,301.24,,,
2002-03-11 22:03:31.366000,L7,338.31,323.23,323.67,316.69,313.22,308.73,315.73,312.18,306.23,305.34,312.91,313.46,317.00,280.90,322.57,281.78,320.99,328.29,324.58,320.79,330.12,327.48,336.98,345.83,344.72,344.57,338.06,345.53,317.48,342.39,337.42,337.99,338.36,326.34,338.21,345.86,341.37,353.00,352.52,351.21,352.74,354.87,362.43,361.89,359.30,355.62,355.29,309.42
2002-09-10 22:08:43.416000,L7,306.25,288.93,278.68,274.43,267.84,268.46,266.73,277.73,275.53,272.80,270.54,271.75,272.10,269.53,267.77,275.68,277.40,290.39,288.32,281.53,277.97,253.02,289.22,295.70,312.74,319.41,339.32,349.65,307.45,308.31,309.19,311.63,315.47,316.72,313.17,310.58,303.43,312.27,311.24,309.58,304.72,302.76,304.10,310.55,312.11,312.30,,
2002-11-29 22:09:01.492000,L7,381.46,352.34,355.16,361.54,363.23,362.19,361.31,360.98,357.80,328.54,329.04,309.80,304.64,303.87,324.80,309.91,319.85,330.03,356.80,347.28,316.12,313.16,318.61,284.79,347.45,346.81,350.40,337.79,337.28,345.76,367.56,337.01,335.89,327.80,329.67,331.25,335.22,337.95,339.63,335.98,337.50,351.79,357.51,305.51,357.90,355.98,346.17,357.21
2002-12-24 22:02:57.022000,L7,323.50,311.12,372.85,364.70,305.09,349.52,325.22,342.76,339.76,363.55,350.42,306.25,302.31,301.07,310.35,339.12,304.03,311.97,315.69,320.41,316.98,313.57,322.31,331.98,328.67,300.31,330.85,321.45,323.64,327.01,324.45,330.33,300.83,326.54,329.53,330.88,330.64,336.61,331.34,328.24,332.04,334.22,338.25,347.43,348.86,343.33,344.22,349.09
