dates,satname,nzd0463-0000,nzd0463-0001,nzd0463-0002,nzd0463-0003,nzd0463-0004,nzd0463-0005,nzd0463-0006,nzd0463-0007,nzd0463-0008,nzd0463-0009,nzd0463-0010,nzd0463-0011,nzd0463-0012,nzd0463-0013,nzd0463-0014,nzd0463-0015,nzd0463-0016,nzd0463-0017,nzd0463-0018,nzd0463-0019,nzd0463-0020,nzd0463-0021,nzd0463-0022,nzd0463-0023,nzd0463-0024,nzd0463-0025,nzd0463-0026,nzd0463-0027,nzd0463-0028,nzd0463-0029,nzd0463-0030,nzd0463-0031,nzd0463-0032,nzd0463-0033,nzd0463-0034,nzd0463-0035,nzd0463-0036,nzd0463-0037,nzd0463-0038,nzd0463-0039,nzd0463-0040,nzd0463-0041,nzd0463-0042,nzd0463-0043,nzd0463-0044,nzd0463-0045,nzd0463-0046,nzd0463-0047,nzd0463-0048,nzd0463-0049,nzd0463-0050,nzd0463-0051,nzd0463-0052,nzd0463-0053,nzd0463-0054,nzd0463-0055,nzd0463-0056,nzd0463-0057,nzd0463-0058,nzd0463-0059,nzd0463-0060,nzd0463-0061,nzd0463-0062,nzd0463-0063,nzd0463-0064,nzd0463-0065,nzd0463-0066,nzd0463-0067,nzd0463-0068,nzd0463-0069,nzd0463-0070,nzd0463-0071,nzd0463-0072,nzd0463-0073,nzd0463-0074,nzd0463-0075,nzd0463-0076,nzd0463-0077,nzd0463-0078,nzd0463-0079,nzd0463-0080,nzd0463-0081,nzd0463-0082,nzd0463-0083,nzd0463-0084,nzd0463-0085,nzd0463-0086,nzd0463-0087,nzd0463-0088,nzd0463-0092,nzd0463-0093,nzd0463-0094,nzd0463-0095,nzd0463-0096,nzd0463-0097,nzd0463-0098,nzd0463-0099,nzd0463-0100,nzd0463-0101,nzd0463-0102,nzd0463-0103,nzd0463-0104,nzd0463-0105,nzd0463-0106,nzd0463-0107,nzd0463-0108,nzd0463-0109,nzd0463-0110,nzd0463-0111,nzd0463-0112,nzd0463-0113,nzd0463-0114,nzd0463-0115,nzd0463-0116,nzd0463-0117,nzd0463-0118,nzd0463-0119,nzd0463-0120,nzd0463-0121,nzd0463-0122,nzd0463-0123,nzd0463-0124,nzd0463-0125,nzd0463-0126,nzd0463-0127,nzd0463-0128,nzd0463-0129,nzd0463-0130,nzd0463-0131,nzd0463-0132,nzd0463-0133,nzd0463-0089,nzd0463-0090,nzd0463-0091
2000-08-12 22:05:17.927000,L7,322.87,210.69,402.68,414.73,359.38,346.07,347.91,338.63,324.74,329.01,360.32,335.83,332.13,424.42,409.64,445.42,249.78,299.15,291.65,305.12,308.86,299.36,298.61,309.77,347.46,341.99,350.19,374.07,333.37,330.25,331.44,324.32,316.58,319.91,216.90,191.70,420.89,420.20,418.45,391.80,412.81,387.85,424.86,381.08,410.62,413.97,422.40,432.67,424.44,422.95,421.12,424.51,428.43,428.31,414.57,415.85,378.41,408.33,410.20,369.19,360.45,359.25,359.60,358.65,374.46,373.47,374.49,371.61,380.44,378.68,378.02,376.39,374.36,383.74,375.84,371.51,364.00,374.04,374.70,375.42,367.54,371.81,369.91,366.35,376.32,374.14,370.88,342.65,328.66,378.61,338.34,372.37,289.82,380.28,298.62,218.67,219.20,356.81,226.90,208.97,317.86,363.35,333.55,220.65,,163.89,301.15,318.52,318.01,322.65,308.09,348.96,355.02,373.01,373.10,368.80,368.10,367.95,373.56,365.13,361.06,339.15,341.22,342.44,346.77,368.72,373.73,371.15,374.14,368.11,361.61,232.55,349.26,371.63
2000-12-18 22:04:37.758000,L7,387.10,382.33,403.61,404.57,406.84,403.82,390.70,406.05,413.69,417.53,425.12,424.83,421.45,421.23,433.25,418.61,428.66,418.47,410.31,407.85,412.58,405.75,399.87,403.36,403.59,419.51,415.43,420.59,417.59,424.92,429.74,424.47,426.87,420.56,426.13,430.93,424.75,420.96,417.12,433.77,424.03,432.38,417.29,424.89,415.66,424.29,438.88,431.48,434.01,440.33,424.12,425.07,444.91,426.84,425.03,444.88,434.19,448.89,432.76,450.92,437.46,463.25,444.10,474.92,437.49,432.77,439.69,450.24,443.17,451.73,454.42,450.30,451.13,445.94,447.57,460.79,451.46,438.24,478.44,436.16,430.77,440.66,435.30,435.42,433.32,440.79,441.88,453.91,454.98,426.11,425.06,434.22,421.81,428.09,429.56,433.60,435.82,435.68,432.94,430.82,432.28,434.40,429.06,419.46,424.23,417.44,421.15,422.31,420.15,420.62,426.49,424.02,436.32,432.91,451.01,466.29,454.91,455.64,465.89,468.71,475.26,512.28,,,510.59,506.52,496.67,489.71,492.15,495.42,495.89,437.11,429.71,425.60
2001-02-20 22:04:36.568000,L7,408.40,415.21,419.79,428.59,433.82,431.64,451.43,442.15,449.23,450.39,451.72,439.58,434.41,441.30,444.20,,466.61,461.20,484.78,475.91,460.41,437.34,423.02,424.50,437.33,428.70,452.21,443.82,454.84,466.21,459.52,442.37,434.61,450.45,434.44,436.07,444.63,441.44,434.70,431.57,420.11,436.41,433.16,440.89,438.36,450.20,456.08,478.13,442.40,444.74,450.03,448.34,452.54,452.50,458.41,449.64,466.54,447.78,449.29,442.29,436.52,439.18,450.08,445.50,449.53,450.88,442.99,448.31,450.13,440.80,455.43,452.55,447.41,455.08,460.60,444.31,443.68,444.73,437.69,434.43,456.64,428.96,437.96,444.14,443.62,437.30,434.08,427.25,430.89,444.57,446.89,445.66,455.22,460.02,468.33,468.13,524.41,497.65,501.80,466.15,472.43,452.42,472.91,452.89,453.89,455.20,458.70,448.36,467.16,443.92,461.10,464.44,488.73,500.18,497.16,502.08,495.93,451.07,469.76,465.52,494.94,483.08,470.85,472.50,449.72,522.64,504.76,500.68,500.67,480.28,511.70,487.40,450.33,458.46
2001-04-09 22:04:17.927000,L7,321.92,174.24,,,,,,,302.78,303.15,311.70,322.09,,,,,,,261.00,279.55,282.15,279.31,283.35,281.35,302.03,305.34,315.47,309.34,300.88,289.41,281.68,293.61,272.02,280.65,198.71,167.55,,312.21,356.19,349.73,332.81,347.44,349.56,308.23,300.13,320.50,320.18,323.07,344.13,336.84,329.64,343.74,313.94,360.73,328.49,335.25,340.89,342.97,354.60,343.74,325.50,317.26,267.07,312.24,330.33,365.42,328.38,357.57,354.70,313.90,335.58,335.46,332.20,333.13,320.19,317.69,310.49,315.13,289.19,283.23,321.00,319.42,315.85,310.30,288.30,258.71,315.32,149.56,,,324.04,331.17,296.00,330.42,285.88,250.72,206.86,281.14,242.07,299.47,297.23,314.73,310.76,,,149.15,239.58,301.94,297.57,299.86,304.91,308.94,328.28,341.02,352.54,334.61,334.17,308.24,303.18,303.63,291.80,254.64,223.99,295.51,335.21,325.71,318.68,324.40,324.16,342.68,346.66,,,
2001-05-27 22:04:00.417000,L7,406.47,391.92,352.71,412.01,410.47,408.64,,,,,312.51,330.19,,,,,,,227.96,272.50,294.51,250.17,223.55,262.50,257.48,225.82,303.63,306.87,319.06,282.12,302.22,293.68,415.44,399.45,420.75,417.38,416.74,416.30,422.47,416.83,400.61,390.02,422.21,414.75,408.68,415.41,409.21,358.57,369.60,369.83,367.09,363.80,371.68,369.66,367.84,363.47,365.73,371.07,372.14,366.93,367.25,366.79,366.90,370.73,366.35,367.46,372.59,378.85,367.87,380.64,375.08,367.67,374.62,343.32,332.10,301.89,303.42,323.35,320.83,366.05,371.07,367.06,335.22,315.16,270.88,306.89,315.77,342.69,381.90,372.36,369.55,380.21,378.33,382.88,381.20,380.93,375.96,379.75,383.16,383.60,382.64,372.09,365.84,378.48,376.72,373.89,314.09,364.78,355.95,360.09,360.05,352.46,363.54,368.42,371.27,368.71,372.43,372.30,370.84,381.41,370.87,370.91,366.89,373.24,366.21,363.94,369.08,367.30,362.12,366.98,365.41,372.85,375.59,377.83
2001-06-28 22:03:32.813000,L7,358.09,350.44,352.59,358.33,366.01,369.47,358.62,375.22,377.30,379.94,466.25,431.92,431.13,422.91,449.52,421.34,424.77,441.36,419.70,372.77,402.84,401.09,371.24,385.31,396.81,410.08,,,,,,,,424.64,419.47,417.99,411.20,418.37,411.51,418.56,412.50,420.69,424.85,413.98,417.84,424.12,420.50,465.41,435.56,453.51,450.99,477.50,443.96,482.53,427.60,442.83,428.01,432.59,441.35,451.07,433.01,432.67,433.07,450.66,437.90,386.31,368.25,389.08,386.59,386.75,444.55,442.75,448.13,453.76,450.92,441.72,442.64,453.64,459.52,450.42,435.08,426.73,426.62,422.83,426.80,427.96,411.28,409.88,406.18,432.73,435.00,450.03,445.27,456.07,445.51,448.00,446.39,453.92,444.17,455.13,448.01,454.63,440.71,434.96,438.90,424.50,441.47,450.47,455.76,438.86,424.82,427.83,489.97,437.97,443.53,443.51,439.19,446.65,473.92,438.46,522.54,497.93,453.05,470.37,473.22,436.25,442.66,475.03,448.59,371.75,380.15,424.29,436.08,429.15
2001-07-14 22:03:33.580000,L7,305.76,,,,,,,,,316.60,353.06,337.40,,,,,,,299.13,305.76,302.78,302.01,304.41,301.55,341.35,340.62,334.57,325.16,322.56,319.07,319.42,319.55,344.63,342.45,216.84,195.61,291.88,341.79,329.33,337.07,329.10,342.96,350.08,337.32,329.18,340.68,339.89,357.11,359.65,351.07,351.10,345.98,351.73,343.11,351.00,350.50,349.19,343.88,330.94,338.88,341.41,343.15,317.92,344.20,352.13,229.66,258.32,265.75,247.52,356.25,341.63,360.60,344.82,354.87,322.47,310.96,322.93,321.03,309.56,336.32,344.08,344.40,342.69,328.37,290.13,345.39,336.62,,,344.89,350.66,353.96,313.04,360.55,335.72,223.37,226.46,303.41,322.99,270.08,281.62,326.27,293.91,275.92,,193.20,306.93,318.63,321.51,310.38,304.61,307.45,336.01,353.40,350.00,355.98,344.95,327.58,325.70,336.62,314.66,312.68,263.06,323.80,346.82,346.70,343.85,363.50,352.18,352.04,357.19,,,
2001-08-15 22:03:02.378000,L7,335.26,,,,,,,,324.50,314.32,364.65,363.71,,,,,,,299.93,301.20,321.83,310.44,297.78,297.82,333.88,341.60,317.72,326.47,321.15,326.91,316.57,319.04,332.01,305.40,234.72,201.33,283.35,337.41,348.21,337.96,346.93,349.99,347.20,331.50,326.16,325.52,336.57,345.15,349.47,342.65,344.20,350.85,357.27,359.01,357.33,353.56,356.27,354.99,356.96,344.30,352.36,321.13,284.99,328.13,335.43,344.70,354.52,354.81,348.08,366.37,341.25,340.86,340.44,341.17,324.92,298.74,270.52,304.32,303.41,312.44,313.40,297.58,321.57,328.75,304.40,357.44,353.75,356.75,176.26,204.07,333.35,341.90,310.93,348.62,342.69,313.64,224.77,313.84,247.26,203.75,272.15,299.27,225.17,231.45,,182.12,298.92,311.69,303.38,300.36,302.65,308.92,323.89,355.68,346.38,349.41,336.35,327.21,305.24,303.44,298.18,303.67,261.59,299.22,296.68,341.34,359.37,319.98,348.01,350.70,348.63,,,
2001-10-02 22:02:28.410000,L7,339.98,329.07,336.23,341.97,335.15,336.91,320.64,324.35,329.74,314.26,350.88,352.34,342.41,353.91,343.34,307.70,309.17,279.66,290.15,290.68,293.06,292.24,298.22,302.24,313.06,316.23,319.47,326.49,320.63,320.78,317.27,313.77,298.55,279.86,228.79,201.10,274.87,355.31,364.71,365.60,359.65,369.29,365.89,364.31,348.65,355.38,357.52,362.52,357.21,360.05,360.33,365.17,365.73,366.16,365.82,357.55,362.42,354.86,338.09,340.08,342.17,334.54,318.08,332.77,343.28,326.13,369.10,331.29,336.21,334.88,348.00,349.98,345.84,355.63,352.58,337.17,309.78,328.16,315.84,284.42,323.14,319.32,328.84,445.11,414.59,410.03,421.00,442.72,471.68,455.14,332.50,352.03,329.29,340.76,375.53,296.50,304.72,302.18,274.32,292.56,306.81,306.87,431.79,515.38,489.81,181.61,291.40,301.27,297.41,299.00,298.11,306.58,312.18,315.36,308.82,311.40,313.48,305.79,274.42,228.63,246.47,256.71,210.18,286.58,291.60,268.41,301.21,301.40,318.24,327.15,337.13,422.82,456.80,
2001-10-18 22:02:30.135000,L7,399.34,381.51,402.09,398.74,393.55,398.12,400.17,413.14,421.59,436.68,449.06,457.36,442.82,442.28,412.41,395.58,408.53,401.70,380.28,389.22,405.42,406.68,398.56,402.80,411.18,423.37,417.18,431.47,434.36,427.97,429.49,430.53,430.70,440.16,435.32,439.28,443.54,456.33,456.17,462.12,465.82,498.11,478.03,448.44,449.27,491.44,489.39,462.40,482.78,471.24,464.31,476.86,467.09,475.41,495.02,482.28,521.06,453.74,444.65,446.47,454.57,460.17,458.65,449.91,451.94,467.83,473.75,496.63,493.21,479.17,457.41,464.22,468.60,458.72,451.92,456.34,459.26,473.26,469.22,470.60,459.27,464.24,464.58,459.73,474.67,451.68,442.60,447.88,448.30,434.04,440.32,446.57,457.89,450.00,443.37,444.50,444.25,449.62,449.77,442.69,450.50,455.16,455.58,446.29,441.19,440.42,411.67,410.30,427.58,427.96,417.58,426.09,423.39,421.90,430.94,424.95,424.84,425.36,426.91,429.77,431.50,438.87,441.78,451.99,440.19,446.20,445.74,442.45,444.96,440.05,446.49,443.86,433.16,437.58
2001-11-03 22:02:34.745000,L7,,282.97,285.80,296.16,218.66,312.59,308.13,306.43,273.80,184.29,,,181.62,177.01,197.60,197.85,182.77,190.67,169.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-11 22:03:07.402000,L7,411.95,419.37,427.69,434.62,433.07,440.03,456.79,440.89,470.04,455.38,469.74,457.51,448.67,444.89,447.27,,457.67,440.06,443.41,455.57,462.30,444.95,431.22,438.78,457.96,366.23,384.70,385.92,390.05,394.74,479.46,495.73,498.05,516.10,516.34,493.53,481.11,513.92,392.17,388.29,475.05,456.01,448.48,445.77,457.78,435.42,456.21,488.03,471.43,487.13,463.72,480.41,448.59,470.32,480.16,475.82,471.74,481.21,484.72,504.61,497.67,483.92,501.75,474.65,483.57,488.81,470.74,466.70,462.17,483.14,479.10,470.56,474.11,476.67,480.92,480.61,461.41,488.46,473.28,398.07,400.53,395.36,391.01,464.06,463.35,460.52,457.40,457.26,463.49,448.82,456.95,470.11,464.76,460.32,457.58,457.44,464.81,463.79,462.83,467.38,466.16,464.01,487.74,458.51,453.22,449.57,449.97,444.92,436.99,443.42,440.43,438.68,451.29,442.27,442.59,438.72,443.78,443.14,444.49,440.13,437.98,441.67,439.69,444.34,452.64,384.51,396.05,387.79,387.90,390.28,441.80,459.02,454.97,447.96
2002-04-12 22:03:01.345000,L7,321.58,302.98,337.80,,346.33,337.14,341.58,422.16,430.52,429.98,433.60,357.48,341.05,335.09,340.30,314.84,428.10,423.94,426.07,424.45,417.28,387.96,315.31,316.49,323.56,318.39,331.14,336.92,341.06,339.06,425.38,423.18,429.66,430.38,430.71,416.43,297.64,364.51,364.96,359.97,354.80,363.54,363.30,361.10,348.19,350.59,350.20,357.55,369.52,359.83,366.06,366.37,367.24,371.18,378.22,368.07,356.67,368.17,435.62,406.85,436.78,438.84,335.54,337.17,346.60,373.62,376.71,372.61,376.33,384.17,373.62,365.62,365.36,370.03,366.95,355.52,362.75,347.81,331.13,332.07,332.88,279.63,338.64,327.71,309.20,333.73,343.58,340.41,349.23,361.40,367.44,371.82,373.52,380.05,359.15,354.22,348.24,338.08,325.57,314.67,317.26,316.71,307.16,320.35,378.36,377.69,282.35,335.88,318.24,314.93,318.41,324.27,335.75,352.96,359.93,369.45,359.39,369.89,368.92,349.25,304.94,324.62,326.30,316.13,289.31,323.32,312.04,364.40,359.20,354.58,357.14,332.74,340.51,359.38
