dates,satname,nzd0374-0000,nzd0374-0009,nzd0374-0010,nzd0374-0014,nzd0374-0015,nzd0374-0016,nzd0374-0017,nzd0374-0018,nzd0374-0019,nzd0374-0020,nzd0374-0021,nzd0374-0022,nzd0374-0023,nzd0374-0024,nzd0374-0025,nzd0374-0026,nzd0374-0027,nzd0374-0028,nzd0374-0029,nzd0374-0030,nzd0374-0001,nzd0374-0002,nzd0374-0003,nzd0374-0004,nzd0374-0005,nzd0374-0006,nzd0374-0007,nzd0374-0008,nzd0374-0011,nzd0374-0012,nzd0374-0013,nzd0374-0031,nzd0374-0032,nzd0374-0033,nzd0374-0034,nzd0374-0035,nzd0374-0036,nzd0374-0037
1999-09-04 22:00:09.953000,L7,,,,359.85,361.57,362.66,346.82,344.63,334.03,321.64,313.56,310.19,316.38,,,,,,,,,,,,,,,,382.39,367.23,372.84,,,,,,,
1999-09-20 22:00:08.403000,L7,,,,361.53,361.14,339.97,345.69,336.21,327.64,313.56,312.56,303.85,,,,,,,,,,,,,,,,,386.46,378.97,376.24,,,,,,,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,,,,,,,432.43,413.13,399.75,,,,,,,,,,,,369.48,356.35,350.56,348.41,330.36,337.06,311.48
1999-12-09 22:00:09.551000,L7,,,,,383.16,373.01,364.71,359.34,353.45,350.53,342.14,335.23,338.09,333.26,335.37,339.35,336.32,325.72,,,,,,,,,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,,,,379.05,373.30,366.44,355.49,349.93,342.55,331.07,321.91,311.86,327.75,306.96,328.03,327.47,327.79,,,,,,,,,,,,,382.66,381.60,,,,,,,
2000-01-26 22:00:02.226000,L7,,,,,373.42,376.45,353.97,355.69,337.03,335.55,324.12,319.58,287.92,312.30,332.33,383.96,375.79,355.85,352.23,339.73,,,,,,,,,,,,345.83,324.28,318.85,303.15,287.47,,
2000-02-11 21:59:57.866000,L7,,,,,,388.82,381.92,370.14,365.90,394.79,390.54,350.74,343.58,355.86,347.89,350.33,378.05,359.08,317.80,333.35,,,,,,,,,,,,324.58,310.66,301.67,301.53,284.80,,
2000-02-27 21:59:52.393000,L7,,,,,,,,,,391.36,350.77,371.19,372.69,374.40,425.99,425.64,429.06,410.53,347.14,343.22,,,,,,,,,,,,333.34,312.49,306.05,296.61,296.75,,
2000-03-14 21:59:47.162000,L7,,,348.95,345.19,351.11,335.86,329.87,322.82,309.06,282.08,282.35,,,,,,,,,,,,,,,,,,368.63,350.34,359.31,,,,,,,
2000-03-30 21:59:45.397000,L7,340.71,343.60,289.87,376.88,385.68,379.03,366.96,360.11,345.69,344.41,400.87,391.81,384.32,381.91,385.72,346.33,339.84,333.25,318.43,304.14,,,,,,,,,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,,,,,,390.72,379.35,373.81,366.50,360.42,348.83,,354.97,354.21,354.65,357.86,350.60,340.62,325.20,316.02,,,,,,,,,,,,301.15,304.99,300.88,294.18,287.77,,
2000-05-01 21:59:30.586000,L7,,,,389.46,379.97,378.42,370.67,366.04,361.52,348.77,349.57,329.30,337.65,312.90,350.39,349.30,343.57,,,,,,,,,,,,,,391.22,,,,,,,
2000-05-17 21:59:19.400000,L7,,,,386.49,387.10,381.07,373.63,369.13,364.44,346.62,331.76,342.62,357.46,383.74,379.60,425.57,416.84,430.71,358.30,352.10,,,,,,,,,,390.60,389.53,,,,,,,
2000-06-18 21:59:03.789000,L7,,,,358.61,357.92,352.93,340.06,337.49,328.86,302.02,312.31,316.82,319.03,,,,,,,,,,,,,,,,,,357.78,,,,,,,
2000-08-05 21:58:20.584000,L7,,,,359.97,356.95,347.83,339.69,328.67,328.13,309.12,311.63,305.77,308.18,,,,,,,,,,,,,,,,,,368.22,,,,,,,
2000-10-24 21:57:29.684000,L7,,,,366.25,370.75,365.22,354.31,341.77,340.09,332.43,317.17,312.88,327.14,307.68,325.13,321.49,327.97,,,,,,,,,,,,389.11,378.53,380.87,,,,,,,
2000-11-25 21:57:34.931000,L7,,,,,,,,,,359.48,351.99,351.33,355.20,357.46,362.49,390.48,367.06,342.57,374.15,359.57,,,,,,,,,,,,392.21,319.66,306.01,295.51,302.86,,
2000-12-11 21:57:36.803000,L7,,,,389.55,382.86,374.24,361.51,356.85,347.74,341.15,328.77,329.50,336.29,325.56,339.08,338.95,339.44,326.37,,,,,,,,,,,,387.64,387.64,,,,,,,
