dates,nzd0469-0000,nzd0469-0001,nzd0469-0002,nzd0469-0003,nzd0469-0004,nzd0469-0005
1999-12-05 22:25:37+00:00,202.19,164.56,,,,
2002-10-10 22:20:20+00:00,186.88,165.52,,,,
2003-08-27 22:03:45+00:00,198.43,188.06,,,,
2004-03-29 22:11:53+00:00,210.91,187.46,,,,
2004-04-07 22:06:01+00:00,219.635,200.995,184.64,193.65,193.34,
2013-05-02 22:28:22+00:00,245.98,204.1,,,,
2013-09-14 22:34:43+00:00,228.325,192.995,,,,
2013-09-23 22:28:28+00:00,219.59333333333333,188.30666666666664,,,,
2013-11-10 22:28:18+00:00,213.1833333333333,186.61999999999998,176.02,,,
2013-11-17 22:34:25+00:00,212.30249999999998,184.36499999999998,176.02,,,
2013-12-03 22:34:22+00:00,211.45999999999998,183.1,176.02,,,
2013-12-28 22:27:59+00:00,211.22333333333333,184.4033333333333,172.5,,,
2014-02-05 22:33:44+00:00,211.24857142857144,183.42714285714285,172.5,,,
2014-04-10 22:32:49+00:00,217.015,188.8983333333333,173.61,,,
2014-09-01 22:32:51+00:00,235.41,212.965,175.83,,,
2014-10-03 22:32:56+00:00,229.56333333333336,203.74666666666667,175.83,,,
2014-11-04 22:32:58+00:00,220.80333333333337,192.54666666666665,,,,
2014-12-15 22:26:40+00:00,213.01500000000001,186.11,,,,
2014-12-22 22:32:52+00:00,217.64000000000001,189.35399999999998,,,,
2015-02-24 22:32:33+00:00,217.1783333333333,188.29833333333332,,,,
2015-04-13 22:32:08+00:00,214.67800000000003,184.388,,,,
2015-09-20 22:32:43+00:00,222.195,189.63,,,,
2016-11-09 22:33:04+00:00,232.51,200.69,168.29,,,
2016-12-04 22:26:53+00:00,221.58999999999997,193.815,168.29,,,
2017-02-06 22:26:33+00:00,218.64666666666665,192.6933333333333,169.28,,,
2017-02-22 22:26:28+00:00,217.255,192.1525,170.83333333333334,,,
2017-03-17 22:32:26+00:00,215.51799999999997,188.70999999999998,170.83333333333334,,,
2017-03-26 22:26:10+00:00,213.69500000000002,187.37833333333333,170.83333333333334,,,
2017-04-02 22:32:18+00:00,216.8542857142857,191.21428571428572,172.335,,,
2017-05-04 22:32:03+00:00,223.28,198.495,172.335,,,
2017-09-02 22:26:40+00:00,225.206,201.10999999999999,172.065,,,
2017-09-18 22:26:42+00:00,222.296,200.0,172.065,,,
2017-10-04 22:26:49+00:00,221.37,201.51749999999998,169.885,,,
2017-10-11 22:33:02+00:00,222.81199999999998,201.132,168.79,,,
2017-10-20 22:26:52+00:00,218.1783333333333,195.625,168.79,,,
