dates,nzd0119-0000,nzd0119-0001,nzd0119-0002,nzd0119-0003,nzd0119-0004,nzd0119-0005,nzd0119-0006,nzd0119-0007,nzd0119-0008,nzd0119-0009,nzd0119-0010,nzd0119-0011,nzd0119-0012,nzd0119-0013,nzd0119-0014,nzd0119-0015,nzd0119-0016,nzd0119-0017,nzd0119-0018,nzd0119-0019,nzd0119-0020,nzd0119-0021,nzd0119-0022,nzd0119-0023,nzd0119-0024,nzd0119-0025,nzd0119-0026,nzd0119-0027,nzd0119-0028,nzd0119-0029,nzd0119-0030,nzd0119-0031,nzd0119-0032,nzd0119-0033,nzd0119-0034,nzd0119-0035,nzd0119-0036,nzd0119-0037,nzd0119-0038,nzd0119-0039,nzd0119-0040,nzd0119-0041,nzd0119-0042,nzd0119-0043,nzd0119-0044,nzd0119-0045,nzd0119-0046,nzd0119-0047,nzd0119-0048,nzd0119-0049,nzd0119-0050,nzd0119-0051,nzd0119-0052,nzd0119-0053,nzd0119-0054,nzd0119-0055,nzd0119-0056,nzd0119-0057,nzd0119-0058,nzd0119-0059,nzd0119-0060,nzd0119-0061,nzd0119-0062,nzd0119-0063,nzd0119-0064,nzd0119-0065,nzd0119-0066,nzd0119-0067,nzd0119-0068,nzd0119-0069,nzd0119-0070,nzd0119-0071,nzd0119-0072,nzd0119-0073,nzd0119-0074,nzd0119-0075,nzd0119-0076,nzd0119-0077,nzd0119-0078,nzd0119-0079,nzd0119-0080,nzd0119-0081,nzd0119-0082,nzd0119-0083,nzd0119-0084,nzd0119-0085,nzd0119-0086,nzd0119-0087,nzd0119-0088,nzd0119-0089,nzd0119-0090,nzd0119-0091,nzd0119-0092,nzd0119-0093,nzd0119-0094,nzd0119-0095,nzd0119-0096,nzd0119-0097,nzd0119-0098,nzd0119-0099,nzd0119-0100,nzd0119-0101,nzd0119-0102,nzd0119-0103,nzd0119-0104,nzd0119-0105,nzd0119-0106,nzd0119-0107,nzd0119-0108,nzd0119-0109,nzd0119-0110,nzd0119-0111,nzd0119-0112,nzd0119-0113,nzd0119-0114,nzd0119-0115,nzd0119-0116,nzd0119-0117,nzd0119-0118,nzd0119-0119,nzd0119-0120,nzd0119-0121,nzd0119-0122,nzd0119-0123,nzd0119-0124,nzd0119-0125,nzd0119-0126,nzd0119-0127,nzd0119-0128,nzd0119-0129,nzd0119-0130,nzd0119-0131,nzd0119-0132,nzd0119-0133,nzd0119-0134,nzd0119-0135,nzd0119-0136,nzd0119-0137,nzd0119-0138,nzd0119-0139,nzd0119-0140,nzd0119-0141,nzd0119-0142,nzd0119-0143,nzd0119-0144,nzd0119-0145,nzd0119-0146,nzd0119-0147,nzd0119-0148,nzd0119-0149,nzd0119-0150,nzd0119-0151,nzd0119-0152,nzd0119-0153,nzd0119-0154,nzd0119-0155,nzd0119-0156,nzd0119-0157,nzd0119-0158,nzd0119-0159,nzd0119-0160,nzd0119-0161,nzd0119-0162,nzd0119-0163,nzd0119-0164,nzd0119-0165,nzd0119-0166,nzd0119-0167,nzd0119-0168,nzd0119-0169,nzd0119-0170,nzd0119-0171,nzd0119-0172
1999-08-26 22:04:44+00:00,,,,,,,,341.84,325.8,,,,310.85,337.02,,345.52,,313.62,,,,291.31,,316.52,308.2,,311.65,278.56,,,321.89,323.42,,,327.01,298.77,,,295.45,,,,,,,,,,,,,,,,,,,,,321.66,360.6,,,281.88,,276.23,,255.58,,284.71,321.97,,264.48,,284.31,,,321.87,314.59,288.0,314.86,290.34,,301.23,,,271.36,292.27,338.61,271.57,291.8,335.24,336.63,307.36,331.22,302.91,,327.54,349.77,324.65,333.48,,318.56,311.79,,306.02,303.62,312.95,316.54,,,317.72,,,,,277.41,298.03,332.27,,296.09,,,317.17,299.47,274.12,283.5,,334.54,296.14,305.09,313.28,306.39,,,240.41,,,295.07,296.09,,,301.41,326.93,,348.49,,279.62,300.04,,316.84,327.98,344.23,355.71,350.69,313.75,310.33,309.66,,267.69,,314.42,,339.15,,318.8,310.13,,314.45,330.91,,283.17,262.06
1999-09-27 22:04:48+00:00,,,,270.39,,242.53,324.49,334.775,325.8,,,,310.85,340.40999999999997,,345.52,,325.55,,,,291.31,,310.5,295.865,,312.32,278.56,244.4,265.84,308.375,331.225,277.17,274.06,307.365,301.825,,,295.45,,,,289.97,,,,,,,,,,,,,,,,,323.09000000000003,350.145,,,265.77,244.99,292.615,,273.495,243.64,275.33,312.9,,277.475,,283.885,321.2,308.3,326.83500000000004,307.02,285.225,304.38,294.505,,316.27,,,283.98,309.25,319.62,290.98,311.145,346.195,338.055,319.38,313.305,295.61,275.65,312.08000000000004,332.725,326.54999999999995,337.565,,337.625,324.49,353.13,301.015,297.115,317.81,303.65999999999997,,349.54,317.72,351.62,342.46,,306.64,290.595,285.30499999999995,323.86,329.19,315.42999999999995,,340.94,306.995,289.905,290.235,300.79499999999996,,337.565,311.38,316.105,320.03999999999996,312.78,,,240.41,,213.55,290.43,296.075,260.76,263.16,306.27,330.425,,351.395,,268.65,285.055,,310.07,312.40999999999997,328.225,351.40999999999997,345.025,315.145,317.77,301.92,317.22,254.36,241.93,302.385,,320.145,,318.86,313.525,,319.115,322.14,279.83,290.59000000000003,260.125
1999-11-14 22:04:42+00:00,,,,288.525,300.86,259.985,308.36,333.87999999999994,308.105,307.32,287.02,289.54,305.31,329.0233333333333,,337.71500000000003,,305.8533333333333,,253.92,262.05,283.245,,310.5,286.25666666666666,,296.3233333333333,268.525,252.635,269.52,308.375,310.82666666666665,277.70000000000005,278.565,294.39000000000004,301.825,244.61,274.28,295.45,285.73,311.4,317.89,275.38,,,,,,,,234.49,,,,,,,,,323.09000000000003,350.145,,286.87,261.79,238.25,276.5266666666667,277.16,273.495,243.51999999999998,262.41333333333336,312.9,,264.01000000000005,,291.7266666666667,305.455,295.21500000000003,326.83500000000004,303.05333333333334,268.78,304.38,285.6133333333333,,316.27,257.82,,283.98,309.25,319.62,286.29,311.145,346.195,314.3433333333333,320.34666666666664,309.01,295.61,272.23,302.05,320.54333333333335,326.54999999999995,337.565,288.28,337.625,324.5933333333333,348.74,311.4433333333333,306.7366666666667,312.93,306.31333333333333,272.08,333.3,304.505,340.40999999999997,335.585,266.97,314.355,290.595,272.3633333333333,316.49,310.9,317.19,233.55,325.3,313.07666666666665,295.6133333333333,278.58,300.79499999999996,250.63,337.565,294.8833333333333,316.105,301.79,302.98,,251.96,247.11,,224.85500000000002,279.3933333333334,293.4733333333333,252.51,257.83500000000004,306.27,330.425,,351.395,,255.62,285.055,,310.07,312.40999999999997,328.225,306.2033333333333,345.025,315.145,317.77,294.05333333333334,306.51,251.87333333333333,244.945,291.75,,320.145,,318.86,313.525,,319.115,322.14,267.235,290.59000000000003,255.66
2000-03-30 21:58:09+00:00,,,,306.66,300.86,277.44,292.23,337.085,290.41,312.245,296.205,300.435,299.77,307.93,311.37,338.39,342.49,275.58,303.2,271.73,262.05,275.18,,,267.04,,264.33,258.49,260.87,273.2,,270.03,278.23,283.07,268.44,,244.61,274.28,,285.73,311.4,317.89,260.79,,284.82,288.63,,,269.5,,231.565,,,,,305.7,309.2,273.51,252.09,,261.34,,304.125,253.83,243.005,250.745,276.515,287.55,252.135,244.525,316.22,274.22,254.195,271.72,282.275,279.41999999999996,287.995,290.92,284.28,248.765,298.61,286.75,295.8,308.48,267.75,277.17,303.51,302.6,306.08,297.1,279.59,,263.345,309.17499999999995,307.93,295.92,281.86,285.28999999999996,293.25,,,290.125,,324.8,318.74,316.51,316.46500000000003,286.84000000000003,311.62,279.17499999999995,305.45,291.4,315.83,316.66499999999996,284.5,322.07,,247.67000000000002,301.75,292.61,320.71,233.55,309.66,325.24,307.03,255.27,,250.63,,261.89,,265.29,283.38,,251.96,253.81,,236.16,257.32,288.27,244.26,252.51,,,,,,229.56,,,,302.9,254.08,234.165,,292.59,293.37,268.805,278.19,260.23,268.34000000000003,314.71000000000004,302.34,270.64,,261.84,280.88,,311.19,310.19,268.71,284.27,251.44
2000-05-24 22:03:46+00:00,,,,315.11,295.75,301.72,,328.515,,313.24,305.39,318.81,301.6,321.505,308.28999999999996,349.74,342.49,284.525,295.47,301.29,276.22,289.85,,,342.72,299.24,279.77,269.65,270.06,310.27,282.72,297.97,,,,310.55,273.07,248.85,313.32,295.22,350.14,355.63,284.37,324.83,284.82,278.5,299.28,,261.685,,243.935,,333.05,304.78,,305.7,296.9,281.565,252.09,299.89,280.68499999999995,,305.87,283.2,267.33000000000004,267.74,293.45,278.26500000000004,260.87,279.42,300.31500000000005,272.54,286.78499999999997,264.645,271.765,269.13,303.84000000000003,303.505,272.975,263.2,307.89,294.105,289.315,305.065,277.68,278.135,303.51,293.345,287.15,299.135,296.505,326.4,257.465,297.81,327.71000000000004,316.32500000000005,294.91,288.59,303.46500000000003,357.34,354.69,278.045,305.25,335.5,306.425,317.97,314.625,270.51,347.19,281.65,290.625,291.51,302.46,288.7,306.28,330.82,,274.90999999999997,314.43,291.55,300.95,235.26,288.61,287.26,318.34,,,284.17,,295.43,287.74,,,,,,,,,,,,,,331.41,359.93,316.02,,313.15,,,308.11,244.755,253.18,,276.41499999999996,283.695,299.96500000000003,260.58,300.76,290.29499999999996,353.905,291.51,284.71500000000003,322.7,265.5,280.88,,284.38,294.995,286.55999999999995,295.275,279.485
2000-07-11 22:03:17+00:00,,,,315.11,295.75,301.72,,328.515,,313.24,305.39,318.81,301.6,321.505,308.28999999999996,349.74,342.49,284.525,295.47,301.29,276.22,289.85,,,342.72,299.24,279.77,269.65,270.06,310.27,282.72,296.245,289.32,,,292.605,273.07,248.85,313.32,295.22,350.14,355.63,279.15999999999997,307.07,284.82,278.5,299.28,,260.70666666666665,,244.78333333333333,,333.05,304.78,,305.7,296.9,281.565,252.09,299.89,280.68499999999995,,305.87,283.2,267.33000000000004,267.74,293.45,278.26500000000004,260.87,279.42,300.31500000000005,272.54,286.78499999999997,264.645,271.765,269.13,303.84000000000003,303.505,272.975,263.2,307.89,281.7066666666667,289.315,296.75333333333333,277.68,278.135,303.51,287.5933333333333,287.15,299.135,296.505,326.4,257.465,297.81,327.71000000000004,316.32500000000005,306.975,288.59,303.46500000000003,357.34,354.69,278.045,305.25,335.5,306.425,314.6466666666667,314.625,270.51,311.98,281.65,290.625,310.495,302.46,288.7,306.28,330.82,,274.90999999999997,314.43,291.55,300.95,235.26,288.61,296.355,318.34,,,284.17,,295.43,287.74,,,,,,,,,,,,,,331.41,359.93,316.02,,294.605,,,308.11,244.755,253.18,,276.41499999999996,283.695,299.96500000000003,260.58,300.76,290.29499999999996,353.905,291.51,284.71500000000003,322.7,265.5,280.88,,284.38,294.995,286.55999999999995,295.275,294.24666666666667
2000-07-20 21:56:59+00:00,,,,315.11,295.75,301.72,,328.515,,313.24,305.39,318.81,301.6,321.505,308.28999999999996,349.74,342.49,284.525,295.47,301.29,276.22,289.85,,,342.72,299.24,279.77,269.65,270.06,310.27,282.72,296.245,289.32,,,292.605,273.07,248.85,313.32,295.22,350.14,355.63,279.15999999999997,312.6133333333333,284.82,278.5,299.28,,260.70666666666665,328.41,244.78333333333333,,333.05,304.78,,305.7,303.38,281.565,252.09,299.89,280.68499999999995,,308.18333333333334,283.2,267.33000000000004,267.74,304.84666666666664,278.26500000000004,279.865,291.79,309.08666666666664,280.35333333333335,294.36999999999995,264.645,280.26666666666665,269.13,303.84000000000003,307.98333333333335,285.80333333333334,263.2,297.7166666666667,281.7066666666667,289.315,296.75333333333333,277.68,278.135,310.775,297.01,291.9066666666667,305.9866666666667,306.4066666666667,326.4,257.465,306.2266666666667,329.29,317.28333333333336,313.64000000000004,288.59,312.1766666666667,334.275,354.69,278.045,305.25,333.21500000000003,305.1166666666667,311.665,316.5733333333333,273.685,311.98,289.2966666666666,297.67,312.12,292.865,287.46,289.19666666666666,306.98,279.71,279.2366666666666,317.17,291.55,303.91999999999996,260.99,288.61,286.05333333333334,302.025,,320.72,303.45000000000005,,302.855,287.74,293.62,296.41,,,,,,288.35,,,,,,340.385,351.81,316.02,,294.605,312.75,280.79,314.83666666666664,253.40333333333334,260.9733333333333,,276.41499999999996,291.33666666666664,301.83,277.845,309.7733333333333,297.4733333333333,343.9066666666667,291.51,290.3666666666667,322.7,279.5133333333333,280.88,,282.9166666666667,294.995,286.55999999999995,301.06333333333333,297.1725
2001-01-03 22:02:12+00:00,,,,,,,,,,,,,,328.32,337.09,328.97,311.5,,,314.43,306.66,325.24,315.03,313.9,318.79,314.6,304.99,299.48,300.44,320.73,312.37,310.66499999999996,305.385,,,292.285,328.1,,281.52,277.44,317.93,314.56,287.025,306.48333333333335,294.8,,317.27,,258.75,321.29,246.48,,298.23,279.94,,307.33,313.695,253.33,274.63,265.62,,,293.655,282.49,282.85,291.36,308.555,303.07,298.86,304.385,312.385,302.32500000000005,291.86,270.06,299.77,303.32,283.91,315.505,313.5,295.35,296.53,256.91,303.4,297.43,301.78,306.52,309.875,299.99999999999994,306.06,319.69,308.835,,298.19,310.59000000000003,332.45,316.41499999999996,318.31666666666666,308.33,315.03,299.0,,313.5,341.13,330.93,298.255,315.14000000000004,318.55,294.98,284.505,304.765,297.125,318.1566666666667,301.54999999999995,283.90999999999997,270.065,301.125,297.07,304.63,319.91,266.06,306.53499999999997,285.935,282.03,282.46999999999997,277.365,274.24,306.0,317.525,316.31,319.26,279.52,299.545,281.175,,276.62,287.81,300.36,302.84,283.155,297.87,,,285.64,298.88,333.165,337.125,316.46,,291.21000000000004,310.83000000000004,284.21000000000004,300.65,273.68000000000006,276.06499999999994,,,288.115,295.075,295.11,327.73,326.9599999999999,326.635,305.34,301.92,315.17,314.20500000000004,,,279.05,249.37,290.05,312.64,300.8033333333333
2001-03-01 21:55:57+00:00,,,,,,,,,,288.71,294.02,299.39,282.48,328.32,337.09,318.95500000000004,293.625,289.3,264.14,310.15999999999997,306.66,325.24,315.03,313.9,318.79,314.6,288.305,287.475,300.44,320.73,312.37,326.81,317.93,290.59,251.7,309.91,310.01,244.02,281.52,281.995,295.03999999999996,314.56,300.1,306.44,294.8,229.26,317.27,,228.15,314.17,221.39,,298.23,279.94,,307.33,311.05,253.33,274.63,246.84,,,274.5,282.49,282.85,291.36,289.47,303.07,,292.24,278.62,308.67,272.745,270.06,301.09000000000003,303.32,272.69500000000005,301.96000000000004,299.27,295.35,315.69,224.02,283.53999999999996,314.73,284.04499999999996,306.52,301.71,286.965,310.7,269.28,291.46,,298.19,298.12,,313.63,308.94,308.33,300.46,286.79,,298.36,341.13,,294.01,334.7,291.385,313.1,282.88,304.94,276.22,309.62,300.84000000000003,269.62,279.655,301.19,314.43,293.04999999999995,,266.06,306.18,285.15,275.63,269.315,267.625,268.47,288.94,291.275,316.31,328.24,266.45,305.47,265.94,,259.67,287.81,300.36,302.84,277.96,297.87,217.93,240.01,274.54499999999996,298.88,316.97,330.56,316.46,,287.095,308.91,279.855,273.52,260.505,275.57,,,266.47,268.555,,327.66,342.09,329.36,305.34,286.71000000000004,296.1,295.985,279.51,277.58,260.55,241.45,270.595,,256.43
2001-08-15 22:00:38+00:00,,,,275.9,,,,,,288.71,294.02,299.39,282.48,,,308.94,275.75,289.3,256.82,298.28999999999996,,,,,,,271.62,275.47,,,,,314.41,290.59,251.7,,291.92,244.02,,286.55,272.15,,,,,229.26,,,228.15,,221.39,,,,,,,,,228.06,,,244.45,,,,259.79,,,,259.1,,271.31,,299.91,,261.48,289.85,283.0,,,224.02,263.68,,266.31,,,275.28,,269.28,,,,,,,,,,,,283.22,,,,,266.14,,273.52,,269.95,,281.85,237.315,265.22,283.27,,264.73,,,,,269.23,262.12,266.23,262.7,286.6,270.23,,,253.38,,,,242.72,,,,,,217.93,240.01,263.45,,,,,,267.83,,272.08,274.03,244.35,,,,263.33,252.52,,,,,,271.25,277.03,271.07500000000005,275.23,284.31,241.69,249.89999999999998,251.14,,240.17
