dates,nzd0430-0000,nzd0430-0001,nzd0430-0002,nzd0430-0003,nzd0430-0004,nzd0430-0005,nzd0430-0006,nzd0430-0007,nzd0430-0008,nzd0430-0009,nzd0430-0010,nzd0430-0011,nzd0430-0012,nzd0430-0013,nzd0430-0014,nzd0430-0015,nzd0430-0016,nzd0430-0017,nzd0430-0028,nzd0430-0029,nzd0430-0030,nzd0430-0031,nzd0430-0032,nzd0430-0033,nzd0430-0034,nzd0430-0035,nzd0430-0036,nzd0430-0037,nzd0430-0052,nzd0430-0053,nzd0430-0054,nzd0430-0055,nzd0430-0056,nzd0430-0057,nzd0430-0058,nzd0430-0059,nzd0430-0060,nzd0430-0061,nzd0430-0062,nzd0430-0063,nzd0430-0064,nzd0430-0065,nzd0430-0066,nzd0430-0067,nzd0430-0068,nzd0430-0069,nzd0430-0070,nzd0430-0071,nzd0430-0072,nzd0430-0073,nzd0430-0074,nzd0430-0075,nzd0430-0076,nzd0430-0077,nzd0430-0078,nzd0430-0079,nzd0430-0080,nzd0430-0081,nzd0430-0082,nzd0430-0083,nzd0430-0084,nzd0430-0085,nzd0430-0086,nzd0430-0087,nzd0430-0088,nzd0430-0089,nzd0430-0090,nzd0430-0091,nzd0430-0092,nzd0430-0093,nzd0430-0094,nzd0430-0095,nzd0430-0096,nzd0430-0097,nzd0430-0098,nzd0430-0099,nzd0430-0100,nzd0430-0101,nzd0430-0102,nzd0430-0103,nzd0430-0104,nzd0430-0105,nzd0430-0106,nzd0430-0107,nzd0430-0108,nzd0430-0114,nzd0430-0115,nzd0430-0116,nzd0430-0117,nzd0430-0118,nzd0430-0119,nzd0430-0120,nzd0430-0121,nzd0430-0122,nzd0430-0123,nzd0430-0124,nzd0430-0125,nzd0430-0126,nzd0430-0127,nzd0430-0128,nzd0430-0129,nzd0430-0130,nzd0430-0154,nzd0430-0155,nzd0430-0158,nzd0430-0159,nzd0430-0160,nzd0430-0161,nzd0430-0162,nzd0430-0163,nzd0430-0164,nzd0430-0166,nzd0430-0167,nzd0430-0168,nzd0430-0179,nzd0430-0018,nzd0430-0020,nzd0430-0021,nzd0430-0022,nzd0430-0026,nzd0430-0027,nzd0430-0038,nzd0430-0039,nzd0430-0040,nzd0430-0041,nzd0430-0042,nzd0430-0043,nzd0430-0019,nzd0430-0023,nzd0430-0024,nzd0430-0025,nzd0430-0044,nzd0430-0156,nzd0430-0157,nzd0430-0169,nzd0430-0170,nzd0430-0171,nzd0430-0172,nzd0430-0177,nzd0430-0178,nzd0430-0109,nzd0430-0110,nzd0430-0111,nzd0430-0112,nzd0430-0113,nzd0430-0142,nzd0430-0143,nzd0430-0144,nzd0430-0145,nzd0430-0146,nzd0430-0147,nzd0430-0148,nzd0430-0151,nzd0430-0152,nzd0430-0153,nzd0430-0165,nzd0430-0176,nzd0430-0149,nzd0430-0150,nzd0430-0045,nzd0430-0046,nzd0430-0047,nzd0430-0048,nzd0430-0049,nzd0430-0050,nzd0430-0051,nzd0430-0173,nzd0430-0174,nzd0430-0175,nzd0430-0131,nzd0430-0132,nzd0430-0133,nzd0430-0134,nzd0430-0135,nzd0430-0136,nzd0430-0137,nzd0430-0138,nzd0430-0139,nzd0430-0140,nzd0430-0141,satname
1999-09-04 22:00:33+00:00,,,,,,,,,,,,,,,,,,,204.01,278.01,,,,,,,,293.35,,,,,,,,290.12,,227.42,,,272.11,,291.47,303.9,307.15,259.66,246.56,294.03,,229.16,218.62,243.3,,281.73,287.7,,,,288.23,288.07,264.65,255.83,,,,,,,212.76,202.67,260.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.07,,,,,,,,,,,,,,,,235.85,,,,,361.58,362.93,,,,,,,,,,,282.62,L7
1999-12-09 22:00:33+00:00,,,,,,,,,,,,,,,,237.41,218.31,,204.01,278.01,,,,,,,,293.35,,,,,,,,290.12,,227.42,,,272.11,,291.47,303.9,307.15,259.66,246.56,294.03,,229.16,218.62,243.3,,281.73,287.7,,,,288.23,288.07,264.65,255.83,,,,,,,212.76,202.67,260.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.07,,,,,,,,,,,,,,,,235.85,,,,,361.58,362.93,,,,,,,,,,,282.62,L7
2000-02-27 22:00:16+00:00,201.01,164.49,165.4,184.59,192.11,156.36,,,,,,,,,,233.925,218.31,,204.01,278.01,,,,,,,,293.35,,,,,,,,290.12,,227.42,,,272.11,,291.47,303.9,307.15,259.66,246.56,294.03,,229.16,218.62,243.3,,281.73,287.7,,,,288.23,288.07,264.65,255.83,,,,,,,212.76,202.67,260.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.07,,,,,,,,,,,,,,,,235.85,,,,,361.58,362.93,,,,,,,,,,,282.62,L7
2000-03-30 22:00:09+00:00,201.01,164.49,165.4,184.59,192.11,156.36,,209.18,,,158.52,,,,,233.925,218.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-01 21:59:54+00:00,201.01,164.49,165.4,184.59,192.11,156.36,,209.18,,,158.52,,,,,233.925,218.31,,,273.49,242.71,,,,233.27,,,,,,,,,,,,,254.11,298.29,278.05,309.0,316.6,297.69,,338.23,288.54,246.92,268.97,,,,,,,,,260.27,,296.3,,283.69,,,,,,,,214.98,227.69,,,316.09,320.88,,309.73,,,,203.73,,,,,,229.15,,,,,,,,,160.16,,,,,,,,330.34,310.5,,,,,,,,181.09,190.57,,,,,,,,,,,,,,,,,,,,,,,350.72,,,,,,,,,,180.1,,,,,,,,,,,,,,,,,246.79,,,,,,,,,,,,,,,,,311.06,L7
2000-08-05 21:58:44+00:00,201.01,164.49,165.4,184.59,192.11,156.36,,209.18,,,158.52,,,,,230.44,,,,273.49,245.07,,,,233.27,,,,268.91,,299.83,,,,,,,273.92,299.295,271.505,300.78,314.33500000000004,295.66499999999996,286.72,305.605,288.54,246.92,269.905,,222.16,210.77,242.81,,297.72,306.98,,271.21,,296.3,,283.69,,,,,,,,214.98,227.69,,,316.09,320.88,265.53,309.73,,,,203.73,265.52,,,,,224.175,235.21,205.89,192.66,214.74,200.63,193.88,,172.73,158.665,,,,,,,,330.34,310.5,,,,,,,,185.535,201.37,,,,,,,,,,,,,,206.05,,,,,,,338.33,320.32,333.68,264.61,,,,,,,,262.82,180.1,,,,,,,,,,,,,,,,,246.79,,,255.79,,,,,,,,,317.88,,,,,314.74,L7
2000-10-08 21:58:00+00:00,,145.66,158.81,188.27,223.88,,,,258.55,,,262.7,245.89,265.08,,,,,,273.49,245.07,,,,233.27,,,,268.91,,299.83,,,,,,,273.92,299.295,271.505,300.78,314.33500000000004,295.66499999999996,286.72,305.605,288.54,246.92,269.905,,222.16,210.77,242.81,,297.72,306.98,,271.21,,296.3,,283.69,,,,,,,,214.98,227.69,,,316.09,320.88,265.53,309.73,,,,203.73,265.52,,,,,224.175,235.21,205.89,192.66,214.74,200.63,193.88,,172.73,158.665,,,,,,,,330.34,310.5,,,,,,,,185.535,201.37,,,,,,,,,,,,,,206.05,,,,,,,338.33,320.32,333.68,264.61,,,,,,,,262.82,180.1,,,,,,,,,,,,,,,,,246.79,,,255.79,,,,,,,,,317.88,,,,,314.74,L7
2000-11-09 21:57:57+00:00,,145.66,158.81,188.27,223.88,,,,258.55,,,262.7,245.89,265.08,,,,,,,247.43,,,,,,,,268.91,,299.83,,,,,,,293.73,300.3,264.96,292.56,312.07,293.64,286.72,272.98,,,270.84,,222.16,210.77,242.81,,297.72,306.98,,282.15,,,281.65,,295.83,,,,,,,,,275.54,,,,265.53,,,,271.23,177.1,265.52,219.51,,209.63,,219.2,249.33499999999998,216.195,194.32,223.45499999999998,216.055,204.83499999999998,231.13,187.64,188.89,,,,,,,,,342.06,,,,317.51,,,,189.98,231.89499999999998,337.06,,,,,,,,,,,,,206.05,265.5,,,,,,348.195,304.995,305.01,279.82500000000005,,300.21,,,,,,248.16,,,,,,,,,340.59,,,,357.02,,,,,,,,255.79,,347.0,340.36,,316.27,,,,317.88,325.84,,,,318.42,L7
2000-11-25 21:57:58+00:00,384.37,279.745,158.81,188.27,223.88,,,,258.55,,,262.7,245.89,265.08,,220.16,,,,,247.43,,,,,,,,268.91,,299.83,,,,,,,293.73,300.3,264.96,292.56,312.07,293.64,286.72,272.98,,,270.84,,222.16,210.77,242.81,,297.72,306.98,,282.15,,,281.65,,295.83,,,,,,,,,275.54,,,,265.53,,,,271.23,177.1,265.52,219.51,,209.63,,219.2,249.33499999999998,216.195,194.32,223.45499999999998,216.055,204.83499999999998,231.13,187.64,188.89,,,,,,,,,342.06,,,,317.51,,,,189.98,231.89499999999998,337.06,,,,,,,,,,,,,206.05,265.5,,,,,,348.195,304.995,305.01,279.82500000000005,,300.21,,,,,,248.16,,,,,,,,,340.59,,,,357.02,,,,,,,,255.79,,347.0,340.36,,316.27,,,,317.88,325.84,,,,318.42,L7
2001-01-03 22:04:12+00:00,384.37,279.745,158.81,188.27,223.88,,,,258.55,,,262.7,245.89,265.08,,224.51999999999998,,,,,247.43,,,,,,,,268.91,,299.83,,,,,,,293.73,300.3,264.96,292.56,312.07,293.64,286.72,272.98,,,270.84,,222.16,210.77,242.81,,297.72,306.98,,282.15,,,281.65,,295.83,,,,,,,,,275.54,,,,265.53,,,,271.23,177.1,265.52,219.51,,209.63,,219.2,249.33499999999998,216.195,194.32,223.45499999999998,216.055,204.83499999999998,231.13,187.64,188.89,,,,,,,,,342.06,,,,317.51,,,,189.98,231.89499999999998,337.06,,,,,,,,,,,,,206.05,265.5,,,,,,348.195,304.995,305.01,279.82500000000005,,300.21,,,,,,248.16,,,,,,,,,340.59,,,,357.02,,,,,,,,255.79,,347.0,340.36,,316.27,,,,317.88,325.84,,,,318.42,L7
