dates,satname,nzd0033-0000,nzd0033-0001,nzd0033-0002,nzd0033-0003,nzd0033-0004,nzd0033-0005,nzd0033-0006,nzd0033-0007,nzd0033-0008,nzd0033-0009,nzd0033-0010,nzd0033-0011,nzd0033-0012,nzd0033-0013,nzd0033-0014,nzd0033-0015,nzd0033-0016,nzd0033-0017,nzd0033-0018,nzd0033-0019,nzd0033-0020,nzd0033-0021,nzd0033-0022,nzd0033-0023,nzd0033-0024,nzd0033-0025,nzd0033-0026,nzd0033-0027,nzd0033-0028,nzd0033-0029,nzd0033-0030,nzd0033-0031,nzd0033-0032,nzd0033-0033,nzd0033-0034,nzd0033-0035,nzd0033-0036,nzd0033-0037,nzd0033-0038,nzd0033-0039,nzd0033-0040,nzd0033-0041,nzd0033-0042,nzd0033-0043,nzd0033-0044,nzd0033-0045,nzd0033-0046,nzd0033-0047,nzd0033-0048,nzd0033-0049,nzd0033-0050,nzd0033-0051,nzd0033-0052,nzd0033-0053,nzd0033-0054,nzd0033-0055,nzd0033-0056,nzd0033-0057,nzd0033-0058,nzd0033-0059,nzd0033-0060,nzd0033-0061,nzd0033-0062,nzd0033-0063,nzd0033-0064,nzd0033-0065,nzd0033-0066,nzd0033-0067,nzd0033-0068,nzd0033-0069,nzd0033-0070,nzd0033-0071,nzd0033-0072,nzd0033-0073,nzd0033-0074,nzd0033-0075,nzd0033-0076,nzd0033-0077,nzd0033-0078,nzd0033-0079,nzd0033-0080,nzd0033-0081,nzd0033-0082,nzd0033-0083,nzd0033-0084,nzd0033-0085,nzd0033-0086,nzd0033-0087,nzd0033-0088,nzd0033-0089,nzd0033-0090,nzd0033-0091,nzd0033-0092,nzd0033-0093,nzd0033-0094,nzd0033-0095
1999-10-04 22:10:38.131000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.69,331.27,324.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-29 22:06:21.478000,L7,,,,,,,,,372.17,340.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.16,314.06,,324.71,368.37,376.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-04-06 22:09:08.139000,L5,,,,,,,338.46,348.09,311.31,338.11,,,,,,,,,,,,,,,,,,,,,,,,,,362.42,315.16,379.45,374.27,373.73,,388.05,341.68,333.09,315.46,303.42,305.68,304.91,314.64,322.28,319.46,303.86,299.96,302.33,309.98,315.15,317.01,311.58,309.89,313.84,309.03,307.00,308.34,370.22,,320.32,318.09,311.65,322.45,326.79,329.27,328.33,328.23,324.62,335.87,324.05,315.17,320.15,323.31,336.15,412.94,,348.68,350.79,345.11,331.07,321.49,311.22,311.05,324.09,338.64,353.19,343.91,317.69,309.93,310.96
2015-01-25 22:17:32.812000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.71,280.21,295.94,321.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02 22:16:44.532000,L8,,,,,374.38,314.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-05 22:17:21.574000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07 22:17:47.735000,L8,265.26,357.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27 22:17:20.128000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.19,310.42,316.17,313.07,,,,,,,,,,,,,,
2021-01-25 22:17:44.203000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,301.24,273.03,288.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.12,292.57,308.76,301.02,294.46,291.64,,,,,,,,,,313.39,299.70,287.37,283.93,
2022-01-20 22:17:51.591000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265.28,263.20,260.56,282.48,288.29,292.27,289.11,308.16,,,,,,,,,,,,,,
2022-06-05 22:17:39.656000,L8,290.87,290.63,289.78,286.45,287.35,290.22,292.04,292.21,295.47,307.39,309.91,303.40,305.82,316.33,306.14,305.48,309.82,308.79,315.96,318.26,307.83,295.63,290.75,285.56,304.03,298.75,284.67,296.72,302.17,321.80,319.11,318.49,324.32,317.34,312.42,311.52,306.21,304.07,314.11,312.13,306.43,309.01,303.28,306.80,310.59,310.50,310.19,305.72,317.70,313.54,310.01,314.86,331.37,323.73,328.12,324.75,313.99,322.29,323.14,325.93,315.37,306.11,314.82,325.09,324.81,323.84,326.86,320.11,326.81,354.47,341.26,336.31,329.06,330.88,340.37,327.86,314.97,312.23,328.22,327.97,334.27,327.03,319.28,316.77,318.66,320.63,321.76,312.67,293.98,272.16,,,,,,
2022-07-15 22:17:24.696000,L9,,,,,,,,,306.97,313.99,330.16,,,,,,,,,,352.18,316.66,293.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-12 22:18:10.437000,L8,,,,,,,,,,,,,,,,,259.86,270.96,279.92,278.57,282.12,280.59,270.31,270.23,259.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.89,385.13,377.12,389.18,,,,,,,352.56,381.43,390.94,,,,,,,,,,,,,
2023-07-10 22:17:17.518000,L8,278.61,266.20,264.23,,251.28,249.65,274.14,280.54,292.11,293.82,269.69,305.80,317.34,314.55,316.57,279.79,283.89,278.12,,,,,,,,,,,,296.98,313.06,325.09,296.10,323.95,316.25,338.78,344.02,340.05,335.81,331.35,327.38,336.98,339.38,339.12,349.15,362.64,357.69,337.80,322.10,304.44,308.20,316.07,325.75,338.93,356.64,392.52,370.45,337.83,336.05,339.47,328.71,322.57,311.30,315.82,308.00,299.96,305.59,306.43,315.23,317.88,307.25,335.39,372.95,,,,,341.99,328.51,319.99,329.57,348.89,366.27,378.90,384.57,381.67,388.59,369.97,386.55,356.61,364.95,337.62,336.08,337.36,333.83,318.32
2023-12-09 22:17:50.740000,L9,259.91,253.80,252.04,252.19,247.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-27 22:17:43.972000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.63,382.48,379.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-13 22:17:12.853000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.09,352.21,341.67,,,,,,,,,,,,,362.58,379.70,,,,,,,,,,,,,,,
2025-06-29 22:17:21.081000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.36,305.66,367.41,,,,,
