dates,nzd0216-0000,nzd0216-0001,nzd0216-0002,nzd0216-0003,nzd0216-0004,nzd0216-0005,nzd0216-0006,nzd0216-0007,nzd0216-0008,nzd0216-0009,nzd0216-0010,nzd0216-0011,nzd0216-0013,nzd0216-0014,nzd0216-0015,nzd0216-0016,nzd0216-0017,nzd0216-0018,nzd0216-0019,nzd0216-0020,nzd0216-0012,satname
2000-01-10 21:58:52+00:00,294.73,290.0,299.65,289.18,290.61,277.44,277.58,272.76,276.89,278.94,266.08,261.25,268.69,289.6,301.77,301.05,307.47,,,330.66,,L7
2000-03-30 21:58:33+00:00,279.525,286.615,297.515,274.46000000000004,290.61,277.44,277.58,272.76,276.89,278.94,266.08,261.25,262.695,279.145,298.075,296.795,296.925,294.8,291.9,330.66,,L7
2001-08-24 21:54:48+00:00,299.8,,300.48,,,,,,,,304.52,270.25,,,,,,299.49,,,,L7
2001-09-25 21:54:28+00:00,297.57500000000005,303.11,307.92,287.96,294.82,282.47,284.53,285.29,291.2,284.04,290.325,267.685,276.95,295.86,302.4,293.98,304.17,299.49,327.87,309.37,237.46,L7
2002-02-16 21:54:54+00:00,300.8866666666667,303.975,312.7966666666667,292.53499999999997,299.39,289.755,292.075,287.975,291.85,287.15999999999997,287.96999999999997,270.84999999999997,281.095,297.85,305.28499999999997,298.58000000000004,307.97,299.49,327.87,309.37,247.66000000000003,L7
2002-03-20 21:54:48+00:00,291.88000000000005,291.3066666666667,309.74333333333334,292.53499999999997,299.39,289.755,292.075,276.44,278.0733333333333,287.15999999999997,266.5366666666667,263.81,281.095,297.85,305.28499999999997,298.58000000000004,307.97,,327.87,309.37,247.66000000000003,L7
2002-10-14 21:53:43+00:00,306.2,308.91,317.94,299.07,301.26,293.73,290.05,287.69,,280.44,265.88,263.89,287.22,303.06,308.26,306.53,317.06,322.58,329.54,319.13,253.35,L7
2002-12-01 21:54:16+00:00,300.90999999999997,299.985,314.495,299.64,297.77,292.415,288.35,286.755,288.28,283.115,270.83500000000004,263.85,282.33500000000004,297.66999999999996,305.16499999999996,303.1,312.565,322.58,329.54,319.13,248.54,L7
2003-01-18 21:54:30+00:00,293.9533333333333,292.49333333333334,306.2733333333333,292.34,297.77,292.415,282.83666666666664,279.41333333333336,276.365,274.59666666666664,261.43,257.9733333333333,272.73333333333335,300.8666666666666,307.1333333333333,307.77666666666664,314.6333333333333,308.78499999999997,313.73,319.13,248.54,L7
2003-03-23 21:54:40+00:00,297.3375,292.49333333333334,311.10249999999996,289.5225,295.61999999999995,292.415,282.83666666666664,279.41333333333336,276.365,274.89750000000004,261.295,259.685,272.73333333333335,301.005,307.21,306.445,313.4625,313.2033333333333,317.1933333333333,314.31,247.43666666666664,L7
2003-04-24 21:54:46+00:00,294.38333333333327,284.28499999999997,308.82333333333327,286.34,292.79999999999995,291.1,279.23,275.275,276.365,273.05,259.7666666666667,258.28333333333336,264.7,293.44,305.8725,302.245,308.4625,310.75333333333333,311.46666666666664,309.49,244.47999999999996,L7
2003-10-25 21:44:04+00:00,294.57,302.36,306.49,299.0,296.14,284.43,288.93,277.98,276.87,271.04,271.32,260.48,273.43,288.32,305.73,303.14,312.2,321.53,322.08,307.24,,L5
2004-05-04 21:46:16+00:00,,,,,,,258.74,,248.04,254.47,249.07,256.02,259.91,269.07,295.35,283.87,289.42,300.01,286.75,,,L5
2004-08-24 21:49:18+00:00,283.84,280.54,282.96,278.3,,,258.74,,248.04,254.47,249.07,256.02,259.91,278.095,298.4,289.11,289.42,300.01,303.28499999999997,305.87,241.73,L5
2005-11-15 21:54:26+00:00,,329.5,322.53,307.09,316.9,323.74,306.29,313.86,,,,294.84,270.97,298.04,315.05,315.47,322.07,329.68,339.09,319.65,275.88,L5
2006-02-03 21:56:19+00:00,288.38,311.675,315.37,296.41999999999996,305.4,298.605,293.495,296.805,279.15,276.33,279.23,280.15,274.635,296.53499999999997,309.90999999999997,309.78,312.56,320.295,329.69,318.28,259.96,L5
2010-01-13 21:56:49+00:00,296.37,308.6,307.63,297.98,297.0,283.05,285.51,286.13,281.39,286.23,284.02,280.74,,287.66,309.45,308.73,316.17,319.76,320.56,312.46,242.21,L5
2011-02-17 21:56:00+00:00,,,,,,,,,,,,,256.31,279.31,279.59,290.97,294.07,302.53,288.99,,,L5
2013-11-21 22:07:37+00:00,298.75,302.58,312.19,304.51,311.8,297.16,295.78,293.32,289.39,291.94,290.25,274.27,287.06,,,,,320.09,329.02,318.25,,L8
2014-01-24 22:07:09+00:00,298.75,293.74,301.59000000000003,291.16499999999996,298.905,284.56,283.745,284.515,278.96500000000003,280.78,274.48,274.27,287.06,,,,,320.09,329.02,318.25,,L8
2014-02-16 22:13:02+00:00,301.62,303.0133333333333,307.86333333333334,300.03,298.905,283.5566666666667,283.40333333333336,287.77,276.1033333333333,280.78,274.48,274.27,287.06,,,,,320.09,329.02,318.25,,L8
2014-04-05 22:12:22+00:00,296.68666666666667,303.0133333333333,307.2,300.03,298.905,283.5566666666667,283.40333333333336,287.77,276.1033333333333,280.78,274.48,274.27,287.06,,,,,320.09,329.02,318.25,,L8
2015-02-12 22:05:51+00:00,288.65,298.16,315.06,304.45,311.34,295.42,289.87,289.38,286.49,287.55,285.35,266.55,281.26,293.73,308.39,304.79,313.11,321.31,329.43,318.2,,L8
2015-02-28 22:05:48+00:00,274.855,293.115,305.065,295.325,297.245,282.39,280.565,281.72,282.27,279.53499999999997,285.35,266.55,281.26,293.73,308.39,304.79,313.11,321.31,329.43,318.2,,L8
2016-04-19 22:05:34+00:00,289.32,291.51,299.89,294.76,291.02,283.03,271.67,,,263.75,263.24,268.73,274.04,,,,345.66,332.87,350.59,349.32,,L8
2017-02-24 22:12:05+00:00,,,,,,,,,290.81,303.79,264.7,247.13,,,,,,,,,,L8
2017-12-02 22:06:10+00:00,,,337.62,,,,,,,,,,,333.83,,334.32,327.77,328.92,,,,L8
2018-03-15 22:11:46+00:00,,,337.62,,,,,,,,,,,316.12,,334.32,320.63,328.92,,,,L8
2018-09-16 22:05:39+00:00,290.87,296.96,302.42,293.42,292.11,,,,,,283.11,265.47,278.65,290.29,303.86,291.88,291.54,316.33,,,253.32,L8
2019-02-07 22:05:47+00:00,290.34000000000003,297.42499999999995,303.49,296.70000000000005,292.11,,,,,,283.11,265.47,278.595,290.29,305.14,297.19,291.54,316.33,,,251.24,L8
2019-03-02 22:11:53+00:00,288.1366666666667,300.28666666666663,305.31333333333333,289.6366666666667,299.70500000000004,274.65,277.71,285.42,,,283.11,265.47,278.595,290.29,305.14,297.19,291.54,316.33,,,251.24,L8
2019-10-21 22:06:25+00:00,291.81,296.05,304.1,295.14,299.8,288.39,287.46,286.94,287.29,286.45,284.03,263.2,285.2,296.51,306.77,297.29,302.9,315.58,326.54,317.04,238.76,L8
2019-11-22 22:06:21+00:00,291.81,296.05,304.1,295.14,299.8,288.39,287.46,286.94,287.29,286.45,284.03,263.2,272.855,284.475,295.17999999999995,285.595,292.06,304.205,311.365,317.04,238.76,L8
2020-01-25 22:06:09+00:00,275.2,289.48,304.1,295.14,293.135,283.77,277.815,279.9,273.555,275.56,284.03,263.2,267.4533333333333,282.37,293.6133333333333,284.41,290.31666666666666,301.09,303.65333333333336,317.04,238.76,L8
2020-02-10 22:06:04+00:00,275.2,289.48,304.1,295.14,293.135,283.77,277.815,279.9,273.555,275.56,284.03,263.2,267.4533333333333,282.37,294.98,292.8275,293.93,305.845,306.59250000000003,317.04,238.76,L8
2020-03-13 22:05:54+00:00,270.6133333333333,287.8666666666667,294.365,281.76,293.135,283.77,277.815,279.9,273.555,275.56,284.03,263.2,264.8225,281.14750000000004,293.96,290.43600000000004,292.36199999999997,304.37,306.59250000000003,317.04,238.76,L8
2020-10-07 22:06:21+00:00,291.14,298.13,,,,291.48,,,,,,,,295.02,,,,,,,,L8
2021-02-03 22:12:20+00:00,298.57,310.24,316.36,,313.94,287.78,284.5,290.21,272.4,,,,,295.02,,,,,,,,L8
2021-02-19 22:12:15+00:00,298.57,310.24,316.36,,311.245,280.74666666666667,280.31,287.62,272.4,,,,,295.02,,,,,,,,L8
2022-02-22 22:12:14+00:00,,,,,335.89,,312.36,308.21,308.41,295.74,296.91,266.33,,,,,,,,,,L8
2022-02-23 22:06:08+00:00,,265.79,285.47,269.3,309.745,272.93,290.31,288.71500000000003,283.905,274.7,296.91,266.33,,,,,,,,,,L9
2023-08-21 22:05:52+00:00,,,,,,,,,,,,268.96,,,,,,,,,241.04,L9
2023-11-09 22:06:12+00:00,302.62,302.2,313.64,,306.83,,293.68,,,287.76,,268.29499999999996,285.71,296.45,307.86,307.25,312.14,320.82,324.5,,241.12,L9
2023-12-19 22:06:15+00:00,303.14,300.975,310.94,,305.25,,291.53999999999996,289.36,287.51,287.325,288.0,266.44666666666666,284.96500000000003,296.67499999999995,306.345,305.695,311.115,318.575,322.28499999999997,315.17,242.75,L8
2024-01-12 22:06:18+00:00,289.8,293.21999999999997,302.74333333333334,,305.25,,291.53999999999996,289.36,287.51,287.325,288.0,266.44666666666666,284.96500000000003,296.67499999999995,306.345,305.695,311.115,318.575,322.28499999999997,315.17,242.75,L9
2024-01-20 22:06:07+00:00,292.7825,294.625,305.1275,,307.2,295.78,292.73333333333335,292.11,292.0,287.325,292.04499999999996,266.5425,288.0133333333333,299.1266666666666,307.7,307.4733333333333,318.66,325.75666666666666,326.8333333333333,319.96000000000004,241.0075,L8
2024-02-13 22:06:17+00:00,293.27200000000005,296.34,305.1275,,307.2,295.78,292.73333333333335,292.11,292.0,287.325,292.04499999999996,266.5425,288.0133333333333,299.1266666666666,307.7,307.4733333333333,318.66,325.75666666666666,326.7425,319.96000000000004,241.0075,L9
2024-03-24 22:05:42+00:00,293.27200000000005,296.34,305.1275,,307.2,295.78,292.73333333333335,292.11,292.0,287.325,292.04499999999996,265.7366666666667,279.94,290.33,303.195,298.0,308.405,316.115,326.7425,319.96000000000004,240.99666666666667,L8
2024-04-17 22:05:51+00:00,288.62666666666667,292.895,299.05,,307.2,295.78,292.73333333333335,292.11,292.0,287.325,292.04499999999996,265.7366666666667,274.264,285.216,298.314,292.518,302.562,309.87,318.594,319.96000000000004,240.99666666666667,L9
2024-09-08 22:05:48+00:00,279.34,288.025,291.405,290.72,,286.37,,,,,,268.01,253.63999999999996,264.35,292.1766666666667,278.7,287.02,286.03999999999996,286.0,,,L9
2025-02-07 22:06:05+00:00,292.725,303.825,309.90999999999997,297.4,310.18,289.68,289.7,290.2,289.98,295.89,293.97,270.365,,297.41,307.66999999999996,299.905,305.9,323.79,324.71,316.96,246.49,L8
2025-08-10 22:06:04+00:00,,,,,,,,,,,,,259.98,271.06,309.48,279.01,287.56,308.03,292.33,,,L9
