dates,nzd0177-0000,nzd0177-0001,nzd0177-0002,nzd0177-0004,nzd0177-0005,nzd0177-0006,nzd0177-0007,nzd0177-0003,satname
1999-09-20 21:58:32+00:00,,,,281.95,305.14,313.83,325.28,,L7
1999-12-09 21:58:57+00:00,,,,290.21000000000004,306.78,330.16999999999996,335.61,,L7
2000-01-10 21:58:52+00:00,,,,295.9166666666667,308.1766666666667,325.40000000000003,328.89,,L7
2000-03-14 21:58:11+00:00,,,,295.46500000000003,306.865,323.5825,328.615,,L7
2000-03-30 21:58:33+00:00,,,,300.9375,306.92,323.975,329.02,,L7
2001-09-25 21:54:04+00:00,,,,280.13,301.94,310.89,331.13,,L7
2002-01-31 21:54:26+00:00,,,,285.14,300.385,311.78,323.625,,L7
2002-03-20 21:54:48+00:00,,,,283.11999999999995,296.08666666666664,310.3233333333333,326.06333333333333,,L7
2002-08-27 21:53:36+00:00,,,,279.08,287.49,307.555,325.76,,L7
2003-01-18 21:54:06+00:00,,,,279.37,304.95,311.81,319.54999999999995,,L7
2003-03-23 21:54:16+00:00,,,,282.755,302.91999999999996,313.09000000000003,321.52,,L7
2003-07-21 21:42:09+00:00,320.95,299.71,300.8,286.14,300.89,310.26,324.52,296.23,L5
2003-09-07 21:43:00+00:00,324.2,300.495,303.81,286.14,300.89,310.26,324.52,302.155,L5
2004-02-14 21:44:57+00:00,317.575,298.715,306.305,,,,,308.03,L5
2004-05-20 21:46:20+00:00,313.075,297.63,302.58500000000004,,,,,307.98,L5
2004-09-25 21:50:07+00:00,314.04499999999996,296.21500000000003,296.89,,,,,,L5
2005-01-15 21:52:09+00:00,320.53,301.45,302.315,288.47,292.99,302.77,316.8,309.5,L5
2005-04-21 21:53:10+00:00,324.815,301.55499999999995,306.69500000000005,295.71000000000004,296.805,306.385,319.065,309.5,L5
2005-06-08 21:53:33+00:00,324.1766666666667,301.84999999999997,305.24,298.54333333333335,299.43666666666667,306.12333333333333,320.18333333333334,304.685,L5
2006-06-27 21:58:24+00:00,336.65,304.12,307.46,304.42,307.88,311.23,331.36,308.3,L5
2006-07-13 21:59:02+00:00,336.65,304.12,307.46,298.57000000000005,305.615,311.755,328.48,308.3,L5
2008-12-25 21:50:10+00:00,305.16,295.48,287.71,,,,,,L5
2010-12-31 21:55:32+00:00,330.34,298.85,297.85,,,,,,L5
2013-05-29 22:07:41+00:00,302.75,285.32,299.23,311.02,298.44,313.87,323.58,305.96,L8
2013-06-30 22:08:00+00:00,302.75,285.32,299.23,309.895,299.675,313.605,323.275,305.96,L8
2014-02-25 22:06:44+00:00,,,,306.7,285.84,308.88,319.92,300.75,L8
2014-08-04 22:05:38+00:00,301.55,289.08,298.41,302.065,296.095,313.21500000000003,322.74,303.255,L8
2014-08-20 22:06:06+00:00,301.55,289.08,298.41,302.44,293.1033333333333,312.61333333333334,322.7266666666667,303.255,L8
2015-02-28 22:05:24+00:00,,,,279.67,284.66,311.77,326.02,,L8
2015-05-19 22:05:04+00:00,,,,279.0,292.545,311.62,323.78999999999996,,L8
2015-06-04 22:05:12+00:00,,,,289.98333333333335,295.5733333333333,312.77,324.5833333333333,310.31,L8
2015-07-06 22:05:30+00:00,,,,289.98333333333335,297.83000000000004,313.6575,326.0175,310.31,L8
2015-07-22 22:05:13+00:00,,,,294.3675,298.392,312.86,325.596,310.31,L8
2015-08-23 22:05:48+00:00,,,,296.83000000000004,296.11833333333334,312.77833333333336,325.215,307.635,L8
2016-04-19 22:05:34+00:00,,297.58,301.9,312.9,313.8,318.01,328.98,310.39,L8
2017-02-01 22:05:40+00:00,,,,287.42,288.9,315.97,325.67,,L8
2017-05-08 22:05:23+00:00,,,,279.32000000000005,295.395,315.3,326.38,,L8
2017-07-11 22:05:50+00:00,,,,279.32000000000005,298.5433333333333,315.41,326.8833333333333,,L8
2017-08-28 22:05:44+00:00,302.64,295.5,298.52,289.595,304.77,315.68,326.9433333333333,,L8
2017-09-13 22:05:44+00:00,302.64,295.5,298.52,297.2866666666667,304.5675,315.61,327.445,310.49,L8
2018-04-25 22:04:50+00:00,,,,277.21,307.87,312.51,323.97,,L8
2018-06-28 22:05:04+00:00,,,,294.855,307.75,314.41499999999996,326.865,309.2,L8
2018-10-18 22:05:53+00:00,302.68,298.21,299.26,299.28,301.57,314.7266666666667,325.62666666666667,307.105,L8
2019-01-22 22:05:26+00:00,302.68,298.21,299.26,295.41499999999996,287.71,314.20000000000005,322.98,305.01,L8
2019-06-15 22:05:27+00:00,,,,277.01,295.84000000000003,312.345,325.48,,L8
2019-09-19 22:06:20+00:00,,302.1,299.63,288.68,302.79,311.40999999999997,324.825,308.16,L8
