dates,satname,nzd0179-0000,nzd0179-0002,nzd0179-0003,nzd0179-0004,nzd0179-0005,nzd0179-0006,nzd0179-0007,nzd0179-0014,nzd0179-0015,nzd0179-0016,nzd0179-0017,nzd0179-0018,nzd0179-0019,nzd0179-0001,nzd0179-0008,nzd0179-0020,nzd0179-0021,nzd0179-0022,nzd0179-0023,nzd0179-0024,nzd0179-0025,nzd0179-0026,nzd0179-0027,nzd0179-0028,nzd0179-0029,nzd0179-0009,nzd0179-0010,nzd0179-0011,nzd0179-0012,nzd0179-0013
1999-09-20 21:58:32.521000,L7,348.93,278.75,282.88,291.17,301.21,302.16,330.31,300.62,305.15,302.84,305.19,304.18,307.32,,,,,,,,,,,,,,,,,
1999-12-09 21:58:33.708000,L7,,43.06,37.29,44.23,,,,,,,,,,9.99,,,,,,,,,,,,,,,,
1999-12-09 21:58:57.676000,L7,,31.22,33.05,39.22,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:58:16.566000,L7,,,,,,,316.77,,,,,,,,407.43,,,,,,,284.70,297.89,293.22,304.20,373.66,,,,
2000-02-27 21:58:40.521000,L7,,,,,,,314.67,,,,,,,,378.30,,,,,,,286.73,298.45,295.05,304.55,379.21,,,,
2000-03-14 21:58:11.336000,L7,,46.08,101.75,157.67,33.42,98.74,,,,,,,,112.10,,,,,,,,,,0.90,,,,,,
2000-03-14 21:58:35.291000,L7,,37.10,100.67,115.49,208.84,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:58:09.573000,L7,,,98.09,40.59,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:58:33.541000,L7,,,99.94,38.77,187.96,114.89,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:56:44.750000,L7,,61.79,95.37,58.47,114.35,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:57:08.715000,L7,,64.91,98.83,64.31,42.50,74.16,,,,,,,,101.67,,,,,,,,,,,,,,,,
2001-01-12 21:56:06.772000,L7,54.72,56.94,106.77,51.99,129.85,95.07,,,,,,,,34.89,,,,,,,,,,,,,,,,
2001-01-12 21:56:30.696000,L7,54.42,60.29,108.15,52.41,35.47,95.99,145.07,,,,,,,36.71,95.43,,,,,,,,,,,,,,,
2001-03-01 21:55:57.624000,L7,,184.62,99.87,54.25,211.35,,,,,,,,,99.94,,,,,,,,,,,,,,,,
2001-03-01 21:56:21.596000,L7,16.79,177.61,111.70,88.65,209.11,,100.99,,,,,,,,,,,,,,,,,,,,,,,
2001-06-05 21:55:16.607000,L7,,60.99,101.04,196.28,,,,,,,,,,122.03,,,,,,,,,,,,,,,,
2001-06-05 21:55:40.577000,L7,44.74,61.07,101.03,196.34,,,115.18,,,,,,,10.89,81.80,,,,,,,,,,,,,,,
2001-06-21 21:55:05.323000,L7,,118.47,132.93,,17.79,118.82,,,,,,,,62.80,,,,,,,,,,,,,,,,
2001-06-21 21:55:29.297000,L7,,176.76,,,17.71,115.91,,,,,,,,148.42,,,,,,,,,,,,,,,,
2001-09-09 21:54:12.928000,L7,,54.92,96.01,47.43,113.73,72.55,,,,,,,,25.53,,,,,,,,,,,,,,,,
2001-09-09 21:54:36.880000,L7,47.80,62.05,90.77,46.47,118.30,74.71,,,,,,,,32.92,,,,,,,,,,,,,,,,
2001-09-25 21:54:04.740000,L7,332.23,,,,,,,,287.26,290.22,301.83,303.27,308.17,,,302.55,310.11,295.44,303.22,298.60,302.16,307.41,309.22,319.85,331.96,,,,,
2001-09-25 21:54:28.694000,L7,,59.81,104.11,190.04,212.48,,,,,,,,,92.45,,,,,,,,,,,,,,,,
2001-10-11 21:53:46.024000,L7,,33.49,100.42,46.15,38.48,,,,,,,,,28.82,,,,,,,,,,,,,,,,
2001-12-30 21:54:13.275000,L7,,,368.21,380.30,203.01,370.81,,,,,,,,,,,,,290.25,290.55,297.49,300.09,305.67,,,,,,,
2002-01-31 21:54:26.647000,L7,,328.65,335.23,351.63,356.62,368.64,351.85,327.29,332.42,330.16,337.15,337.08,324.58,,347.61,329.58,329.40,321.85,314.50,307.20,,,,,,352.13,353.50,348.75,340.71,334.98
2002-01-31 21:54:50.570000,L7,,329.60,335.53,352.68,357.15,371.08,352.26,331.07,333.16,332.40,337.59,338.91,325.82,,348.02,331.99,331.85,321.87,314.13,310.06,,,,,,353.77,355.22,349.88,343.80,338.36
2002-02-16 21:54:54.191000,L7,,29.85,19.12,22.69,189.53,83.97,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-20 21:54:24.081000,L7,2.51,124.01,96.89,176.02,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-20 21:54:48.224000,L7,18.95,47.94,97.05,179.58,,,,,,,,,,158.98,,,,,,,,,,,,,,,,
2002-08-27 21:53:36.267000,L7,,41.54,100.51,189.70,116.43,128.42,,,,,,,,,,,,,,,,,,,,,,,,
2002-08-27 21:54:00.253000,L7,,132.48,104.82,84.73,219.81,136.40,,,,,,,,141.09,,,,,,,,,,,,,,,,
2002-10-14 21:53:19.813000,L7,,21.88,26.72,0.96,184.69,117.73,,,,,,,,,,,,,,,,,,,,,,,,
2002-10-30 21:53:25.867000,L7,,,97.97,180.93,148.87,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-18 21:54:30.278000,L7,350.62,339.18,341.51,346.90,353.19,351.98,353.11,339.07,335.32,344.86,338.09,342.49,328.32,338.33,345.20,332.86,338.23,324.54,321.28,325.51,339.64,345.59,350.15,354.48,353.61,351.03,348.39,345.96,340.66,336.38
2003-03-23 21:54:16.760000,L7,118.87,190.85,,,,,,,,,,,,118.74,,,,,,,,,,,,,,,,
2003-03-23 21:54:40.711000,L7,125.21,190.99,,,,,,,,,,,,123.16,,,,,,,,,,,,,,,,
2003-05-10 21:54:22.508000,L7,76.86,,,212.88,106.75,46.63,,277.35,288.56,287.38,291.81,295.04,291.84,,,291.04,293.10,281.69,286.12,295.56,296.74,301.61,302.68,309.05,316.73,,,,,
2003-05-10 21:54:46.466000,L7,,,,,,,86.02,,,,,,,,93.79,,,,,,,,,,,,,,,
2003-07-21 21:42:09.884000,L5,,56.20,68.17,203.18,181.23,,,,,,,,,42.10,,,,,,,,,,,,,,,,
2003-07-21 21:42:33.857000,L5,,59.63,73.22,193.73,47.63,,,,,,,,,46.99,,,,,,,,,,,,,,,,
2003-08-06 21:42:27.230000,L5,,67.40,48.90,207.86,111.27,103.35,103.21,,,,,,,107.14,,,,,,,,,,,,,,,,
2003-08-06 21:42:51.203000,L5,,25.04,48.42,207.86,111.27,103.67,102.97,,,,,,,20.73,,,,,,,,,,,,,,,,
2003-09-07 21:43:00.591000,L5,19.49,,,,,,,,,,,,,2.98,,,,,,,,,,,,,,,,
2003-10-25 21:43:40.253000,L5,292.15,298.46,302.64,306.73,314.26,318.33,323.91,310.08,313.78,311.76,314.73,310.65,306.24,293.35,323.64,301.15,308.19,295.26,293.53,298.71,306.35,307.17,315.13,322.68,328.56,327.06,323.66,313.72,312.53,302.82
2003-10-25 21:44:04.226000,L5,294.42,297.75,301.16,305.50,313.49,318.16,320.93,308.54,313.22,312.06,313.17,309.34,307.72,293.18,323.00,301.84,306.71,294.58,293.73,297.44,305.86,307.03,315.02,321.78,327.27,326.77,323.74,312.61,311.90,302.62
2004-02-14 21:44:33.705000,L5,,,,196.96,159.41,,,,,,,,,,,,,,,,,,,,,,,,,
2004-02-14 21:44:57.678000,L5,,,,202.85,150.77,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-17 21:45:08.368000,L5,344.60,310.99,315.44,319.84,325.94,329.01,327.31,313.67,317.77,322.39,322.61,320.08,308.46,313.59,325.68,316.42,313.97,306.10,307.10,313.25,320.78,321.15,321.53,346.52,420.26,333.67,329.42,325.66,315.13,314.88
2004-05-04 21:46:16.049000,L5,,108.45,119.08,171.60,201.82,91.64,,,,,,,,132.86,,,,,,279.85,290.02,289.90,286.17,291.58,299.84,,,,,
2004-05-20 21:46:20.465000,L5,,,,,103.96,102.68,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-20 21:46:44.438000,L5,44.26,10.69,,,39.02,34.54,42.41,,,,,,,15.15,,,,,,,,,,,,,,,,
2004-06-21 21:47:16.748000,L5,,41.11,83.70,60.75,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-21 21:47:40.721000,L5,,55.20,93.20,137.96,167.92,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-07 21:48:09.180000,L5,,,53.69,85.58,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-07-23 21:48:33.165000,L5,,,57.95,61.64,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-25 21:49:43.196000,L5,,,,,,,,,,,,,,,,,,,272.80,286.20,292.79,287.06,285.84,296.43,306.33,,,,,
2004-09-25 21:50:07.312000,L5,,,,,,,,,,,,,,,,,,,272.22,286.20,292.05,287.06,285.84,296.14,305.61,,,,,
2004-10-27 21:50:47.740000,L5,,,,,,,,293.01,286.20,287.69,289.59,290.70,284.41,,,283.02,287.43,280.25,275.50,286.69,293.00,289.31,289.13,295.21,306.77,297.14,294.41,287.02,285.20,278.75
2005-01-15 21:51:45.464000,L5,324.93,319.31,304.21,304.29,317.77,319.66,318.28,305.53,308.53,310.21,311.80,308.57,307.05,321.40,319.17,307.33,314.42,302.74,303.43,310.49,313.21,317.64,317.30,324.14,326.22,322.91,320.18,311.65,306.36,301.94
