dates,nzd0252-0000,nzd0252-0001,nzd0252-0002,nzd0252-0003,nzd0252-0004,nzd0252-0005,nzd0252-0006,nzd0252-0007,nzd0252-0008,nzd0252-0009,nzd0252-0010,nzd0252-0011,nzd0252-0012,nzd0252-0013,nzd0252-0014,nzd0252-0015,nzd0252-0016,nzd0252-0017,nzd0252-0018,nzd0252-0019,nzd0252-0023,nzd0252-0024,nzd0252-0025,nzd0252-0026,nzd0252-0027,nzd0252-0028,nzd0252-0029,nzd0252-0030,nzd0252-0031,nzd0252-0032,nzd0252-0021,nzd0252-0022,nzd0252-0020,satname
2000-01-10 21:59:16+00:00,301.43,302.62,318.35,310.77,304.63,287.15,,,,,,,,,,,,,272.42,246.83,213.01,282.28,327.71,321.14,311.19,275.83,250.31,,,,,,,L7
2000-11-09 21:56:45+00:00,303.9,306.23,317.17,309.88,308.65,295.37,303.28,298.0,283.5,282.15,273.51,271.19,268.15,272.9,279.59,273.48,257.22,277.82,267.12,249.65,,279.62,,323.35,313.17,268.01,258.72,267.69,292.27,294.38,,,,L7
2001-10-11 21:54:33+00:00,321.21,319.08,325.28,321.89,319.2,,,,,,,,288.89,287.47,284.77,290.99,280.61,288.25,283.2,256.77,221.61,289.4,331.75,328.76,317.94,280.76,285.12,291.68,307.98,284.41,,,,L7
2002-02-16 21:55:18+00:00,318.575,323.905,325.28,314.845,310.59000000000003,281.79,293.78,313.23,274.55,275.93,257.89,264.69,283.53999999999996,278.09000000000003,277.94,283.81,266.88,287.21500000000003,276.25,255.82,221.61,289.4,331.75,328.76,317.94,280.76,285.12,291.68,307.98,284.41,,,,L7
2002-12-01 21:54:40+00:00,277.78,283.82,286.53,281.05,,,,,,,,,,,,,,,,,,257.27,286.72,305.49,290.28,,,,,,,,,L7
2004-09-25 21:50:31+00:00,293.32,295.13,313.95,308.18,,286.71,300.31,300.77,286.48,296.94,277.41,,278.05,272.21,279.62,,,,272.58,252.25,235.7,297.64,313.0,,307.91,,,,,,,,,L5
2013-11-21 22:08:01+00:00,301.83,311.26,329.73,316.63,316.23,307.41,310.5,310.82,320.68,286.61,275.42,,283.11,289.02,292.92,283.02,268.57,282.34,280.22,263.13,265.89,295.79,325.69,324.14,316.26,311.56,295.92,297.97,313.03,316.21,200.64,,,L8
2015-02-12 22:06:15+00:00,,270.13,283.09,303.08,290.95,288.53,281.17,271.18,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2015-12-29 22:06:33+00:00,,264.52,,287.01,285.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L8
2017-11-16 22:06:40+00:00,,,,344.25,345.69,338.65,337.62,,325.13,,,,309.24,,,,,,,,,,,,,,,,,,,,,L8
