dates,satname,nzd0252-0000,nzd0252-0001,nzd0252-0002,nzd0252-0003,nzd0252-0004,nzd0252-0005,nzd0252-0006,nzd0252-0007,nzd0252-0008,nzd0252-0009,nzd0252-0010,nzd0252-0011,nzd0252-0012,nzd0252-0013,nzd0252-0014,nzd0252-0015,nzd0252-0016,nzd0252-0017,nzd0252-0018,nzd0252-0019,nzd0252-0023,nzd0252-0024,nzd0252-0025,nzd0252-0026,nzd0252-0027,nzd0252-0028,nzd0252-0029,nzd0252-0030,nzd0252-0031,nzd0252-0032,nzd0252-0021,nzd0252-0022,nzd0252-0020
2000-01-10 21:59:16.407000,L7,301.43,302.62,318.35,310.77,304.63,287.15,352.22,343.13,343.44,347.51,361.84,378.24,381.32,330.73,340.48,330.12,344.10,334.95,272.42,246.83,213.01,282.28,327.71,321.14,311.19,275.83,250.31,368.81,366.38,364.49,,,
2000-11-09 21:56:45.337000,L7,303.90,306.23,317.17,309.88,308.65,295.37,303.28,298.00,283.50,282.15,273.51,271.19,268.15,272.90,279.59,273.48,257.22,277.82,267.12,249.65,,279.62,335.20,323.35,313.17,268.01,258.72,267.69,292.27,294.38,,,
2001-09-25 21:54:52.649000,L7,283.82,282.17,278.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-11 21:54:33.822000,L7,321.21,319.08,325.28,321.89,319.20,353.38,346.66,349.62,350.45,338.87,363.16,376.50,288.89,287.47,284.77,290.99,280.61,288.25,283.20,256.77,221.61,289.40,331.75,328.76,317.94,280.76,285.12,291.68,307.98,284.41,,,
2002-02-16 21:55:18.119000,L7,315.94,328.73,358.41,307.80,301.98,281.79,293.78,313.23,274.55,275.93,257.89,264.69,278.19,268.71,271.11,276.63,253.15,286.18,269.30,254.87,,,,,,,,,,,,,
2002-12-01 21:54:40.891000,L7,277.78,283.82,286.53,281.05,,,,,,,,,,,,,,,,,,257.27,286.72,305.49,290.28,,,,,,,,
2004-09-25 21:50:31.000000,L5,293.32,295.13,313.95,308.18,306.77,286.71,300.31,300.77,286.48,296.94,277.41,295.09,278.05,272.21,279.62,274.55,241.51,281.09,272.58,252.25,235.70,297.64,313.00,316.75,307.91,274.87,271.24,275.97,316.67,295.02,,,
2013-11-21 22:08:01.711000,L8,301.83,311.26,329.73,316.63,316.23,307.41,310.50,310.82,320.68,286.61,275.42,293.87,283.11,289.02,292.92,283.02,268.57,282.34,280.22,263.13,265.89,295.79,325.69,324.14,316.26,311.56,295.92,297.97,313.03,316.21,200.64,197.06,
2014-02-25 22:07:08.406000,L8,309.05,312.62,295.97,307.89,304.34,294.79,299.27,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12 22:06:15.200000,L8,253.33,270.13,283.09,303.08,290.95,288.53,281.17,271.18,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-29 22:06:33.122000,L8,256.67,264.52,282.23,287.01,285.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-06 22:06:07.051000,L8,,,,,,361.62,330.84,353.48,353.56,,,,,,,,344.72,295.37,293.72,307.75,248.82,312.75,326.19,314.86,324.83,332.42,296.83,335.01,344.47,344.64,207.90,187.62,249.52
2016-12-15 22:06:42.070000,L8,281.13,294.14,293.99,301.74,302.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
