dates,satname,nzd0186-0000,nzd0186-0001,nzd0186-0002,nzd0186-0003,nzd0186-0004,nzd0186-0005,nzd0186-0006,nzd0186-0007
2013-07-16 22:07:36.609000,L8,,,252.34,171.36,200.69,250.00,278.44,296.41
2013-08-17 22:08:03.120000,L8,,,,,213.25,249.52,271.99,288.71
2013-09-02 22:07:40.639000,L8,,248.95,248.35,166.47,219.09,261.38,280.66,291.49
2013-09-02 22:08:04.598000,L8,,249.97,248.46,166.44,219.40,261.79,280.42,291.83
2013-10-20 22:07:26.886000,L8,297.37,270.83,273.48,279.36,288.80,308.95,307.25,308.00
2013-11-05 22:07:22.900000,L8,192.41,,,,230.82,287.96,280.53,298.00
2013-11-05 22:07:46.855000,L8,251.82,,,,226.72,282.62,277.18,293.84
2013-11-21 22:07:13.797000,L8,,,,,,,269.39,293.15
2013-11-21 22:07:37.752000,L8,,,,,224.61,272.26,278.13,290.47
2013-12-07 22:07:14.870000,L8,,,,,227.81,282.24,277.27,292.79
2014-02-09 22:06:57.254000,L8,280.61,259.95,271.39,276.53,285.00,310.66,304.17,305.46
2014-02-25 22:06:44.447000,L8,,,,,219.78,283.65,280.19,291.95
2014-03-29 22:05:52.007000,L8,,,,,,,273.15,292.26
2014-03-29 22:06:15.961000,L8,,,243.81,167.74,216.39,209.39,274.98,292.36
2014-04-30 22:05:46.536000,L8,,257.98,266.41,271.57,279.76,298.66,287.82,303.10
2014-05-16 22:05:09.831000,L8,253.94,254.97,256.09,213.64,270.61,291.56,287.25,300.71
2014-08-04 22:05:38.545000,L8,366.41,373.83,314.53,324.42,406.30,435.31,297.30,272.89
2014-08-20 22:05:42.763000,L8,238.86,,,,,,273.75,287.99
2014-08-20 22:06:06.726000,L8,,,240.00,164.81,217.60,252.83,280.29,291.29
2014-11-08 22:05:52.173000,L8,,253.85,253.64,214.69,275.76,293.79,287.33,299.63
2014-11-08 22:06:16.124000,L8,325.37,296.92,311.03,318.90,344.97,342.86,344.45,352.53
2015-02-12 22:05:51.250000,L8,,,,,218.32,244.07,275.84,286.35
2015-02-28 22:05:48.437000,L8,300.48,262.47,276.01,280.94,288.52,312.82,307.36,307.04
2015-03-16 22:05:13.611000,L8,,,252.66,212.01,260.20,289.69,281.48,295.83
2015-05-19 22:04:40.718000,L8,,,,,,,271.24,293.46
2015-05-19 22:05:04.672000,L8,,,,,,,270.37,292.49
2015-06-04 22:04:48.656000,L8,201.90,,,,,,,283.28
2015-06-04 22:05:12.611000,L8,,,,,,,,282.70
2015-07-22 22:05:37.569000,L8,,,,,,,272.50,292.41
2015-08-07 22:05:16.273000,L8,,,,,,,267.52,287.67
2015-08-07 22:05:40.232000,L8,,,,,,,268.40,287.50
2015-08-23 22:05:48.569000,L8,,,,,272.87,281.32,280.85,297.85
2015-10-26 22:05:43.801000,L8,,251.06,254.49,213.11,226.69,285.66,286.48,292.92
2015-10-26 22:06:07.756000,L8,,250.89,254.27,212.46,226.20,284.74,287.20,292.43
2015-12-13 22:05:45.605000,L8,257.97,246.96,258.80,217.67,232.22,235.15,284.24,298.00
2015-12-29 22:05:45.209000,L8,319.98,331.13,347.49,349.25,340.32,334.75,383.87,361.07
2015-12-29 22:06:09.164000,L8,257.19,247.73,256.39,215.37,230.42,289.72,286.53,297.13
2016-03-02 22:05:31.567000,L8,,,,,,,269.08,287.14
2016-03-02 22:05:55.525000,L8,,,,,,,269.24,286.11
2016-04-19 22:05:11.034000,L8,,,,,,,272.23,280.42
2016-04-19 22:05:34.992000,L8,,,,,,,272.70,281.06
2016-05-14 21:59:24.184000,L8,248.42,254.33,257.30,214.83,216.64,210.11,285.52,295.22
2016-05-21 22:05:14.459000,L8,,255.92,260.41,265.82,264.58,287.30,287.42,296.74
2016-05-21 22:05:38.418000,L8,251.93,256.34,261.41,266.49,265.93,291.47,287.50,298.11
2016-07-24 22:06:01.938000,L8,238.87,,,,218.63,256.17,283.42,296.75
2016-09-10 22:05:51.530000,L8,245.17,,246.76,211.14,220.27,274.26,282.82,289.85
2016-09-10 22:06:15.488000,L8,244.84,,246.97,211.15,220.29,274.54,282.64,289.99
2016-10-28 22:05:59.220000,L8,,,,,224.08,277.16,278.14,292.61
2016-10-28 22:06:23.178000,L8,,249.78,248.85,165.14,223.32,276.46,279.86,292.26
2016-12-15 22:06:18.115000,L8,247.12,185.58,256.07,215.85,226.41,219.29,247.43,223.06
2017-01-16 22:05:47.126000,L8,294.43,273.77,289.06,298.33,303.74,311.80,317.54,315.38
2017-01-16 22:06:11.085000,L8,336.46,339.21,340.62,354.55,354.53,359.75,325.49,365.56
2017-03-05 22:05:27.019000,L8,340.13,319.95,345.86,353.60,355.14,327.75,336.11,348.79
2017-03-05 22:05:50.977000,L8,338.51,319.05,345.06,352.27,354.06,326.29,334.88,346.67
2017-04-06 22:05:10.007000,L8,276.93,262.91,275.28,279.61,290.80,314.35,301.52,306.51
2017-04-06 22:05:33.966000,L8,279.59,264.54,276.75,281.78,294.34,317.22,304.68,307.75
2017-05-08 22:04:59.325000,L8,,,,,,,252.39,293.31
2017-05-08 22:05:23.284000,L8,,,,,,,235.91,286.49
2017-05-24 22:05:10.453000,L8,271.51,265.24,279.48,282.00,294.41,322.04,301.16,309.60
2017-05-24 22:05:34.407000,L8,203.17,,252.10,217.41,209.05,202.66,154.58,294.88
2017-06-25 22:05:23.687000,L8,,256.00,261.40,226.55,218.16,248.18,288.03,298.67
2017-06-25 22:05:47.638000,L8,238.38,167.07,259.20,224.76,216.52,200.11,286.45,298.11
2017-07-11 22:05:26.464000,L8,,,250.53,228.64,195.84,253.33,278.13,295.54
2017-07-11 22:05:50.423000,L8,238.87,167.53,260.86,235.91,217.70,260.58,287.07,299.66
2017-08-12 22:06:04.307000,L8,304.86,308.42,315.95,318.08,311.76,336.45,321.28,327.47
2017-08-28 22:06:08.010000,L8,,,,,221.80,264.54,278.08,291.63
2017-12-02 22:05:46.939000,L8,298.89,277.38,282.99,286.82,296.67,317.15,313.51,312.18
2017-12-02 22:06:10.894000,L8,,,253.10,216.09,225.95,283.84,279.00,293.51
2018-01-19 22:06:02.658000,L8,,,,,,,262.89,290.01
2018-03-08 22:05:39.901000,L8,,,,,,,273.09,290.44
2018-04-25 22:05:14.903000,L8,264.86,266.93,274.01,280.85,288.44,311.50,301.26,308.45
2018-06-12 22:04:30.023000,L8,251.66,255.76,254.79,255.24,254.31,202.55,285.61,297.05
2018-06-28 22:04:40.307000,L8,233.87,,254.37,261.94,213.25,252.03,271.57,296.23
2018-06-28 22:05:04.262000,L8,233.43,,254.59,260.24,213.89,209.90,274.16,297.13
2018-08-31 22:05:11.322000,L8,,,244.59,220.17,220.73,250.12,276.11,293.41
2018-08-31 22:05:35.273000,L8,,,,,,,269.56,288.73
2018-10-02 22:05:47.245000,L8,279.59,263.45,273.86,283.10,291.73,310.91,305.55,307.77
2018-10-18 22:05:53.709000,L8,272.78,261.46,272.66,278.59,285.37,310.37,300.85,307.19
2018-11-12 21:59:47.452000,L8,,,,,228.23,288.34,282.71,293.63
2019-01-06 22:05:29.894000,L8,313.74,304.28,323.32,322.28,314.23,318.54,322.51,332.10
2019-01-06 22:05:53.844000,L8,315.51,309.44,328.95,334.85,316.59,319.44,325.34,334.85
2019-01-22 22:05:26.296000,L8,268.25,256.99,265.60,273.31,278.57,299.49,293.97,304.58
2019-01-22 22:05:50.255000,L8,269.48,256.96,265.11,272.90,276.42,298.03,294.95,304.17
2019-02-23 22:05:44.581000,L8,,,,,,209.59,279.46,298.53
2019-03-11 22:05:38.980000,L8,250.56,177.42,242.71,215.18,220.94,278.33,277.89,296.10
2019-04-12 22:05:06.784000,L8,252.51,172.22,253.84,262.25,264.92,283.82,285.10,297.94
2019-04-12 22:05:30.743000,L8,283.83,269.90,277.07,285.94,295.42,319.01,305.86,311.14
2019-06-08 21:59:38.441000,L8,237.43,,253.17,266.16,194.21,199.90,285.44,296.64
2019-07-17 22:05:35.131000,L8,,,246.87,221.02,194.35,194.21,269.54,295.59
2019-07-17 22:05:59.094000,L8,,,247.28,220.84,192.50,191.20,270.03,296.17
2019-09-19 22:05:56.310000,L8,,,247.10,261.78,258.08,285.76,286.84,295.87
2019-09-19 22:06:20.269000,L8,,,243.80,252.46,225.88,282.32,285.12,294.73
2019-11-06 22:06:00.727000,L8,279.99,266.57,286.26,287.98,285.66,311.09,302.18,308.37
2019-11-06 22:06:24.678000,L8,282.10,266.16,286.63,288.64,285.01,309.50,303.83,308.33
2019-11-22 22:05:57.141000,L8,251.65,252.09,258.04,261.87,227.27,286.20,286.47,295.13
2019-11-22 22:06:21.092000,L8,,,,206.33,219.93,275.21,280.91,290.22
2019-12-08 22:05:56.780000,L8,252.85,241.80,257.13,254.83,227.80,285.90,281.76,294.27
2019-12-08 22:06:20.730000,L8,254.50,240.93,251.83,211.38,226.98,283.33,285.12,292.70
2020-01-09 22:05:49.761000,L8,263.22,257.56,278.83,276.79,285.36,284.97,,
2020-01-09 22:06:13.711000,L8,250.55,240.60,265.59,260.61,227.75,,,
2020-01-25 22:05:45.614000,L8,,,,,,,266.83,290.30
2020-01-25 22:06:09.569000,L8,251.49,193.34,253.52,261.92,224.88,280.29,277.91,294.03
2020-02-10 22:05:40.938000,L8,,183.14,248.81,217.76,222.37,276.42,275.39,292.84
2020-02-10 22:06:04.888000,L8,246.56,189.47,251.32,258.09,223.51,280.50,278.00,293.14
2020-03-13 22:05:30.251000,L8,249.43,,,,,,207.36,299.65
2020-03-13 22:05:54.202000,L8,,,239.90,213.30,222.68,263.67,282.33,297.28
2020-08-04 22:05:59.720000,L8,,,,,,,268.06,292.61
2020-09-21 22:05:54.893000,L8,259.30,258.48,267.21,271.27,239.81,299.70,292.17,300.70
2020-09-21 22:06:18.848000,L8,,,250.61,224.06,225.74,278.80,282.82,296.00
2020-11-08 22:05:55.364000,L8,301.62,281.69,290.62,292.81,300.41,315.30,312.60,312.21
2021-02-12 22:05:43.398000,L8,,180.30,204.29,217.15,225.63,276.02,273.60,291.70
2021-02-12 22:06:07.348000,L8,249.98,189.93,249.86,219.42,225.40,278.00,277.03,292.19
2021-04-01 22:05:24.398000,L8,247.06,177.20,255.08,257.29,225.70,261.45,279.84,297.30
2021-04-01 22:05:48.357000,L8,,,240.87,214.39,219.82,215.41,273.33,293.33
2021-04-17 22:05:18.296000,L8,,,,223.90,233.30,214.18,245.30,298.12
2021-05-03 22:05:08.805000,L8,275.92,270.38,282.96,291.91,302.49,319.76,307.31,312.93
2021-05-03 22:05:32.764000,L8,247.57,179.30,262.12,264.36,269.91,284.34,288.36,298.59
2021-05-19 22:05:16.285000,L8,250.08,205.28,261.44,263.67,268.86,214.42,285.96,296.58
2021-05-19 22:05:40.235000,L8,264.74,267.40,278.55,286.30,297.32,317.51,299.94,310.97
2021-06-20 22:05:29.888000,L8,,,,,,,268.96,290.94
2021-06-20 22:05:53.843000,L8,,,,,,201.37,275.65,295.60
2021-06-29 21:59:44.847000,L8,,,,,,249.43,285.63,295.52
2021-07-22 22:05:36.953000,L8,,,240.14,223.55,212.45,206.72,275.57,293.84
2021-09-24 22:05:56.897000,L8,,,203.98,215.53,222.59,212.11,158.79,290.84
2021-09-24 22:06:20.847000,L8,,,,,,259.52,278.21,289.95
2021-12-29 22:05:53.312000,L8,167.73,177.84,249.90,257.40,230.05,280.18,279.61,289.12
2022-01-22 22:05:54.259000,L9,,,,,228.16,270.08,250.79,283.82
2022-01-30 22:06:10.369000,L8,247.89,181.44,251.41,222.17,232.05,271.11,268.47,291.12
2022-02-15 22:05:42.198000,L8,289.86,271.54,278.09,284.12,304.91,316.30,313.88,309.34
2022-02-15 22:06:06.152000,L8,355.51,315.18,321.55,327.91,331.76,330.95,336.66,351.21
2022-02-23 22:05:44.132000,L9,,,,,,255.09,266.92,284.04
2022-02-23 22:06:08.091000,L9,,,,,223.19,259.87,270.07,286.00
2022-03-11 22:05:39.861000,L9,249.11,174.25,248.97,224.59,226.78,260.97,276.04,290.45
2022-03-27 22:05:58.509000,L9,245.64,,236.85,219.29,223.01,216.45,270.55,284.55
2022-04-13 21:59:41.496000,L8,254.82,176.22,251.60,256.29,223.46,257.70,285.38,292.22
2022-05-07 21:59:32.291000,L9,,,,,,,266.21,282.95
2022-05-31 21:59:50.726000,L8,,,174.37,237.21,208.26,197.79,267.92,291.36
2022-07-01 22:05:54.433000,L9,,,,,,,283.25,298.75
2022-07-25 22:05:59.697000,L8,,,238.76,231.22,212.76,196.40,265.01,287.76
2022-07-25 22:06:23.647000,L8,240.40,254.08,248.18,240.45,216.05,200.83,268.67,291.71
2022-08-02 22:06:07.308000,L9,245.43,255.50,256.80,232.73,226.31,263.74,285.55,297.85
2022-08-03 22:00:18.311000,L8,,,243.99,230.89,217.30,210.94,159.61,293.55
2022-08-10 22:06:08.294000,L8,236.35,,236.74,219.37,214.87,211.01,273.66,286.95
2022-08-10 22:06:32.253000,L8,,,,,,,272.35,284.39
2022-08-11 22:00:01.791000,L9,,,,,,,269.63,282.71
2022-08-27 22:00:05.491000,L9,,,244.67,257.22,221.56,214.50,285.74,292.88
2022-10-06 22:00:26.730000,L8,,267.16,277.44,280.42,285.21,317.34,310.01,307.68
2022-10-21 22:06:05.581000,L9,249.19,204.56,244.26,219.14,227.45,278.89,282.39,289.97
2022-10-21 22:06:29.540000,L9,,174.45,242.55,217.93,226.63,277.13,282.55,289.67
2022-10-22 22:00:27.201000,L8,,,,,301.96,317.94,313.05,312.73
2022-11-22 22:06:05.804000,L9,331.66,333.70,333.10,329.07,328.08,334.98,337.59,343.61
2022-11-22 22:06:29.758000,L9,,195.19,248.29,232.52,240.16,280.05,276.40,290.22
2022-12-24 22:06:26.081000,L9,244.38,,,,,,,
2023-01-17 22:06:18.381000,L8,,198.00,249.06,226.17,233.96,270.77,264.64,287.35
2023-02-18 22:05:50.040000,L8,,359.61,385.33,454.24,311.52,315.44,329.84,323.72
2023-02-18 22:06:13.995000,L8,,,,220.41,231.84,246.78,278.58,292.47
2023-02-19 22:00:13.172000,L9,,,,,,,250.47,278.50
2023-03-06 22:05:38.279000,L8,252.96,246.86,255.24,265.85,268.10,286.83,285.91,296.26
2023-03-06 22:06:02.229000,L8,245.69,,244.62,219.86,228.15,262.23,273.51,290.30
2023-03-14 22:05:47.276000,L9,263.65,259.78,267.43,278.14,284.64,307.22,300.55,303.99
2023-03-14 22:06:11.235000,L9,266.61,260.90,268.49,278.78,285.52,308.07,303.87,304.56
2023-03-22 22:05:28.899000,L8,,,240.61,215.36,219.91,213.29,268.25,288.57
2023-03-22 22:05:52.850000,L8,,191.85,247.12,260.90,231.76,265.29,278.69,291.97
2023-03-30 22:05:35.326000,L9,268.94,265.37,270.93,280.52,290.62,311.81,305.37,307.21
2023-03-30 22:05:59.281000,L9,275.82,268.35,273.89,283.03,306.66,314.60,309.69,308.79
2023-04-07 22:05:40.262000,L8,239.44,,239.71,222.83,223.53,214.41,161.26,290.85
2023-04-23 22:05:09.227000,L8,438.08,174.37,313.67,299.97,279.88,448.21,448.57,489.07
2023-04-23 22:05:33.182000,L8,437.56,174.43,313.11,358.84,279.98,448.60,448.44,489.01
2023-05-25 22:04:56.681000,L8,,,,,,,269.70,284.12
2023-05-25 22:05:20.631000,L8,231.94,190.42,242.03,231.01,217.86,209.84,273.88,290.54
2023-06-02 22:05:05.917000,L9,246.78,254.73,255.17,265.36,,,,
2023-06-10 22:05:03.911000,L8,236.85,179.50,247.47,260.84,220.28,212.26,283.26,292.00
2023-06-10 22:05:27.865000,L8,,,,,,,269.10,288.84
2023-06-11 21:59:13.590000,L9,,,,,,,,287.43
2023-06-18 22:05:21.666000,L9,,169.72,245.57,192.46,,,275.92,292.47
2023-06-27 21:59:14.407000,L9,,,243.04,259.23,254.26,209.50,265.79,290.89
2023-07-05 21:59:30.960000,L8,250.27,257.93,266.38,279.72,283.28,274.13,,
2023-07-28 22:05:27.011000,L8,,,242.53,258.38,214.94,217.05,268.93,287.81
2023-07-28 22:05:50.970000,L8,,,244.09,259.94,216.66,254.13,270.92,289.20
2023-07-29 21:59:31.367000,L9,258.30,258.35,266.13,278.51,282.47,311.53,295.62,302.79
2023-08-05 22:05:23.191000,L9,244.89,180.01,252.22,262.79,260.33,250.48,285.09,298.33
2023-08-14 21:59:37.575000,L9,229.38,,,,,253.51,229.85,282.27
2023-08-21 22:05:28.170000,L9,248.57,185.54,253.20,265.26,265.94,286.56,286.95,299.02
2023-08-22 21:59:50.611000,L8,266.45,,,,300.43,267.71,308.40,308.24
2023-08-30 21:59:47.581000,L9,265.93,261.89,269.33,279.99,285.94,317.16,299.94,304.27
2023-09-15 21:59:56.151000,L9,265.78,262.55,271.17,280.86,286.07,307.48,302.95,304.61
2023-09-30 22:05:45.717000,L8,250.39,183.20,248.09,231.33,254.66,267.15,285.05,292.40
2023-10-01 21:59:55.343000,L9,247.71,248.54,249.07,263.40,256.21,276.60,286.97,293.37
2023-10-08 22:06:10.308000,L9,245.19,181.87,239.55,220.87,225.43,262.38,282.15,287.45
2023-10-09 22:00:00.639000,L8,,,247.34,262.16,266.33,281.92,286.09,287.67
2023-11-01 22:06:14.963000,L8,,,,,,,246.27,279.40
2023-11-09 22:05:48.886000,L9,278.06,265.68,275.52,283.45,291.44,316.20,313.72,306.22
2023-11-25 22:05:56.641000,L9,246.14,247.04,244.02,254.37,232.95,283.25,283.32,288.81
2023-11-26 22:00:05.887000,L8,326.23,303.11,306.37,318.22,324.20,327.65,345.10,344.58
2023-12-20 22:00:11.701000,L9,273.33,259.64,272.04,283.34,290.73,311.34,312.15,306.05
2024-01-12 22:05:54.962000,L9,243.76,237.14,250.79,262.22,236.33,285.16,275.62,292.15
2024-01-28 22:05:54.259000,L9,245.22,207.73,247.90,225.16,233.51,279.90,274.65,291.54
2024-02-05 22:05:44.082000,L8,,,,,232.47,270.37,271.70,285.56
2024-02-05 22:06:08.032000,L8,,,,,229.47,265.72,273.71,285.23
2024-02-13 22:05:53.993000,L9,241.84,186.13,243.17,224.41,230.57,266.92,269.35,288.82
2024-02-14 21:59:55.364000,L8,242.95,174.62,,,218.57,259.41,274.74,283.94
2024-02-29 22:06:11.471000,L9,249.20,242.49,252.69,265.90,264.75,287.96,285.28,292.96
2024-03-08 22:05:29.756000,L8,269.37,258.42,267.48,279.98,281.81,312.62,307.09,306.22
2024-03-09 22:00:02.127000,L9,247.45,195.35,244.79,265.81,227.64,282.82,286.66,290.96
2024-03-16 22:06:11.528000,L9,247.78,186.67,247.37,259.64,262.75,274.08,286.07,292.57
2024-03-24 22:05:18.113000,L8,264.85,260.26,271.23,276.22,303.32,317.09,313.23,313.02
2024-03-24 22:05:42.068000,L8,,,,,270.70,286.81,272.99,261.42
2024-04-01 22:06:02.710000,L9,270.33,263.04,274.69,284.76,293.68,318.19,309.77,307.16
2024-04-09 22:05:13.452000,L8,239.22,,237.82,222.04,219.27,213.62,268.19,286.75
2024-04-09 22:05:37.411000,L8,238.39,,236.48,219.18,218.16,211.87,263.92,285.44
2024-05-03 22:05:38.004000,L9,232.03,161.91,230.49,222.85,215.73,208.46,227.14,285.66
2024-05-11 22:04:51.948000,L8,234.98,185.54,246.66,259.17,219.74,211.36,165.06,293.04
2024-05-11 22:05:15.899000,L8,,,239.04,218.44,193.96,194.18,267.67,287.05
2024-05-27 22:04:41.027000,L8,,,,,,,278.73,295.43
2024-06-28 22:05:19.477000,L8,,,,,,,253.50,200.50
2024-06-29 21:58:59.377000,L9,,160.89,244.68,257.45,205.18,198.26,266.76,291.13
2024-07-07 21:59:13.270000,L8,235.26,254.40,252.70,265.31,272.85,212.79,288.01,297.05
2024-07-15 21:59:17.945000,L9,,243.70,255.75,254.64,209.46,211.06,,
2024-07-22 22:05:28.427000,L9,236.61,252.63,246.34,259.13,229.97,254.18,276.44,296.16
2024-07-23 21:59:27.877000,L8,176.40,,234.59,255.22,211.79,249.95,267.44,289.75
2024-08-24 21:59:36.826000,L8,304.99,282.62,292.63,308.69,319.06,345.49,315.47,324.06
2024-09-01 21:59:36.380000,L9,232.27,,200.61,223.12,214.62,211.18,218.78,220.43
2024-09-08 22:05:24.068000,L9,249.16,186.11,247.71,261.59,262.21,275.12,285.85,296.48
2024-09-16 22:05:33.937000,L8,327.58,315.07,316.54,335.55,333.47,332.69,349.39,344.32
2024-09-16 22:05:57.896000,L8,327.77,315.36,315.32,335.25,332.33,331.61,347.00,345.82
2024-09-24 22:05:25.519000,L9,250.77,252.87,,,219.45,283.47,286.97,291.60
2024-10-03 21:59:47.603000,L9,,174.16,236.49,256.48,225.38,270.65,284.36,288.28
2024-10-11 21:59:51.003000,L8,249.67,252.25,240.28,259.59,259.69,279.78,284.81,290.24
2024-10-26 22:06:12.211000,L9,243.96,190.56,239.26,220.91,225.68,273.73,278.29,287.10
2024-11-04 21:59:57.264000,L9,306.86,273.91,281.51,292.99,300.65,317.89,314.14,314.84
2024-12-05 22:05:45.408000,L8,313.13,300.29,313.30,311.82,320.19,324.03,332.75,323.05
2024-12-05 22:06:09.362000,L8,314.55,300.51,312.47,311.30,319.25,322.52,330.56,322.40
2024-12-06 21:59:59.962000,L9,240.79,179.22,241.11,224.45,230.49,276.95,271.33,291.11
2024-12-13 22:05:46.012000,L9,278.92,264.39,275.96,281.89,291.27,311.05,311.55,307.81
2024-12-21 22:05:40.930000,L8,,250.83,262.12,261.50,,,,
2024-12-22 22:00:02.208000,L9,,,,,,288.20,281.87,282.59
