dates,satname,nzd0084-0000,nzd0084-0001,nzd0084-0002,nzd0084-0003
1999-09-27 22:04:48.949000,L7,354.44,336.00,334.15,340.31
2000-01-01 22:04:37.439000,L7,354.82,331.43,285.68,247.43
2000-01-17 22:04:35.821000,L7,,346.23,341.75,342.55
2000-02-18 22:04:29.218000,L7,356.83,336.53,308.01,
2000-07-11 22:03:17.779000,L7,288.09,280.89,,
2000-10-15 22:01:56.204000,L7,305.40,297.23,285.76,242.70
2001-03-24 22:01:59.719000,L7,288.07,272.22,249.72,
2001-08-15 22:00:38.680000,L7,361.31,342.57,347.65,
2001-10-02 22:00:04.650000,L7,299.27,294.03,282.83,236.07
2001-11-03 22:00:10.954000,L7,369.18,356.97,359.82,
2001-12-05 22:00:18.987000,L7,299.07,289.54,279.56,230.32
2001-12-21 22:00:29.925000,L7,291.32,284.57,269.18,226.46
2002-01-06 22:00:31.992000,L7,360.73,308.56,326.21,254.11
2002-01-22 22:00:40.906000,L7,360.31,327.78,281.96,
2002-02-23 22:00:43.620000,L7,288.08,278.42,267.92,
2002-03-27 22:00:37.575000,L7,293.74,289.16,267.97,
2002-04-28 22:00:38.357000,L7,290.33,286.95,261.29,
2002-06-15 22:00:19.658000,L7,342.50,330.44,341.66,289.73
2002-07-01 22:00:15.186000,L7,341.17,326.06,319.64,329.96
2002-07-17 22:00:08.747000,L7,291.86,286.82,,
2002-08-02 22:00:01.321000,L7,297.12,298.21,,227.31
2002-08-18 21:59:57.690000,L7,362.88,345.94,359.21,
2002-09-19 21:59:35.083000,L7,,329.27,319.20,272.68
2002-12-24 22:00:09.147000,L7,333.98,320.90,316.26,240.39
2003-01-25 22:00:18.779000,L7,358.24,342.20,347.21,
2003-09-14 21:49:18.766000,L5,307.94,291.84,283.66,229.82
2004-07-30 21:54:28.143000,L5,298.04,288.71,274.59,
2004-09-16 21:55:41.721000,L5,328.33,312.02,309.36,258.14
2004-11-03 21:56:42.977000,L5,284.93,270.31,251.13,
2004-11-19 21:56:55.269000,L5,309.53,297.63,290.21,251.12
2005-02-23 21:58:31.621000,L5,332.18,316.13,307.36,260.70
2005-03-11 21:58:44.158000,L5,305.77,291.42,282.00,
2005-03-27 21:58:51.619000,L5,298.31,280.67,269.39,
2005-04-12 21:58:55.193000,L5,287.04,283.63,274.84,
2005-05-30 21:59:15.499000,L5,296.78,288.95,281.40,
2005-07-17 21:59:35.576000,L5,298.93,281.81,,
2005-09-03 21:59:56.285000,L5,292.24,288.96,283.00,
2006-04-15 22:03:30.798000,L5,301.73,286.30,273.75,
2006-05-17 22:03:57.969000,L5,366.30,342.19,346.16,
2006-10-24 22:06:02.805000,L5,281.25,279.73,266.88,
2007-02-13 22:06:47.368000,L5,301.69,290.03,282.35,
2008-02-16 22:02:22.163000,L5,309.33,298.64,290.31,
2008-10-29 21:55:24.451000,L5,299.74,287.26,231.98,
2009-01-01 21:56:31.615000,L5,313.06,294.04,284.52,226.49
2009-02-02 21:57:22.411000,L5,353.46,332.43,331.28,325.57
2011-01-07 22:01:44.406000,L5,293.12,284.83,273.75,
2011-03-12 22:01:43.554000,L5,354.46,338.12,341.77,338.83
2011-04-13 22:01:34.017000,L5,311.09,303.56,294.09,247.94
2011-09-04 22:00:27.603000,L5,357.20,336.57,336.95,332.39
2013-05-20 22:13:50.559000,L8,297.67,290.31,277.61,251.55
2013-06-05 22:13:51.261000,L8,286.03,278.62,259.24,236.65
2013-06-21 22:13:43.313000,L8,289.59,283.56,264.57,238.10
2013-07-07 22:13:48.209000,L8,285.17,278.68,,
2013-11-12 22:13:32.202000,L8,300.18,294.54,288.03,279.21
2013-11-28 22:13:25.971000,L8,286.89,277.31,272.48,
2013-12-14 22:13:21.591000,L8,300.53,296.65,288.36,269.80
2014-01-31 22:12:52.806000,L8,284.39,281.42,258.66,
2014-03-20 22:12:13.789000,L8,313.97,308.08,303.96,292.50
2014-04-05 22:11:58.702000,L8,320.74,318.84,312.97,301.16
2014-04-21 22:11:42.175000,L8,283.95,261.34,,
2014-05-23 22:11:18.694000,L8,285.43,283.87,,
2014-10-14 22:12:02.705000,L8,293.03,285.99,278.30,248.33
2014-10-30 22:11:58.859000,L8,,,,334.13
2014-12-01 22:12:00.318000,L8,297.57,287.06,284.14,265.93
2015-01-02 22:11:50.958000,L8,291.52,283.03,278.17,243.47
2015-03-07 22:11:30.209000,L8,355.37,298.35,290.04,259.43
2015-04-24 22:11:08.401000,L8,285.53,281.16,,
2015-05-10 22:10:52.487000,L8,309.92,306.26,297.46,272.61
2015-06-27 22:11:10.298000,L8,360.24,302.77,292.12,277.77
2015-07-29 22:11:25.856000,L8,359.02,294.85,287.94,265.83
2015-12-20 22:11:57.501000,L8,292.48,285.99,279.88,250.89
2016-02-22 22:11:42.580000,L8,285.19,274.72,255.61,
2016-03-09 22:11:40.902000,L8,296.06,290.32,279.70,249.07
2016-03-25 22:11:32.353000,L8,283.39,277.96,,
2016-04-26 22:11:21.230000,L8,292.15,286.24,274.82,
2016-05-12 22:11:20.683000,L8,290.59,286.07,273.22,243.19
2016-06-13 22:11:30.674000,L8,299.07,299.15,288.06,260.68
2016-07-15 22:11:46.335000,L8,284.08,281.90,,
2016-08-16 22:11:53.694000,L8,284.27,280.72,263.66,
2016-11-04 22:12:09.415000,L8,283.56,273.47,278.65,
2016-11-20 22:12:09.409000,L8,294.15,291.67,285.74,273.01
2016-12-22 22:12:03.110000,L8,283.29,278.14,,
2017-08-19 22:11:53.133000,L8,301.29,298.03,290.93,268.55
2017-09-04 22:11:55.578000,L8,390.17,334.86,337.94,328.37
2018-01-10 22:11:54.118000,L8,279.35,271.96,,
2018-01-26 22:11:45.215000,L8,298.36,295.52,287.65,262.83
2018-03-31 22:11:15.901000,L8,362.98,312.34,308.03,298.01
2018-04-16 22:11:06.667000,L8,293.73,288.49,278.38,237.45
2018-07-05 22:10:54.795000,L8,285.00,281.26,,
2018-08-06 22:11:10.291000,L8,286.49,280.96,260.96,
2018-09-07 22:11:24.397000,L8,299.35,297.45,286.09,261.68
2019-02-14 22:11:33.473000,L8,298.14,294.34,289.03,265.03
2019-03-02 22:11:29.304000,L8,283.10,272.43,,
2019-05-21 22:11:27.314000,L8,297.92,301.18,290.31,269.94
2019-06-06 22:11:35.277000,L8,288.42,285.68,,
2019-06-22 22:11:40.996000,L8,312.21,308.50,298.35,276.62
