dates,nzd0543-0000,nzd0543-0001,nzd0543-0002,nzd0543-0005,satname
2003-08-13 21:51:32+00:00,,,,155.94,L5
2003-12-26 21:59:30+00:00,165.59,169.15,,155.94,L5
2004-07-30 21:57:39+00:00,,,,144.33,L5
2004-10-18 21:59:11+00:00,159.74,165.36,,144.33,L5
2005-01-13 22:06:52+00:00,159.74,163.38,,144.33,L5
2005-02-14 22:07:21+00:00,163.765,163.74333333333334,,,L5
2005-11-13 22:09:08+00:00,177.48,171.75,115.58,,L5
2006-08-05 22:07:55+00:00,,,,139.11,L5
2006-10-08 22:08:40+00:00,,191.73,132.2,148.395,L5
2006-11-25 22:09:07+00:00,166.43,174.71499999999997,132.2,148.395,L5
2008-11-14 21:58:16+00:00,159.2,152.62,,,L5
2010-02-05 22:05:29+00:00,171.39,159.4,99.98,,L5
2010-11-27 22:10:35+00:00,,199.51,147.88,144.22,L5
2014-03-20 22:15:01+00:00,167.96,161.92,123.89,139.82,L8
2014-07-17 22:20:39+00:00,167.96,161.92,123.89,134.66,L8
2014-10-30 22:15:10+00:00,201.77,180.15,128.77,140.75,L8
2014-11-15 22:15:13+00:00,198.07,178.8,134.21,142.33,L8
2015-12-20 22:14:45+00:00,155.6,155.78,,,L8
2016-03-09 22:14:52+00:00,163.575,160.44,121.87,,L8
2016-06-04 22:20:28+00:00,163.575,160.44,121.87,134.12,L8
2017-05-22 22:20:18+00:00,,,,137.13,L8
2017-08-03 22:14:35+00:00,,,,134.435,L8
2017-10-29 22:21:05+00:00,167.05,163.36,116.38,135.15,L8
2017-12-25 22:14:47+00:00,161.375,161.23000000000002,110.57499999999999,134.16000000000003,L8
2018-02-27 22:14:19+00:00,159.77666666666667,161.04999999999998,111.31666666666666,135.09,L8
2018-04-16 22:14:18+00:00,159.77666666666667,161.04999999999998,111.31666666666666,143.12666666666667,L8
2018-07-12 22:19:56+00:00,156.58,160.69,112.8,148.90666666666664,L8
2018-11-10 22:14:32+00:00,151.4,151.03,,153.92,L8
2020-06-08 22:14:35+00:00,,,,132.54,L8
2020-10-14 22:14:56+00:00,155.79,152.71,,132.54,L8
2021-02-19 22:15:03+00:00,162.255,158.75,121.36,,L8
2021-11-02 22:15:01+00:00,160.83,156.36,,,L8
2021-11-18 22:15:20+00:00,160.19,156.375,,,L8
2021-12-12 22:14:55+00:00,163.07666666666668,158.75666666666666,112.84,,L9
2021-12-19 22:21:04+00:00,163.46,159.165,112.33500000000001,128.81,L9
2022-01-13 22:14:50+00:00,161.746,157.78,112.33500000000001,128.81,L9
2022-02-06 22:15:08+00:00,161.71,157.61666666666667,112.33500000000001,122.19,L8
2022-03-02 22:14:37+00:00,162.8642857142857,158.66,116.39,126.05333333333333,L9
2022-08-09 22:14:46+00:00,169.79,164.92,124.5,144.89,L9
2022-10-28 22:15:27+00:00,154.57,153.51,,156.0,L9
2022-12-30 22:21:12+00:00,154.77499999999998,153.615,,156.0,L8
2023-01-08 22:15:00+00:00,156.6833333333333,154.82333333333335,103.87,156.0,L8
2023-02-17 22:15:25+00:00,159.01749999999998,156.3875,108.89,,L9
2023-02-24 22:21:03+00:00,171.918,156.3875,108.89,158.39,L9
2023-05-24 22:14:28+00:00,178.60399999999998,157.82750000000001,108.44333333333333,147.63,L9
2023-11-24 22:15:15+00:00,168.7,163.05,112.76,,L8
2024-01-26 22:21:02+00:00,166.11,160.53500000000003,111.87,,L9
2024-01-27 22:14:37+00:00,161.47333333333333,156.32000000000002,111.87,,L8
2024-08-13 22:20:26+00:00,,,,135.5,L8
2024-10-24 22:20:57+00:00,157.76,156.27,,135.5,L9
2024-11-02 22:15:05+00:00,159.375,156.21,100.94,135.5,L9
2024-11-10 22:15:01+00:00,162.21333333333334,158.52666666666667,107.095,135.5,L8
2024-11-17 22:20:50+00:00,160.5,157.3625,107.095,135.5,L8
2024-12-04 22:14:48+00:00,162.88,158.776,110.69,136.385,L9
2024-12-27 22:20:57+00:00,163.18666666666667,158.9416666666667,111.72,132.96,L9
2025-09-10 22:15:08+00:00,,,132.07,,L8
2025-11-13 22:15:16+00:00,164.91,161.81,122.305,,L8
