dates,nzd0356-0000,nzd0356-0001,nzd0356-0002,nzd0356-0003,nzd0356-0004,nzd0356-0005,nzd0356-0006,nzd0356-0007,nzd0356-0008,nzd0356-0009,nzd0356-0010,nzd0356-0011,nzd0356-0012,nzd0356-0013,nzd0356-0014,nzd0356-0015,nzd0356-0016,nzd0356-0017,nzd0356-0018,nzd0356-0019,nzd0356-0020
2003-12-10 21:58:05+00:00,299.91333333333336,301.0325,287.77250000000004,264.575,257.5883333333333,248.24666666666667,245.70166666666668,243.71333333333334,233.75166666666667,235.34666666666666,274.92999999999995,272.865,254.57500000000002,281.255,282.33500000000004,285.435,288.94,288.6275,302.85,301.86800000000005,299.07399999999996
2004-01-04 21:52:10+00:00,299.91333333333336,305.118,293.24,266.426,261.2342857142857,252.03,249.27,247.5585714285714,238.53857142857143,242.79142857142855,281.304,278.548,263.51599999999996,281.255,288.404,285.435,291.338,291.29200000000003,302.17333333333335,302.56666666666666,300.4316666666667
2004-04-09 21:52:55+00:00,297.195,304.825,292.5375,266.16999999999996,280.184,259.78200000000004,255.71400000000003,272.2775,246.43400000000003,257.874,266.812,267.284,264.92400000000004,264.8325,277.558,270.3275,280.02200000000005,281.16200000000003,293.28833333333336,295.2916666666667,309.65400000000005
2004-05-18 22:00:14+00:00,279.44,295.24,283.27000000000004,255.02666666666664,274.1625,245.56,240.63,256.56666666666666,230.0525,242.5875,247.98,252.345,253.30249999999998,247.0233333333333,268.235,253.46333333333334,268.3175,273.1875,286.74199999999996,285.136,313.8300000000001
2004-06-12 21:54:47+00:00,273.995,295.7833333333333,284.3733333333334,249.61333333333332,257.0,241.29250000000002,237.1975,250.31333333333336,226.2575,236.40750000000003,244.665,249.90249999999997,250.875,244.8066666666667,265.4825,251.74333333333334,265.8575,268.32,268.325,264.435,307.22
2004-10-02 21:57:38+00:00,291.5466666666666,293.6433333333333,281.92333333333335,254.26999999999998,254.46,241.3425,237.26999999999998,250.83666666666667,224.325,234.01749999999998,236.4825,246.77749999999997,245.4375,258.6925,261.2325,264.77250000000004,267.26,268.235,266.24,260.4275,299.77
2004-11-10 22:04:35+00:00,300.8425,299.255,288.8175,267.42499999999995,265.7175,268.295,266.105,266.7825,252.08249999999998,265.125,263.7675,270.36749999999995,269.0175,285.09250000000003,285.81,291.81,291.9075,287.4275,284.79499999999996,275.875,313.1
2005-02-23 22:00:07+00:00,324.78666666666663,318.6933333333333,308.63,302.54999999999995,289.46333333333337,292.17,294.33666666666664,292.25666666666666,275.29999999999995,296.7233333333333,292.72666666666663,298.98,297.7233333333333,314.9066666666667,316.38,326.1766666666667,325.44,310.4433333333333,306.0333333333333,302.9533333333333,313.1
2005-03-11 22:00:19+00:00,324.78666666666663,318.6933333333333,316.95,307.90999999999997,289.46333333333337,299.1475,294.33666666666664,293.9125,275.29999999999995,301.5025,292.72666666666663,298.98,297.7233333333333,314.9066666666667,316.38,326.1766666666667,325.44,310.4433333333333,306.0333333333333,302.9533333333333,313.1
2005-04-12 22:00:30+00:00,316.28000000000003,314.88666666666666,321.54499999999996,314.6133333333333,288.43,307.21999999999997,293.76666666666665,291.0725,273.69,309.37000000000006,293.53333333333336,293.24666666666667,295.1066666666666,312.1933333333333,314.1266666666667,325.15333333333336,334.89,308.4166666666667,306.90666666666664,304.36999999999995,326.43
2005-09-10 22:07:43+00:00,314.03,313.01,301.26,282.16,280.65,287.86,280.435,266.725,261.41999999999996,273.11,281.925,273.79999999999995,277.59000000000003,298.67499999999995,301.05,314.33000000000004,321.04,305.53999999999996,303.65,302.025,309.16
2005-09-19 22:01:32+00:00,304.48,304.1066666666666,286.565,267.005,273.5,272.175,273.71,262.90333333333336,254.73666666666668,261.495,275.31,268.4166666666667,270.7633333333333,293.7933333333333,292.7366666666667,305.3,303.69,300.04333333333335,298.09,298.55333333333334,299.845
2006-01-25 22:03:29+00:00,302.8533333333333,302.46,284.2,267.51,271.74666666666667,270.98,275.00333333333333,264.84333333333336,256.09999999999997,261.7,277.5233333333333,268.45666666666665,273.3433333333333,294.5833333333333,295.77,310.16,305.42333333333335,303.92333333333335,306.3500000000001,310.38666666666666,305.67
2006-02-17 22:10:10+00:00,299.34749999999997,299.23,280.7225,264.91999999999996,268.4175,267.2525,269.825,261.9225,253.875,260.7225,275.1425,268.645,271.51,292.09999999999997,292.79499999999996,304.795,302.055,299.9925,302.24250000000006,310.38666666666666,301.84749999999997
2006-06-25 22:12:20+00:00,292.53999999999996,294.11,274.88000000000005,262.8349999999999,262.78000000000003,262.33,263.715,259.90999999999997,253.8,259.95000000000005,275.56499999999994,250.55666666666662,253.66,289.615,270.7233333333333,302.03499999999997,300.42,297.685,303.8850000000001,329.78,303.8499999999999
2006-08-21 22:06:55+00:00,253.5,251.09,233.81,,,,211.64,,201.62,,,214.96499999999997,221.84,,240.54500000000002,,,253.94,,,
2006-09-22 22:07:18+00:00,249.775,247.57999999999998,230.70499999999998,,,,215.85,215.76,203.785,,,214.96499999999997,221.84,,240.54500000000002,,,253.94,,,
2006-10-08 22:07:29+00:00,262.61333333333334,261.79,246.01333333333332,264.88,257.73,258.34,229.08666666666667,235.94,213.67666666666665,245.36,254.92,229.17666666666665,233.34666666666666,280.82,253.96333333333334,293.82,298.14,276.32,294.42,298.45,297.76
2006-10-24 22:07:38+00:00,270.9925,268.775,252.415,259.985,252.31,255.85,232.865,238.3166666666667,219.11,246.02,262.4,239.98,241.51749999999998,285.84000000000003,263.055,293.90999999999997,295.945,279.6666666666667,290.53499999999997,295.305,293.04999999999995
2007-02-04 22:14:33+00:00,270.9925,268.775,252.415,270.51,261.03333333333336,264.00666666666666,232.865,247.3475,228.776,257.30333333333334,276.2,263.07,263.69,285.84000000000003,273.98,293.90999999999997,295.945,279.6666666666667,290.53499999999997,295.305,304.23333333333335
2007-02-13 22:08:23+00:00,275.246,272.394,254.17600000000002,264.59499999999997,257.96000000000004,260.1,235.33800000000002,247.334,231.36666666666667,256.0,275.655,265.06,264.482,287.81666666666666,276.1375,290.68,293.13666666666666,281.055,288.91,292.4766666666667,301.9525
2007-09-09 22:06:33+00:00,289.37,286.01,260.46,246.69,247.65,245.19,238.9,233.56,228.17,243.75,263.3,264.04,260.47,283.15,280.73,286.13,279.83,285.19,281.47,281.05,276.46
2007-10-02 22:12:30+00:00,292.775,293.025,268.955,263.61,262.85,260.14,254.435,249.815,245.135,253.435,263.8,264.19500000000005,261.20500000000004,284.005,283.20000000000005,286.475,290.28499999999997,294.685,294.20500000000004,290.445,291.11
2009-01-24 22:04:54+00:00,304.4,302.49,291.8,278.81,282.89,283.31,276.42,278.11,262.6,258.41,287.54,276.02,273.69,288.12,286.7,299.81,303.14,306.45,306.41,307.6,311.71
2009-12-03 22:03:55+00:00,322.32,325.54,301.77,287.72,288.58,293.18,296.96,290.52,286.12,,299.92,297.57,296.14,313.2,315.3,323.21,315.6,308.46,313.79,311.86,319.24
2010-02-21 22:04:20+00:00,304.935,306.685,284.27,270.71000000000004,275.71500000000003,276.78999999999996,275.18,270.575,265.345,256.97,283.94,279.365,279.59000000000003,297.255,297.93,303.905,302.675,302.92499999999995,304.46000000000004,303.195,307.07
2010-12-29 22:09:29+00:00,303.11,310.47,266.27,250.94,250.36,251.9,247.07,240.14,241.9,256.9,272.39,270.54,268.94,293.04,283.95,281.24,282.57,283.17,285.99,285.64,292.47
2011-01-07 22:03:20+00:00,295.15999999999997,299.165,265.815,250.70999999999998,249.08,251.845,247.605,243.925,241.785,256.725,272.9,270.39,268.32,287.225,280.505,281.55,284.04499999999996,285.61,286.64,287.635,293.77
2011-01-23 22:03:20+00:00,295.1166666666666,296.60333333333335,269.26666666666665,252.95333333333335,252.55000000000004,253.35333333333332,248.74333333333334,244.04666666666665,242.9333333333333,256.8833333333333,272.27666666666664,270.5466666666667,267.58666666666664,287.52333333333337,281.4066666666667,283.09666666666664,286.56666666666666,288.23333333333335,289.88000000000005,289.4733333333333,295.90333333333336
2011-02-08 22:03:23+00:00,297.3825,296.70000000000005,273.4125,254.64249999999998,253.4275,253.6925,249.54,246.5275,245.7275,259.0125,273.6075,273.775,270.5675,291.21000000000004,281.115,284.83500000000004,286.155,287.925,289.28000000000003,288.0775,295.86
2011-03-12 22:03:19+00:00,305.746,298.1,276.056,257.27200000000005,256.096,254.622,249.74,247.004,244.42,257.95,271.662,272.678,270.194,290.6,281.63800000000003,286.976,287.88,288.96400000000006,290.304,288.562,293.94
2013-05-11 22:21:31+00:00,,278.77,264.79,242.23,242.81,238.49,235.17,227.86,222.23,221.93,,237.1,236.97,,,,267.74,271.67,271.86,264.92,
2013-05-27 22:21:38+00:00,,290.645,280.415,258.78499999999997,261.49,238.49,250.575,245.835,239.22500000000002,240.64000000000001,271.66,252.575,252.90499999999997,285.5,284.23,295.27,280.095,280.69500000000005,286.95500000000004,281.05,264.46
2013-06-05 22:15:27+00:00,,285.3833333333333,274.1,254.26666666666665,253.07000000000002,239.48000000000002,245.64,240.0666666666667,233.77,233.9,271.66,238.84666666666666,249.17999999999998,285.5,253.685,295.27,280.095,276.31666666666666,276.9066666666667,281.05,264.46
2013-09-16 22:21:33+00:00,322.86,285.3833333333333,274.1,254.26666666666665,253.07000000000002,239.48000000000002,245.64,240.0666666666667,233.77,233.9,271.66,238.84666666666666,249.17999999999998,285.5,253.685,295.27,280.095,276.31666666666666,276.9066666666667,281.05,264.46
2013-10-18 22:21:25+00:00,322.86,281.2875,269.28000000000003,250.3375,249.2825,239.31000000000003,243.75,236.95250000000001,231.56,229.54500000000002,271.66,239.965,246.5625,285.5,252.87666666666667,295.27,274.8666666666667,274.92,275.5625,276.07666666666665,254.27999999999997
2013-11-12 22:15:08+00:00,307.65999999999997,287.3975,274.365,256.255,255.2625,247.49,250.90750000000003,245.0325,239.925,239.20499999999998,272.16,248.4375,254.88,285.46000000000004,261.6725,293.7,282.0566666666667,279.7675,280.96500000000003,285.4066666666667,267.19
2014-02-16 22:14:14+00:00,301.01,290.06,274.79333333333335,256.64000000000004,256.66,255.25666666666666,254.28666666666672,248.10666666666665,243.65,245.50666666666666,271.855,261.81,258.97,286.43,275.65000000000003,293.09000000000003,283.26666666666665,285.0833333333333,287.1066666666666,283.96,275.5533333333333
2014-03-20 22:13:49+00:00,293.9,294.3125,280.14,262.4775,267.75,261.4025,254.28666666666672,248.10666666666665,243.65,245.50666666666666,271.855,265.0375,263.52750000000003,289.9533333333333,280.59000000000003,296.1366666666667,287.93,289.3625,290.745,288.725,279.1825
2014-05-30 22:19:10+00:00,284.1066666666666,295.97999999999996,283.10999999999996,264.72,270.46,262.48999999999995,249.43,246.04999999999998,238.73000000000002,245.63,258.415,263.47666666666674,265.28,292.22,291.5200000000001,288.58666666666664,289.3733333333333,290.3833333333334,290.17,278.83,289.81000000000006
2014-07-26 22:13:18+00:00,284.1066666666666,295.97999999999996,283.10999999999996,264.72,270.46,262.48999999999995,249.43,246.04999999999998,238.73000000000002,245.63,243.67666666666665,258.43250000000006,261.7925,292.22,291.5200000000001,282.3725,283.645,286.0325,286.10249999999996,275.13,289.81000000000006
2014-09-03 22:19:42+00:00,282.41,295.62333333333333,282.92,264.6366666666667,270.33666666666664,262.58666666666664,251.1,246.57,240.38,246.08499999999998,244.3066666666667,258.27750000000003,262.94500000000005,293.575,292.33000000000004,282.88250000000005,283.125,285.74,285.855,274.84499999999997,284.885
2014-09-28 22:13:32+00:00,275.0233333333333,292.89666666666665,284.03666666666663,265.5733333333334,261.61999999999995,253.95999999999998,251.1,246.57,256.28,246.08499999999998,259.02,252.7966666666667,270.37,306.25,306.34000000000003,290.015,288.38,280.25333333333333,280.58666666666664,265.4533333333333,279.7
2014-10-14 22:13:38+00:00,276.0775,294.0625,283.66999999999996,266.39000000000004,263.40749999999997,257.8833333333334,255.96333333333334,251.84333333333333,256.4325,251.43999999999997,262.194,257.9625,270.88,301.02,300.97333333333336,291.262,290.002,284.5525,284.4175,272.6725,286.34000000000003
2014-11-06 22:19:49+00:00,282.088,297.726,286.424,272.874,271.67999999999995,268.56,255.96333333333334,263.10249999999996,256.4325,265.4,262.194,268.68199999999996,270.88,307.8375,307.1375,291.262,290.002,294.57,295.964,286.392,286.34000000000003
