dates,satname,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058
2001-08-15 22:00:38.680000,L7,331.81,311.54,320.36,316.14,307.76,318.12,316.83,304.94,259.54,319.74,324.23,326.79,316.13,316.28,323.41,334.04,335.08,325.12,324.87,324.05,391.75,382.67,378.43,386.35,408.80,417.38,350.07,334.25,340.97,334.86,382.52,391.42,391.57,386.34,398.82,395.90,397.52,401.04,397.60,385.02,383.46,410.91,387.46,384.97,379.04,385.88,383.53,373.39,410.07,331.08,335.27,326.51,320.47,323.69,312.69,373.66,379.00,337.89,341.66
2001-10-02 22:00:04.650000,L7,321.77,222.13,174.66,236.04,246.22,254.02,250.47,221.26,236.52,171.26,139.66,88.20,48.05,314.39,327.94,335.73,325.12,330.19,322.40,325.77,369.11,314.49,325.76,327.16,328.09,337.20,330.02,330.10,354.40,340.64,327.70,324.70,367.56,393.80,339.71,339.15,344.72,330.04,327.32,331.77,335.81,328.37,340.05,354.28,339.71,319.22,323.67,395.78,413.73,401.10,329.51,,,,,,266.61,335.43,363.59
2001-11-03 22:00:10.954000,L7,349.69,332.33,328.42,305.13,298.07,298.34,284.88,340.27,290.98,,299.80,296.72,296.75,298.54,288.60,297.17,289.42,,,320.58,336.61,313.68,307.16,307.90,320.68,322.51,328.51,324.83,320.93,315.51,314.01,316.50,313.00,320.69,319.19,315.43,316.63,318.21,315.82,316.83,315.21,317.65,314.72,315.72,312.43,317.82,320.26,320.89,319.01,317.47,315.14,338.97,339.52,331.18,337.73,336.69,321.40,320.71,312.77
2001-12-05 22:00:18.987000,L7,307.88,223.41,175.04,255.85,264.82,257.28,267.75,230.46,240.60,171.07,157.28,155.83,47.77,387.61,310.33,396.11,344.73,388.95,378.32,386.48,377.40,328.33,404.15,349.33,327.56,335.86,339.41,392.82,337.01,359.36,352.12,355.81,399.42,359.10,341.59,336.33,350.41,359.34,390.18,332.16,334.57,398.07,414.73,418.12,416.00,418.51,413.36,393.09,344.45,322.29,326.48,323.64,315.87,328.93,300.59,397.82,385.02,326.63,
2001-12-21 22:00:29.925000,L7,,,,251.52,,,,307.25,271.20,126.48,,,,,,,,,,,,,,,,,,,,,,,,362.82,379.62,361.25,360.37,355.39,388.29,360.31,129.92,148.43,124.23,331.31,347.66,349.32,,,332.53,361.37,395.24,338.39,340.19,334.11,334.57,352.29,328.98,307.47,303.47
2002-01-22 22:00:40.906000,L7,340.10,348.75,377.95,408.80,359.07,394.28,354.48,359.28,365.46,375.14,395.17,367.16,375.88,376.74,383.43,387.73,402.52,395.64,382.93,394.91,396.44,411.46,320.72,326.18,331.38,335.82,339.23,338.51,336.17,334.60,334.27,333.19,396.96,418.90,416.54,403.58,391.27,386.67,409.56,395.22,402.68,422.41,399.43,393.73,382.46,409.31,413.07,407.59,328.17,329.89,326.50,391.93,395.37,363.51,376.22,372.74,361.07,373.58,364.64
2002-02-23 22:00:43.620000,L7,319.62,322.88,394.73,335.02,246.70,255.19,257.92,232.57,246.13,174.19,173.86,74.50,382.88,403.08,365.35,410.67,402.97,401.83,396.56,387.80,397.68,399.82,394.73,396.00,400.10,401.84,415.84,347.47,344.30,342.80,339.15,,,,,,,,,,125.17,204.49,424.37,326.92,330.63,78.74,138.75,195.97,245.76,231.83,,,,,,,,,
2002-03-27 22:00:37.575000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.09,269.94,275.67,274.90,271.19,201.37,188.13,196.31,111.08,,,,,,,,,356.64
2002-04-28 22:00:38.357000,L7,336.36,340.44,347.48,252.74,269.29,274.51,269.73,260.57,259.17,218.77,175.27,376.97,131.17,139.02,105.61,328.25,333.05,364.48,391.61,367.01,368.41,362.22,341.56,376.13,386.38,359.27,372.66,368.70,386.72,369.68,366.06,365.48,357.27,373.38,351.16,368.55,356.82,350.16,316.53,356.75,145.22,144.69,152.75,166.81,436.44,,,,,,,,,,,,,,
2002-06-15 22:00:19.658000,L7,344.14,354.12,348.88,254.68,276.71,279.44,275.71,267.11,267.58,187.50,124.22,137.60,64.27,38.12,345.96,348.18,141.15,82.16,84.13,118.90,116.50,116.26,345.37,346.78,357.68,356.91,367.98,366.44,350.50,348.50,346.68,344.66,331.18,330.50,332.60,297.09,,,,,344.63,339.36,119.40,162.68,267.05,335.17,342.39,348.46,331.70,347.65,349.57,344.54,339.36,332.12,302.22,324.29,314.47,310.13,307.24
