dates,nzd0107-0000,nzd0107-0001,nzd0107-0002,nzd0107-0003,nzd0107-0004,nzd0107-0005,nzd0107-0006,nzd0107-0007,nzd0107-0008,nzd0107-0009,nzd0107-0010,nzd0107-0011,nzd0107-0012,nzd0107-0013,nzd0107-0014,nzd0107-0015,nzd0107-0016,nzd0107-0017,nzd0107-0018,nzd0107-0019,nzd0107-0020,nzd0107-0021,nzd0107-0022,nzd0107-0023,nzd0107-0024,nzd0107-0025,nzd0107-0026,nzd0107-0027,nzd0107-0028,nzd0107-0029,nzd0107-0030,nzd0107-0031,nzd0107-0032,nzd0107-0033,nzd0107-0034,nzd0107-0035,nzd0107-0036,nzd0107-0037,nzd0107-0038,nzd0107-0039,nzd0107-0040,nzd0107-0041,nzd0107-0042,nzd0107-0043,nzd0107-0044,nzd0107-0045,nzd0107-0046,nzd0107-0047,nzd0107-0048,nzd0107-0049,nzd0107-0050,nzd0107-0051,nzd0107-0052,nzd0107-0053,nzd0107-0054,nzd0107-0055,nzd0107-0056,nzd0107-0057,nzd0107-0058,satname
2002-06-15 22:00:19+00:00,,359.43,352.7,,,,341.21,330.81,330.125,,344.145,348.21,,342.56,352.58,342.82,342.07,349.09000000000003,355.68,350.95,348.17,,321.28,318.51,341.13,341.88,358.16,342.56,329.855,360.0,350.91,350.39,340.28,334.5,342.75,,,,,334.46,352.31,280.26,,331.68,329.47,,327.23,328.27,326.76,331.56,330.58,302.64,343.94,336.56,329.34,329.51,323.52,316.2,330.885,L7
2002-07-17 22:00:08+00:00,,359.43,352.7,,,,341.21,330.81,330.125,,344.145,348.21,330.09,342.56,352.58,342.82,342.07,349.09000000000003,359.84000000000003,356.17499999999995,353.435,,321.28,318.51,342.6233333333333,341.88,366.6,342.56,329.855,360.0,350.91,350.39,340.28,334.5,357.20500000000004,,366.05,,370.72,348.095,360.565,280.26,341.0,346.98,344.81500000000005,360.01,327.23,342.29499999999996,306.975,312.265,313.17499999999995,297.63,314.37,305.85,301.78,340.015,330.57,329.95,326.46999999999997,L7
2002-09-19 21:59:35+00:00,,359.43,349.36,346.43,,,341.21,330.81,330.125,,344.145,348.21,330.09,342.56,352.58,342.82,342.07,349.09000000000003,359.84000000000003,356.17499999999995,353.435,347.42,333.645,318.51,318.795,321.6033333333333,338.31,342.56,311.82,360.0,310.675,310.725,345.44,334.5,357.20500000000004,,366.05,359.25,361.425,348.095,359.7833333333333,284.36,311.38,346.98,344.81500000000005,322.805,309.83000000000004,324.63666666666666,298.46999999999997,306.37,306.3833333333333,294.7625,304.09,294.81,291.93,320.6666666666667,301.31333333333333,329.95,332.3225,L7
2003-08-13 21:48:45+00:00,,,,,,,,,,,,,,,,,,248.91,,234.62,,,,,,,,,,,,,,,,,,288.91,269.3,281.11,,280.9,278.77,,,265.8,285.01,280.2,283.49,296.89,296.74,298.74,288.7,276.35,273.15,298.05,273.97,276.97,277.16,L5
2003-09-14 21:49:18+00:00,,,,,,,,,,,,,,,,,,262.33,,250.8,,248.87,,,272.46,304.62,300.46,,286.62,,298.38,294.41,,297.01,309.64,298.46,284.67,301.145,286.185,292.45500000000004,307.19,296.28999999999996,289.235,299.62,301.16,279.26,296.18,291.97,293.23,303.43,307.745,306.65,298.2,288.05,285.405,304.655,287.775,284.375,279.725,L5
2003-11-17 21:50:09+00:00,,,,,,,,,,,,,,,,,,258.08666666666664,,244.48333333333335,,248.87,,,272.46,295.21000000000004,294.315,,286.62,,285.41999999999996,294.41,,284.91499999999996,300.075,298.46,284.67,301.145,286.185,292.45500000000004,307.19,296.28999999999996,291.42333333333335,298.02,298.24,275.81666666666666,299.3966666666667,288.52,290.18333333333334,300.7133333333333,304.8666666666667,303.4666666666667,294.5233333333333,284.2866666666667,281.2866666666667,304.14000000000004,287.99333333333334,284.99,280.79333333333335,L5
2004-07-30 21:54:28+00:00,,,,,285.74,298.0,295.48,284.32,286.32,267.32,,,274.78,,258.95,285.73,,,304.02,,282.73,264.2,275.66,308.46,296.72,,333.55,315.34,309.9,325.46,,314.91,319.63,321.95,323.97,318.59,309.86,326.63,332.14,327.38,330.41,325.01,326.8,320.76,319.19,315.47,320.75,325.3,328.25,326.03,328.49,320.73,321.59,309.33,314.1,326.39,321.8,313.21,300.72,L5
2004-10-18 21:56:23+00:00,,,,,285.74,298.0,295.48,284.32,286.32,267.32,,,274.78,,258.95,285.73,,262.84,260.34,238.45,254.175,223.875,239.11,243.635,265.52500000000003,279.4,313.69,284.68,309.9,308.46,270.58,299.31500000000005,319.63,305.77,305.45500000000004,318.59,309.86,307.525,332.14,327.38,330.41,306.56,311.23,309.235,308.53499999999997,296.255,311.895,314.56,316.68,315.99,311.305,309.67,306.18499999999995,294.235,294.755,326.39,321.8,313.21,300.72,L5
2004-11-03 21:56:42+00:00,,,,,285.74,298.0,295.48,284.32,286.32,267.32,,,274.78,,258.95,285.73,,263.28,255.21333333333334,239.505,242.64333333333335,206.58666666666667,239.11,223.83333333333334,252.5,277.31,302.31666666666666,270.24666666666667,309.9,301.0833333333333,260.98,295.77333333333337,319.63,300.2733333333333,305.2,318.59,309.86,301.27,332.14,327.38,259.58000000000004,300.06333333333333,302.84,303.46666666666664,304.40333333333336,288.74666666666667,309.3666666666667,310.37,312.2633333333333,313.15333333333336,311.53333333333336,305.95,301.38333333333327,288.2133333333333,287.9166666666667,311.71,299.255,295.88,289.32000000000005,L5
2005-02-23 21:58:31+00:00,,,,,,,,,,,,,,,,,,261.64000000000004,234.84666666666666,239.89666666666668,228.85333333333335,184.61,207.875,190.35333333333332,233.47,281.81,284.14000000000004,239.61666666666667,272.6,277.4733333333333,263.07666666666665,274.7633333333334,,287.3666666666666,298.7133333333333,,,292.68,,,194.525,291.1433333333334,288.2766666666667,293.2233333333333,289.15666666666664,276.29333333333335,302.1066666666667,300.5233333333333,299.93,304.98333333333335,306.07666666666665,301.8566666666666,295.05,283.1166666666666,279.08666666666664,301.875,282.22,283.985,279.405,L5
