dates,satname,nzd0122-0000,nzd0122-0001,nzd0122-0002,nzd0122-0003,nzd0122-0004,nzd0122-0005,nzd0122-0006,nzd0122-0007,nzd0122-0008,nzd0122-0009,nzd0122-0010,nzd0122-0011,nzd0122-0012,nzd0122-0013,nzd0122-0014,nzd0122-0015,nzd0122-0016,nzd0122-0017,nzd0122-0018,nzd0122-0019,nzd0122-0020,nzd0122-0021,nzd0122-0022
1999-10-22 21:58:28.758000,L7,391.76,370.42,366.90,371.73,375.99,369.21,364.30,362.29,359.35,383.74,359.87,356.25,353.54,359.43,369.22,367.96,364.91,341.97,349.31,361.31,366.23,362.21,337.30
1999-12-09 21:58:33.708000,L7,319.81,301.68,301.52,387.34,387.25,401.54,378.84,372.78,399.11,441.43,376.22,376.82,373.11,374.21,379.63,395.72,374.97,369.68,369.18,368.29,379.06,363.42,356.96
2000-03-14 21:58:11.336000,L7,336.43,316.12,319.34,331.41,341.80,341.56,323.78,324.76,316.86,,296.31,410.35,386.49,377.67,391.12,384.23,373.81,374.33,382.15,399.03,400.53,396.13,406.51
2000-04-15 21:57:55.957000,L7,334.94,316.28,313.57,329.73,335.88,331.77,323.74,315.98,316.15,,319.88,321.28,314.58,314.00,,,,385.27,353.24,357.22,362.50,344.51,351.75
2000-09-06 21:56:22.949000,L7,405.53,345.71,337.86,,,,,,,369.69,410.92,392.12,,,,,,,,,,,
2000-09-22 21:56:05.544000,L7,364.08,345.66,344.30,359.39,341.86,354.16,392.87,353.95,344.52,307.82,349.94,349.84,315.34,316.69,331.00,382.83,335.35,299.95,304.53,345.87,382.23,371.80,364.68
2000-12-11 21:56:00.959000,L7,360.64,352.18,341.78,,,,,274.54,279.31,337.19,341.27,285.75,288.28,293.57,306.03,325.12,312.73,315.00,317.53,327.80,330.69,317.38,
2000-12-27 21:56:05.061000,L7,407.51,343.82,336.06,321.30,332.98,,,,,,,283.45,293.90,315.53,328.38,325.73,322.14,319.68,315.93,325.83,332.48,324.63,
2001-01-12 21:56:06.772000,L7,308.37,277.17,286.87,293.52,302.65,315.61,359.34,332.42,339.69,390.98,376.77,396.95,379.08,,365.77,361.90,339.03,331.13,340.44,341.36,352.93,345.25,349.66
2001-03-01 21:55:57.624000,L7,,,,,,,,,,,,,,,,313.93,320.43,324.40,318.61,304.74,308.99,320.92,
2001-08-24 21:54:24.664000,L7,,373.07,354.11,343.74,374.16,394.20,359.53,335.44,334.41,,,,,,,,,,,,,,
2001-10-11 21:53:46.024000,L7,367.00,321.87,356.78,342.01,,,,,,,,,,275.80,298.23,302.82,307.66,302.78,307.19,312.88,316.61,,
2002-01-15 21:54:23.534000,L7,318.48,300.87,295.90,306.45,332.39,320.18,305.71,365.64,361.30,410.61,381.94,372.99,378.65,372.05,379.33,374.26,361.46,364.80,366.53,370.12,378.98,369.26,369.83
2002-01-31 21:54:26.647000,L7,375.08,352.46,361.92,368.54,379.12,364.54,368.62,363.02,381.39,382.24,391.33,368.03,354.25,359.14,347.71,355.90,339.19,323.72,321.71,334.26,336.55,332.06,
2002-03-20 21:54:24.081000,L7,395.94,379.80,358.78,341.70,371.74,363.98,,,,,,,,,,294.39,291.14,304.17,306.47,318.14,330.14,311.68,
2002-05-23 21:54:18.991000,L7,,,,,,,,,,,,,,,,296.05,304.35,300.96,309.09,310.45,321.20,315.16,
2002-08-27 21:53:36.267000,L7,361.08,340.85,321.63,355.39,367.76,363.99,349.31,338.44,339.52,,,,,,,283.08,277.21,277.39,288.73,306.75,307.37,311.32,
2002-09-28 21:53:22.602000,L7,,273.28,309.78,346.06,329.32,377.76,363.81,359.36,361.30,375.66,309.42,331.96,286.14,287.19,291.93,301.54,292.29,267.86,391.76,394.33,,,
2002-10-14 21:53:19.813000,L7,374.40,361.73,365.95,373.26,375.54,370.82,367.02,360.44,357.05,375.34,326.47,363.01,354.57,353.21,370.58,291.19,291.94,284.47,287.67,306.09,308.33,300.70,302.09
2002-12-01 21:53:52.985000,L7,320.33,312.10,319.83,358.39,390.68,373.36,324.64,314.47,307.16,,323.79,323.95,402.87,347.25,,,,,,,,,
2003-01-18 21:54:06.301000,L7,399.14,380.40,375.36,394.21,,,,,,,,,,392.63,379.07,383.78,368.06,366.28,370.00,374.78,384.11,400.68,389.08
2003-02-19 21:54:18.740000,L7,329.16,330.65,332.91,336.39,334.56,349.44,349.24,,,,,,,,,,,,398.25,368.04,322.52,326.19,
2003-07-21 21:42:09.884000,L5,,,,,,,,285.70,303.02,312.37,320.28,292.04,298.51,304.81,310.52,313.01,310.89,301.32,305.04,309.54,320.30,315.30,305.57
2003-10-25 21:43:40.253000,L5,,,,,,,276.77,288.03,301.92,313.96,319.62,299.50,306.37,311.20,317.10,317.60,311.41,305.97,308.40,314.94,316.73,313.86,304.57
2004-02-14 21:44:33.705000,L5,,,,,,,281.48,292.35,306.32,313.29,322.98,295.01,295.91,306.05,307.57,312.31,308.61,307.93,308.49,315.16,321.61,309.81,306.43
2004-03-01 21:44:38.581000,L5,,,,,,,277.63,286.16,302.11,313.28,317.89,298.06,314.83,329.28,336.52,319.30,314.35,306.18,309.61,317.92,317.19,314.33,302.97
2004-04-02 21:44:54.996000,L5,,,,,,,,,,,,,279.04,289.26,290.79,297.80,287.55,286.26,287.33,294.00,303.84,297.42,285.01
2004-04-18 21:45:25.586000,L5,,,,,,,,,,,,,290.54,316.45,319.38,318.29,299.76,299.76,302.45,311.73,307.01,,
2004-09-09 21:49:19.975000,L5,,,,,,,,,,,,,283.21,288.57,292.90,300.70,292.75,285.70,290.52,294.57,304.59,297.76,290.80
2004-09-25 21:49:43.196000,L5,,,,,,,278.00,284.82,302.46,313.34,320.20,297.80,302.46,310.40,313.88,315.35,312.56,304.76,307.96,311.92,321.05,304.22,295.03
2005-04-21 21:52:46.920000,L5,,,,,,,278.77,285.58,303.03,308.69,319.46,286.95,296.19,303.49,305.80,314.94,305.11,306.02,306.24,312.95,317.47,307.62,301.61
2005-05-23 21:53:00.685000,L5,,,,,,,,274.64,301.91,313.09,317.58,287.56,296.08,301.41,307.45,311.78,306.92,300.84,302.83,309.73,314.92,311.36,299.41
2005-11-15 21:54:02.336000,L5,,,,,,,,,,,,,284.39,296.42,298.61,304.88,297.91,292.53,295.81,302.95,310.73,300.31,287.60
2006-07-13 21:58:38.362000,L5,,,,,,,280.52,288.52,302.38,307.26,319.51,291.16,299.98,301.52,311.64,319.50,303.50,302.34,300.40,298.68,297.23,307.29,303.90
2007-09-18 21:58:42.182000,L5,,,,,,,,,,,,,278.66,283.24,288.60,294.69,282.95,277.48,278.15,,,,
2010-01-13 21:56:25.416000,L5,,,,,,,284.03,294.29,305.79,318.32,321.46,303.55,310.66,324.65,320.09,322.84,320.89,311.40,313.60,322.14,327.01,316.53,309.96
2010-02-14 21:56:32.865000,L5,,,,,,,,280.59,295.40,307.75,311.03,294.47,301.40,307.86,311.37,313.19,306.71,302.68,305.16,313.14,314.39,309.28,299.28
2010-10-28 21:55:27.339000,L5,,,,,,,289.81,298.83,308.94,323.62,318.59,304.47,311.35,316.01,318.57,321.75,317.07,313.35,310.60,322.19,327.82,318.11,314.09
2010-11-13 21:55:25.438000,L5,,,,,,,284.88,294.74,304.86,314.51,317.20,301.54,307.62,313.03,318.17,318.53,316.48,307.97,310.40,321.71,323.68,322.56,309.66
2010-12-31 21:55:32.560000,L5,,,,,,,280.05,293.29,302.12,365.05,318.51,297.01,308.23,311.55,316.33,322.51,312.41,313.84,311.29,324.71,321.81,320.34,308.27
2013-04-11 22:07:51.092000,L8,375.06,354.57,339.33,,,,,,,,,,285.48,293.44,297.14,302.97,295.80,294.26,300.51,309.51,316.54,308.97,291.92
2013-07-16 22:07:36.609000,L8,,,,,,,,,,,,,282.32,292.26,297.34,299.70,293.93,292.74,295.75,307.69,,,
