dates,satname,nzd0566-0000,nzd0566-0001,nzd0566-0006,nzd0566-0007,nzd0566-0008,nzd0566-0002,nzd0566-0003,nzd0566-0004,nzd0566-0005,nzd0566-0009,nzd0566-0010,nzd0566-0011
1999-07-25 22:05:51.165000,L7,153.95,142.19,137.61,130.08,133.37,,,,,,,
1999-08-26 22:05:56.841000,L7,,,95.90,37.02,126.61,,,,,137.41,,
1999-09-20 22:00:08.403000,L7,,,130.28,97.01,129.83,,,37.68,146.90,,,
1999-09-27 22:06:00.877000,L7,,,87.09,140.14,137.39,,138.48,116.61,153.73,,,
1999-10-22 22:00:04.598000,L7,201.93,199.80,239.29,230.97,240.88,197.90,190.06,243.30,247.16,244.53,240.75,253.27
1999-11-30 22:05:47.159000,L7,,,,,,133.17,102.92,102.12,,,,
1999-12-09 22:00:09.551000,L7,212.49,342.19,,342.57,354.44,296.16,270.09,,,345.38,297.02,321.80
1999-12-25 22:00:04.067000,L7,224.66,226.03,229.86,228.85,238.23,215.92,228.78,232.86,237.50,236.85,235.18,241.52
2000-01-17 22:06:11.705000,L7,201.10,198.12,184.36,193.38,194.35,189.04,194.03,189.27,197.84,195.48,194.10,190.85
2000-01-26 22:00:02.226000,L7,252.16,257.34,252.36,246.77,237.71,242.55,255.82,251.21,252.87,248.69,240.58,249.20
2000-02-27 21:59:52.393000,L7,210.53,200.51,200.07,194.28,199.23,199.79,196.85,203.23,199.54,194.69,195.68,195.50
2000-03-21 22:06:01.097000,L7,224.27,225.16,214.74,200.61,206.88,218.09,216.40,220.59,206.89,217.87,208.17,211.19
2000-03-30 21:59:45.397000,L7,199.72,198.00,182.09,184.41,188.08,189.29,195.08,193.34,192.84,187.56,185.46,190.37
2000-04-15 21:59:31.785000,L7,223.83,219.04,224.11,215.97,209.65,215.10,223.20,218.60,221.17,212.93,214.67,223.03
2000-05-01 21:59:30.586000,L7,203.07,195.62,184.17,182.81,171.57,195.85,189.89,194.03,186.03,174.71,184.57,183.55
2000-05-17 21:59:19.400000,L7,167.26,157.01,136.87,115.15,161.13,156.93,155.87,153.77,169.29,147.82,154.85,
2000-06-18 21:59:03.789000,L7,,,154.10,,,,43.82,146.41,154.31,,,
2000-07-04 21:58:50.402000,L7,,,115.38,174.22,166.41,,,,,168.35,98.58,97.63
2000-07-11 22:04:29.599000,L7,,,,,,161.22,99.96,145.17,,,,
2000-08-05 21:58:20.584000,L7,157.44,,137.81,141.55,116.45,,,28.93,150.28,43.39,,
2000-08-12 22:04:05.961000,L7,,,123.72,,,,,,47.09,,,
2000-10-15 22:03:08.086000,L7,155.67,60.24,112.50,92.24,,162.16,138.49,151.66,154.79,,,
2000-10-24 21:57:29.684000,L7,262.68,255.05,269.90,363.51,250.86,247.85,240.73,239.71,245.51,239.80,228.81,237.81
2000-10-31 22:03:22.696000,L7,,,140.59,141.23,130.85,,68.04,55.50,147.82,140.66,,
2000-11-09 21:57:33.274000,L7,222.82,228.73,218.99,223.53,235.98,221.91,223.45,218.65,231.74,232.61,233.02,221.79
