dates,nzd0160-0000,nzd0160-0001,nzd0160-0002,nzd0160-0003,nzd0160-0004,nzd0160-0005,nzd0160-0006,nzd0160-0007,satname
2013-09-02 22:08:04+00:00,283.865,269.145,324.146,288.59000000000003,306.324,307.032,303.375,295.56,L8
2013-10-20 22:07:26+00:00,284.87,267.92999999999995,323.50800000000004,287.77,306.392,306.32399999999996,303.375,295.5125,L8
2013-11-05 22:07:22+00:00,282.422,267.83666666666664,323.1566666666667,283.9533333333333,299.75333333333333,305.435,303.375,295.712,L8
2014-02-09 22:06:33+00:00,287.188,266.93,322.514,277.438,297.642,302.76599999999996,296.875,295.246,L8
2014-02-25 22:06:44+00:00,281.054,268.0466666666666,320.18,271.02799999999996,297.36800000000005,301.212,289.855,295.304,L8
2014-03-29 22:06:15+00:00,278.76599999999996,268.0466666666666,321.26800000000003,268.316,298.214,301.286,290.76,295.966,L8
2014-04-30 22:05:46+00:00,278.36,268.9649999999999,322.118,268.81600000000003,298.96,301.67199999999997,290.76,296.092,L8
2014-05-16 22:05:09+00:00,278.24,268.23,323.04800000000006,268.596,307.078,302.08599999999996,293.41999999999996,296.158,L8
2014-06-17 22:05:44+00:00,280.95166666666665,268.81666666666666,323.5683333333333,268.596,307.078,302.08599999999996,293.41999999999996,295.82166666666666,L8
2014-08-04 22:05:38+00:00,279.3071428571429,268.0675,323.3328571428571,266.90333333333336,307.02166666666665,302.08599999999996,291.878,295.82166666666666,L8
2014-08-20 22:06:06+00:00,279.9042857142857,267.992,323.11428571428576,267.602,305.9316666666667,303.586,292.188,295.1616666666667,L8
2014-11-08 22:05:52+00:00,275.566,267.42,323.36,262.87666666666667,306.02500000000003,304.3,295.5825,294.88,L8
2015-01-27 22:05:35+00:00,268.74,266.31,320.4425,262.01,305.65000000000003,295.7133333333333,293.6433333333333,291.4833333333333,L8
2015-02-28 22:05:24+00:00,266.74333333333334,266.645,320.56,263.7833333333333,308.33000000000004,291.85999999999996,301.46,292.6066666666666,L8
2015-05-19 22:05:04+00:00,265.65000000000003,267.19666666666666,319.66333333333336,260.2633333333333,288.32,292.5433333333333,,291.6566666666667,L8
2015-07-22 22:05:13+00:00,265.475,266.8825,320.5625,260.425,293.6433333333334,294.38,,291.6566666666667,L8
2015-08-07 22:05:16+00:00,263.66499999999996,268.3875,321.5075,260.1766666666667,292.4775,301.525,,294.53000000000003,L8
2015-08-23 22:05:48+00:00,270.52799999999996,268.3875,322.248,260.1766666666667,295.66400000000004,302.264,303.67,295.28,L8
2015-10-26 22:06:07+00:00,274.096,268.56,322.098,258.385,292.61400000000003,303.22799999999995,303.795,296.45666666666665,L8
2016-04-19 22:05:34+00:00,274.02,266.59,318.675,254.03,288.995,299.05499999999995,303.92,295.485,L8
2016-05-21 22:05:38+00:00,286.78999999999996,294.195,320.03,283.215,300.1,304.685,304.89,296.89,L8
2016-09-10 22:05:51+00:00,291.06666666666666,300.37333333333333,321.9633333333333,292.75,303.21,304.47333333333336,303.69,297.2166666666667,L8
2016-10-12 22:05:57+00:00,296.72249999999997,304.52750000000003,322.6825,298.47499999999997,305.475,304.82,304.22333333333336,297.02,L8
2017-01-16 22:05:47+00:00,293.6333333333334,298.68,322.3533333333333,296.5566666666667,310.85,304.955,303.89000000000004,297.15,L8
2017-02-01 22:05:40+00:00,289.85,292.3925,322.915,289.655,310.85,302.50333333333333,303.89000000000004,297.7666666666667,L8
2017-03-05 22:05:27+00:00,285.672,287.394,322.85,284.104,308.18333333333334,301.4875,299.62,297.7666666666667,L8
2017-04-06 22:05:33+00:00,282.34799999999996,281.06,322.49,277.175,306.0133333333333,302.14250000000004,297.73,297.0266666666667,L8
2017-05-08 22:04:59+00:00,273.69399999999996,269.0833333333333,322.16999999999996,263.35249999999996,303.86333333333334,301.7975,292.90333333333336,296.66,L8
2017-05-24 22:05:34+00:00,273.0933333333333,268.29999999999995,322.43666666666667,262.48999999999995,304.7275,302.4,292.90333333333336,296.29499999999996,L8
2017-06-25 22:05:23+00:00,277.6028571428571,278.1,323.05285714285714,262.48999999999995,304.7275,302.4,283.595,296.704,L8
2017-07-11 22:05:26+00:00,281.29375,280.68833333333333,323.05285714285714,262.48999999999995,305.062,303.995,283.595,293.3433333333333,L8
