dates,satname,nzd0160-0000,nzd0160-0001,nzd0160-0002,nzd0160-0003,nzd0160-0004,nzd0160-0005,nzd0160-0006,nzd0160-0007
1999-10-22 21:58:28.758000,L7,284.05,301.05,316.05,,,,,
2002-10-14 21:53:43.769000,L7,291.18,309.24,320.41,308.77,306.65,304.88,293.93,
2002-10-30 21:53:25.867000,L7,282.35,303.59,313.38,,,,,
2003-02-19 21:54:18.740000,L7,394.99,324.27,320.56,,318.26,319.49,316.26,299.82
2003-10-25 21:43:40.253000,L5,292.59,297.05,303.58,300.22,293.86,290.29,,
2004-03-01 21:44:38.581000,L5,293.77,298.15,305.00,297.35,292.83,292.57,,
2004-05-20 21:46:20.465000,L5,285.13,291.73,301.56,291.70,285.67,287.76,,
2004-09-09 21:49:19.975000,L5,300.76,299.07,306.33,303.00,292.21,292.60,,
2005-10-30 21:54:03.531000,L5,301.02,302.82,306.48,304.99,292.57,297.66,289.13,286.72
2006-02-19 21:56:15.936000,L5,291.32,289.77,303.14,293.72,289.01,291.09,,
2007-01-05 22:00:28.480000,L5,306.88,305.83,313.71,308.03,301.34,303.91,292.32,295.75
2009-12-12 21:56:13.982000,L5,287.61,295.45,301.99,,,,,
2009-12-12 21:56:37.955000,L5,298.76,302.59,307.86,299.58,293.43,299.06,288.77,290.74
2010-11-13 21:55:25.438000,L5,,,,,,302.53,298.03,294.77
2010-12-31 21:55:32.560000,L5,290.13,291.05,302.30,288.80,289.06,288.76,,
2010-12-31 21:55:56.533000,L5,288.81,289.91,303.60,286.42,,,,
2013-06-30 22:07:36.163000,L8,,310.91,320.22,309.50,307.02,304.56,299.18,292.62
2013-08-17 22:08:03.120000,L8,307.58,311.55,320.94,307.41,302.50,304.78,291.64,289.96
2014-02-25 22:06:20.497000,L8,,,,,303.49,302.70,296.79,293.40
2014-04-30 22:05:22.578000,L8,,,,,302.74,303.71,299.14,292.37
2015-08-23 22:05:24.610000,L8,309.33,311.91,322.57,311.25,306.69,308.69,302.76,296.08
2015-08-23 22:05:48.569000,L8,305.10,308.92,321.05,306.84,304.42,305.06,300.12,293.84
2015-10-26 22:05:43.801000,L8,295.63,313.27,320.68,305.16,288.61,296.88,299.98,297.37
