dates,nzd0458-0000,nzd0458-0001,nzd0458-0002,nzd0458-0003,nzd0458-0004,nzd0458-0005,nzd0458-0006,nzd0458-0007,nzd0458-0008,nzd0458-0009,nzd0458-0010,nzd0458-0011,nzd0458-0012,nzd0458-0013,nzd0458-0014,nzd0458-0015,nzd0458-0016,nzd0458-0017,nzd0458-0018,nzd0458-0019,nzd0458-0020,nzd0458-0021,nzd0458-0022,nzd0458-0023,nzd0458-0024,nzd0458-0025,nzd0458-0026,nzd0458-0027,nzd0458-0028,nzd0458-0029,nzd0458-0030,nzd0458-0031,nzd0458-0032,nzd0458-0033,nzd0458-0034,nzd0458-0035,nzd0458-0036,nzd0458-0037,nzd0458-0038,nzd0458-0039,nzd0458-0040,nzd0458-0041,nzd0458-0042,nzd0458-0043,nzd0458-0044,nzd0458-0045,nzd0458-0046,nzd0458-0047,nzd0458-0048,nzd0458-0049,nzd0458-0050,nzd0458-0051,nzd0458-0052,nzd0458-0053,nzd0458-0054,nzd0458-0055,nzd0458-0056,nzd0458-0057,nzd0458-0058,nzd0458-0059,nzd0458-0060,nzd0458-0061,nzd0458-0062,nzd0458-0063,nzd0458-0064,nzd0458-0065,nzd0458-0070,nzd0458-0071,nzd0458-0072,nzd0458-0073,nzd0458-0066,nzd0458-0067,nzd0458-0068,nzd0458-0069,satname
1999-09-25 22:19:33+00:00,,,,,,,,,,,256.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.03,,,,,,,,,,,,,,,,,,,,,,,,,318.64,,,,,L7
1999-11-12 22:19:27+00:00,,,,,249.06,,,223.52,219.87,284.94,272.0,287.9,,281.44,,,288.51,293.69,300.05,,290.14,289.03,281.44,274.47,273.59,,,,271.84,269.52,266.83,,,,,,,,,281.87,282.21,285.63,,,272.36,,,,,,,,234.21,240.47,235.64,229.79,228.41,225.01,221.34,212.67,206.58,200.89,189.78,185.6,178.36,,210.04,,,318.64,,,,,L7
2000-02-16 22:19:16+00:00,,,,,249.06,,,223.52,219.87,284.94,272.0,287.9,,263.93,243.28,250.07,271.15,274.86,285.68,249.62,290.14,289.03,281.44,274.47,273.59,,,,271.84,269.52,266.83,,,,,,,,,281.87,282.21,285.63,,,272.36,,,,180.66,,,,234.21,240.47,235.64,229.79,228.41,225.01,221.34,212.67,206.58,200.89,189.78,185.6,178.36,,210.04,,,316.15,,,,,L7
2000-04-20 22:18:51+00:00,,,,,248.59,,,223.52,219.87,284.94,270.76,276.87,256.98,261.12666666666667,246.33499999999998,249.5,270.38666666666666,272.44,281.40000000000003,263.45,271.315,281.585,270.28499999999997,259.09000000000003,257.495,,,,252.25,261.9,255.45999999999998,267.76,259.2,257.5,256.63,265.32,254.46,269.91,260.75,274.86,274.46,278.195,,252.99,272.95,,,,194.20999999999998,,,,226.31,226.23000000000002,223.295,215.11,221.53,225.01,221.34,212.67,206.58,200.89,189.78,185.6,178.36,,210.04,,,313.66,,,,,L7
2000-09-27 22:17:00+00:00,,,,,248.12,,,,,,253.83,265.84,256.98,255.52,265.455,248.93,280.70500000000004,297.755,304.065,284.86,252.49,298.15999999999997,259.13,243.71,241.4,290.48,284.77,,232.66,254.28,259.17999999999995,273.39,259.2,257.5,256.63,265.32,254.46,269.91,260.75,267.85,266.71,294.195,,270.925,265.21,,,,207.76,,,,218.41,211.99,210.95,200.43,214.65,,,,,,,,,,,,,,,,,,L7
2000-11-14 22:16:54+00:00,,,,,,,,214.29,191.14,302.43,280.88,280.51,280.81,291.67,281.52,249.41,289.33500000000004,309.11,317.0,290.83500000000004,275.28,303.185,278.35,275.3,251.04,280.355,278.65999999999997,,271.46,258.68,271.73499999999996,274.82,269.23,269.14,266.65,268.09,274.58,278.95,273.89,276.62,281.62,300.62,286.08,284.94,276.21,272.9,272.06,260.57,,,,,,,231.79,232.49,231.33,222.81,219.32,211.67,208.19,198.24,191.41,190.77,179.03,,,,,,,,,,L7
2000-12-16 22:16:59+00:00,,,321.28,324.65,,329.06,,214.29,191.14,309.055,296.59000000000003,280.51,280.81,291.67,281.52,249.41,289.33500000000004,309.11,317.0,290.83500000000004,275.28,303.185,278.35,275.3,251.04,280.355,278.65999999999997,,271.46,258.68,271.73499999999996,274.82,269.23,269.14,266.65,268.09,274.58,278.95,273.89,276.62,281.62,300.62,286.08,284.94,276.21,272.9,272.06,260.57,,,,,,,231.79,232.49,231.33,222.81,219.32,211.67,208.19,198.24,191.41,190.77,179.03,,,,,,,,,,L7
2001-01-01 22:16:57+00:00,222.71,218.99,322.37,320.49,,335.845,,210.58499999999998,194.6,309.055,291.8333333333333,284.03999999999996,279.86,284.92,284.08,266.265,287.75333333333333,303.64000000000004,311.83666666666664,293.7866666666667,285.465,299.30333333333334,279.415,271.67999999999995,264.74,276.25333333333333,277.9066666666667,,270.42999999999995,263.105,271.8233333333333,273.16333333333336,272.28,271.04499999999996,269.365,270.42999999999995,275.87,277.84000000000003,276.49,278.62,281.795,295.3666666666667,286.34000000000003,284.66,277.645,276.41499999999996,273.1,260.58,,,,,234.85,236.76,230.87,229.04000000000002,228.015,224.18,220.31,211.67,208.19,198.24,191.41,190.77,179.03,,,,,,,,,,L7
2001-01-17 22:17:03+00:00,222.71,218.99,322.37,320.49,,335.845,,210.58499999999998,194.6,309.055,291.8333333333333,267.06333333333333,279.86,273.15333333333336,269.27666666666664,261.0,278.9475,292.0975,301.81,284.3575,275.61999999999995,285.56,265.75333333333333,259.12666666666667,248.35333333333332,261.41,261.7425,193.83,247.24999999999997,242.51333333333335,252.65499999999997,265.9975,263.2133333333333,263.75,249.39666666666665,264.76666666666665,268.21999999999997,271.1066666666666,271.44,278.62,277.0833333333333,290.5575,286.34000000000003,277.845,277.645,276.41499999999996,273.1,260.58,184.0,,,,234.85,236.76,230.87,229.04000000000002,228.015,224.18,220.31,211.67,208.19,198.24,191.41,190.77,179.03,,,,233.62,323.98,,,,,L7
2001-08-29 22:15:16+00:00,,,,,,,,,,,262.67,265.6,266.57,256.48,249.27,257.6,263.19,259.31,278.4,259.25,254.55,245.38,243.14,246.83,225.51,217.29,220.4,210.85,214.13,202.62,230.02,241.91,252.86,257.15,248.48,253.69,259.29,251.09,259.84,263.18,258.66,273.72,275.53,267.7,256.78,,244.28,247.52,,,,,214.24,,,,,,,,,,,,,,,220.25,250.78,,,,,,L7
2001-11-01 22:14:53+00:00,,,,,,,,,,,232.60000000000002,265.6,266.57,250.51500000000001,249.27,251.07,257.395,255.24,278.235,256.21500000000003,252.97,244.285,237.94,236.385,216.21499999999997,215.17000000000002,215.235,203.29,208.92000000000002,198.34,211.885,233.07999999999998,243.775,245.6,232.785,246.79500000000002,245.55,252.14499999999998,258.215,263.18,258.66,273.72,275.53,267.7,256.78,,244.28,247.52,,,,,214.24,,,,,,,,,,,,,,,220.25,250.78,,,,,,L7
2002-01-20 22:15:25+00:00,,,,,,,,,,,233.42666666666665,265.19500000000005,266.57,250.51500000000001,249.27,248.43666666666664,255.27666666666664,253.65666666666667,276.21666666666664,255.85333333333332,249.81000000000003,241.24333333333334,237.03,232.04333333333332,213.21333333333334,201.4466666666667,210.65666666666667,199.18666666666664,206.39000000000001,196.82333333333335,206.54333333333332,217.53333333333333,243.775,245.6,216.60333333333332,246.79500000000002,245.55,252.14499999999998,258.215,263.18,259.41,275.395,275.515,267.7,256.78,,244.28,247.52,185.98,,,,214.24,,,,,,,,,,,,,,,220.25,250.78,,,,,,L7
2002-02-05 22:15:25+00:00,217.21,,,,,,,175.36,205.93,,242.895,269.39000000000004,271.7,256.75333333333333,256.37,248.43666666666664,255.27666666666664,253.65666666666667,276.21666666666664,255.85333333333332,249.81000000000003,241.24333333333334,237.03,232.04333333333332,213.21333333333334,201.4466666666667,210.65666666666667,199.18666666666664,206.39000000000001,196.82333333333335,206.54333333333332,230.0975,253.13666666666668,255.83333333333334,230.16,253.42333333333332,253.60333333333332,258.8533333333333,263.96666666666664,267.26,265.04,278.15000000000003,275.515,267.7,256.78,263.42,257.29,251.995,185.98,252.0,235.35,231.48,222.82,229.93,228.26,221.85,221.67,224.07,217.89,207.49,202.19,193.17,187.49,185.75,,,,220.25,250.78,344.8,,,,,L7
2002-03-09 22:15:29+00:00,217.21,,,,,,,168.3,205.93,,244.91750000000002,272.5833333333333,274.935,263.18333333333334,258.77,250.28666666666663,256.46666666666664,253.91,281.97333333333336,260.13,252.49333333333334,248.52333333333334,243.11,231.82666666666668,213.18666666666664,203.60333333333335,218.28,202.68999999999997,211.60666666666668,199.74666666666667,194.805,234.77,258.5933333333333,257.49666666666667,232.845,257.62333333333333,255.84333333333333,262.93333333333334,266.1566666666667,275.265,270.01666666666665,281.26,277.825,274.61,262.94,251.16000000000003,263.9,240.945,185.98,247.475,233.32999999999998,228.89499999999998,227.76,226.60500000000002,228.375,212.59,213.65499999999997,220.22,215.685,207.95499999999998,201.615,190.02499999999998,189.07999999999998,185.75,,,,230.02,,344.8,,,,,L7
2002-10-03 22:14:17+00:00,,,,,,,,,,,266.5,272.07,258.52,255.45,247.21,259.3,262.33,256.81,285.9,260.29,257.7,248.72,241.11,236.81,220.0,224.76,219.99,205.3,221.77,200.91,204.93,254.86,249.74,251.03,254.32,259.01,260.42,234.91,265.17,,270.03,279.13,280.0,277.05,261.22,226.37,,202.22,192.9,,,,,,,,,,,,,,,,,,,217.3,,333.48,,,,,L7
2002-12-06 22:14:49+00:00,219.4,229.39,,,,332.94,,,,,268.2,271.945,267.85,266.71000000000004,251.15,263.61,263.33,265.01,287.04499999999996,263.75,260.76,255.62,248.16500000000002,240.755,222.675,225.96499999999997,219.99,205.3,223.875,200.91,204.93,257.145,258.225,258.695,259.15999999999997,261.57,264.01,253.54500000000002,265.77,268.61,270.97,278.04499999999996,278.02,274.06,261.76,233.17000000000002,,202.22,192.9,,,,,,,,,,,,,,,,,,,217.3,,333.48,,,,,L7
2003-01-07 22:14:52+00:00,219.4,229.39,,,,332.94,,,,,268.2,271.945,267.85,261.0466666666667,251.15,260.10333333333335,260.21666666666664,262.09,283.03,260.73333333333335,257.31,251.14666666666668,244.27666666666667,237.24333333333334,218.50666666666666,221.55666666666664,216.03500000000003,205.3,223.875,200.91,204.93,257.145,258.225,253.89,250.68666666666664,257.78,258.48,253.54500000000002,260.86333333333334,263.93,269.27,275.02,273.9066666666667,274.06,261.76,233.17000000000002,,197.495,188.565,,,,,,,,,,,,,,,,,,,217.3,,333.48,,,,,L7
2003-02-24 22:15:13+00:00,219.4,229.39,317.43,,,332.94,,,,333.4,268.2,271.945,267.85,261.0466666666667,251.15,260.10333333333335,260.21666666666664,262.09,283.03,260.73333333333335,257.31,251.14666666666668,244.27666666666667,237.24333333333334,218.50666666666666,221.55666666666664,216.03500000000003,205.3,223.875,200.91,204.93,257.145,258.225,253.89,250.68666666666664,257.78,258.48,253.54500000000002,260.86333333333334,263.93,269.27,275.02,276.735,274.06,261.76,233.17000000000002,,197.495,188.565,,,,,,,,,,,,,,,,,,,217.3,,333.48,,,,,L7
2003-03-12 22:15:18+00:00,219.4,229.39,317.43,,,332.94,,,,333.4,268.2,271.945,267.85,261.0466666666667,251.15,260.10333333333335,260.21666666666664,262.09,283.03,260.73333333333335,257.31,251.14666666666668,240.885,233.2425,217.6375,218.4775,215.36,187.705,214.47,202.635,204.025,257.145,252.62,251.81,244.055,254.035,255.63750000000002,254.74666666666667,262.1925,262.6433333333334,267.34000000000003,274.3575,274.856,269.0566666666667,256.1066666666667,233.17000000000002,,193.53,187.59,,,,,,,,,,,,,,,,,,,217.3,,333.48,,,,,L7
2003-08-11 22:03:27+00:00,,,331.355,286.48,,309.25,,,,338.45,,,,,,,,,,,,,230.71,221.24,215.03,209.24,214.01,170.11,195.66,204.36,203.12,,241.41,245.57,224.16,242.8,247.11,257.15,266.18,260.07,261.55,272.37,276.28,259.05,244.8,,,185.6,185.64,,,,,,,,,,,,,,,,,,229.57,,,,,,,,L5
2003-12-01 22:05:04+00:00,183.01,175.38,345.28,286.48,218.01,273.75,240.59,218.86,183.14,343.5,278.17,277.29,269.11,268.21,277.58,281.49,281.57,285.96,287.77,307.11,299.94,294.28,289.77,269.77,270.38,268.77,259.34,252.91,251.88,249.87,253.19,249.62,250.09,262.85,268.01,266.84,263.15,266.93,272.06,268.83,253.72,250.26,260.01,259.75,259.18,266.21,265.29,273.49,274.62,263.35,252.62,253.04,252.23,253.48,228.36,221.89,221.17,226.29,219.56,209.3,216.35,210.98,209.21,197.92,194.14,175.41,229.57,,,,,,,,L5
2004-04-07 22:06:01+00:00,191.945,183.375,,,229.055,239.86,237.595,217.97000000000003,185.795,,278.72,279.68,277.44,275.865,284.49,289.12,289.125,293.22,296.97,307.71500000000003,298.65000000000003,292.105,289.72,270.91999999999996,270.395,268.755,266.55499999999995,260.855,258.095,257.83500000000004,258.565,257.15,257.695,265.275,267.41499999999996,264.34,263.215,268.54999999999995,275.695,273.09000000000003,265.19,268.44,270.805,271.725,271.18,275.72999999999996,272.51,273.71500000000003,271.28499999999997,261.93,248.755,250.615,252.61,250.6,234.185,228.375,228.62,232.45,223.70499999999998,214.245,215.565,206.805,203.825,194.845,191.99,168.86,,,,,,,,,L5
2004-04-23 22:06:29+00:00,194.17333333333332,185.60333333333332,,,233.79999999999998,238.90666666666667,240.46,219.95000000000002,190.43999999999997,,281.6466666666667,283.69666666666666,282.9633333333333,277.16,286.7733333333333,290.33,290.94666666666666,296.38,298.28333333333336,306.41,301.9533333333334,294.27,292.70666666666665,273.95666666666665,272.4533333333333,273.73333333333335,271.4866666666666,261.9766666666667,261.32666666666665,258.7966666666667,261.0933333333333,259.50666666666666,259.91,264.44666666666666,270.53,267.20666666666665,267.42333333333335,272.58666666666664,279.08666666666664,278.1433333333334,272.6333333333334,271.9866666666667,274.74333333333334,275.3833333333333,275.82,278.07,274.49,273.43,273.58666666666664,265.45,252.7266666666667,253.0533333333333,253.32000000000002,253.44999999999996,238.63333333333333,230.23000000000002,231.4333333333333,234.76333333333332,227.71,216.8166666666667,215.97,210.86333333333332,207.13333333333333,199.89666666666668,196.35666666666665,173.20333333333335,,242.95,281.26,,,,,,L5
2005-04-26 22:13:44+00:00,,,,,,,,,,,,,,,258.6,261.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.1,,,,,,,,,,197.33,198.3,,,,,,,,,,,,,,,,,,L5
2005-09-17 22:14:42+00:00,,,292.92,321.56,,,,,,344.31,323.99,,,,258.6,261.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.205,,,,,,,,,,197.33,198.3,,,,,,,,,,,,,,,,,,L5
2006-02-08 22:16:57+00:00,197.72,190.04,241.53,272.63,235.88,232.42,230.91,212.81,183.53,344.31,297.545,276.02,279.09,289.98,291.4,295.28,299.46,300.99,303.11,306.63,289.95,287.29,281.98,266.19,265.72,268.64,264.57,267.8,270.95,263.71,265.76,266.87,263.64,266.06,262.08,257.8,260.85,261.38,270.21,269.7,272.74,281.52,289.25,286.19,286.52,309.77,281.41,276.09,263.47,256.85,240.67,246.09,243.94,241.99,239.33,234.92,232.95,242.4,232.17,222.9,219.13,203.39,195.07,185.02,179.98,159.59,,,,,,,,,L5
2006-04-13 22:18:14+00:00,202.16,194.32,193.98,232.47,236.95999999999998,235.105,239.635,219.06,192.94,273.65,277.41,284.075,284.135,292.84000000000003,295.04999999999995,297.89,301.37,306.435,309.905,311.175,300.64,295.305,290.83000000000004,277.5,277.16,275.12,273.57,271.26,276.375,271.505,270.42499999999995,270.23,270.41999999999996,269.79499999999996,270.91999999999996,271.09000000000003,269.385,273.93,276.66499999999996,280.82,275.57,286.21,292.03999999999996,290.85,289.6,294.13500000000005,285.77,282.7,273.49,267.045,261.465,259.715,255.32,260.115,253.60000000000002,244.875,246.905,254.745,243.01,230.945,231.315,219.02499999999998,214.865,198.84,198.19,177.535,,,,,164.6,,,,L5
2006-05-31 22:18:55+00:00,193.81333333333336,187.93999999999997,187.9333333333333,232.47,236.95999999999998,235.105,239.635,219.06,192.94,273.65,277.41,284.075,284.135,292.84000000000003,294.06666666666666,296.7233333333333,300.34666666666664,303.28333333333336,306.67333333333335,308.87333333333333,298.78666666666663,295.7,290.03333333333336,276.6066666666666,273.8233333333333,274.52666666666664,271.15000000000003,269.8333333333333,273.2866666666667,268.12,267.9166666666667,267.83666666666664,266.82666666666665,266.08666666666664,268.24,267.31,266.2366666666667,270.7133333333333,270.7833333333333,278.55333333333334,273.46666666666664,282.56,286.4866666666667,289.06,286.19666666666666,289.87000000000006,283.9066666666667,279.0,272.17333333333335,264.2,259.15,256.6933333333333,252.99333333333334,257.73,251.77,244.20333333333335,244.49666666666667,253.54666666666665,240.95333333333335,229.65666666666667,224.81000000000003,215.34,211.10666666666665,197.92333333333332,197.88333333333333,177.10666666666665,,,,,164.6,,,,L5
2006-12-09 22:21:12+00:00,193.05,181.64,185.86,199.21,220.23,222.91,229.1,221.73,191.35,263.26,288.33,287.95,290.38,288.71,288.75,293.47,294.37,296.7,301.58,303.92,300.39,301.8,293.65,280.51,280.09,283.67,277.66,278.75,263.76,259.12,259.48,257.9,257.46,256.98,263.49,270.32,270.39,269.2,272.46,275.53,275.86,280.32,274.91,273.89,278.4,278.72,276.63,269.86,269.86,266.13,255.01,258.69,254.58,257.24,248.41,240.36,230.04,238.16,226.99,219.22,212.64,204.13,207.21,199.38,194.89,178.06,,,,,,,,,L5
2007-01-26 22:21:31+00:00,194.205,183.885,188.675,200.41500000000002,218.99,227.23000000000002,229.29500000000002,219.75,189.35500000000002,253.29500000000002,286.025,284.37,283.65,285.69,290.055,293.83500000000004,294.175,297.24,301.315,307.76,300.63,301.36,292.82,278.24,277.39,280.64,272.62,272.73,264.23,261.425,259.28499999999997,256.74,257.01,259.96500000000003,265.485,268.34000000000003,267.605,268.865,272.03499999999997,274.17499999999995,272.265,275.105,275.34000000000003,275.935,277.03499999999997,279.02,276.185,272.425,270.025,265.15,251.985,256.355,252.42000000000002,253.715,242.70499999999998,234.585,228.565,237.75,227.05,217.58499999999998,214.67,206.51,206.065,196.265,192.86,173.68,,,,,,,,,L5
2007-02-11 22:21:32+00:00,195.46,187.91333333333333,190.67999999999998,202.49333333333334,218.62,226.42999999999998,227.82333333333335,217.74666666666667,188.17666666666665,244.73666666666668,283.0133333333333,283.2133333333333,283.9666666666667,287.13666666666666,291.56666666666666,295.7866666666667,296.7766666666667,298.82,297.35999999999996,305.25333333333333,298.68666666666667,296.80333333333334,290.09666666666664,274.7733333333333,274.6666666666667,278.5366666666667,273.14000000000004,269.61999999999995,266.4633333333333,262.99,260.74666666666667,259.1666666666667,256.76,259.47333333333336,264.27333333333337,264.99,264.96999999999997,264.99666666666667,271.06666666666666,274.74666666666667,272.4166666666667,275.93333333333334,277.82,278.74,279.50333333333333,280.17,275.00666666666666,270.9266666666667,268.45,261.93333333333334,249.53666666666666,252.19333333333336,251.37,253.69333333333336,243.20666666666668,236.20666666666668,232.31333333333336,240.21333333333334,229.78333333333333,216.33333333333334,213.17999999999998,204.86333333333332,203.37333333333333,192.66666666666666,187.65333333333334,170.03,,,,,,,,,L5
2007-02-27 22:21:32+00:00,197.1825,188.9875,192.63,203.95,221.1325,228.945,230.4775,215.85500000000002,188.355,244.73666666666668,279.71500000000003,281.42,282.8125,286.66999999999996,292.9875,296.8425,298.6275,300.72,301.0425,307.6125,298.45,294.4775,287.975,272.61,271.9375,275.8225,270.455,269.36,268.4375,264.0,262.4775,261.2875,259.5025,261.845,264.545,262.625,263.25,262.4625,268.9625,273.115,270.31,277.335,279.815,280.6725,282.125,282.38,277.91499999999996,272.5425,267.625,259.8125,247.945,249.7625,249.12,250.285,240.9275,237.2575,233.9075,241.685,231.7975,219.7,215.64999999999998,206.3425,200.85500000000002,190.535,185.4925,167.925,,,,,,,,,L5
2007-09-23 22:19:35+00:00,193.61,185.39,186.05,202.13,213.92,221.8,227.03,220.2,183.11,,277.07,280.19,284.86,286.97,289.06,292.61,293.47,298.86,299.08,301.07,296.87,298.52,293.53,273.44,275.55,275.8,276.92,272.24,262.59,256.97,258.28,257.64,252.33,256.74,255.42,266.86,267.43,265.21,274.89,279.97,278.24,276.31,276.99,271.73,275.58,280.22,275.2,265.09,268.3,267.08,249.8,254.19,255.0,256.37,247.73,237.95,229.92,240.15,,,216.09,206.44,209.07,195.72,191.49,172.15,,,,,,,,,L5
