dates,nzd0249-0000,nzd0249-0001,nzd0249-0002,nzd0249-0003,nzd0249-0004,nzd0249-0005,nzd0249-0006,nzd0249-0007,nzd0249-0008,nzd0249-0009,nzd0249-0010,nzd0249-0011,nzd0249-0012,nzd0249-0013,nzd0249-0014,nzd0249-0015,satname
1999-08-21 21:46:56.985,,,,,283.86,,,,,,,364.06,,,343.97,335.63,L7
1999-09-06 21:46:35.553,277.13,277.65,,,266.63,,,,,,,374.575,,,356.94000000000005,341.315,L7
1999-09-22 21:46:36.849,281.71000000000004,279.4,337.85,279.65,270.88,279.21,272.96,265.12,271.36,263.79,252.16,374.575,283.3,290.14,356.94000000000005,341.315,L7
1999-09-22 21:47:00.785,283.68333333333334,280.1266666666666,319.79,279.64,272.7025,279.64,273.615,265.735,271.95500000000004,264.45500000000004,252.82,374.575,283.90999999999997,290.945,356.94000000000005,341.315,L7
1999-10-24 21:46:32.266,283.68333333333334,280.1266666666666,319.79,279.64,272.7025,279.64,273.615,265.735,271.95500000000004,264.45500000000004,252.82,384.3433333333333,283.90999999999997,290.945,370.48,352.7633333333333,L7
1999-10-24 21:46:56.203,281.0625,279.935,308.02333333333337,279.65333333333336,274.07399999999996,278.9266666666667,273.23333333333335,266.07,271.28000000000003,264.0133333333333,253.18666666666664,350.5475,283.67333333333335,290.81333333333333,370.48,352.7633333333333,L7
2000-02-13 21:46:48.016,281.0625,279.935,308.02333333333337,279.65333333333336,269.59,278.9266666666667,273.23333333333335,266.07,263.615,256.18,243.41,322.656,274.56,283.115,370.48,352.7633333333333,L7
2000-04-01 21:46:10.627,273.44,278.40999999999997,308.56,280.26,269.3,278.59000000000003,275.07500000000005,269.615,261.2166666666667,254.73000000000002,240.64333333333335,278.3675,265.21000000000004,275.285,401.90999999999997,384.725,L7
2000-04-01 21:46:34.573,273.37666666666667,277.30333333333334,313.8533333333333,279.8833333333333,272.13,278.59000000000003,275.07500000000005,270.29333333333335,264.045,257.7825,243.8475,272.402,269.65333333333336,281.27666666666664,401.90999999999997,387.55,L7
2000-05-19 21:45:43.918,277.1933333333333,277.11999999999995,318.46666666666664,279.985,269.6533333333333,279.68,277.68,272.07,262.0833333333333,256.00000000000006,240.49,236.32333333333335,305.2866666666667,276.64,398.95,384.1166666666666,L7
2000-05-19 21:46:07.873,277.1933333333333,277.11999999999995,318.46666666666664,279.985,269.6533333333333,279.68,277.68,272.07,262.0833333333333,256.00000000000006,240.49,236.32333333333335,326.78499999999997,283.75666666666666,396.8533333333333,379.485,L7
2000-08-07 21:44:45.034,277.1933333333333,270.865,309.6475,280.1466666666667,273.14,280.11,281.555,273.46666666666664,267.585,261.2925,245.6525,236.32333333333335,326.78499999999997,283.75666666666666,396.8533333333333,379.485,L7
2000-08-07 21:45:08.975,297.22,285.526,314.18,280.64250000000004,275.61199999999997,280.75,281.555,273.46666666666664,267.585,261.2925,245.6525,236.32333333333335,326.78499999999997,283.75666666666666,396.8533333333333,379.485,L7
2000-10-26 21:44:22.850,322.87,307.82,320.14250000000004,281.30000000000007,284.54999999999995,281.28499999999997,285.43,276.26,284.09,277.17,261.14,,389.59999999999997,297.99,386.90000000000003,360.53999999999996,L7
2000-11-27 21:44:26.720,349.88000000000005,331.34250000000003,336.295,281.30000000000007,284.54999999999995,281.28499999999997,285.43,276.26,284.09,277.17,261.14,,384.32500000000005,,379.78499999999997,350.32500000000005,L7
2001-01-14 21:44:09.210,348.255,334.088,332.462,281.30000000000007,284.54999999999995,281.28499999999997,285.43,276.26,284.09,277.17,261.14,,382.5333333333333,,377.57666666666665,358.3233333333333,L7
2001-01-14 21:44:33.150,334.548,334.088,323.90333333333336,277.61333333333334,278.37333333333333,279.4266666666667,278.22,271.21000000000004,277.1,270.94500000000005,256.815,252.51,382.5333333333333,289.91,377.57666666666665,362.0975,L7
2001-04-04 21:43:43.008,320.372,358.0566666666667,322.394,275.91499999999996,272.945,277.24,272.025,265.77,271.265,266.345,252.49,252.51,399.5475,289.91,377.57666666666665,373.052,L7
2001-04-04 21:44:06.948,314.475,358.0566666666667,315.7616666666667,277.2833333333333,272.2,277.08666666666664,271.6333333333334,264.6333333333334,271.0266666666667,265.79333333333335,254.675,252.89,406.192,289.91,377.57666666666665,382.665,L7
2001-04-20 21:43:46.702,309.07428571428574,358.0566666666667,310.2,277.64,272.2,277.08666666666664,271.6333333333334,264.28000000000003,271.4175,265.79333333333335,254.675,252.89,411.57666666666665,289.3,377.57666666666665,382.665,L7
2001-04-20 21:44:10.657,309.07428571428574,358.0566666666667,310.2,277.64,272.2,277.08666666666664,271.6333333333334,264.28000000000003,271.4175,265.79333333333335,254.675,252.89,416.8,289.3,377.57666666666665,386.35714285714283,L7
2001-05-22 21:43:30.869,303.02714285714285,334.8866666666667,298.9342857142857,278.568,275.1875,278.585,275.4125,267.82800000000003,273.85,268.9775,258.88000000000005,257.8433333333333,421.69666666666666,294.3333333333333,378.165,392.305,L7
2001-05-22 21:43:54.652,301.295,323.2,297.985,278.568,275.1875,278.585,275.4125,267.82800000000003,273.85,268.9775,258.88000000000005,257.8433333333333,421.69666666666666,294.3333333333333,387.5933333333333,390.2371428571428,L7
2001-07-25 21:42:54.824,277.61,277.67,284.54,280.806,278.9175,279.245,276.14750000000004,268.784,274.78499999999997,270.3966666666667,262.07500000000005,260.51,441.558,296.54499999999996,420.08500000000004,406.42999999999995,L7
