dates,nzd0564-0000,nzd0564-0001,nzd0564-0002,nzd0564-0003,nzd0564-0004,nzd0564-0005,nzd0564-0006,nzd0564-0007,nzd0564-0008,nzd0564-0009,nzd0564-0010,nzd0564-0011,nzd0564-0012,nzd0564-0013,nzd0564-0014,nzd0564-0015,nzd0564-0016,nzd0564-0017,nzd0564-0018,nzd0564-0019,nzd0564-0020,nzd0564-0021,nzd0564-0022,nzd0564-0023,nzd0564-0024,nzd0564-0025,nzd0564-0026,nzd0564-0027,nzd0564-0028,nzd0564-0029,nzd0564-0030,nzd0564-0031,nzd0564-0032,nzd0564-0033,nzd0564-0034,nzd0564-0035,nzd0564-0036,nzd0564-0037,nzd0564-0038,nzd0564-0039,nzd0564-0040,nzd0564-0041,nzd0564-0042,nzd0564-0043,nzd0564-0044,nzd0564-0045,nzd0564-0046,nzd0564-0047,nzd0564-0048,nzd0564-0049,nzd0564-0050,satname
2000-04-15 21:59:31+00:00,226.10285714285715,225.90166666666664,225.73000000000002,202.65285714285713,201.94875,218.975,218.85714285714286,225.98857142857145,229.17333333333332,234.89999999999998,231.17199999999997,228.618,232.97250000000003,220.948,215.45000000000002,199.48,232.16,179.92,204.48499999999999,220.11249999999998,208.18599999999998,210.7625,216.1833333333333,216.41666666666666,212.20666666666668,218.632,213.37399999999997,198.04999999999998,198.8685714285714,208.46,202.60285714285715,204.335,203.49625,211.43,212.32142857142858,207.69125,207.00142857142856,209.60875,219.89000000000001,212.405,215.50166666666667,214.2475,208.905,214.75600000000003,217.41333333333333,204.59,204.324,186.1483333333333,190.30666666666664,191.33,187.32333333333335,L7
2000-05-01 21:59:30+00:00,225.04874999999998,225.90166666666664,225.73000000000002,220.73,216.94285714285712,218.975,218.85714285714286,225.98857142857145,229.17333333333332,241.39999999999998,238.56599999999997,238.29000000000002,233.988,221.22666666666666,225.4875,,232.515,,224.91500000000002,229.91,218.198,219.36,224.04999999999998,223.69000000000003,219.56499999999997,219.6916666666667,211.82500000000002,204.625,207.35999999999999,207.2657142857143,209.69,213.10500000000002,210.02625,211.22,211.26749999999998,213.9875,213.32285714285715,217.44875000000002,218.80625,218.81333333333336,214.29857142857142,211.852,208.64000000000001,213.49666666666667,216.4385714285714,208.96428571428572,203.59166666666667,195.23499999999999,197.17333333333332,199.04833333333332,194.90333333333334,L7
2000-05-17 21:59:19+00:00,224.0911111111111,224.99714285714285,225.5914285714286,219.6142857142857,217.065,217.56714285714287,218.56625,223.73,228.48285714285717,240.85999999999999,237.59500000000003,236.885,231.91333333333333,220.38000000000002,225.18,,232.515,,224.91500000000002,229.416,217.81499999999997,216.94,222.29857142857145,222.10714285714286,218.08999999999997,219.41857142857143,211.78,204.38857142857142,208.625,205.82125,207.76749999999998,212.13000000000002,209.0388888888889,210.69,210.1277777777778,213.3777777777778,213.23125,217.13,217.98888888888888,216.42142857142858,213.40375,215.1966666666667,207.8325,216.31428571428572,216.07875,210.19125,203.17857142857142,194.09714285714284,196.1185714285714,198.91857142857143,193.78428571428572,L7
2000-05-24 22:05:22+00:00,224.0911111111111,224.99714285714285,225.5914285714286,219.6142857142857,217.065,217.56714285714287,218.56625,223.73,228.48285714285717,236.95299999999997,233.69857142857146,233.0442857142857,226.68857142857146,216.735,221.48333333333335,208.88,223.78,200.06,214.09666666666666,223.01333333333332,213.31285714285715,211.22166666666666,217.70625,217.10375000000002,213.10875,219.41857142857143,211.78,200.08625,204.2722222222222,201.44222222222223,203.57888888888888,207.4,205.49499999999998,206.298,210.1277777777778,213.3777777777778,213.23125,217.13,217.98888888888888,216.42142857142858,213.40375,215.1966666666667,207.8325,216.31428571428572,216.07875,210.19125,203.17857142857142,194.09714285714284,196.1185714285714,198.91857142857143,193.78428571428572,L7
2000-06-18 21:59:03+00:00,224.3022222222222,225.98,225.24285714285716,221.03142857142853,217.45624999999998,218.21285714285713,218.78750000000002,223.20125000000002,228.8485714285714,236.16500000000002,233.85857142857142,234.50428571428571,226.41,215.79500000000002,222.08333333333334,219.75,223.78,200.06,210.945,222.46999999999997,214.64285714285714,211.22166666666666,215.77857142857144,214.41125,212.71285714285713,217.67125,210.47714285714284,200.9375,205.05333333333334,201.96666666666667,203.78875000000002,208.47375,206.336,206.06599999999997,211.45000000000002,214.27333333333334,215.1275,219.14,218.39555555555555,214.89285714285714,213.14,215.625,208.04999999999998,215.7,216.76624999999999,210.64124999999999,202.1042857142857,194.96857142857144,196.08714285714285,200.5585714285714,193.5742857142857,L7
2000-07-04 21:58:50+00:00,224.25625,225.87,224.60833333333332,222.3133333333333,218.2942857142857,217.25,218.56714285714287,222.9157142857143,229.16333333333333,235.78111111111113,232.22333333333336,234.24333333333334,227.36999999999998,215.30714285714288,221.95,219.75,223.78,200.06,210.945,222.46999999999997,214.70333333333335,211.19199999999995,217.25666666666666,213.74714285714285,212.71285714285713,217.67125,210.47714285714284,190.2775,205.05333333333334,201.24,203.62428571428572,208.28285714285715,206.2388888888889,206.4622222222222,211.21,205.74555555555557,207.46375,211.89222222222222,218.73625,206.36714285714285,205.57750000000001,205.5957142857143,200.46,206.0557142857143,208.845,211.91428571428574,200.2266666666667,195.70000000000002,196.08333333333334,190.61142857142858,194.6016666666667,L7
2000-08-05 21:58:20+00:00,224.23,225.87,224.60833333333332,222.27999999999997,217.68999999999997,217.25,218.295,221.60333333333335,229.16333333333333,234.6725,232.22333333333336,228.46428571428572,227.36999999999998,215.30714285714288,221.95,208.9,212.9625,192.12,200.36333333333334,213.42166666666665,214.70333333333335,202.64333333333332,211.2485714285714,213.74714285714285,206.36625,213.10125000000002,210.53166666666667,186.47666666666666,198.75555555555556,195.81555555555556,195.6457142857143,208.28285714285715,201.3388888888889,205.58999999999997,206.46375,200.5511111111111,202.63125,207.1588888888889,217.88000000000002,201.65499999999997,201.9177777777778,200.74875,196.44,200.525,204.19,206.85000000000002,200.2266666666667,195.70000000000002,196.08333333333334,185.9125,188.43714285714285,L7
2000-10-24 21:57:29+00:00,217.6,221.185,220.20499999999998,217.74999999999994,215.735,210.15500000000003,214.59000000000003,210.85500000000005,223.89,225.24,230.58750000000003,224.724,219.84749999999997,210.18,219.988,213.26749999999998,206.56333333333336,192.12,200.36333333333334,208.08,212.164,194.44199999999998,199.992,205.782,190.78750000000002,204.86800000000002,204.0825,176.6885714285714,191.20166666666668,184.79999999999998,186.28199999999998,199.89600000000002,191.845,196.21599999999998,196.79,186.735,195.84666666666666,198.28666666666666,210.255,192.43999999999997,192.02166666666665,191.57166666666663,185.38166666666666,192.63166666666666,192.12,198.036,196.51999999999998,192.77749999999997,192.9925,176.63333333333333,181.038,L7
2000-11-09 21:57:33+00:00,219.59333333333333,220.28666666666666,219.89333333333335,216.87,220.32666666666668,211.63,215.07000000000002,215.98333333333335,223.98333333333335,223.0,229.14,219.65,213.09,209.015,217.80599999999998,213.26749999999998,193.41000000000003,192.12,196.69666666666663,205.47199999999998,209.58199999999997,194.85999999999999,194.73999999999998,206.57200000000003,183.14000000000001,203.8,207.82,176.57999999999998,187.20000000000002,184.69833333333335,184.972,198.078,191.05499999999998,195.414,197.902,186.6883333333333,195.13166666666666,194.50166666666667,207.695,192.74166666666667,193.235,193.24666666666667,186.60666666666668,193.49499999999998,193.56500000000003,197.57,192.4975,190.21249999999998,192.89749999999998,174.46,180.23000000000002,L7
2000-11-25 21:57:34+00:00,220.10666666666665,220.645,217.46000000000004,218.84500000000003,221.53,212.885,214.34000000000003,220.01500000000004,222.65666666666667,226.835,237.89333333333335,221.2225,224.62,213.32666666666668,220.39,217.54,180.51,184.18,198.81499999999997,206.425,214.28999999999996,199.87,201.22333333333333,212.72333333333336,161.94,200.305,209.64499999999998,175.645,185.01999999999998,188.788,190.28,203.6925,195.37,201.35999999999999,197.872,185.64499999999998,193.49666666666667,192.15833333333333,204.055,190.87600000000003,193.62833333333333,188.53666666666666,187.56833333333336,189.23833333333334,189.566,192.66199999999998,188.3425,190.7825,194.4975,171.74,180.77,L7
