dates,satname,nzd0564-0000,nzd0564-0001,nzd0564-0002,nzd0564-0003,nzd0564-0004,nzd0564-0005,nzd0564-0006,nzd0564-0007,nzd0564-0008,nzd0564-0009,nzd0564-0010,nzd0564-0011,nzd0564-0012,nzd0564-0013,nzd0564-0014,nzd0564-0015,nzd0564-0016,nzd0564-0017,nzd0564-0018,nzd0564-0019,nzd0564-0020,nzd0564-0021,nzd0564-0022,nzd0564-0023,nzd0564-0024,nzd0564-0025,nzd0564-0026,nzd0564-0027,nzd0564-0028,nzd0564-0029,nzd0564-0030,nzd0564-0031,nzd0564-0032,nzd0564-0033,nzd0564-0034,nzd0564-0035,nzd0564-0036,nzd0564-0037,nzd0564-0038,nzd0564-0039,nzd0564-0040,nzd0564-0041,nzd0564-0042,nzd0564-0043,nzd0564-0044,nzd0564-0045,nzd0564-0046,nzd0564-0047,nzd0564-0048,nzd0564-0049,nzd0564-0050
1999-07-25 22:05:51.165000,L7,101.86,99.62,104.26,96.49,108.73,110.76,107.88,114.60,117.07,181.13,191.54,187.78,178.51,170.42,189.83,190.99,184.54,176.52,174.20,175.37,171.54,172.10,163.69,166.42,171.13,156.61,157.46,152.77,157.24,148.05,155.84,153.50,156.18,157.59,159.20,161.73,160.68,166.99,167.46,163.39,159.09,159.31,163.17,160.30,162.91,159.21,149.39,142.84,152.53,154.01,152.14
1999-08-03 22:00:08.482000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,83.22,70.42,65.02,,,,64.55,68.65,68.17,61.29,67.94,79.05,62.45,72.87,78.98,81.40,85.09,72.09,91.19,,,,,,
1999-08-26 22:05:56.841000,L7,215.93,216.73,215.94,212.53,203.25,203.08,205.95,206.60,221.82,231.79,236.43,245.54,219.70,217.89,226.36,236.53,247.42,235.67,236.16,274.43,229.00,210.10,212.59,217.58,212.75,212.08,201.29,193.09,193.05,200.73,204.29,204.46,200.01,208.95,211.65,212.76,212.06,228.23,218.84,203.69,206.78,209.39,199.01,223.69,212.91,201.18,196.16,196.20,188.24,177.42,178.21
1999-08-26 22:06:20.800000,L7,215.51,217.09,216.47,212.63,203.45,203.15,206.97,209.22,222.89,229.51,235.84,242.38,225.08,219.52,221.92,238.01,244.33,234.76,234.34,262.15,228.65,211.44,211.98,220.74,212.10,204.82,199.96,192.63,193.24,199.68,203.99,203.01,199.84,207.98,210.05,212.35,210.65,226.98,219.70,204.93,205.18,208.99,203.48,206.35,223.17,203.39,197.77,195.23,188.21,177.54,178.14
1999-09-20 22:00:08.403000,L7,65.93,92.52,93.26,86.19,96.38,97.62,100.31,108.41,111.76,177.92,212.27,211.42,201.03,168.53,204.79,192.76,203.27,176.78,201.05,203.39,201.25,189.23,192.05,165.18,170.04,160.43,165.08,161.30,163.26,154.55,166.07,169.53,181.23,160.88,160.38,166.93,163.80,170.00,167.64,167.87,164.05,169.34,164.09,163.94,169.81,162.10,148.60,145.68,153.83,149.02,154.49
1999-09-27 22:06:00.877000,L7,218.58,221.83,225.46,260.23,249.85,224.12,211.99,215.55,221.32,234.37,233.93,239.33,229.95,221.70,242.48,247.51,229.78,236.80,239.46,261.36,217.23,266.52,253.20,282.75,252.50,213.47,195.73,194.92,195.25,200.18,214.65,209.73,216.70,207.38,204.30,203.21,208.84,228.25,231.53,216.17,236.59,264.62,215.44,205.64,205.72,202.59,205.28,188.63,208.29,187.78,191.79
1999-09-27 22:06:24.836000,L7,225.29,222.19,223.43,255.82,243.25,226.17,209.23,211.44,219.92,230.94,233.47,239.55,229.63,222.40,236.62,242.76,230.22,236.34,240.38,259.60,243.56,285.59,250.83,278.84,281.79,209.25,194.52,191.52,193.18,198.82,216.14,211.09,224.10,206.90,205.87,197.06,207.78,222.95,228.57,213.75,241.53,264.86,218.23,201.89,204.22,200.14,205.18,186.19,208.45,187.35,194.63
1999-10-22 22:00:04.598000,L7,64.51,95.23,101.14,94.19,96.99,102.08,109.54,108.53,114.82,191.69,206.09,202.68,176.17,168.60,191.35,199.48,185.60,179.92,188.57,191.38,172.67,179.88,173.80,174.13,169.58,161.07,154.27,155.27,154.13,155.39,159.96,160.99,159.99,157.64,153.72,158.53,166.65,164.52,172.96,178.01,33.65,102.13,85.94,89.01,101.81,170.30,155.71,148.40,152.53,150.95,147.37
1999-11-30 22:05:47.159000,L7,215.09,219.12,218.84,214.52,212.93,207.42,209.95,213.54,223.80,235.33,241.65,247.50,230.28,221.89,235.69,245.99,245.61,235.87,236.62,242.96,233.97,230.48,228.71,225.97,223.78,221.57,218.79,209.60,206.24,209.75,216.37,219.54,218.54,215.35,220.95,220.63,220.56,227.60,224.80,220.89,219.76,214.84,212.66,210.32,208.11,201.31,191.78,190.50,192.27,188.14,182.88
1999-12-09 22:00:09.551000,L7,216.07,215.11,216.74,212.20,209.70,206.19,210.03,217.08,220.50,238.84,234.70,228.29,232.32,218.49,218.80,243.08,232.61,236.03,219.35,225.09,213.71,228.71,229.88,227.48,214.91,236.14,213.68,190.37,194.53,198.35,200.78,198.56,194.67,200.19,195.36,200.73,203.81,203.26,211.42,223.95,212.29,201.37,195.38,209.15,202.63,195.44,188.39,187.16,199.02,182.98,185.44
