dates,satname,nzd0362-0004,nzd0362-0005,nzd0362-0055,nzd0362-0056,nzd0362-0075,nzd0362-0076,nzd0362-0077,nzd0362-0078,nzd0362-0079,nzd0362-0007,nzd0362-0008,nzd0362-0043,nzd0362-0044,nzd0362-0045,nzd0362-0068,nzd0362-0069,nzd0362-0070,nzd0362-0071,nzd0362-0072,nzd0362-0073,nzd0362-0074,nzd0362-0080,nzd0362-0081,nzd0362-0082,nzd0362-0083,nzd0362-0084,nzd0362-0085,nzd0362-0086,nzd0362-0087,nzd0362-0088,nzd0362-0009,nzd0362-0010,nzd0362-0089,nzd0362-0090,nzd0362-0091,nzd0362-0092,nzd0362-0093,nzd0362-0050,nzd0362-0051,nzd0362-0052,nzd0362-0053,nzd0362-0013,nzd0362-0014,nzd0362-0030,nzd0362-0031,nzd0362-0032,nzd0362-0033,nzd0362-0034,nzd0362-0060,nzd0362-0061,nzd0362-0062,nzd0362-0063,nzd0362-0064,nzd0362-0065,nzd0362-0066,nzd0362-0067,nzd0362-0011,nzd0362-0017,nzd0362-0018,nzd0362-0023,nzd0362-0024,nzd0362-0057,nzd0362-0058,nzd0362-0015,nzd0362-0046,nzd0362-0047,nzd0362-0012,nzd0362-0016,nzd0362-0094,nzd0362-0095,nzd0362-0096,nzd0362-0097,nzd0362-0098,nzd0362-0099,nzd0362-0020,nzd0362-0021,nzd0362-0022,nzd0362-0025,nzd0362-0035,nzd0362-0026,nzd0362-0028,nzd0362-0029,nzd0362-0036,nzd0362-0037,nzd0362-0038,nzd0362-0054,nzd0362-0059,nzd0362-0104,nzd0362-0105,nzd0362-0106,nzd0362-0100,nzd0362-0101,nzd0362-0102,nzd0362-0103,nzd0362-0107,nzd0362-0108,nzd0362-0109,nzd0362-0110,nzd0362-0111,nzd0362-0112,nzd0362-0113,nzd0362-0114,nzd0362-0116,nzd0362-0117,nzd0362-0118,nzd0362-0115,nzd0362-0119,nzd0362-0120,nzd0362-0121,nzd0362-0129,nzd0362-0130,nzd0362-0131
1999-09-04 22:00:09.953000,L7,,,,,,400.05,392.78,388.25,384.45,,,,,,,399.87,391.93,370.63,383.20,364.47,,373.17,367.50,365.73,371.13,368.51,361.53,348.60,338.64,326.58,,,327.80,314.79,307.29,307.65,306.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292.92,274.75,272.95,289.93,271.67,260.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,,,,,374.35,355.81,341.14,345.70,338.58,,,,,304.01,292.52,329.96,337.69,330.91,332.37,337.57,,331.03,316.66,332.06,311.08,309.55,308.80,301.61,300.35,,,401.84,,,,,,,379.33,415.44,,,,443.02,,,,,,,423.64,414.17,398.16,387.46,340.22,,,,,,,,,,357.57,421.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:04.598000,L7,,,,,,,,,,,,,,,,,,,,,,,,398.73,396.31,391.54,383.68,382.39,401.94,383.37,,,378.36,374.81,365.55,357.29,355.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.48,336.02,329.89,320.99,303.49,293.26,,,,,,,,,,,,,,284.95,286.85,274.25,284.74,300.27,284.12,284.10,273.31,263.76,,,,,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,,,,,,,,,,,,,,,,,,,,,,,,398.11,387.72,374.03,396.57,415.28,420.86,410.50,,,396.47,373.79,342.91,335.95,339.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.32,341.74,308.79,296.80,287.88,273.55,,,,,,,,,,,,,,,,,267.00,271.79,266.76,,,,,,,,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,,,,,,,,,,,,,,,417.71,406.54,415.42,416.84,385.19,364.50,385.51,,389.04,385.83,349.81,368.24,368.76,368.24,361.47,365.51,,,347.38,344.60,330.46,331.66,327.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.76,310.73,298.59,282.95,281.44,273.87,,,,,,,,,,,,,,,,,266.83,255.76,,,,,,,,,,,,,,,,,,,,
2000-01-26 22:00:02.226000,L7,,,,,344.12,353.07,299.82,349.48,345.75,,,,,,404.99,395.50,399.15,410.61,388.12,360.19,278.78,351.28,353.13,345.51,380.24,354.77,339.79,323.85,322.39,306.68,,,,,,,,,,,,,,,,,,,,,,,,,,411.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11 21:59:57.866000,L7,,,,,395.62,395.37,382.44,378.99,392.21,386.31,403.03,342.72,395.45,417.11,305.55,374.22,369.77,375.95,388.27,362.84,325.21,386.03,364.81,382.77,371.99,369.81,363.04,333.37,336.42,309.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52.393000,L7,,,,,,,,366.17,386.16,,,,,,410.13,396.95,413.07,412.78,393.46,365.96,,360.15,354.36,341.96,367.15,329.95,334.42,326.18,327.53,313.60,,,303.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.74,,,418.60,410.29,415.49,403.40,386.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.76,373.28,371.91,369.96,370.81,339.87,,,,,,,,,,,,,,315.02,319.68,314.72,340.20,332.42,331.30,325.38,303.64,306.11,299.75,281.98,287.95,282.58,298.48,265.42,,,,262.30,,,,,,
2000-04-15 21:59:31.785000,L7,,,,,,,,,,,,,,,,,,,,,,,,380.68,374.02,385.29,384.83,359.16,343.67,327.95,,,339.47,322.40,321.51,316.11,342.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.46,290.21,277.53,296.71,299.39,276.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
