dates,satname,nzd0247-0000,nzd0247-0001,nzd0247-0002,nzd0247-0003,nzd0247-0004,nzd0247-0005,nzd0247-0006,nzd0247-0007,nzd0247-0008,nzd0247-0009,nzd0247-0010,nzd0247-0011,nzd0247-0012,nzd0247-0013,nzd0247-0014,nzd0247-0015,nzd0247-0016,nzd0247-0017,nzd0247-0018,nzd0247-0019,nzd0247-0020,nzd0247-0022,nzd0247-0023,nzd0247-0024,nzd0247-0025,nzd0247-0026,nzd0247-0027,nzd0247-0028,nzd0247-0029,nzd0247-0030,nzd0247-0031,nzd0247-0032,nzd0247-0033,nzd0247-0034,nzd0247-0021,nzd0247-0035,nzd0247-0036,nzd0247-0037,nzd0247-0038,nzd0247-0039,nzd0247-0040,nzd0247-0041,nzd0247-0042,nzd0247-0043,nzd0247-0044,nzd0247-0045
1999-08-21 21:46:33.053000,L7,332.17,341.88,334.87,341.97,345.95,351.54,359.18,363.65,368.99,378.18,372.28,382.57,391.27,367.68,358.87,363.59,374.33,381.11,395.20,395.43,391.40,378.24,355.11,368.67,352.98,344.60,368.19,396.10,391.04,382.32,380.21,364.10,355.54,351.34,,,,,,,,,,,,
1999-09-06 21:46:35.553000,L7,343.19,331.53,344.64,321.00,312.64,347.46,318.95,353.90,351.45,346.18,348.16,344.49,332.92,368.47,356.49,315.96,334.12,345.56,351.19,386.15,400.73,333.73,313.04,328.68,344.55,335.20,350.68,335.11,347.62,341.28,342.55,316.85,335.08,328.92,340.72,328.40,319.10,318.64,325.18,371.62,333.33,343.90,347.05,348.98,348.80,359.59
1999-09-22 21:46:36.849000,L7,,,,,,,,,,,360.64,376.76,370.70,,365.94,385.33,374.67,371.20,,,,,,,,381.88,391.31,396.06,366.95,,,,,,,,,,,,,,,,,
1999-10-24 21:46:32.266000,L7,348.90,328.44,320.52,320.80,321.28,335.28,359.17,346.25,353.77,377.97,,401.94,393.73,361.83,358.17,322.41,334.01,334.65,336.22,394.09,362.35,341.57,333.78,322.18,336.79,339.32,334.15,376.48,362.98,352.25,348.08,339.36,338.48,345.99,347.48,355.56,329.65,330.71,338.15,365.65,338.44,,,,,
2000-02-13 21:46:48.016000,L7,,,,,,,,,,,,,,,,,,,304.34,326.87,322.49,376.64,390.73,369.88,367.14,372.34,380.85,383.14,330.18,319.09,298.15,300.49,321.60,298.86,309.45,300.13,295.39,300.50,300.32,301.56,313.25,321.39,380.38,380.65,368.72,394.16
2000-04-01 21:46:10.627000,L7,338.72,335.55,334.79,331.51,348.62,346.31,347.37,362.53,371.73,356.39,373.25,364.87,354.45,353.58,349.17,321.21,330.17,361.79,346.75,364.96,366.48,345.37,329.00,325.73,342.92,338.29,342.18,347.19,360.26,340.16,344.14,335.99,348.50,340.07,380.35,338.18,322.50,318.46,326.60,326.80,327.27,378.28,347.61,348.28,345.22,344.28
2000-04-01 21:46:34.573000,L7,,,,328.71,343.79,344.70,343.68,362.51,369.34,353.84,371.70,355.14,352.15,349.17,345.96,318.46,328.89,362.70,345.16,364.44,365.08,344.32,325.50,324.99,339.93,336.95,341.20,346.09,359.67,339.49,343.02,335.13,347.87,338.18,380.28,336.48,321.38,317.10,325.56,325.21,325.49,359.84,347.24,347.79,344.57,341.82
2000-05-03 21:45:55.224000,L7,342.26,346.82,357.47,359.72,344.40,358.36,380.05,375.24,379.30,372.93,,,,,,,,,,,,,,,,,,,,,,,,,,,356.90,358.75,360.48,,,,,,,
2000-05-19 21:45:43.918000,L7,,330.73,331.21,334.62,345.12,352.92,359.98,374.61,360.34,368.94,388.12,381.66,394.90,379.77,356.07,382.14,,,,,,,370.97,380.04,383.61,384.51,385.83,408.75,364.84,382.02,350.48,344.63,353.90,352.85,,343.17,328.56,327.39,335.51,,,,373.36,383.29,347.82,364.65
2000-05-19 21:46:07.873000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.04,377.99,380.82,375.84,,369.69,370.12,379.14,370.52,,,,,,,
2000-06-04 21:45:32.324000,L7,343.25,335.52,337.32,342.35,336.65,347.36,348.29,358.24,360.63,366.25,367.05,348.00,352.27,355.15,373.35,309.42,376.87,374.61,388.31,387.18,387.12,377.11,356.48,350.04,346.41,340.52,346.21,362.52,383.40,372.63,382.28,,,,386.99,,,,,,,,,,,
2000-08-07 21:44:45.034000,L7,,322.21,320.13,320.50,325.74,329.70,327.82,356.72,345.56,360.75,349.53,344.29,348.88,349.25,331.78,,337.72,344.02,351.24,381.06,365.97,351.13,344.50,329.86,341.13,333.11,341.71,349.62,348.75,342.33,359.73,340.84,353.51,356.10,380.18,347.57,321.04,323.84,326.18,334.56,343.59,352.64,354.37,350.50,360.50,328.91
2000-08-07 21:45:08.975000,L7,,330.31,334.87,327.87,330.29,342.10,331.86,361.80,365.32,362.97,359.21,350.31,352.49,357.71,336.12,275.92,346.59,351.09,365.93,387.94,370.57,385.83,354.69,334.75,347.37,337.80,345.71,353.62,351.92,345.94,366.24,378.65,359.51,369.47,381.37,370.92,322.09,325.16,328.28,358.71,346.03,356.17,362.93,357.04,366.18,334.53
2000-09-24 21:44:07.338000,L7,,,,,,,,,,380.74,362.86,350.06,337.25,,,,,,,,,,,,,,,,,,,,,,,382.31,369.06,348.00,334.61,348.47,341.17,,371.14,347.91,305.12,346.52
2000-10-26 21:44:22.850000,L7,,,,,,,,,,,,,,,,,,,,,,375.55,363.04,327.11,357.10,,,,,,377.19,374.53,376.18,374.01,375.67,371.52,321.70,340.19,341.59,358.88,362.91,357.00,373.85,375.27,356.65,
2000-11-27 21:44:26.720000,L7,,,,,,,,,,,,,,,,,,,,,,,362.07,370.18,370.70,374.33,374.51,,,,,,,374.00,,352.47,352.47,348.98,340.92,336.34,355.35,366.91,378.15,378.67,355.20,
2001-01-14 21:44:09.210000,L7,379.94,352.61,352.08,332.27,345.77,346.07,359.75,335.46,326.84,348.87,339.49,350.26,411.21,406.96,367.33,333.82,333.67,339.78,344.88,,376.68,360.85,355.96,345.48,363.41,338.97,352.81,351.10,355.32,349.92,,329.28,340.93,334.60,354.79,339.67,320.76,315.99,362.67,365.74,375.04,387.29,384.79,397.52,384.75,340.73
