dates,nzd0247-0000,nzd0247-0001,nzd0247-0002,nzd0247-0003,nzd0247-0004,nzd0247-0005,nzd0247-0006,nzd0247-0007,nzd0247-0008,nzd0247-0009,nzd0247-0010,nzd0247-0011,nzd0247-0012,nzd0247-0013,nzd0247-0014,nzd0247-0015,nzd0247-0016,nzd0247-0017,nzd0247-0018,nzd0247-0019,nzd0247-0020,nzd0247-0022,nzd0247-0023,nzd0247-0024,nzd0247-0025,nzd0247-0026,nzd0247-0027,nzd0247-0028,nzd0247-0029,nzd0247-0030,nzd0247-0031,nzd0247-0032,nzd0247-0033,nzd0247-0034,nzd0247-0021,nzd0247-0035,nzd0247-0036,nzd0247-0037,nzd0247-0038,nzd0247-0039,nzd0247-0040,nzd0247-0041,nzd0247-0042,nzd0247-0043,nzd0247-0044,nzd0247-0045,satname
1999-08-21 21:46:33+00:00,332.17,,,,,,,,,,,,,,358.87,,,,,,,,355.11,,,344.6,368.19,,,,,364.1,,351.34,,,,,,,,,,,,,L7
2000-04-01 21:46:10+00:00,338.72,,,,,,,,,,,,,,,321.21,330.17,,346.75,,,,329.0,325.73,,338.29,342.18,347.19,,340.16,344.14,335.99,348.5,340.07,,338.18,322.5,318.46,326.6,326.8,327.27,,347.61,348.28,345.22,,L7
2000-05-19 21:45:43+00:00,338.72,,,,,,,,,,,,,,,321.21,330.17,,346.75,,,,329.0,325.73,,338.29,342.18,347.19,,340.16,347.31,340.31,351.2,340.07,,340.675,325.53,322.92499999999995,331.055,326.8,327.27,,347.61,348.28,346.52,,L7
2000-06-04 21:45:32+00:00,338.72,,,,,,,,,,,,,355.15,,315.315,330.17,,346.75,,,,329.0,325.73,,338.29,342.18,347.19,,340.16,347.31,340.31,351.2,340.07,,340.675,325.53,322.92499999999995,331.055,326.8,327.27,,347.61,348.28,346.52,,L7
2000-08-07 21:44:45+00:00,338.72,,,,,,,,,,,,,355.15,,315.315,333.94500000000005,,346.75,,,,329.0,327.795,,335.70000000000005,341.945,348.405,,340.16,347.31,340.4866666666667,351.2,340.07,,340.675,324.03333333333336,323.22999999999996,329.43,326.8,327.27,,350.99,348.28,346.52,328.91,L7
2000-11-27 21:44:26+00:00,,,,,,,,,,,,,,355.15,,309.42,337.72,,,,,,,329.86,,333.11,341.71,349.62,,,,340.84,,,,,321.04,323.84,326.18,336.34,,,354.37,,,328.91,L7
2001-01-14 21:44:09+00:00,,,,,,,,,326.84,,,,,,,,335.69500000000005,339.78,344.88,,,,,329.86,,336.04,341.71,350.36,,,,335.05999999999995,340.93,334.6,,,320.9,319.91499999999996,326.18,336.34,,,354.37,,,328.91,L7
2001-04-04 21:44:06+00:00,,,,,,,,,326.84,,,,357.93,,,315.19,333.67,344.325,344.88,,,,335.22,341.02,,339.5,347.94,352.23,,,,333.765,343.65999999999997,337.675,,331.29,322.18,318.27,325.41,332.53,336.16,359.62,352.66,352.34,,,L7
2001-04-20 21:43:46+00:00,320.86,,,,,,,,326.84,,,,359.44,,,311.8,333.67,344.325,344.88,,,,335.22,341.02,,341.92333333333335,347.94,352.23,,,,333.765,343.65999999999997,337.675,,331.29,324.6433333333334,321.0266666666667,325.41,332.53,337.68,359.62,355.45000000000005,354.355,,,L7
2001-05-22 21:43:30+00:00,320.86,,,,,,,,326.84,,,,359.44,,,310.82,333.67,344.325,344.88,,,,335.22,344.64,,341.92333333333335,355.355,357.93666666666667,,,,340.71,343.65999999999997,337.675,,331.29,324.6433333333334,321.0266666666667,325.41,332.53,337.68,359.62,355.45000000000005,354.355,,,L7
2001-07-25 21:42:54+00:00,320.86,,,,,,,,,,,,357.62999999999994,356.27,,302.7425,,348.87,,,,,335.22,344.64,341.0,342.47666666666663,350.8866666666666,361.35499999999996,,,,345.56333333333333,346.39,340.75,,331.29,326.58500000000004,323.545,325.41,328.72,337.68,359.62,355.45000000000005,354.355,,,L7
2001-08-10 21:42:36+00:00,320.86,,,,,,,,,,,,355.8625,355.39,,298.956,339.65,348.87,,,,,335.22,344.64,341.0,341.0175,349.0125,361.35499999999996,,,,346.485,346.39,345.29499999999996,,331.29,326.91,325.13000000000005,325.41,329.32500000000005,339.0566666666667,359.62,354.18333333333334,354.355,,,L7
2001-09-11 21:42:14+00:00,323.71000000000004,,,,,,,,,,,,355.8625,355.39,,298.956,339.65,348.87,,,,,335.22,344.64,341.0,341.0175,349.0125,361.35499999999996,,,336.82,345.268,349.68,345.29499999999996,,331.29,327.3825,325.8525,327.01,332.48,338.6075,352.475,353.5,351.7966666666666,312.63,,L7
2001-09-27 21:42:05+00:00,323.71000000000004,,,,,,,,,,,,355.8625,355.39,,298.956,339.65,348.87,,,,,335.22,344.64,341.0,341.0175,349.0125,361.35499999999996,,,336.82,345.18333333333334,351.28999999999996,346.1333333333334,,336.435,327.88800000000003,325.63,328.09999999999997,333.685,338.6075,351.12000000000006,354.326,351.7966666666666,312.63,,L7
2001-10-13 21:41:51+00:00,323.71000000000004,,310.61,,,,322.9,337.25,332.8,,341.57,350.5,353.0775,351.3833333333334,,299.95,338.78999999999996,343.98,337.65,,,,329.55,340.315,340.05,339.58,347.03249999999997,369.35,345.8,349.39,339.725,344.455,349.50666666666666,345.8333333333333,349.83,338.895,326.672,324.7,325.93666666666667,332.4225,336.2075,344.0933333333333,353.352,349.55,321.52,329.74,L7
2001-10-29 21:41:57+00:00,326.56,,310.61,,,,322.9,337.25,332.8,,341.57,350.5,350.4533333333334,351.3833333333334,,297.83500000000004,338.78999999999996,343.98,337.65,,,,329.55,340.315,340.05,337.18333333333334,347.03249999999997,369.35,345.8,349.39,344.68666666666667,344.60714285714283,351.8225,345.8333333333333,349.83,338.895,325.9475,324.24,325.93666666666667,332.4225,335.21,344.0933333333333,352.13,346.14,321.52,329.74,L7
2002-01-17 21:42:52+00:00,326.56,,310.61,,,,322.9,337.25,332.8,,341.57,350.5,350.4533333333334,351.3833333333334,,294.16,338.78999999999996,343.98,337.65,,,,329.55,332.37,340.05,337.18333333333334,341.78666666666663,,345.8,349.39,344.68666666666667,342.64285714285717,350.82399999999996,343.5825,349.83,337.09666666666664,326.26,324.612,327.17499999999995,333.836,336.59000000000003,345.4925,353.288,346.14,321.52,329.74,L7
2002-02-18 21:42:30+00:00,326.56,,310.61,,,,315.84,337.25,325.63,,337.33500000000004,343.875,333.95500000000004,339.47,,308.78,332.14,338.5,337.63,,,,324.875,326.32,338.675,327.93499999999995,340.02,307.21,340.055,343.14,340.7,337.53,348.7733333333333,338.21500000000003,343.625,333.97749999999996,323.8,319.81399999999996,324.55,334.8125,331.90500000000003,341.594,351.516,342.16333333333336,325.79333333333335,332.195,L7
2002-04-07 21:42:52+00:00,,317.27,315.675,,,,315.84,337.25,325.63,333.08,333.58666666666664,343.24333333333334,332.42,335.7866666666667,,308.78,332.14,338.5,337.63,,,,325.17333333333335,326.32,338.675,327.93499999999995,340.02,310.41499999999996,337.37333333333333,335.1166666666666,338.26750000000004,330.908,345.038,333.7475,343.625,329.3025,319.705,314.1875,320.97,328.78000000000003,330.415,337.8075,349.81,335.91333333333336,333.3966666666667,331.8966666666667,L7
