dates,satname,nzd0173-0000,nzd0173-0001,nzd0173-0002,nzd0173-0003,nzd0173-0005,nzd0173-0006,nzd0173-0007,nzd0173-0008,nzd0173-0009,nzd0173-0010,nzd0173-0011,nzd0173-0004,nzd0173-0012,nzd0173-0013,nzd0173-0014,nzd0173-0015,nzd0173-0016,nzd0173-0017,nzd0173-0018,nzd0173-0019,nzd0173-0020,nzd0173-0021,nzd0173-0022
2000-01-10 21:58:52.465000,L7,376.30,312.88,331.33,309.21,314.23,335.42,295.27,293.14,287.64,289.55,296.57,,,,,,,,,,,,
2000-09-06 21:56:22.949000,L7,,,,,,,,,,,,,,,,,,,,,,347.73,367.60
2001-02-13 21:56:03.778000,L7,335.65,330.84,321.09,311.47,295.06,298.51,308.38,302.75,302.15,304.12,302.36,314.84,311.09,307.87,312.12,309.81,314.83,309.82,303.30,312.88,,,
2001-10-11 21:53:46.024000,L7,325.09,316.05,320.56,312.32,,,,,,,,,,,,,,,316.67,325.92,325.39,329.35,326.33
2001-12-30 21:54:37.254000,L7,316.21,306.61,305.65,298.42,303.69,,,,,,,297.81,312.49,322.34,318.82,316.63,320.77,322.16,317.04,307.45,,,
2002-09-12 21:53:31.762000,L7,,,,,,,,,319.50,366.69,328.10,,,,,,,,306.55,386.50,306.95,396.06,
2002-10-14 21:53:19.813000,L7,,,,,,,,,,,,,,,,,,,324.93,323.03,327.09,326.95,331.42
2002-10-14 21:53:43.769000,L7,,,,,,,,,,,,,,,,,,,,,,320.81,324.94
2002-12-01 21:54:16.937000,L7,323.33,314.58,315.78,310.02,,,,,,,,,,,,,,,,,,,
2003-08-06 21:42:51.203000,L5,316.77,315.88,319.01,301.66,276.45,279.27,284.42,290.37,291.16,287.61,290.09,292.16,298.33,303.33,291.42,299.89,299.65,288.30,288.92,,,,
2004-06-21 21:47:40.721000,L5,314.37,306.02,314.09,303.54,285.37,286.67,291.58,288.19,289.15,287.06,286.14,290.52,299.26,302.47,294.92,294.09,288.39,284.56,287.28,,,,
2005-04-21 21:53:10.893000,L5,307.59,307.35,307.99,294.68,,,,,,,,275.81,,,,,,,,,,,
2007-09-18 21:58:42.182000,L5,302.78,296.17,301.97,289.44,,,,,,,,275.49,,,,,,,,,,,
2008-12-25 21:50:10.387000,L5,313.70,310.14,315.42,299.95,,,,,,,,285.72,,,,,,,,,,,
2009-12-12 21:56:37.955000,L5,312.80,303.98,309.92,296.65,,,,,,,,281.73,,,,,,,,,,,
2010-12-31 21:55:32.560000,L5,313.73,309.24,310.87,300.46,,,,,,,,283.83,,,,,,,,,,,
2014-03-29 22:05:52.007000,L8,322.97,309.78,317.74,298.71,,,,,,,,278.80,,,,,,,,,,,
2014-03-29 22:06:15.961000,L8,323.00,309.60,317.54,298.67,,,,,,,,278.56,,,,,,,,,,,
2014-09-05 22:05:45.914000,L8,293.74,300.83,,,,,,,,,,,,,,,,,,,,,
2015-10-26 22:05:43.801000,L8,,304.63,312.33,288.45,276.15,281.33,,,,,,278.26,,,,,,,,,,,
2016-05-21 22:05:14.459000,L8,309.95,305.36,313.92,300.16,280.57,282.41,288.88,286.98,286.00,283.24,,280.83,,,,,,,,,,,
2016-09-10 22:06:15.488000,L8,,300.41,310.15,286.17,278.96,282.63,289.89,284.43,282.73,,,279.95,,,,,,,,,,,
2016-10-28 22:05:59.220000,L8,,303.95,314.88,288.00,280.14,280.35,285.74,,,,,277.12,,,,,,,,,,,
2017-01-16 22:06:11.085000,L8,327.32,318.86,320.13,311.42,309.55,311.68,320.62,314.43,308.22,308.14,292.42,285.32,313.87,318.62,314.76,298.89,303.20,305.93,315.01,315.50,301.40,320.70,304.84
2017-03-05 22:05:50.977000,L8,,302.70,314.18,292.37,275.14,283.92,,,,,,274.04,,,,,,,,,,,
2017-05-08 22:04:59.325000,L8,321.43,313.41,319.31,298.70,287.32,286.47,291.00,290.66,287.54,298.29,293.04,285.06,300.95,307.61,293.95,295.91,299.05,298.78,297.56,305.29,302.10,302.80,298.55
2017-05-24 22:05:34.407000,L8,304.45,308.91,319.94,300.34,283.62,283.92,290.16,287.52,283.72,288.33,285.55,283.39,294.82,300.95,292.23,292.73,293.61,291.97,291.04,296.21,294.16,295.56,
2017-08-12 22:06:04.307000,L8,303.06,303.66,318.66,296.40,291.87,290.20,299.87,296.06,291.02,287.02,290.12,291.83,299.08,301.97,296.13,294.01,299.90,293.83,297.83,294.95,299.54,297.78,306.63
2017-12-02 22:06:10.894000,L8,,306.97,312.78,292.83,274.19,278.55,,,,,,275.89,,,,,,,,,,,
2018-09-16 22:05:15.874000,L8,,304.16,315.56,291.88,286.07,284.92,294.00,286.93,282.72,282.97,287.21,283.49,293.55,,,,,,,,,,
2019-04-12 22:05:30.743000,L8,302.55,305.39,314.29,293.64,287.38,286.51,292.29,287.79,288.47,286.22,291.03,284.07,,302.12,300.57,293.29,298.80,295.05,299.86,302.81,301.44,301.60,294.40
2019-12-08 22:06:20.730000,L8,298.69,304.04,315.82,290.59,282.40,282.74,,,,,,286.83,,,,,,,,,,,
