dates,satname,nzd0292-0000,nzd0292-0001,nzd0292-0002,nzd0292-0003,nzd0292-0004,nzd0292-0031,nzd0292-0032,nzd0292-0033,nzd0292-0005,nzd0292-0006,nzd0292-0007,nzd0292-0008,nzd0292-0009,nzd0292-0010,nzd0292-0012,nzd0292-0013,nzd0292-0014,nzd0292-0015,nzd0292-0044,nzd0292-0045,nzd0292-0046,nzd0292-0047,nzd0292-0048,nzd0292-0036,nzd0292-0037,nzd0292-0038,nzd0292-0039,nzd0292-0017,nzd0292-0018,nzd0292-0019,nzd0292-0042,nzd0292-0043,nzd0292-0016,nzd0292-0020,nzd0292-0021,nzd0292-0022,nzd0292-0023,nzd0292-0024,nzd0292-0025,nzd0292-0026,nzd0292-0027,nzd0292-0028,nzd0292-0030,nzd0292-0040,nzd0292-0041,nzd0292-0011,nzd0292-0029,nzd0292-0034,nzd0292-0035
1999-12-25 21:59:16.152000,L7,,,,,,,,,,,,,,,,,,,261.39,282.27,303.33,313.82,309.13,,,,,,255.21,269.01,246.73,248.95,,286.76,,,,,,,,,,,,,,,
2000-01-10 21:59:16.407000,L7,,,,,,352.80,,,,,,,,,,,,,260.34,278.74,300.94,312.83,309.83,,,,,,,,247.65,250.39,,,,,,,,,,381.68,352.85,,254.54,,367.83,,
2000-01-26 21:59:14.283000,L7,,,,,,,,,,,,,,,,,,,274.90,292.32,312.20,328.14,325.37,,246.24,263.74,278.36,,,,265.09,265.14,,,,,,,,,,,,275.45,271.13,,,,
2000-03-30 21:58:57.484000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.42,251.13,285.86,339.25,,,,,,,,
2000-07-04 21:58:02.420000,L7,,,,,,,,,,,,,,,,,,,240.92,278.63,288.74,295.54,287.39,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-05 21:57:32.751000,L7,,,253.51,289.90,280.16,,,,267.27,257.23,225.55,217.19,215.47,210.89,237.73,249.85,277.27,282.53,252.17,269.80,287.16,302.80,300.30,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-11-09 21:56:45.337000,L7,,,,,,271.24,,,,,,,,,,,,,291.91,344.13,,,,231.63,266.61,286.26,366.57,,,,281.53,282.24,,,,,,,,,311.46,312.56,344.10,341.98,317.13,,328.98,271.21,245.89
2000-11-25 21:56:47.006000,L7,,,,,,283.77,272.63,278.20,,,,,,,,,,,253.69,272.53,292.21,303.49,299.28,,,,365.89,,,,,253.45,,,,,,,,,,,287.77,361.42,285.25,,289.50,,
2001-02-13 21:56:51.690000,L7,,,,,,,,,,,,,,,,,,,260.73,281.40,304.88,313.45,309.32,,,,,,,,251.36,251.71,,,,,,,,,,,,264.17,254.09,,,,
2001-02-20 22:03:00.708000,L7,,,,,,252.39,233.43,,,,,,,,,,,,,,,,,,,,,,,205.27,,,,229.96,312.02,,,,,,,,315.60,,,,304.13,,
2001-06-12 22:02:12.884000,L7,,,,,,343.58,324.45,257.03,,,,,,,,,,,,,278.56,295.19,305.07,312.11,326.04,376.65,342.51,,,,382.84,,,255.94,254.00,280.98,273.96,286.45,274.67,278.37,,336.00,311.20,340.75,339.71,,313.86,283.57,266.11
2001-07-07 21:55:48.139000,L7,,,,,,327.30,360.52,259.04,,,,,,,,,,,265.32,277.62,313.97,314.16,308.44,317.00,314.85,,,,,,247.79,250.79,,,,,,,,,,351.93,310.15,,,,278.20,266.64,276.82
2001-09-09 21:55:00.813000,L7,,,,284.05,331.23,,,,280.36,,,,,,,,,,264.89,282.34,304.39,315.92,314.79,,,,,304.32,315.33,336.79,244.95,248.17,,,,,,,,,,,,,,,,,
2001-09-25 21:54:52.649000,L7,,,,,,,,,,,,,230.94,264.91,,,,,283.40,303.16,317.93,331.93,389.27,,254.08,272.02,289.26,,,,258.56,264.75,,,,,,,,,,,,287.80,271.66,232.67,,,
2001-10-11 21:54:33.822000,L7,,,,,,,,,,,,,,,,,,,260.77,281.56,299.59,306.32,302.17,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-16 21:55:18.119000,L7,,,,,,,,,,,,,,,,,,,288.83,314.81,331.24,336.26,327.82,220.92,251.40,280.30,286.62,,,,275.96,272.26,,,,291.26,302.92,286.11,310.51,346.91,340.62,342.96,,293.47,281.95,,341.63,,
