dates,satname,nzd0156-0000,nzd0156-0001,nzd0156-0002,nzd0156-0003,nzd0156-0004,nzd0156-0005,nzd0156-0006,nzd0156-0007,nzd0156-0008,nzd0156-0009,nzd0156-0010,nzd0156-0011,nzd0156-0012,nzd0156-0013,nzd0156-0014,nzd0156-0015,nzd0156-0016,nzd0156-0020,nzd0156-0021,nzd0156-0022,nzd0156-0023,nzd0156-0024,nzd0156-0025,nzd0156-0026,nzd0156-0027,nzd0156-0028,nzd0156-0029,nzd0156-0030,nzd0156-0031,nzd0156-0032,nzd0156-0033,nzd0156-0034,nzd0156-0035,nzd0156-0036,nzd0156-0037,nzd0156-0038,nzd0156-0039,nzd0156-0040,nzd0156-0041,nzd0156-0042,nzd0156-0043,nzd0156-0044,nzd0156-0046,nzd0156-0047,nzd0156-0048,nzd0156-0018,nzd0156-0019,nzd0156-0017,nzd0156-0045
1999-07-18 21:58:25.703000,L7,,,,,304.31,297.81,295.00,287.97,289.64,366.13,327.75,320.50,325.04,324.81,333.59,330.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 21:58:28.758000,L7,,,294.25,303.65,313.13,319.07,308.46,295.22,300.83,301.54,302.29,298.92,303.86,305.69,306.85,308.16,315.60,281.85,305.68,305.13,302.66,310.21,281.87,306.15,315.08,316.89,316.96,314.61,312.70,,,,389.63,383.93,376.92,380.47,367.50,374.63,381.27,364.98,373.11,296.82,303.73,,,313.09,288.23,,301.29
1999-12-09 21:58:33.708000,L7,,,,275.21,300.43,301.56,294.41,292.30,290.59,296.17,295.58,294.17,293.70,299.17,295.27,300.44,305.86,293.16,293.91,294.09,291.45,298.58,298.64,,,,371.44,358.02,353.31,362.33,378.45,351.95,358.23,358.82,360.89,357.64,349.96,352.45,348.51,356.32,352.49,351.42,,,,306.33,,312.32,363.44
1999-12-25 21:58:52.197000,L7,,,,,,,,,,,,,,,303.45,270.92,349.89,,,,,,380.43,331.44,359.78,372.13,371.40,291.92,294.84,300.87,316.09,322.14,321.07,305.72,312.62,312.81,304.85,313.22,,285.71,296.79,284.53,270.75,287.38,299.37,356.18,332.48,366.36,276.04
2000-02-27 21:58:16.566000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,328.56,322.68,324.86,380.78,371.29,371.25,360.93,360.42,351.66,351.54,344.12,353.05,348.89,352.34,344.29,347.95,342.60,297.55,357.08,,,,340.55
2000-03-14 21:58:11.336000,L7,,301.99,293.32,307.33,312.25,308.76,301.17,303.70,304.39,305.71,303.49,306.63,303.27,309.29,309.98,315.60,314.42,313.65,307.68,304.92,310.62,310.15,315.42,316.54,292.78,326.45,321.50,320.84,305.65,,400.26,376.82,385.06,387.10,377.73,382.94,367.15,371.44,379.44,365.75,376.16,360.81,316.81,334.73,392.39,321.47,313.04,328.74,311.17
2000-03-14 21:58:35.291000,L7,,,,,,,,,,,,,,,,314.27,315.03,286.27,281.40,305.82,311.47,311.30,282.73,317.17,317.75,327.39,295.50,283.51,305.05,329.81,318.12,317.52,319.47,321.57,318.66,,,,,,,,317.63,337.84,,321.64,313.80,327.43,315.19
2000-03-30 21:58:09.573000,L7,,,,305.60,318.78,,310.00,299.05,305.06,302.93,298.76,299.06,304.54,307.48,314.79,313.09,320.08,310.48,306.13,308.32,311.49,313.55,318.51,319.17,326.99,297.18,323.31,320.73,316.18,337.47,328.10,322.22,315.40,322.35,324.05,383.70,384.52,377.88,380.77,381.45,384.85,,315.00,329.37,,324.30,314.52,325.26,309.23
2000-03-30 21:58:33.541000,L7,,,,,,,,,,,,,,,312.82,311.89,319.00,307.37,305.51,307.69,309.49,312.22,317.41,317.81,325.48,328.89,318.36,318.02,313.49,335.79,324.64,318.93,313.47,321.70,320.60,,,,,,,,290.47,326.57,325.18,321.87,313.66,324.30,305.10
2000-08-05 21:56:44.750000,L7,,,,,,346.37,304.72,307.16,314.93,319.87,310.25,272.44,324.37,352.61,321.57,306.59,342.63,369.62,329.24,303.74,,304.70,305.93,368.50,,,,,343.89,393.31,330.80,366.59,337.56,343.18,363.13,349.05,335.25,334.90,346.39,331.01,343.76,308.25,320.90,338.91,334.21,320.27,,333.04,320.57
2000-08-05 21:57:08.715000,L7,,,,,,,,,,,,266.78,277.33,286.40,323.45,316.04,264.48,360.35,348.40,305.19,296.10,316.26,281.20,370.34,307.49,,,385.78,298.94,309.55,315.91,359.00,332.10,328.17,356.78,319.20,329.34,317.29,340.18,321.84,341.30,292.87,302.58,332.49,324.18,323.06,361.08,337.35,302.49
2000-09-06 21:56:22.949000,L7,,,,,,289.09,299.78,293.23,291.94,,295.54,295.04,298.38,300.64,305.42,306.62,309.06,,358.97,344.49,363.16,364.81,365.84,374.05,363.75,366.08,393.28,365.06,378.72,,,,,,,,,,,,,,,,,300.77,,315.18,
2000-12-11 21:56:00.959000,L7,,,,,,303.13,296.24,297.09,305.55,302.32,,,,,,,,,,,,,377.09,372.82,371.02,392.41,378.95,363.90,,,372.31,371.36,363.19,362.03,369.23,354.81,358.01,369.31,362.38,354.58,348.48,361.89,346.57,363.05,355.81,,,,356.20
2001-01-12 21:56:06.772000,L7,,,,,292.92,298.64,296.09,295.08,262.88,306.23,295.24,297.32,293.76,301.41,297.43,305.69,312.92,367.69,357.97,350.62,343.86,342.65,355.85,377.25,372.96,390.17,310.49,,,,,,,,,,,,,,,,,,,355.10,353.46,360.56,
2001-02-13 21:56:03.778000,L7,338.18,337.37,319.71,326.93,360.83,350.43,251.39,258.56,257.83,263.68,265.87,352.22,359.24,345.70,344.28,376.13,248.71,286.67,269.63,274.65,276.49,306.36,287.91,276.58,284.21,299.60,286.79,275.19,267.96,274.07,281.07,294.66,286.28,305.50,280.04,277.00,295.43,311.09,307.58,289.11,277.11,271.73,267.99,295.49,301.81,,,,
2001-03-01 21:55:57.624000,L7,,,,306.74,302.10,306.21,294.90,295.01,290.50,294.89,292.93,294.89,294.72,300.56,298.07,302.12,303.83,304.90,300.55,299.27,288.02,300.67,299.35,297.92,307.04,293.39,305.52,309.41,315.79,,384.80,369.45,360.46,353.76,347.82,364.46,355.12,366.30,345.91,338.51,347.27,338.31,347.87,354.18,358.83,304.89,303.96,290.34,343.49
2001-03-01 21:56:21.596000,L7,,,,,,,,,293.18,301.84,300.10,300.83,305.09,303.74,305.80,311.18,307.74,311.60,307.61,307.20,293.81,282.59,308.97,307.72,313.36,318.58,307.48,312.93,318.21,,388.98,375.20,363.35,358.68,348.65,360.97,356.63,369.29,346.63,336.67,345.23,301.07,303.01,353.03,356.19,314.74,313.21,301.21,305.80
2001-06-05 21:55:16.607000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.65,376.39,389.23,377.31,377.59,376.70,374.62,384.39,373.40,364.65,350.72,362.85,345.80,376.28,372.09,,,,355.74
2001-06-05 21:55:40.577000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.83,373.30,378.51,372.20,376.53,359.57,368.92,381.85,370.78,361.43,351.27,360.87,343.83,366.22,362.95,,,,350.94
2001-06-21 21:55:05.323000,L7,,,,,,,,,,,,,,,,,,,,,,,,382.40,375.28,373.07,375.72,360.45,370.37,385.33,365.40,364.32,361.60,357.83,359.76,353.42,360.47,358.15,364.48,355.34,346.63,344.65,343.65,364.84,360.87,,,,339.26
2001-06-21 21:55:29.297000,L7,,,,,,,,,,,,,,,,,,,,,,,,,376.65,370.68,375.96,360.83,371.45,384.94,363.29,365.10,363.27,357.43,354.74,353.56,358.11,358.89,364.03,354.05,348.06,343.95,343.26,364.86,360.13,,,,337.57
2001-08-24 21:54:24.664000,L7,,,,,,321.17,347.87,338.25,289.16,,,,,,,,,308.32,307.82,320.52,294.82,,,,,,,,,,,,373.74,359.10,349.27,353.24,336.78,366.98,371.20,363.96,349.96,357.21,360.46,390.05,389.80,303.87,307.81,,377.79
2001-09-09 21:54:12.928000,L7,,,,353.42,344.01,248.87,236.87,258.76,251.90,260.18,264.92,262.50,,,,,,276.56,267.70,289.23,361.72,350.53,361.63,312.95,281.70,,,,,,,,,,,,,,,,,,,,,,,,
2001-10-11 21:53:46.024000,L7,,,,,296.77,303.02,289.39,,,,,,,,293.52,302.85,278.05,,,,,,,,,,,,,,,,,,,,,377.57,376.02,364.73,367.55,364.64,365.81,371.43,380.04,,,,365.52
2001-10-11 21:54:09.862000,L7,,,,,,,,,,,,,293.29,298.78,299.90,304.44,304.61,,,,,,,,,,,,,,,,,,,,,378.39,376.43,363.51,367.25,363.78,366.33,374.94,379.94,,,,363.96
