dates,nzd0156-0000,nzd0156-0001,nzd0156-0002,nzd0156-0003,nzd0156-0004,nzd0156-0005,nzd0156-0006,nzd0156-0007,nzd0156-0008,nzd0156-0009,nzd0156-0010,nzd0156-0011,nzd0156-0012,nzd0156-0013,nzd0156-0014,nzd0156-0015,nzd0156-0016,nzd0156-0017,nzd0156-0018,nzd0156-0019,nzd0156-0020,nzd0156-0021,nzd0156-0022,nzd0156-0037,nzd0156-0038,nzd0156-0039,nzd0156-0040,nzd0156-0041,nzd0156-0042,nzd0156-0023,nzd0156-0024,nzd0156-0025,nzd0156-0026,nzd0156-0027,nzd0156-0028,nzd0156-0029,nzd0156-0030,nzd0156-0031,nzd0156-0032,nzd0156-0033,nzd0156-0034,nzd0156-0035,nzd0156-0036,nzd0156-0043,nzd0156-0044,nzd0156-0045,nzd0156-0046,nzd0156-0047,nzd0156-0048
1999-10-22 21:58:28+00:00,,302.34,308.86,318.06,253.1,,,,240.42,,,,,,,322.48,,332.58,,,,,,256.08,,,,328.28,325.82,,,,,,332.39,333.19,331.51,326.69,,,319.22,,,,,,,,306.63
1999-12-09 21:58:33+00:00,,302.34,308.86,318.06,253.1,,,,240.42,,,,,,,322.48,,332.58,,,,,,256.08,,,,343.695,339.88,,,,,,332.39,333.19,331.51,326.69,,,319.22,,,,,,,,306.63
2000-03-14 21:58:11+00:00,,302.34,308.86,318.06,253.1,,,185.68,229.115,222.96,189.73,194.4,181.16,,,322.48,,332.58,246.36,248.34,278.08,,,264.42499999999995,,,228.49,331.12,330.3,,,,,,347.635,347.305,345.71500000000003,335.7,287.01,283.16,299.545,,,217.34,298.07,273.53,278.1,296.46,308.53999999999996
2000-03-30 21:58:09+00:00,,302.34,308.86,322.78,258.07,260.93,,184.46,225.74,223.485,189.18,193.41500000000002,180.39999999999998,,,328.86,,314.40999999999997,246.36,248.34,278.08,265.5,259.1,264.42499999999995,,341.44,228.66000000000003,323.2325,322.6125,269.01,267.14,274.3,,,328.23,326.58666666666664,323.4533333333333,315.65333333333336,282.255,282.435,299.545,,,216.99,293.57,272.615,277.87,297.07,306.62333333333333
2000-12-11 21:56:00+00:00,,278.64,279.37,283.1,269.94,247.71,263.89,,263.94,274.17,,,,278.78,269.22,,249.17,276.42,257.05,255.56,272.47,273.43,277.17,288.08,303.98,309.86,,310.4,303.19,278.66,281.51,288.38,,,301.38,294.21,273.66,268.25,276.51,,,,,228.18,287.22,278.75,274.62,300.96,307.56
2001-03-01 21:55:57+00:00,297.47,278.64,273.6,279.62,262.28,247.22,257.26,,257.585,270.07000000000005,,,,272.75,267.805,,240.95499999999998,269.94,253.97,254.67000000000002,264.07,267.72,273.19,288.08,290.58000000000004,290.995,228.29,307.275,301.28,275.345,274.42499999999995,282.555,270.27,,301.38,294.21,272.3,263.89,276.125,275.47,274.81,,308.83,223.39,280.875,273.885,272.575,296.015,303.81
2001-06-05 21:55:16+00:00,297.47,278.64,273.6,280.66,265.71,247.22,257.26,,257.585,270.07000000000005,,,,272.75,267.805,,250.4466666666667,269.94,253.97,254.67000000000002,264.07,267.72,273.19,314.78,294.6166666666667,295.96,277.03499999999997,311.3733333333333,309.78333333333336,275.345,274.42499999999995,282.555,270.27,,301.69,296.69,276.21333333333337,267.26666666666665,276.125,302.92,289.69,341.83,311.34000000000003,223.39,284.06333333333333,271.5133333333333,274.5133333333333,296.97666666666663,307.46666666666664
2001-06-21 21:55:05+00:00,297.47,,267.83,279.44,263.595,246.73,250.63,,251.23,265.97,,,,266.72,266.39,,251.08500000000004,263.46,250.89,253.78,255.67,262.01,269.21,339.53499999999997,301.32,302.74,297.7366666666666,317.43666666666667,317.83,272.03,267.34,276.73,270.27,,302.0,299.17,281.57666666666665,270.47666666666663,275.74,314.69,306.21,339.5,316.25333333333333,218.6,285.8833333333333,272.50333333333333,279.65333333333336,299.42333333333335,309.85999999999996
2001-10-11 21:53:46+00:00,,,,282.74,272.57,,,,236.43,266.13,,,,274.65,269.91,,256.56000000000006,264.4,258.73,235.59,280.42,261.76,270.86,339.8833333333333,316.5733333333333,323.06666666666666,334.3733333333333,326.5933333333333,325.95,267.68,274.57,278.34,273.27,283.73,293.52,293.63,284.39000000000004,274.03666666666663,288.69,333.8233333333333,319.9733333333333,340.8966666666667,326.90000000000003,231.24,289.15333333333336,272.47,281.24,304.58,315.65333333333336
2002-01-31 21:54:50+00:00,,,,,,,,,236.43,266.13,,,,274.65,269.91,,243.69,264.4,258.73,235.59,280.42,261.76,270.86,342.05499999999995,324.115,326.35,332.38,324.15,318.375,267.68,263.99,281.28499999999997,278.80499999999995,288.51,293.13,293.73,280.775,277.2,299.36,328.16499999999996,327.495,339.66499999999996,331.375,272.91499999999996,290.71,277.67,281.905,307.645,319.02
