dates,satname,nzd0259-0000,nzd0259-0001,nzd0259-0002,nzd0259-0003,nzd0259-0004,nzd0259-0005,nzd0259-0006,nzd0259-0007,nzd0259-0008,nzd0259-0009,nzd0259-0010,nzd0259-0011,nzd0259-0012,nzd0259-0013,nzd0259-0014,nzd0259-0015,nzd0259-0016,nzd0259-0017,nzd0259-0018
2000-11-09 21:56:45.337000,L7,348.25,318.67,323.05,311.41,305.84,317.69,289.78,291.17,277.90,282.88,,,,,,,,,
2001-09-09 21:55:00.813000,L7,,,,,,,,371.01,381.99,394.30,398.37,407.17,397.62,382.79,375.77,385.99,411.52,,
2001-10-11 21:54:33.822000,L7,,,,,,,,,,,,339.83,395.47,394.99,377.01,380.80,382.85,383.88,301.54
2002-02-16 21:55:18.119000,L7,330.81,316.16,282.61,290.31,277.60,304.40,296.34,302.52,286.60,289.52,,,,,,,,,
2002-10-14 21:54:07.948000,L7,348.73,328.95,423.05,380.36,389.30,387.81,288.50,304.13,359.25,369.17,383.41,364.19,379.15,390.46,409.96,412.09,397.21,388.63,397.88
2002-12-01 21:54:40.891000,L7,406.63,331.99,295.66,293.59,277.49,298.37,278.57,,,378.20,381.42,391.75,397.31,381.69,,,,,
2003-02-19 21:55:06.528000,L7,,,,,,,,,,342.86,337.37,329.35,,,,,,,
2005-03-04 21:53:16.048000,L5,323.84,303.21,290.51,276.96,272.57,288.95,,,,,,,,,,,,,
2005-09-12 21:54:34.182000,L5,320.63,308.68,298.37,285.71,280.18,291.91,,,,,,,,,,,,,
2006-02-03 21:56:42.865000,L5,339.38,326.08,312.85,304.25,300.27,307.28,282.23,293.79,,,,,,,,,,,
2011-01-16 21:56:21.862000,L5,323.78,312.04,299.54,301.63,297.98,307.00,290.14,306.22,285.74,,,,,,,,,,
2013-11-21 22:08:01.711000,L8,343.47,330.42,309.82,300.77,287.85,303.07,284.66,293.92,300.22,,,,,,,,,,
2014-01-24 22:07:33.459000,L8,350.00,330.20,311.71,312.15,337.01,344.11,351.48,296.58,292.54,287.54,,,,,,,,,292.67
2014-08-20 22:06:30.681000,L8,371.23,353.14,349.39,314.46,311.08,353.82,328.02,326.31,325.60,329.38,,,,,,,,321.75,337.35
2015-01-27 22:06:23.288000,L8,340.58,306.59,294.61,282.71,274.01,297.89,278.61,,,,,,,,,,,,
2015-11-11 22:06:32.057000,L8,356.98,332.90,333.46,319.48,309.89,314.51,325.29,324.93,286.61,295.37,332.47,350.84,340.64,342.72,360.88,,,323.84,337.22
2017-12-02 22:06:34.857000,L8,351.46,343.10,319.46,330.43,354.88,359.86,341.90,341.99,357.64,363.82,352.10,350.94,350.87,335.32,358.61,350.19,381.60,357.87,366.33
2019-10-05 22:06:48.280000,L8,,,,,,,,,,,,,,,,,,,285.32
2019-11-06 22:06:48.641000,L8,320.22,368.48,305.94,361.59,346.75,346.36,,,,,,,,,,,,308.58,304.79
2020-03-13 22:06:18.160000,L8,351.01,341.15,333.85,,,,,,,,,,,,,,,,
2020-12-10 22:06:47.213000,L8,390.80,332.74,313.42,307.01,296.40,312.16,287.75,292.48,284.48,284.10,,,,,,,,,
2021-09-24 22:06:44.810000,L8,374.42,351.65,334.17,317.97,302.45,316.19,309.77,320.85,327.54,315.31,324.71,329.49,326.87,333.34,357.27,,287.07,340.47,342.43
2022-01-14 22:06:39.395000,L8,348.95,330.98,317.18,308.51,292.08,307.63,285.86,302.21,289.21,291.71,,,,,,,,,293.81
2022-01-30 22:06:34.320000,L8,344.41,328.13,316.83,309.57,313.72,311.94,285.52,300.24,276.66,283.99,,354.68,355.87,360.24,367.37,,,,
2022-10-05 22:06:46.770000,L9,359.39,344.13,337.50,327.01,305.41,319.47,341.91,368.02,403.73,365.80,369.30,375.49,,,391.12,394.85,361.76,,
2022-10-21 22:06:53.495000,L9,328.97,305.83,286.64,280.58,,,,,,,,,,,,,,,
2022-11-14 22:06:59.140000,L8,326.77,300.19,281.24,275.15,254.88,,,,,,,,,,,,,,
2023-11-01 22:06:38.922000,L8,,,,,,,,,,313.77,365.30,375.12,346.29,368.75,392.98,405.86,377.78,405.66,
2023-11-09 22:06:36.795000,L9,357.32,357.26,350.61,314.94,305.67,307.68,303.21,304.20,301.00,293.86,,,,,,,,,
2024-01-12 22:06:42.879000,L9,322.57,294.58,308.59,301.12,259.95,,,,,,,,,,,,,,
2024-01-28 22:06:42.172000,L9,350.38,336.86,334.16,323.51,311.50,314.91,322.97,329.47,285.42,287.79,319.03,354.55,358.46,350.98,325.74,,,,
2024-03-16 22:06:35.486000,L9,329.55,305.27,288.90,282.73,272.74,300.53,,,,,,,,,,,,,
2024-05-03 22:06:01.963000,L9,373.11,335.60,344.98,338.19,303.96,359.59,327.90,347.07,347.87,330.59,,,,,,,,,
2024-06-20 22:05:30.931000,L9,,,,,,,,,,,,338.84,352.06,320.11,289.04,,302.68,338.15,346.49
2024-09-24 22:06:13.437000,L9,379.19,368.32,373.71,346.32,347.80,363.85,325.42,358.85,375.03,387.74,330.41,311.74,339.59,345.37,299.85,294.70,398.51,367.87,328.11
2024-10-10 22:06:22.341000,L9,349.94,333.48,354.53,340.61,295.75,311.64,291.88,291.80,282.84,285.55,,,,,,,,,
2024-12-05 22:06:33.321000,L8,345.35,338.72,309.25,294.66,283.73,300.39,279.57,,,,,,,,,,,,
2025-02-23 22:06:19.447000,L8,359.06,351.90,311.89,306.01,331.69,337.25,358.42,351.14,349.82,359.98,357.81,374.48,,,,,,291.77,287.75
