dates,nzd0259-0000,nzd0259-0001,nzd0259-0002,nzd0259-0003,nzd0259-0004,nzd0259-0005,nzd0259-0006,nzd0259-0007,nzd0259-0008,nzd0259-0009,nzd0259-0010,nzd0259-0011,nzd0259-0012,nzd0259-0013,nzd0259-0014,nzd0259-0015,nzd0259-0016,nzd0259-0017,nzd0259-0018,satname
2000-11-09 21:56:45+00:00,348.25,318.67,,,305.84,,289.78,291.17,277.9,282.88,,,,,,,,,,L7
2002-02-16 21:55:18+00:00,330.81,316.16,282.61,,,304.4,296.34,302.52,,289.52,,,,,,,,,,L7
2002-10-14 21:54:07+00:00,348.73,,,,,,288.5,304.13,,,,,,,,,,,,L7
2002-12-01 21:54:40+00:00,348.73,,295.66,293.59,277.49,298.37,283.53499999999997,304.13,,,,,,,,,,,,L7
2005-03-04 21:53:16+00:00,323.84,303.21,290.51,276.96,,288.95,,,,,,,,,,,,,,L5
2005-09-12 21:54:34+00:00,320.63,308.68,298.37,285.71,280.18,291.91,,,,,,,,,,,,,,L5
2006-02-03 21:56:42+00:00,330.005,317.38,298.37,294.98,280.18,299.595,282.23,293.79,,,,,,,,,,,,L5
2011-01-16 21:56:21+00:00,323.78,312.04,299.54,301.63,297.98,307.0,290.14,306.22,285.74,,,,,,,,,,,L5
2013-11-21 22:08:01+00:00,343.47,330.42,309.82,300.77,287.85,303.07,284.66,293.92,300.22,,,,,,,,,,,L8
2014-01-24 22:07:33+00:00,343.47,330.42,309.82,306.46,287.85,303.07,284.66,295.25,296.38,287.54,,,,,,,,,292.67,L8
2015-01-27 22:06:23+00:00,,306.59,294.61,282.71,274.01,297.89,278.61,,,,,,,,,,,,,L8
2017-12-02 22:06:34+00:00,,,,,,,,,,,,,,335.32,,,,,,L8
2022-01-14 22:06:39+00:00,348.95,,317.18,308.51,292.08,307.63,285.86,302.21,289.21,291.71,,,,,,,,,293.81,L8
2022-01-30 22:06:34+00:00,346.68,,317.18,309.03999999999996,292.08,309.78499999999997,285.69,301.225,282.935,287.85,,354.68,355.87,,,,,,293.81,L8
2022-10-21 22:06:53+00:00,328.97,305.83,286.64,280.58,,,,,,,,,,,,,,,,L9
2022-11-14 22:06:59+00:00,327.87,303.01,283.94,277.865,254.88,,,,,,,,,,,,,,,L8
2023-11-09 22:06:36+00:00,,,,314.94,,307.68,303.21,304.2,301.0,293.86,,,,,,,,,,L9
2024-01-12 22:06:42+00:00,322.57,294.58,,308.03,259.95,307.68,303.21,304.2,301.0,293.86,,,,,,,,,,L9
2024-01-28 22:06:42+00:00,322.57,294.58,,308.03,285.725,307.68,303.21,304.2,293.21000000000004,290.82500000000005,319.03,,,350.98,325.74,,,,,L9
2024-06-20 22:05:30+00:00,322.57,294.58,,301.12,285.725,,,,285.42,287.79,319.03,,,335.545,307.39,,,,,L9
2024-09-24 22:06:13+00:00,,,,,,,,,,,,,,320.11,294.44500000000005,294.7,,,328.11,L9
2024-10-10 22:06:22+00:00,349.94,,,,295.75,,291.88,291.8,282.84,285.55,,,,320.11,294.44500000000005,294.7,,,328.11,L9
2024-12-05 22:06:33+00:00,347.645,,309.25,294.66,289.74,300.39,285.725,291.8,282.84,285.55,,,,320.11,294.44500000000005,294.7,,,328.11,L8
2025-02-23 22:06:19+00:00,347.645,,309.25,300.33500000000004,289.74,300.39,285.725,291.8,282.84,285.55,,,,,299.85,294.7,,291.77,307.93,L8
