dates,satname,nzd0171-0000,nzd0171-0001,nzd0171-0002,nzd0171-0003,nzd0171-0004,nzd0171-0006,nzd0171-0007,nzd0171-0005,nzd0171-0008,nzd0171-0009
2002-12-01 21:53:52.985000,L7,354.57,261.26,341.43,333.99,290.00,250.29,289.75,270.94,234.98,259.59
2002-12-01 21:54:16.937000,L7,358.34,266.64,343.54,333.90,294.06,242.09,289.92,272.76,206.38,201.97
2003-01-18 21:54:06.301000,L7,347.12,340.30,338.89,262.37,,,279.41,,192.22,198.07
2003-01-18 21:54:30.278000,L7,342.56,338.89,334.03,,,,270.68,,191.02,193.67
2003-03-23 21:54:40.711000,L7,338.04,196.08,267.91,196.56,,,,,,
2003-04-24 21:54:22.477000,L7,326.22,275.33,269.59,,287.43,,285.60,,249.90,262.83
2003-04-24 21:54:46.433000,L7,314.21,193.35,259.94,,,,,,,
2003-05-10 21:54:22.508000,L7,322.41,272.41,222.35,195.25,,,286.53,,,
2003-05-10 21:54:46.466000,L7,222.27,193.03,218.35,191.97,,,275.38,,,
2003-07-21 21:42:33.857000,L5,308.43,308.03,303.86,292.98,281.88,271.07,271.25,258.78,,
2003-08-06 21:42:51.203000,L5,314.13,312.36,307.56,230.11,291.01,283.85,283.73,286.96,253.93,
2003-10-25 21:44:04.226000,L5,320.15,310.01,303.66,277.38,286.99,287.58,288.56,284.81,252.95,
2004-02-14 21:44:57.678000,L5,327.58,324.56,313.97,276.60,227.22,278.58,266.43,228.05,,
2004-03-17 21:45:08.368000,L5,326.91,315.18,307.01,269.56,283.41,277.25,207.96,262.34,,
2004-04-02 21:45:18.969000,L5,325.16,328.91,318.49,301.12,292.66,285.68,280.28,283.67,241.25,246.25
2004-04-18 21:45:49.558000,L5,333.05,334.48,321.10,300.21,200.70,209.29,196.01,213.90,221.15,212.22
2004-05-20 21:46:44.438000,L5,312.60,315.66,304.29,264.47,277.90,272.18,261.63,269.12,,
2004-06-05 21:47:12.889000,L5,321.30,325.69,314.63,292.39,288.89,283.93,200.70,281.09,,
2004-07-07 21:48:09.180000,L5,336.63,332.34,323.72,314.48,303.80,295.50,297.52,296.38,249.16,
2004-07-23 21:48:33.165000,L5,315.19,310.30,307.00,235.87,286.30,279.50,268.34,276.06,,
2004-08-24 21:49:18.016000,L5,323.22,316.36,307.76,300.13,211.74,211.34,190.61,214.43,210.80,215.62
2004-09-25 21:50:07.312000,L5,315.40,308.07,301.31,287.76,285.10,286.67,285.04,214.62,249.42,
2005-01-15 21:52:09.437000,L5,335.98,335.74,309.51,293.77,202.90,209.19,195.18,206.73,250.72,247.25
2005-01-22 21:58:02.481000,L5,,299.95,281.46,,,,,,,
2005-02-16 21:52:37.927000,L5,347.84,334.09,319.12,303.47,295.51,292.34,294.22,291.61,267.86,266.46
2005-03-04 21:52:52.217000,L5,338.48,334.84,321.40,,,,,,,
2005-04-12 21:58:55.193000,L5,329.04,322.05,317.74,303.69,290.04,275.34,,281.11,,
2005-04-21 21:52:46.920000,L5,325.22,319.56,316.69,299.05,286.17,267.19,262.70,271.98,,
2005-04-21 21:53:10.893000,L5,311.65,311.18,312.31,292.68,281.75,261.23,252.86,260.05,,
2005-06-08 21:53:33.007000,L5,304.94,319.69,313.54,297.66,288.31,282.35,278.68,284.72,,
2005-07-17 21:59:35.576000,L5,,,,238.81,274.93,277.45,267.08,262.98,,
2005-10-30 21:53:39.558000,L5,236.38,180.99,297.18,291.93,275.53,285.64,269.78,262.87,,
2005-10-30 21:54:03.531000,L5,,,294.81,291.87,275.09,285.18,266.87,259.04,,
2005-11-15 21:54:26.309000,L5,,,,,,,269.83,,269.67,266.37
2005-11-22 22:00:23.113000,L5,244.60,304.49,286.34,280.33,268.82,349.32,385.93,296.20,,
2006-02-03 21:56:19.035000,L5,,306.94,293.00,289.00,208.70,207.70,198.18,209.34,256.83,248.82
2006-02-19 21:56:39.909000,L5,345.55,336.74,329.79,314.41,304.70,292.48,293.84,294.38,270.47,267.54
2006-04-08 21:57:36.601000,L5,251.28,307.95,304.98,264.73,271.04,,,,,
2006-05-17 22:03:57.969000,L5,309.07,,,232.74,283.11,283.08,278.40,261.84,,
2006-06-02 22:04:12.415000,L5,,,314.59,299.10,291.70,290.29,267.54,286.87,,
2006-06-27 21:58:48.654000,L5,314.70,320.56,311.16,300.81,285.39,277.97,280.76,262.16,,
2007-09-18 21:58:42.182000,L5,325.25,331.47,270.17,271.48,288.30,288.28,280.08,287.04,247.75,
2008-12-25 21:50:10.387000,L5,341.58,342.33,323.88,295.83,202.19,211.91,199.05,221.97,272.12,265.53
2008-12-25 21:50:34.359000,L5,330.53,334.21,309.56,279.20,215.23,225.72,210.56,232.34,255.11,247.12
2009-02-02 21:57:22.411000,L5,314.62,309.54,,,,,,,,
2009-11-26 21:56:28.873000,L5,323.28,320.17,291.44,198.09,213.19,222.65,201.64,234.83,253.50,243.90
2009-12-12 21:56:13.982000,L5,,,,,,276.45,262.79,,,
2009-12-12 21:56:37.955000,L5,,,,,,281.57,271.06,281.50,246.28,
2010-01-13 21:56:25.416000,L5,,319.15,315.75,301.32,200.20,211.12,200.88,222.77,274.92,269.71
2010-01-13 21:56:49.389000,L5,,,278.47,267.61,282.60,272.75,216.86,,213.12,
2010-01-29 21:56:53.427000,L5,323.31,250.38,291.04,234.05,284.18,,,,,
2010-02-21 22:02:44.773000,L5,316.72,260.90,284.75,271.65,285.64,,,,,
2010-10-28 21:55:51.312000,L5,351.32,344.51,343.61,332.10,316.93,315.27,317.62,315.41,297.03,306.10
2010-11-13 21:55:25.438000,L5,329.18,321.74,289.23,213.04,286.64,,282.80,,201.46,
2010-12-31 21:55:32.560000,L5,348.99,345.73,324.15,312.49,306.95,302.16,299.02,302.22,283.91,277.75
