dates,nzd0384-0000,nzd0384-0001,nzd0384-0002,nzd0384-0003,nzd0384-0004,nzd0384-0005,nzd0384-0006,nzd0384-0007,nzd0384-0008,nzd0384-0009,nzd0384-0010,nzd0384-0012,nzd0384-0013,nzd0384-0014,nzd0384-0015,nzd0384-0016,nzd0384-0017,nzd0384-0018,nzd0384-0019,nzd0384-0020,nzd0384-0021,nzd0384-0022,nzd0384-0023,nzd0384-0024,nzd0384-0025,nzd0384-0026,nzd0384-0027,nzd0384-0028,nzd0384-0029,nzd0384-0030,nzd0384-0031,nzd0384-0032,nzd0384-0033,nzd0384-0034,nzd0384-0035,nzd0384-0036,nzd0384-0037,nzd0384-0038,nzd0384-0039,nzd0384-0040,nzd0384-0041,nzd0384-0043,nzd0384-0044,nzd0384-0045,nzd0384-0046,nzd0384-0047,nzd0384-0048,nzd0384-0049,nzd0384-0011,nzd0384-0042,nzd0384-0050,nzd0384-0051,nzd0384-0052,nzd0384-0053,nzd0384-0061,nzd0384-0062,nzd0384-0063,nzd0384-0064,nzd0384-0065,nzd0384-0070,nzd0384-0071,nzd0384-0072,nzd0384-0073,nzd0384-0059,nzd0384-0060,nzd0384-0054,nzd0384-0055,nzd0384-0056,nzd0384-0057,nzd0384-0058,nzd0384-0066,nzd0384-0067,nzd0384-0068,nzd0384-0069,satname
1999-09-04 22:00:09+00:00,,,,,,,,,,228.74,242.16,252.59,259.03,274.93,268.8,279.3,280.34,283.45,289.45,,,,,,317.98,,,,328.33,,,,,,,,,,,,,,,,,,,,251.64,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-10-22 22:00:04+00:00,,,,,,,,,,230.10000000000002,246.26999999999998,252.59,259.03,274.93,268.8,279.3,280.34,283.45,289.45,,,,,,317.98,,,,328.33,,,,,,,,,,,,,,,,,,,,264.41999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-09 22:00:09+00:00,,,,,,,,,,228.97333333333336,244.54999999999998,250.675,256.93,276.14,270.975,280.55,282.82,284.08500000000004,292.565,,,,,,317.98,,,,328.33,,,,,,,,,,337.53,,,,,,,,,,258.90000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,L7
1999-12-25 22:00:04+00:00,,,,,,,,,,228.97333333333336,244.54999999999998,250.675,256.93,276.14,270.975,280.55,282.82,284.08500000000004,292.565,,,,,,317.98,,,,328.33,,,,,,,,,,337.53,,,,,,,,,,258.90000000000003,,,,,,,,,,,340.07,,303.35,339.87,,,,,,,,,,,,L7
2000-02-11 21:59:57+00:00,,,,,,,,,,227.0975,244.0225,249.12666666666667,255.15666666666667,273.73,272.84,279.34999999999997,282.69666666666666,281.7766666666667,289.25,,,,313.1,318.82,317.98,,,,327.705,,,,,,,,,,335.98,,,,336.92,,,,,,255.915,,,,,,,,,,,340.07,,303.35,339.87,,,,,,,,,,,,L7
2000-02-27 21:59:52+00:00,,,,,,,,241.81,245.13,229.148,252.86999999999998,249.12666666666667,262.185,275.89250000000004,278.6875,281.9925,284.31,281.7766666666667,289.25,,,,313.1,318.82,317.98,,,,327.705,,,,,,,,,,335.98,,,,336.92,,,,,,255.915,,,,,,,,,,,340.07,,303.35,339.87,,,,,,,,,,,,L7
2000-03-30 21:59:45+00:00,,,,,,,232.24,239.39499999999998,244.18,231.302,255.41400000000004,250.20666666666668,262.8075,276.66499999999996,280.8625,284.65500000000003,285.1225,281.45000000000005,289.15,,,,312.115,318.82,,,,,327.08,,,,,,,,,,337.1433333333334,,,,336.92,,,,,,256.83,,,,,,,,,,,340.07,,303.35,339.87,,,,,,,,,,,,L7
2000-04-15 21:59:31+00:00,,,,,,,230.84,238.61666666666667,242.24333333333334,231.60666666666665,254.56833333333336,251.5625,262.036,275.78000000000003,279.43,283.51800000000003,284.63,282.245,290.78,,,,312.115,318.82,,,,,327.08,,,,,,,,,,337.7525,,,,336.92,,,,,,256.08000000000004,,,,,,,,,,,340.07,,303.35,339.87,,,,,,,,,,,,L7
2000-05-01 21:59:30+00:00,,,,,,,230.84,238.61666666666667,242.24333333333334,231.63599999999997,255.406,251.5625,262.036,275.78000000000003,279.43,284.74333333333334,284.63,282.245,290.78,,,,312.115,318.82,,,,,327.08,,,,,,,,,,337.7525,,,,336.92,,,,,,250.8,,,,,,,,,,,340.07,,303.35,339.87,,,,,,,,,,,,L7
2000-08-05 21:58:20+00:00,,,,,,,230.84,238.61666666666667,242.24333333333334,232.724,258.188,252.01999999999998,262.03200000000004,274.23400000000004,280.066,283.64,282.65,281.805,288.33,,,,312.115,318.82,,,,,327.08,,,,,,,,,,337.82666666666665,,,,336.92,,,,,,252.9225,,,,,,,,,,,,,,,,,,,,,,,,,,L7
