dates,satname,nzd0384-0000,nzd0384-0001,nzd0384-0002,nzd0384-0003,nzd0384-0004,nzd0384-0005,nzd0384-0006,nzd0384-0007,nzd0384-0008,nzd0384-0009,nzd0384-0010,nzd0384-0012,nzd0384-0013,nzd0384-0014,nzd0384-0015,nzd0384-0016,nzd0384-0017,nzd0384-0018,nzd0384-0019,nzd0384-0020,nzd0384-0021,nzd0384-0022,nzd0384-0023,nzd0384-0024,nzd0384-0025,nzd0384-0026,nzd0384-0027,nzd0384-0028,nzd0384-0029,nzd0384-0030,nzd0384-0031,nzd0384-0032,nzd0384-0033,nzd0384-0034,nzd0384-0035,nzd0384-0036,nzd0384-0037,nzd0384-0038,nzd0384-0039,nzd0384-0040,nzd0384-0041,nzd0384-0043,nzd0384-0044,nzd0384-0045,nzd0384-0046,nzd0384-0047,nzd0384-0048,nzd0384-0049,nzd0384-0011,nzd0384-0042,nzd0384-0050,nzd0384-0051,nzd0384-0052,nzd0384-0053,nzd0384-0061,nzd0384-0062,nzd0384-0063,nzd0384-0064,nzd0384-0065,nzd0384-0070,nzd0384-0071,nzd0384-0072,nzd0384-0073,nzd0384-0059,nzd0384-0060,nzd0384-0054,nzd0384-0055,nzd0384-0056,nzd0384-0057,nzd0384-0058,nzd0384-0066,nzd0384-0067,nzd0384-0068,nzd0384-0069
1999-09-04 22:00:09.953000,L7,,,,,,,,,,228.74,242.16,252.59,259.03,274.93,268.80,279.30,280.34,283.45,289.45,306.11,316.49,308.58,313.06,321.95,317.98,332.01,330.51,334.32,328.33,336.41,333.51,334.53,340.77,342.15,349.80,355.93,354.84,340.06,335.60,354.80,369.31,355.69,339.70,344.91,346.87,350.90,366.51,378.93,251.64,369.15,,,,,,,,,,,,,,,,,,,,,,,,
1999-09-20 22:00:08.403000,L7,349.31,366.42,349.84,344.50,348.59,336.60,319.86,269.70,277.87,329.78,286.56,346.55,273.70,259.93,253.11,260.31,267.78,279.32,288.93,297.62,307.51,316.57,298.19,306.10,309.87,326.72,325.61,326.00,321.48,331.78,324.78,324.06,324.44,328.10,347.43,349.97,356.51,333.23,331.65,361.54,378.95,350.65,335.70,349.87,357.13,348.11,365.00,374.80,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-10-22 22:00:04.598000,L7,355.20,351.80,345.72,349.08,336.76,330.52,332.89,331.53,330.17,231.46,250.38,335.73,335.74,344.35,341.38,343.09,335.29,339.13,336.77,333.58,334.84,334.15,330.08,343.78,328.16,340.14,346.76,348.34,360.87,354.00,351.47,354.37,355.11,362.38,366.71,372.90,391.98,356.62,367.71,363.68,387.05,367.54,351.86,357.31,367.62,357.66,384.28,,277.20,382.49,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-09 22:00:09.551000,L7,,,,,,,,,,226.72,241.11,248.76,254.83,277.35,273.15,281.80,285.30,284.72,295.68,308.51,311.68,318.42,314.01,318.37,325.24,327.70,331.25,331.10,326.36,341.06,335.82,339.28,349.76,346.84,356.63,362.65,362.54,354.24,337.53,362.02,378.73,347.26,342.37,346.46,364.07,355.63,371.84,384.48,247.86,369.81,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-25 22:00:04.067000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340.07,354.71,303.35,339.87,,,,,,,,,,,
2000-01-26 22:00:02.226000,L7,,,,,,,,,,231.64,245.93,253.34,258.85,274.91,265.53,296.90,290.51,288.02,295.55,308.61,316.55,319.65,331.43,331.24,335.98,340.21,339.26,346.89,344.07,346.09,341.07,354.11,360.55,356.83,362.13,,363.41,348.47,345.55,364.73,385.74,371.78,366.43,365.13,365.60,357.95,,,253.48,382.74,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11 21:59:57.866000,L7,,,,,,,,,,221.47,242.44,246.03,251.61,268.91,276.57,276.95,282.45,277.16,282.62,300.97,306.51,309.89,313.10,318.82,324.27,328.50,330.92,328.65,327.08,333.86,330.48,334.17,339.94,346.42,347.09,356.03,355.93,342.95,334.43,345.70,368.52,355.22,336.92,344.25,355.21,347.05,367.18,384.30,246.96,371.51,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-27 21:59:52.393000,L7,,,,,,,300.51,241.81,245.13,237.35,288.26,330.64,283.27,282.38,296.23,289.92,289.15,307.46,313.08,,,331.81,335.54,339.94,343.39,348.68,347.63,343.00,343.46,344.15,339.77,337.47,359.57,350.65,359.29,365.35,365.42,354.65,349.49,362.57,381.88,366.05,349.43,358.77,368.53,351.11,370.32,384.65,346.19,378.59,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-30 21:59:45.397000,L7,,,,,,,232.24,236.98,243.23,239.51,254.88,255.83,261.52,278.02,277.50,289.95,283.59,282.47,313.78,312.52,319.95,325.98,311.13,324.60,346.29,335.63,343.86,337.20,344.73,348.50,339.48,352.39,356.50,355.18,364.58,365.18,365.74,350.23,339.47,360.98,382.93,358.66,343.80,360.82,370.36,359.45,,,255.30,384.08,,,,,,,,,,,,,,,,,,,,,,,,
2000-04-15 21:59:31.785000,L7,,,,,,,229.44,237.06,238.37,233.13,250.34,255.63,258.95,272.24,273.70,278.97,282.66,284.63,294.04,301.22,322.01,318.92,316.04,328.26,333.10,340.57,335.44,338.77,343.13,345.70,338.57,341.50,350.26,349.34,359.90,368.63,367.52,351.75,339.58,361.22,386.19,359.54,344.23,351.82,366.22,352.02,377.57,,253.08,380.67,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-01 21:59:30.586000,L7,378.61,374.61,369.32,338.76,334.13,,,,,,,,,342.51,311.14,290.87,316.56,328.05,336.85,324.77,342.68,344.30,355.00,354.34,355.53,345.64,354.84,355.69,363.39,360.69,356.95,361.32,362.49,370.24,368.82,373.76,377.11,357.71,367.62,381.46,390.68,367.21,376.20,373.58,372.82,370.35,381.37,,,385.75,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-18 21:59:03.789000,L7,,,,,,,,,,224.12,249.19,245.62,253.08,265.96,264.78,270.75,279.43,279.61,286.31,296.16,310.96,318.10,311.17,315.15,320.13,328.00,330.58,322.34,328.07,340.52,331.77,335.39,344.22,347.26,352.18,361.37,361.96,340.54,334.12,358.97,377.49,343.09,336.50,351.06,351.20,339.17,372.56,385.39,250.73,373.81,,,,,,,,,,,,,,,,,,,,,,,,
