dates,satname,nzd0513-0000,nzd0513-0001,nzd0513-0002,nzd0513-0003,nzd0513-0004,nzd0513-0005,nzd0513-0006,nzd0513-0007,nzd0513-0008,nzd0513-0009,nzd0513-0010,nzd0513-0011,nzd0513-0012,nzd0513-0013,nzd0513-0014,nzd0513-0015,nzd0513-0016,nzd0513-0017,nzd0513-0018,nzd0513-0019,nzd0513-0020,nzd0513-0021,nzd0513-0022,nzd0513-0023,nzd0513-0024,nzd0513-0025,nzd0513-0026,nzd0513-0027,nzd0513-0028,nzd0513-0029,nzd0513-0030,nzd0513-0031,nzd0513-0032,nzd0513-0047,nzd0513-0048,nzd0513-0049,nzd0513-0050,nzd0513-0051,nzd0513-0052,nzd0513-0053,nzd0513-0054,nzd0513-0055,nzd0513-0056,nzd0513-0057,nzd0513-0058,nzd0513-0059,nzd0513-0060,nzd0513-0061,nzd0513-0062,nzd0513-0063,nzd0513-0064,nzd0513-0065,nzd0513-0066,nzd0513-0067,nzd0513-0068,nzd0513-0069,nzd0513-0070,nzd0513-0071,nzd0513-0072,nzd0513-0073,nzd0513-0074,nzd0513-0075,nzd0513-0076,nzd0513-0077,nzd0513-0078,nzd0513-0079,nzd0513-0080,nzd0513-0081,nzd0513-0082,nzd0513-0083,nzd0513-0084,nzd0513-0085,nzd0513-0086,nzd0513-0087,nzd0513-0088,nzd0513-0089,nzd0513-0090,nzd0513-0091,nzd0513-0092,nzd0513-0093,nzd0513-0094,nzd0513-0095,nzd0513-0096,nzd0513-0097,nzd0513-0098,nzd0513-0099,nzd0513-0100,nzd0513-0033,nzd0513-0034,nzd0513-0035,nzd0513-0036,nzd0513-0037,nzd0513-0038,nzd0513-0045,nzd0513-0046,nzd0513-0043,nzd0513-0044,nzd0513-0039,nzd0513-0040,nzd0513-0041
1999-12-07 22:13:41.663000,L7,,,,,,361.65,367.66,375.08,349.34,343.42,343.35,339.36,346.75,350.39,342.65,339.37,374.07,369.02,366.43,373.29,373.93,375.89,380.45,369.03,371.62,370.23,370.97,373.17,382.18,394.02,394.21,380.06,381.70,331.01,331.33,336.20,345.69,353.66,351.23,357.28,359.38,354.56,356.40,364.89,367.61,362.59,361.26,361.20,364.46,368.77,372.34,381.28,385.17,382.46,381.87,377.84,375.58,377.03,381.35,379.22,392.20,390.61,385.46,372.79,362.55,346.81,318.43,359.25,374.60,378.52,375.18,377.44,379.57,377.81,371.67,368.26,367.61,340.19,,344.52,361.01,363.42,363.29,357.79,358.65,360.77,352.52,404.04,411.48,403.87,398.87,395.51,398.80,389.30,392.41,393.99,389.09,392.88,,
1999-12-16 22:07:33.708000,L7,354.89,355.97,345.06,344.21,358.81,351.37,339.54,340.78,338.08,331.00,323.59,328.30,326.95,330.73,323.87,323.00,327.50,324.41,331.33,329.54,329.47,331.51,327.55,330.80,334.74,336.81,325.41,324.42,320.49,327.05,332.61,326.77,325.39,310.48,312.89,320.67,325.12,331.76,332.25,337.18,340.64,341.72,333.63,348.58,346.07,346.39,348.52,343.25,354.16,358.29,361.05,365.12,369.33,367.15,365.27,361.80,360.95,364.57,365.71,365.54,376.18,376.81,374.92,351.32,349.24,332.55,293.18,345.33,359.31,368.90,364.05,362.17,370.15,365.39,361.07,356.43,348.44,279.08,264.67,330.18,348.07,350.14,346.26,345.80,349.64,354.92,338.86,,,,,,,,,,,,,
2000-05-08 22:06:44.900000,L7,329.32,333.56,351.37,351.47,308.56,323.06,357.17,358.39,328.51,310.03,334.08,334.69,339.98,341.15,337.88,336.51,334.26,338.10,341.26,343.87,347.48,338.19,338.20,348.21,355.16,348.78,347.59,338.08,319.66,344.21,348.82,353.62,328.23,205.25,332.34,335.50,340.82,357.62,346.40,357.38,366.26,330.13,319.79,332.11,375.07,363.21,363.29,356.33,355.13,329.35,358.67,377.34,384.92,387.49,374.50,368.16,367.49,364.18,371.97,368.33,389.85,386.25,382.11,371.33,384.76,340.75,297.54,345.92,369.17,367.75,366.54,370.19,379.83,374.16,367.41,366.24,362.80,311.89,319.33,330.71,349.55,355.10,352.68,349.25,353.28,353.45,342.78,355.38,348.46,357.20,354.57,340.74,367.24,100.26,207.05,,,,,
2000-05-15 22:12:54.183000,L7,,,,,,,,,,,,,,,,,,,,,,,369.18,380.03,361.30,362.00,358.01,352.50,352.73,361.88,364.91,362.23,365.12,349.75,349.26,348.61,367.31,368.74,371.31,368.59,378.47,378.49,,,,391.57,386.09,388.43,393.57,394.40,,,,,,,,,,,,,,,,,,,,,394.14,388.33,385.66,385.45,375.13,377.45,372.93,332.89,,,,,385.70,362.96,365.27,372.91,391.97,371.25,370.20,376.20,383.53,378.83,373.33,405.31,395.33,388.61,395.14,384.54,,
2000-05-31 22:12:42.435000,L7,350.11,353.70,363.52,354.84,312.71,313.04,353.08,353.45,336.83,340.93,351.71,346.85,346.39,345.11,347.98,338.88,337.40,339.70,338.90,344.85,348.53,342.29,341.35,344.35,338.03,352.03,341.87,335.29,289.06,342.89,355.82,355.26,,177.36,204.28,,,,,355.21,342.59,363.50,357.94,343.69,366.63,362.76,362.92,357.85,343.10,323.69,349.32,340.01,384.01,,382.42,383.65,359.17,362.99,343.29,368.84,388.58,384.51,381.27,373.34,358.43,343.16,310.31,344.94,360.49,350.99,368.38,374.61,382.55,380.17,370.24,365.91,362.40,308.70,272.22,352.11,356.80,352.68,358.80,349.67,363.19,366.82,341.81,,,,,,,189.04,208.17,213.96,217.13,,,
2000-06-25 22:06:19.852000,L7,318.14,341.19,332.43,334.85,279.91,,310.56,348.52,317.04,313.11,329.40,,,,,,,,,,,,,,374.44,376.95,360.79,346.88,357.77,400.27,406.04,408.81,408.57,374.62,413.70,419.74,421.60,425.06,370.06,407.33,411.66,368.57,364.35,402.88,385.46,384.09,377.40,366.34,385.14,324.22,338.24,384.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.18,360.68,366.64,355.29,402.92,399.93,369.62,374.81,422.66,368.80,223.17,130.28,236.47,228.94,367.82,329.67,222.79
2000-09-20 22:11:14.930000,L7,365.03,356.72,355.04,361.78,358.63,356.04,357.16,357.57,342.40,337.56,330.24,329.64,329.60,330.84,331.54,324.35,327.54,324.47,330.76,328.52,328.49,331.35,326.02,332.68,335.42,339.22,325.81,324.79,315.03,325.80,329.13,326.02,286.56,,,,,,,,,282.33,331.09,346.11,346.86,343.57,349.05,343.53,352.68,362.23,362.04,364.79,368.32,367.80,366.63,362.02,358.54,362.17,363.40,357.85,346.27,370.67,368.42,350.50,342.49,331.97,314.75,340.68,354.15,357.50,363.04,359.20,365.32,359.54,353.45,351.12,344.63,280.54,320.23,322.95,341.63,341.62,340.03,337.92,345.73,346.50,337.66,,,,,,,,,,,,,
2000-12-18 22:05:01.704000,L7,,,,,,,,,,351.79,331.06,362.52,355.98,360.29,354.30,334.16,,,,,,,,,,,356.37,371.16,367.23,375.43,357.32,354.90,360.01,418.45,407.85,410.61,422.52,417.68,388.42,342.70,385.24,379.56,382.64,376.98,383.61,379.39,380.84,373.82,377.09,,,,375.87,374.82,373.62,368.52,363.23,363.20,,,,,,377.78,374.32,365.04,310.01,352.75,363.59,372.25,366.25,366.14,371.91,368.01,359.18,356.54,348.18,287.13,271.59,330.51,345.98,345.12,348.38,345.10,349.11,349.36,384.96,367.12,380.37,385.59,397.83,388.88,386.71,414.13,406.45,379.49,431.28,384.11,326.33,255.08
2001-01-03 22:05:00.181000,L7,,,,,,359.91,367.83,361.98,359.33,361.89,368.38,372.84,368.98,368.18,363.48,352.62,359.81,367.30,361.89,371.44,367.28,363.98,369.11,374.53,346.71,371.10,336.55,375.53,381.96,386.13,372.75,379.92,395.30,389.37,379.70,379.58,387.37,390.38,386.50,383.19,386.46,389.74,383.12,387.23,384.04,378.25,380.72,385.51,386.66,388.62,390.38,396.48,399.54,373.36,375.17,371.14,366.71,370.23,375.02,375.21,383.26,381.11,385.88,364.75,355.13,344.59,312.73,350.76,365.79,368.85,369.41,369.17,377.39,372.10,367.92,361.58,357.70,302.94,337.57,339.26,354.31,352.99,351.91,350.62,355.59,355.10,347.71,343.47,344.85,349.29,352.63,349.13,347.60,390.73,379.27,399.40,400.27,397.66,378.50,
2001-02-11 22:11:12.788000,L7,367.66,350.69,350.32,345.32,356.10,353.61,342.09,340.79,335.93,331.35,324.31,320.69,327.49,324.37,322.49,322.34,320.76,323.66,325.96,330.48,324.54,323.59,325.80,330.53,330.39,333.17,324.65,322.63,308.24,321.53,322.28,328.18,308.80,313.81,316.34,322.76,328.14,343.40,344.93,346.24,352.30,343.64,340.56,354.19,345.20,348.52,349.60,345.95,355.09,358.23,360.54,365.99,370.06,369.18,368.69,363.09,357.82,356.41,365.21,365.83,371.16,369.64,369.83,350.11,342.77,329.86,306.83,343.27,357.33,364.91,360.27,363.26,372.11,367.37,358.45,356.09,350.26,281.37,269.34,331.47,346.19,344.57,342.18,341.62,344.94,345.51,337.28,,,,,,,,,,,,,
