dates,nzd0513-0000,nzd0513-0001,nzd0513-0002,nzd0513-0003,nzd0513-0004,nzd0513-0005,nzd0513-0006,nzd0513-0007,nzd0513-0008,nzd0513-0009,nzd0513-0010,nzd0513-0011,nzd0513-0012,nzd0513-0013,nzd0513-0014,nzd0513-0015,nzd0513-0016,nzd0513-0017,nzd0513-0018,nzd0513-0019,nzd0513-0020,nzd0513-0021,nzd0513-0022,nzd0513-0023,nzd0513-0024,nzd0513-0025,nzd0513-0026,nzd0513-0027,nzd0513-0028,nzd0513-0029,nzd0513-0030,nzd0513-0031,nzd0513-0032,nzd0513-0047,nzd0513-0048,nzd0513-0049,nzd0513-0050,nzd0513-0051,nzd0513-0052,nzd0513-0053,nzd0513-0054,nzd0513-0055,nzd0513-0056,nzd0513-0057,nzd0513-0058,nzd0513-0059,nzd0513-0060,nzd0513-0061,nzd0513-0062,nzd0513-0063,nzd0513-0064,nzd0513-0065,nzd0513-0066,nzd0513-0067,nzd0513-0068,nzd0513-0069,nzd0513-0070,nzd0513-0071,nzd0513-0072,nzd0513-0073,nzd0513-0074,nzd0513-0075,nzd0513-0076,nzd0513-0077,nzd0513-0078,nzd0513-0079,nzd0513-0080,nzd0513-0081,nzd0513-0082,nzd0513-0083,nzd0513-0084,nzd0513-0085,nzd0513-0086,nzd0513-0087,nzd0513-0088,nzd0513-0089,nzd0513-0090,nzd0513-0091,nzd0513-0092,nzd0513-0093,nzd0513-0094,nzd0513-0095,nzd0513-0096,nzd0513-0097,nzd0513-0098,nzd0513-0099,nzd0513-0100,nzd0513-0033,nzd0513-0034,nzd0513-0035,nzd0513-0036,nzd0513-0037,nzd0513-0038,nzd0513-0045,nzd0513-0046,nzd0513-0043,nzd0513-0044,nzd0513-0039,nzd0513-0040,nzd0513-0041,satname
2001-08-15 22:03:26+00:00,311.35,327.75,338.945,343.26,303.92,336.39,,331.61,313.32,298.71000000000004,,,275.63,297.06,318.88,315.35,313.6,,326.71,317.38,306.49,308.95,298.79,310.96,315.65,267.23,,,314.05,,,,297.74,,,,,,341.65,,,344.99,343.13,,,304.635,327.52,329.485,337.21,331.28,345.43,338.01,340.36,,345.92,312.61,352.395,344.08,354.4,358.38,346.99,367.665,351.38,338.155,324.115,337.46,299.59,336.0375,335.01,345.395,347.18,346.99,351.52,362.53,355.90333333333336,354.3433333333333,342.63,304.22,290.385,334.255,344.28999999999996,343.78,345.93333333333334,346.09999999999997,347.2833333333333,348.3666666666666,340.5,,,,,,,,,,,,,,L7
2002-01-29 22:09:33+00:00,,,,,,,,,,309.6,,,,,,,,,,,,,,,,,,,314.05,347.09,,,297.74,,,,,,341.65,,,,,,,311.79,327.52,326.21,,,,,371.8,,367.01,,,361.7,363.26,,379.5,372.56,364.09,339.74,343.095,337.46,304.9,345.24,,347.44,,374.09,375.45,371.92,359.11,358.395,350.425,293.84,284.53499999999997,331.405,343.305,355.83500000000004,351.48,348.18,352.46500000000003,352.08000000000004,341.44,,,,,,,,,,,,,,L7
2002-04-12 22:03:25+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.09,,,,,,,,,,,,,,,,,,,,,,,371.8,,367.01,,,361.7,363.26,,374.975,384.65,,363.51,358.025,340.87,310.07,346.15,359.47,,,364.63,372.225,368.58000000000004,370.71,363.34,357.345,308.21,309.42999999999995,335.725,351.83500000000004,357.615,350.405,349.26,353.72,353.075,340.62,,,,,,332.12,,,,,,,,L7
2002-05-05 22:09:37+00:00,,,,,,,,,,,,,,,,,,,,303.38,300.11,299.54,294.16,302.29,,,305.31,,,347.09,,,,,,,,,,,,,,,,,,,,,,,371.8,,367.01,,,361.7,363.26,,374.975,384.65,,363.51,358.025,340.87,310.07,346.15,359.47,,,364.63,361.67,354.7366666666667,370.71,349.715,357.345,285.395,309.42999999999995,335.725,351.83500000000004,357.615,350.405,349.26,353.72,353.075,340.62,,,,,,332.12,,,,,,,,L7
2002-06-22 22:09:15+00:00,,,,,,,,,,,,,,,,,,,,303.38,300.11,299.54,294.16,302.29,,266.56,291.53999999999996,,,347.09,,,,,,,,,,,,,,,,,,,,,,,371.8,,367.01,,,361.7,363.26,,374.975,384.65,,363.51,358.025,340.87,310.07,346.15,359.47,,315.09,354.49,356.8675,353.3175,370.71,343.69,357.345,287.94,296.2033333333333,335.725,351.83500000000004,345.82,350.405,349.26,353.72,353.075,340.12,,,,,,332.12,,,,,,,,L7
2002-09-10 22:08:43+00:00,,,,,,,,,,,,,,,,,,,,303.38,300.11,299.54,294.16,302.29,,266.56,291.53999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.45,,,363.51,354.26,340.87,315.005,341.07,359.47,,315.09,344.69000000000005,350.67333333333335,347.1166666666666,,333.865,356.47,287.94,293.26,330.77,347.06,337.99,346.71,349.26,350.51,350.84,340.82,,,,,,332.12,,,,,,,,L7
2002-12-24 22:02:57+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.93,,,,,,,,,,,,,,,,357.6,356.06,360.11,358.84,346.28,,,,,,,,,,,,,,L7
2003-02-01 22:09:21+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.11,,330.42,335.32,347.92,,,354.67,359.4,353.35,352.77,360.53,,,,,,,,,,,,,,,,,,,,,,,317.795,,,,,,,,372.96,364.93,358.45,310.71,288.28,343.64,355.46,361.77,357.33000000000004,356.38,359.15,359.325,347.365,344.03,352.46,357.24,358.69,353.72,349.59,,,,,,,,L7
2003-08-13 21:51:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.06,355.31,356.06,,369.91,369.04,376.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.48,,,,,,320.55,321.29,,,,,,,,379.14,367.73,376.4,380.55,,,,,341.22,,,,,,L5
2003-08-29 21:51:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.35,355.685,357.515,,369.14,370.14,373.955,,,,,,,,,,,,,,,,,,,,,,,,,,,343.16,,,,,393.045,,,,,,320.55,321.29,,,,,,,,377.185,367.73,373.81,380.55,,,,,342.165,,,,,,L5
