dates,nzd0335-0000,nzd0335-0002,nzd0335-0003,nzd0335-0004,nzd0335-0005,nzd0335-0011,nzd0335-0012,nzd0335-0013,nzd0335-0014,nzd0335-0016,nzd0335-0001,nzd0335-0015,nzd0335-0006,nzd0335-0007,nzd0335-0008,nzd0335-0009,nzd0335-0010,satname
2016-08-07 22:19:13.378,309.73,290.79,286.91,279.45,277.975,,,,,,292.72,,262.37,275.555,271.83000000000004,262.78999999999996,255.95,L8
2016-08-16 22:13:05.571,,,,271.08,271.55,,,,,,,,254.78,263.905,264.21000000000004,257.87,256.455,L8
2016-08-16 22:13:29.538,,,,271.08,270.755,,,,,,,,251.8,264.28333333333336,264.33,258.2033333333333,258.29333333333335,L8
2016-09-08 22:19:24.689,,276.53,281.15,271.975,270.25333333333333,262.81,258.43,247.47,,252.06,,,252.39666666666668,262.8625,263.3575,259.22,257.585,L8
2016-12-22 22:13:14.982,326.22,292.63,292.08,282.0366666666667,278.0875,278.68499999999995,258.43,274.115,,265.07,308.58,,260.5425,271.184,270.06399999999996,265.386,262.328,L8
2017-01-23 22:13:07.208,325.3,296.71666666666664,296.0466666666667,289.2875,282.398,282.83,258.43,282.37666666666667,,269.2133333333333,308.24,,264.91999999999996,276.5916666666667,274.58166666666665,269.20666666666665,265.5216666666667,L8
2017-01-23 22:13:31.167,318.2766666666667,293.8,292.34000000000003,286.32,281.75166666666667,277.9625,256.29999999999995,278.045,185.23,269.2133333333333,296.2966666666667,202.86,264.15500000000003,275.87142857142857,274.02,268.21,264.1585714285714,L8
2017-02-15 22:19:07.687,318.2766666666667,293.8,292.34000000000003,284.036,282.63199999999995,270.71999999999997,255.25,274.1,185.23,269.2133333333333,296.2966666666667,202.86,266.43,279.878,277.148,270.302,263.744,L8
2017-03-03 22:19:01.549,318.2766666666667,293.8,292.34000000000003,284.036,279.76666666666665,268.06333333333333,255.1,271.535,185.23,262.4425,296.2966666666667,202.86,263.38166666666666,277.04833333333335,274.6383333333333,266.53833333333336,261.20166666666665,L8
2017-05-06 22:18:31.237,318.2766666666667,299.5566666666667,296.07000000000005,286.8275,281.87,269.114,253.99,276.348,185.23,265.90333333333336,296.2966666666667,202.86,262.6566666666667,278.315,275.91166666666663,266.545,261.2666666666667,L8
2017-09-27 22:19:24.491,333.09,303.25,300.13,,299.43,289.06,,298.17,,279.76,307.41,,267.21500000000003,282.58500000000004,280.33,275.63,268.005,L8
2017-10-13 22:19:28.919,330.75,306.685,303.075,,299.43,289.06,,298.17,,280.595,310.65,,267.21500000000003,282.58500000000004,285.5733333333333,280.8233333333333,268.005,L8
2017-11-30 22:19:20.342,330.75,304.3333333333333,303.075,291.82,299.225,289.755,,298.385,,280.48,310.65,,285.65,300.125,294.35,289.55,279.865,L8
2017-12-16 22:19:22.554,339.08666666666664,304.3333333333333,315.63666666666666,291.82,299.225,289.755,,298.385,,280.48,323.48333333333335,,285.65,300.125,294.35,289.55,279.865,L8
2018-03-31 22:12:27.765,342.08500000000004,304.875,323.39,280.645,285.395,275.68999999999994,258.42,298.6,,280.84000000000003,331.52,,271.645,283.855,285.70666666666665,279.7033333333333,266.875,L8
2018-03-31 22:12:51.719,342.08500000000004,304.875,305.24,278.1066666666666,281.7133333333333,271.53999999999996,262.125,274.47,,280.84000000000003,331.52,,267.44666666666666,279.25333333333333,281.43,275.5875,263.73,L8
2018-04-07 22:18:34.855,316.40000000000003,304.875,305.24,274.3375,277.8725,265.5475,261.02666666666664,274.47,,280.84000000000003,331.52,,263.02250000000004,275.335,277.116,271.034,258.77,L8
2018-05-02 22:12:09.737,310.395,299.63,304.85,273.334,277.04200000000003,265.5475,261.02666666666664,274.47,,280.25,349.15,,259.508,274.338,271.034,263.16999999999996,256.55,L8
2018-08-06 22:12:46.122,265.03,,268.94,268.71250000000003,271.5475,257.24666666666667,261.02666666666664,250.34,,,,,252.8575,267.4,264.98,258.022,250.79500000000002,L8
2018-08-22 22:12:30.412,265.03,,268.94,263.582,271.698,255.06499999999997,261.575,250.34,,,,,253.368,267.6116666666667,265.1666666666667,258.78833333333336,251.532,L8
2018-08-22 22:12:54.367,265.03,,268.94,263.582,271.698,255.06499999999997,261.575,250.34,,,,,251.70000000000002,266.4414285714286,264.2914285714286,257.50142857142856,251.532,L8
2018-09-14 22:18:48.928,265.03,,268.94,263.73333333333335,271.698,253.718,261.575,250.34,,,,,251.55714285714288,265.94875,263.63125,257.12375,250.225,L8
2018-11-10 22:12:56.881,303.04,283.55,280.95,260.7633333333333,274.1,253.5633333333333,265.28,265.63,,246.94,281.0,218.53,252.05749999999998,264.956,263.114,258.582,250.63666666666666,L8
2018-11-10 22:13:20.844,301.48,282.42,280.775,264.075,274.19,255.90499999999997,265.15,265.015,185.97,245.38,277.655,216.42000000000002,253.19799999999995,265.16333333333336,263.55,259.27,251.045,L8
2019-01-04 22:19:03.634,297.7266666666667,279.48,280.5466666666667,265.752,273.14,256.802,257.48249999999996,257.72666666666663,183.26,244.41,274.49,212.35666666666665,253.76333333333332,265.00857142857143,263.38714285714286,258.6042857142857,250.686,L8
2019-02-14 22:12:45.337,297.7266666666667,279.48,278.5825,265.24833333333333,272.13800000000003,256.2233333333333,256.056,255.77499999999998,183.26,244.41,274.49,212.35666666666665,252.88285714285712,264.02000000000004,262.2371428571429,257.04285714285714,250.21,L8
2019-02-14 22:13:09.296,297.7266666666667,279.48,277.344,264.8885714285714,271.43833333333333,255.76,255.17999999999998,254.598,182.27333333333334,244.41,274.49,208.945,252.27374999999998,263.35625,261.45500000000004,256.405,249.86999999999998,L8
2019-03-02 22:12:41.167,297.7266666666667,279.0575,277.90333333333336,269.1714285714286,272.23833333333334,257.89,256.16333333333336,255.67999999999998,181.3425,244.41,274.49,207.92800000000003,253.89000000000001,263.77428571428567,261.95714285714286,257.39428571428573,250.21142857142857,L8
2019-03-02 22:13:05.126,297.7266666666667,278.294,278.2214285714286,269.55125,272.59285714285716,258.39,257.8957142857143,256.3228571428571,180.358,244.41,274.49,206.83666666666667,254.255,264.07375,262.2925,257.99,250.915,L8
2019-03-18 22:12:35.978,297.7266666666667,278.294,278.2214285714286,270.27428571428567,272.59285714285716,261.04875,260.99625,259.3,184.96833333333333,247.92,274.49,206.83666666666667,254.76285714285714,264.29857142857145,262.7614285714286,258.49142857142857,251.94714285714286,L8
2019-03-18 22:12:59.932,297.7266666666667,278.294,278.2214285714286,270.27428571428567,272.59285714285716,261.68555555555554,263.12888888888887,261.49666666666667,187.05714285714288,249.738,274.49,206.83666666666667,254.76285714285714,264.29857142857145,262.7614285714286,258.49142857142857,251.94714285714286,L8
2019-04-03 22:12:32.527,299.685,278.294,278.0175,270.77250000000004,273.40875,262.044,264.28499999999997,261.501,187.05714285714288,249.738,274.49,206.83666666666667,255.39374999999998,265.56125,263.88,259.44375,253.37250000000003,L8
2019-04-03 22:12:56.485,299.685,278.294,278.0175,269.5155555555555,273.04555555555555,261.15000000000003,264.60090909090906,261.501,187.05714285714288,249.738,274.49,206.83666666666667,255.5211111111111,265.7,264.0055555555556,259.8211111111111,253.72333333333336,L8
2019-09-01 22:19:23.782,305.56,,271.775,269.03666666666663,274.16333333333336,262.84000000000003,274.354,273.58333333333326,203.80500000000004,257.73,,,255.83666666666667,269.7633333333333,266.7733333333333,262.71999999999997,258.24333333333334,L8
2019-09-17 22:19:29.137,305.56,,265.3566666666666,268.1225,272.1225,256.77,265.1275,252.39000000000001,,,,,254.4525,265.7725,264.1175,259.81,255.08249999999998,L8
2019-11-13 22:13:21.985,,,259.74,269.385,269.615,241.6833333333333,243.38999999999996,243.24,,,,,250.73,259.5533333333333,258.0833333333333,252.4433333333333,247.60333333333332,L8
2019-12-22 22:19:27.650,286.45,280.54,266.56333333333333,270.60999999999996,270.74666666666667,246.66249999999997,246.03249999999997,251.465,181.06,,266.9,205.1,252.7266666666667,261.63,259.32,254.385,248.735,L8
2020-03-04 22:13:20.890,286.45,280.54,266.365,269.22,269.505,243.45,244.67999999999998,253.63666666666668,181.06,,266.9,205.1,253.51000000000005,259.48,257.2375,251.86499999999998,248.135,L8
2020-03-27 22:18:55.950,286.45,280.54,274.19000000000005,272.62,271.03999999999996,246.2475,245.61999999999998,254.22000000000003,181.06,,266.9,205.1,254.31,263.95,258.6775,252.91,250.1875,L8
2020-07-17 22:19:04.802,,,268.17,272.18,269.07,253.97,258.2049999999999,251.48500000000004,,,,,254.35999999999996,272.97,263.38666666666666,256.49,253.12999999999997,L8
2020-09-12 22:13:14.819,269.9,,268.17,272.18,269.07,260.45,255.39,244.99,,,,,254.35999999999996,272.97,267.445,260.17,253.81,L8
2020-09-19 22:19:27.846,269.9,,268.17,250.97500000000002,268.17499999999995,255.2,256.99999999999994,252.64000000000001,,,,,252.49999999999997,269.1166666666667,263.8833333333333,257.9433333333333,251.79000000000002,L8
2020-10-05 22:19:31.113,269.9,,,246.73,267.03999999999996,248.01,257.0899999999999,257.94,,,,,251.74666666666664,267.31666666666666,258.15000000000003,250.34666666666666,249.7,L8
2020-10-14 22:13:20.968,281.77,277.21,272.27,255.4433333333333,268.76,252.51666666666665,257.0899999999999,257.94,,,261.08,,252.74999999999997,267.40000000000003,260.005,252.8625,251.20333333333335,L8
2020-10-14 22:13:44.927,286.49666666666667,277.5,272.94,259.8875,269.78999999999996,254.85,249.06333333333328,257.94,,,265.91499999999996,,253.32599999999996,267.588,261.102,254.798,252.32,L8
2020-10-21 22:19:31.713,287.21,276.81333333333333,272.88666666666666,262.052,269.102,256.156,250.20999999999998,257.52000000000004,177.41,245.61,265.26,203.27,253.0333333333333,266.135,260.8933333333334,255.17833333333337,251.594,L8
2020-12-24 22:19:30.619,287.13199999999995,276.3675,273.195,263.49666666666667,268.82666666666665,256.93333333333334,250.77599999999998,258.0375,187.905,245.9,265.22749999999996,203.26,253.20142857142855,265.9971428571429,261.20714285714286,255.60285714285715,251.60833333333335,L8
2021-02-03 22:13:08.109,287.13199999999995,276.3675,273.322,264.74285714285713,270.0728571428571,257.64714285714285,252.85666666666665,258.512,186.66666666666666,244.48000000000002,265.22749999999996,202.06000000000003,253.33428571428567,264.36571428571426,260.08142857142855,255.3057142857143,252.27428571428572,L8
2021-02-03 22:13:32.068,287.13199999999995,275.936,273.7383333333333,265.72625,271.0425,258.33875,254.81285714285713,259.0133333333333,186.285,244.2275,265.22749999999996,201.9325,253.94624999999996,264.81625,260.83,256.31625,252.8225,L8
