dates,satname,nzd0335-0000,nzd0335-0003,nzd0335-0004,nzd0335-0005,nzd0335-0006,nzd0335-0007,nzd0335-0008,nzd0335-0009,nzd0335-0016,nzd0335-0001,nzd0335-0002,nzd0335-0010,nzd0335-0011,nzd0335-0012,nzd0335-0013,nzd0335-0014,nzd0335-0015
1999-11-21 22:12:00.068000,L7,206.76,265.10,223.59,276.00,228.56,227.63,235.56,275.85,243.22,,,,,,,,
2001-11-03 22:01:46.660000,L7,325.00,298.62,291.89,287.91,268.71,276.68,272.33,457.81,291.57,306.25,473.22,441.10,455.27,474.18,424.26,296.52,301.13
2001-12-21 22:02:05.831000,L7,268.48,280.03,269.26,233.44,,,,,,296.52,289.36,,,,,,
2002-01-29 22:07:57.272000,L7,304.79,247.13,274.40,274.15,260.07,225.27,238.08,,266.62,296.63,290.05,,276.86,252.60,258.69,180.13,
2003-10-16 21:50:55.996000,L5,,,224.55,241.33,224.41,244.50,234.24,221.77,,,,239.18,239.76,250.42,245.43,,
2003-10-16 21:51:19.969000,L5,,,211.19,240.50,223.10,243.25,234.07,220.64,,,,239.03,238.82,250.50,244.16,,
2003-12-03 21:51:55.424000,L5,,,212.81,233.30,217.22,239.60,229.04,238.29,,,,240.94,237.60,243.18,243.69,183.70,176.81
2004-01-04 21:51:46.048000,L5,,250.90,251.03,253.52,239.97,259.42,235.19,229.00,176.24,,,227.21,227.54,237.11,232.45,185.15,179.76
2004-01-04 21:52:10.021000,L5,,255.47,255.72,256.72,243.38,262.70,240.24,233.22,227.14,,259.09,230.10,231.49,240.98,237.90,191.56,202.17
2004-08-15 21:56:01.630000,L5,,,,,,254.12,250.21,232.59,,,,,,,,,
2005-02-14 22:05:45.214000,L5,,233.63,245.00,240.30,221.40,239.39,237.44,220.89,,,,228.50,224.26,244.51,243.74,,
2005-02-23 22:00:07.370000,L5,,,248.47,254.27,235.58,257.82,250.85,236.47,,,,234.87,230.46,244.80,,,
2005-03-11 21:59:55.791000,L5,,,,,,248.75,242.14,225.96,,,,232.24,225.79,,,,
2005-03-11 22:00:19.764000,L5,,,,,,250.95,244.12,231.34,,,,232.69,228.86,,,,
2005-03-18 22:06:10.424000,L5,,,,,,249.36,225.37,208.17,,,,216.05,,,,,
2005-09-10 22:07:19.674000,L5,,,,,,240.65,203.51,216.77,,,,233.28,,,,,
2005-09-19 22:01:08.704000,L5,,,,236.96,223.42,240.96,238.12,218.83,,,,231.33,,,,,
2005-09-19 22:01:32.820000,L5,,,230.13,248.69,238.36,256.51,252.80,236.82,,,,240.99,239.12,242.32,244.86,,
2005-11-22 22:01:34.747000,L5,,,,227.11,231.02,247.85,242.96,230.09,,,,233.99,226.42,238.45,,,
2005-11-22 22:01:58.720000,L5,,,218.33,229.46,233.53,250.03,245.21,233.45,,,,236.94,232.00,241.17,232.24,,
2006-09-22 22:06:54.827000,L5,,,,,220.84,239.32,224.91,215.41,,,,223.37,,,,,
2006-10-31 22:13:29.135000,L5,251.79,235.09,233.33,253.14,239.26,254.52,246.70,240.69,,237.28,225.19,243.11,223.01,227.79,230.96,169.06,190.11
2007-02-04 22:14:09.375000,L5,,,258.75,218.43,233.86,,,,,,,,,,,,
2007-02-13 22:08:23.117000,L5,,,247.60,249.37,234.48,239.50,229.75,218.54,,,,229.49,221.43,239.81,,,
2007-09-09 22:06:09.271000,L5,,,246.26,258.35,238.05,256.35,246.38,234.40,,,,233.37,238.58,251.27,,,
2007-10-02 22:12:06.896000,L5,,,212.32,236.24,225.97,233.45,230.38,224.88,,,,240.79,233.87,241.64,,,
2008-10-29 21:56:36.227000,L5,,,243.77,255.04,230.87,235.83,231.85,227.74,187.52,,,228.16,224.69,228.58,247.92,187.62,190.39
2009-01-24 22:04:30.805000,L5,257.77,,233.27,235.97,225.80,242.77,247.07,236.52,,,,239.39,238.38,240.39,230.76,,
2009-02-02 21:58:34.187000,L5,,,,241.78,231.69,238.73,234.77,223.65,,,,234.33,231.13,238.84,,,
2010-02-21 22:03:56.549000,L5,,,,241.18,220.76,238.33,226.36,235.84,,,,232.00,232.84,243.03,236.15,,
