dates,satname,nzd0038-0000,nzd0038-0001,nzd0038-0002
1999-07-25 22:04:15.362000,L7,244.43,252.94,271.12
1999-09-27 22:04:25.056000,L7,316.73,251.41,265.95
1999-10-04 22:10:38.131000,L7,237.40,233.68,248.78
1999-10-13 22:04:24.936000,L7,334.03,321.79,324.76
1999-11-14 22:04:18.343000,L7,295.88,295.49,307.63
2000-02-09 22:10:19.398000,L7,242.02,236.33,247.20
2000-02-18 22:04:05.276000,L7,251.30,251.37,260.82
2000-04-29 22:09:53.797000,L7,349.32,256.82,356.33
2000-05-15 22:09:42.527000,L7,229.01,,
2000-05-24 22:03:22.722000,L7,257.35,252.10,280.10
2000-08-03 22:08:44.137000,L7,252.89,256.50,269.88
2000-08-12 22:02:30.151000,L7,253.69,250.76,275.83
2000-08-19 22:08:38.248000,L7,238.96,238.47,258.49
2000-09-04 22:08:22.800000,L7,240.81,244.60,264.77
2000-10-15 22:01:32.252000,L7,367.53,257.86,306.73
2001-03-08 22:01:45.126000,L7,241.21,250.24,264.15
2001-03-24 22:01:35.778000,L7,347.32,254.12,276.37
2001-06-03 22:07:16.736000,L7,259.79,254.38,290.41
2001-06-12 22:01:01.040000,L7,255.52,253.11,273.58
2001-06-19 22:07:05.722000,L7,264.20,278.01,296.95
2001-06-28 22:00:45.094000,L7,246.57,253.60,271.40
2001-08-15 22:00:14.727000,L7,245.75,246.39,265.38
2001-09-07 22:06:11.116000,L7,246.99,247.32,262.94
2001-10-02 21:59:40.713000,L7,279.95,255.89,276.79
2001-11-19 21:59:56.393000,L7,251.96,252.83,272.18
2001-11-26 22:06:09.518000,L7,235.95,232.04,
2001-12-28 22:06:14.106000,L7,257.06,310.23,297.66
2002-01-22 22:00:16.971000,L7,252.82,249.56,266.25
2002-01-29 22:06:21.478000,L7,297.12,281.57,294.31
2002-02-14 22:06:29.522000,L7,335.20,239.27,254.02
2002-02-23 22:00:19.685000,L7,253.91,252.27,269.01
2002-03-27 22:00:13.634000,L7,246.71,249.37,265.27
2002-04-28 22:00:14.417000,L7,252.58,255.10,277.99
2002-06-15 21:59:55.710000,L7,250.59,253.60,277.11
2002-06-22 22:06:03.573000,L7,246.49,244.26,256.80
2002-07-01 21:59:51.232000,L7,389.05,,
2002-07-17 21:59:44.793000,L7,341.34,265.51,294.25
2002-08-09 22:05:46.029000,L7,248.78,249.29,258.47
2002-11-22 21:59:33.639000,L7,328.39,327.12,326.18
2002-12-24 21:59:45.194000,L7,353.49,278.18,305.06
2003-01-09 21:59:45.950000,L7,272.52,267.67,291.39
2003-04-06 22:06:21.012000,L7,252.81,248.77,266.39
2003-04-22 22:06:19.091000,L7,252.72,249.61,271.94
2003-05-08 22:06:20.773000,L7,253.37,249.49,273.68
2003-05-24 22:06:17.162000,L7,259.70,251.02,273.59
2003-07-28 21:48:04.987000,L5,239.13,236.11,245.92
2003-09-05 21:54:56.069000,L5,238.45,237.67,249.80
2003-09-30 21:49:06.317000,L5,237.17,236.81,247.20
2004-06-03 21:58:42.986000,L5,277.58,268.03,273.00
2005-01-13 22:03:41.143000,L5,258.23,259.15,266.01
2005-02-23 21:58:07.648000,L5,238.58,234.82,243.68
2005-03-27 21:58:27.646000,L5,232.39,226.74,233.63
2005-04-03 22:04:40.528000,L5,251.25,249.36,256.46
2005-04-12 21:58:31.220000,L5,229.90,230.52,233.92
2005-06-06 22:05:05.724000,L5,225.73,219.59,225.20
2005-07-08 22:05:15.796000,L5,233.24,234.49,239.79
2005-08-25 22:05:41.221000,L5,222.48,222.30,229.30
2005-09-19 21:59:32.955000,L5,358.55,267.08,424.22
2005-09-26 22:05:42.687000,L5,255.39,251.91,258.46
2005-10-05 21:59:29.384000,L5,240.30,238.25,247.11
2005-11-22 21:59:59.141000,L5,278.95,249.87,256.49
2006-02-10 22:01:51.332000,L5,243.47,239.89,247.41
2006-02-17 22:08:11.136000,L5,238.30,236.22,235.89
2006-06-25 22:10:20.606000,L5,244.24,240.61,249.65
2006-08-12 22:10:59.603000,L5,249.85,251.86,259.37
2006-09-13 22:11:23.474000,L5,252.17,252.00,252.74
2006-12-02 22:12:34.352000,L5,260.98,260.32,272.76
2007-01-03 22:12:49.248000,L5,260.26,263.55,376.99
2007-01-19 22:12:30.924000,L5,310.72,260.87,276.39
2007-09-25 22:04:24.972000,L5,230.82,231.88,240.06
2007-10-02 22:10:31.289000,L5,246.55,245.39,249.65
2009-01-01 21:56:07.642000,L5,240.17,243.66,243.69
2009-02-02 21:56:58.438000,L5,242.88,242.50,246.32
2010-01-27 22:08:26.527000,L5,266.07,261.49,266.31
2010-02-05 22:02:17.935000,L5,231.47,226.34,236.13
2010-10-10 22:07:36.102000,L5,279.37,285.67,287.80
2010-11-27 22:07:24.215000,L5,249.14,248.01,247.52
2010-12-06 22:01:12.836000,L5,356.22,249.16,255.62
2011-01-14 22:07:31.728000,L5,245.79,246.13,245.77
2011-09-04 22:00:03.630000,L5,219.43,223.02,230.67
2013-04-25 22:19:21.025000,L8,244.54,246.91,256.07
2013-05-11 22:19:31.249000,L8,242.06,245.99,250.08
2013-05-20 22:13:26.604000,L8,244.30,249.92,255.13
2013-06-28 22:19:33.252000,L8,246.18,247.56,256.73
2013-07-07 22:13:24.262000,L8,249.76,253.20,267.26
2013-07-14 22:19:34.707000,L8,242.26,244.18,251.41
2013-09-09 22:13:25.749000,L8,260.31,262.99,281.26
2013-09-25 22:13:17.289000,L8,251.35,258.22,273.48
2013-10-02 22:19:28.820000,L8,255.57,259.78,273.51
2013-10-18 22:19:25.762000,L8,248.63,253.66,265.62
2013-11-03 22:19:20.378000,L8,245.14,251.36,254.48
2013-12-14 22:12:57.636000,L8,261.01,266.04,281.25
2014-01-06 22:18:54.881000,L8,250.41,253.98,262.85
2014-01-15 22:12:33.689000,L8,249.11,256.11,264.03
2014-01-31 22:12:28.855000,L8,266.48,265.26,281.69
2014-02-23 22:18:20.398000,L8,242.76,243.93,248.12
2014-03-04 22:11:59.077000,L8,250.07,252.81,264.45
2014-03-11 22:18:08.266000,L8,260.20,259.79,275.09
2014-03-27 22:17:50.001000,L8,258.46,258.65,273.23
2014-04-05 22:11:34.747000,L8,263.73,265.81,281.43
2014-04-12 22:17:37.464000,L8,260.26,259.62,274.31
2014-04-21 22:11:18.224000,L8,263.22,263.88,286.35
2014-05-07 22:11:02.102000,L8,278.26,277.62,285.97
