dates,satname,nzd0317-0000,nzd0317-0001,nzd0317-0002,nzd0317-0003,nzd0317-0004,nzd0317-0005,nzd0317-0006,nzd0317-0007,nzd0317-0008,nzd0317-0009,nzd0317-0010,nzd0317-0011,nzd0317-0012,nzd0317-0013
1999-12-16 22:05:57.846000,L7,261.95,321.30,325.74,262.31,261.56,230.33,188.14,320.65,311.02,271.81,257.46,221.94,308.15,311.51
2001-10-02 22:01:16.521000,L7,,,,,,400.80,362.34,398.19,410.04,360.08,369.34,369.47,371.38,
2002-02-07 22:01:54.032000,L7,,,,385.49,386.37,382.14,364.13,361.54,353.63,348.16,,,,
2002-10-05 22:00:43.353000,L7,,362.82,360.66,356.03,365.54,359.05,362.15,367.89,359.93,356.75,362.45,350.17,421.51,346.68
2005-01-29 22:05:29.709000,L5,,,,,,,,,,,,387.92,371.46,320.77
2006-02-26 22:03:47.179000,L5,322.07,304.88,254.94,247.50,238.04,199.96,,,,,,,,301.91
2010-10-10 22:09:11.852000,L5,333.88,319.27,266.59,254.70,241.71,204.16,,,,,,,314.21,311.35
2013-12-14 22:14:33.459000,L8,,,297.45,270.19,259.87,209.17,,,,,,,,339.13
2016-01-05 22:13:05.152000,L8,349.88,332.22,249.54,278.28,264.40,208.44,187.22,,,,,,261.77,334.65
2016-10-10 22:19:30.105000,L8,368.11,334.81,301.24,271.97,257.96,198.46,,,,,,,326.77,305.81
2016-12-29 22:19:25.500000,L8,,,295.11,234.46,255.37,199.23,,,,,,,326.51,334.54
2017-10-13 22:19:28.919000,L8,,,,,,,,,,,,,321.93,333.37
2019-04-19 22:12:26.487000,L8,353.67,336.99,297.70,262.18,253.80,196.30,449.33,485.32,,,,,,
2019-09-01 22:19:23.782000,L8,,,,261.48,259.20,199.45,,,,,,,320.24,308.30
2019-09-17 22:19:29.137000,L8,,,,253.23,259.75,198.58,,,,,,,332.18,342.36
2019-10-28 22:13:24.474000,L8,,,,,,,,,,,,,323.46,317.75
2020-02-01 22:13:05.644000,L8,,,295.13,278.56,251.06,195.47,,,,,,,,
2020-07-10 22:12:51.600000,L8,,,,249.75,251.44,194.10,,,,,,,,
2020-07-17 22:19:04.802000,L8,,,,259.30,216.64,199.19,172.30,,,,,,,
2020-10-05 22:19:31.113000,L8,222.92,206.74,176.87,,,,,,,,,,,
2021-02-10 22:19:17.410000,L8,,,296.09,266.94,253.48,,,,,,,,328.08,342.59
2022-01-13 22:13:14.621000,L9,266.13,279.80,262.59,182.59,259.85,200.89,172.61,,,,,,327.84,335.57
2022-01-20 22:19:27.426000,L9,,,292.21,255.75,247.65,186.53,,,,,,,,
2022-01-21 22:13:11.780000,L8,349.88,332.12,301.13,292.23,261.10,208.22,188.07,,,,,,328.20,338.46
2022-01-28 22:19:19.852000,L8,,,294.49,264.99,249.37,187.43,,,,,,,321.94,334.91
2022-03-02 22:13:01.886000,L9,351.36,338.17,303.68,293.84,270.29,210.78,191.14,,,,,,327.31,343.49
2022-04-02 22:18:55.660000,L8,,,297.39,271.76,198.18,195.17,,,,,,,,306.55
2022-11-04 22:19:36.336000,L9,339.76,328.57,290.34,222.92,190.28,190.73,,,,,,,,
2022-11-12 22:19:46.252000,L8,,,292.67,225.04,250.68,188.08,,,,,,,322.39,331.27
2023-01-15 22:19:29.807000,L8,,,261.40,274.25,247.18,186.66,,,,,,,320.96,332.53
2023-01-16 22:13:22.088000,L9,,,295.62,270.26,199.19,190.83,,,,,,,,
2023-04-13 22:19:02.869000,L9,352.44,348.97,305.49,292.21,262.08,199.20,182.99,,,,,,300.77,344.34
2023-04-22 22:12:51.035000,L9,,,296.78,267.61,254.82,190.97,,,,,,,,
2023-06-08 22:18:36.190000,L8,234.49,205.80,281.89,234.35,257.78,196.82,,,,,,,,310.23
2023-06-24 22:18:42.226000,L8,365.32,360.49,361.95,330.90,329.89,206.88,196.58,,,,,,333.14,350.81
2023-09-05 22:12:58.639000,L8,347.49,345.23,191.94,277.20,256.82,200.26,176.91,,,,,,,326.01
2023-11-24 22:13:15.871000,L8,,,,251.06,252.90,190.40,,,,,,,,
2024-02-04 22:13:19.606000,L9,,,293.55,228.55,252.34,190.04,,,,,,,,
2024-02-19 22:19:15.470000,L8,264.11,277.19,261.94,212.97,255.74,191.76,,,,,,,327.14,336.26
2024-02-28 22:13:00.104000,L8,241.36,209.76,298.47,276.65,255.88,194.29,,,,,,,320.42,335.68
2024-11-10 22:13:01.543000,L8,346.98,276.98,260.31,194.91,263.18,203.27,179.87,,,,,,327.30,339.48
2024-11-17 22:19:14.668000,L8,343.23,334.58,300.10,289.75,261.69,201.78,183.74,,,,,,330.29,341.44
2024-12-28 22:13:02.567000,L8,,,,401.02,403.60,409.88,411.73,421.92,412.61,407.06,412.72,399.24,393.44,401.29
2025-01-05 22:13:06.930000,L9,343.63,332.64,297.21,277.47,255.52,196.29,,,,,,,324.64,337.69
2025-01-20 22:19:13.384000,L8,,,291.83,251.90,246.41,184.28,,,,,,,,
2025-02-05 22:19:15.641000,L8,348.81,337.16,303.29,290.20,261.18,196.20,,,,,,,330.80,338.43
2025-02-06 22:13:07.305000,L9,,,294.60,252.02,248.24,187.88,,,,,,,,
2025-02-22 22:13:09.242000,L9,346.79,334.63,298.74,278.59,256.12,192.62,,,,,,,321.99,333.39
2025-03-09 22:19:02.485000,L8,,,295.52,261.35,250.68,186.71,,,,,,,,
2025-07-31 22:19:05.749000,L8,,,,,,,,,,,,,,342.77
