dates,satname,nzd0348-0000,nzd0348-0001,nzd0348-0002,nzd0348-0003,nzd0348-0004,nzd0348-0006,nzd0348-0007,nzd0348-0008,nzd0348-0009,nzd0348-0010,nzd0348-0011,nzd0348-0012,nzd0348-0013,nzd0348-0014,nzd0348-0015,nzd0348-0016,nzd0348-0017,nzd0348-0018,nzd0348-0019,nzd0348-0020,nzd0348-0021,nzd0348-0022,nzd0348-0023,nzd0348-0024,nzd0348-0025,nzd0348-0026,nzd0348-0027,nzd0348-0028,nzd0348-0029,nzd0348-0030,nzd0348-0005
1999-09-29 21:54:04.102000,L7,379.90,377.37,367.09,362.98,401.50,387.07,386.52,379.36,379.84,375.76,357.54,355.36,381.45,375.46,374.13,379.73,368.66,406.89,393.36,389.96,383.39,355.01,346.76,339.90,345.62,353.40,378.91,339.74,321.48,334.05,
2000-01-19 21:53:49.771000,L7,395.92,392.80,390.62,392.25,396.49,403.71,394.84,393.55,389.26,388.88,388.47,381.95,379.03,387.96,388.51,386.76,393.25,394.46,394.06,401.45,,,,,,,,,,,407.23
2000-05-26 21:53:00.524000,L7,379.46,368.89,362.56,360.59,355.94,378.23,373.51,374.41,364.99,374.71,377.85,371.73,376.99,375.06,379.93,,,,,,,,,,,,,,345.22,340.54,381.07
2000-07-13 21:52:31.712000,L7,387.52,380.22,377.04,380.50,371.44,391.07,386.55,388.39,382.72,384.24,394.39,383.74,386.44,382.34,386.71,391.17,383.88,393.15,400.62,396.20,391.53,,,,,,,,,,397.99
2000-07-29 21:52:14.316000,L7,390.80,386.27,383.96,381.48,390.18,396.97,387.56,391.62,387.19,393.48,392.67,385.02,385.15,384.60,383.40,385.13,389.12,387.78,395.73,402.16,391.43,371.26,,,,,,,,,397.83
2000-08-14 21:52:08.182000,L7,383.05,378.49,373.44,381.69,380.75,399.74,393.04,388.19,385.85,384.56,391.01,390.43,378.00,383.80,384.18,382.52,386.94,380.71,394.37,394.51,387.59,,,,,,,,,,408.24
2000-11-18 21:51:22.819000,L7,385.35,388.32,392.31,388.50,402.96,,,,,,,,,,,,,,,,,,,341.68,333.98,340.67,354.38,363.52,348.52,,
2001-02-06 21:51:26.449000,L7,,,,,,416.35,398.79,397.97,399.26,397.71,399.37,397.92,395.16,,,,,,,,,,,,,,,,,,415.86
2001-04-11 21:51:09.983000,L7,381.30,380.18,376.54,348.15,373.17,364.60,350.35,348.14,328.18,315.71,340.96,348.55,347.97,351.64,347.04,355.99,358.73,,340.48,367.72,350.28,333.96,295.80,322.68,327.85,341.25,325.97,313.39,302.17,294.91,358.89
2001-04-27 21:51:07.792000,L7,391.05,386.61,384.53,382.10,389.37,417.69,395.24,395.41,376.21,,,,,,,,,,,,,,,,,,,,,346.74,391.03
2001-05-13 21:50:57.045000,L7,341.70,342.41,328.70,320.83,307.44,349.42,346.34,335.50,346.60,341.20,335.72,351.72,356.35,351.30,354.50,,,,,359.27,354.48,342.16,,,,326.12,331.45,318.99,297.71,281.51,329.64
2001-06-14 21:50:38.006000,L7,379.83,372.83,370.08,370.39,356.30,390.57,379.09,370.20,373.50,388.28,385.53,,,,,,,,,,,,,,,,,,,,386.21
2001-09-18 21:49:29.215000,L7,398.41,401.19,396.66,389.72,389.20,401.87,395.34,397.97,397.63,406.35,,,,,,,,,,,,,,,,,,,,,405.91
