dates,satname,nzd0405-0000,nzd0405-0001,nzd0405-0002
1999-10-22 22:00:28.631000,L7,355.79,367.66,424.87
2000-04-15 21:59:55.745000,L7,295.21,311.54,344.03
2001-07-07 21:57:00.006000,L7,,,283.86
2002-10-30 21:55:25.430000,L7,318.94,349.54,378.36
2004-04-02 21:46:54.575000,L5,335.45,355.74,379.39
2004-05-04 21:47:51.656000,L5,301.42,335.76,358.61
2004-08-08 21:50:26.495000,L5,289.64,328.39,345.02
2004-09-25 21:51:43.061000,L5,342.87,356.98,384.58
2004-10-27 21:52:23.346000,L5,300.94,322.64,323.72
2005-01-15 21:53:45.186000,L5,316.04,337.18,371.78
2005-03-04 21:54:27.824000,L5,323.86,344.72,345.57
2005-04-05 21:54:42.889000,L5,300.97,325.37,326.38
2005-04-21 21:54:46.500000,L5,307.87,337.68,349.73
2005-07-10 21:55:19.319000,L5,,,341.01
2005-09-28 21:55:44.137000,L5,328.82,343.79,369.90
2006-02-19 21:58:15.515000,L5,323.17,339.61,326.64
2006-11-02 22:01:56.430000,L5,338.44,354.79,381.52
2007-01-05 22:02:28.201000,L5,292.99,320.74,320.08
2007-01-21 22:02:33.422000,L5,311.52,321.54,325.80
2008-02-25 21:58:00.859000,L5,320.84,339.28,346.23
2008-12-25 21:52:09.965000,L5,301.18,326.47,322.28
2010-01-13 21:58:24.995000,L5,313.89,339.29,345.00
2010-01-29 21:58:29.033000,L5,328.03,342.22,353.10
2011-09-13 21:56:09.668000,L5,321.66,341.03,350.62
2014-04-30 22:07:22.351000,L8,,310.71,322.27
2014-11-08 22:07:51.967000,L8,324.53,324.20,344.07
2014-12-26 22:07:42.898000,L8,327.20,336.15,372.41
2015-08-23 22:07:24.416000,L8,341.11,351.41,384.93
2016-03-02 22:07:31.352000,L8,300.41,317.23,317.30
2016-04-19 22:07:10.819000,L8,294.22,315.49,325.19
2016-08-09 22:07:39.758000,L8,280.36,320.85,325.63
2016-09-10 22:07:51.328000,L8,306.30,320.74,330.05
2016-10-12 22:07:57.049000,L8,320.64,321.20,376.11
2016-12-15 22:07:53.950000,L8,283.27,312.22,314.67
2016-12-31 22:07:51.584000,L8,299.65,312.63,314.20
2017-01-16 22:07:46.911000,L8,328.57,346.01,424.54
2017-04-06 22:07:09.788000,L8,298.84,318.18,327.03
2017-04-22 22:07:00.199000,L8,294.12,314.80,328.98
2017-08-28 22:07:43.849000,L8,306.27,313.16,322.09
2017-10-31 22:07:55.807000,L8,302.31,309.95,323.57
2017-12-02 22:07:46.733000,L8,292.75,311.14,317.47
2018-04-25 22:06:50.725000,L8,293.57,315.80,332.60
2018-08-31 22:07:11.120000,L8,301.28,315.84,326.05
2018-12-21 22:07:30.529000,L8,284.26,311.90,317.28
2019-02-07 22:07:23.498000,L8,300.45,310.97,318.45
2019-08-18 22:07:47.079000,L8,297.06,322.76,325.55
2019-12-08 22:07:56.574000,L8,316.04,322.29,359.58
2021-09-24 22:07:56.691000,L8,299.47,314.52,319.09
2021-12-21 22:07:55.088000,L9,317.89,338.14,367.47
2021-12-29 22:07:53.106000,L8,309.56,315.90,296.89
2022-01-30 22:07:46.196000,L8,302.25,312.47,317.95
2022-03-11 22:07:39.629000,L9,302.45,314.80,331.36
2022-05-22 22:07:34.435000,L8,,299.84,324.72
2022-07-17 22:07:29.165000,L9,,308.12,352.75
2022-09-03 22:07:51.912000,L9,309.06,317.01,324.58
2022-10-21 22:08:05.375000,L9,304.83,314.23,320.37
2022-10-29 22:08:16.390000,L8,308.50,315.39,323.17
2022-11-14 22:08:11.017000,L8,317.91,322.49,345.84
2022-11-22 22:08:05.589000,L9,302.03,314.17,321.54
2022-12-24 22:08:01.921000,L9,304.06,314.92,320.56
2023-01-01 22:08:03.014000,L8,310.47,319.35,330.91
2023-03-06 22:07:38.056000,L8,292.80,313.30,317.10
2023-03-22 22:07:28.676000,L8,323.51,323.71,338.45
2023-04-15 22:07:28.766000,L9,291.22,315.76,333.05
2023-08-29 22:07:37.978000,L8,293.35,313.17,315.73
2023-10-08 22:07:46.156000,L9,322.24,323.25,357.09
2023-10-24 22:07:51.936000,L9,305.73,314.86,324.42
2023-11-09 22:07:48.684000,L9,304.21,312.40,324.58
2023-11-17 22:07:51.092000,L8,312.27,317.60,339.03
2023-11-25 22:07:56.439000,L9,322.13,344.96,357.08
2023-12-19 22:07:51.036000,L8,306.07,314.55,325.19
2024-01-12 22:07:54.756000,L9,303.90,315.54,320.19
2024-01-20 22:07:43.131000,L8,313.97,318.92,326.75
2024-02-13 22:07:53.770000,L9,305.45,316.48,316.76
2024-02-29 22:07:47.311000,L9,312.02,316.62,316.79
2024-10-10 22:07:34.230000,L9,299.20,313.01,317.94
2024-10-18 22:07:42.636000,L8,269.81,311.36,337.12
2024-11-03 22:07:36.412000,L8,295.27,314.43,319.60
2024-11-11 22:07:39.523000,L9,318.50,328.16,361.76
2025-01-22 22:07:37.432000,L8,295.12,311.38,315.43
2025-02-07 22:07:41.096000,L8,300.03,314.72,319.95
2025-02-23 22:07:31.324000,L8,319.70,329.32,356.53
2025-08-26 22:07:45.199000,L9,310.57,320.23,350.69
2025-10-05 22:07:52.590000,L8,318.68,320.65,352.71
2025-10-21 22:07:51.194000,L8,302.28,311.58,323.76
2025-10-29 22:07:53.149000,L9,301.12,315.38,324.07
2025-11-06 22:07:55.742000,L8,315.13,320.22,348.96
