dates,satname,nzd0262-0000,nzd0262-0001,nzd0262-0002,nzd0262-0003,nzd0262-0004,nzd0262-0005,nzd0262-0006,nzd0262-0011,nzd0262-0012,nzd0262-0013,nzd0262-0014,nzd0262-0015,nzd0262-0016,nzd0262-0017,nzd0262-0007,nzd0262-0008,nzd0262-0009,nzd0262-0010
1999-08-05 21:46:59.046000,L7,,266.86,265.13,258.51,257.31,252.46,251.11,332.52,,299.76,306.15,357.65,357.15,348.94,263.70,290.41,316.17,345.85
1999-08-21 21:46:56.985000,L7,284.98,267.82,262.60,258.24,259.42,257.37,290.89,288.67,285.66,298.65,305.55,304.83,312.15,306.95,,,,
1999-09-22 21:47:00.785000,L7,296.56,276.51,273.62,263.12,268.89,260.93,262.77,287.10,288.48,304.26,308.94,261.20,311.21,308.96,277.15,292.82,315.90,342.64
1999-10-24 21:46:56.203000,L7,329.82,291.11,279.45,273.42,283.46,,,292.98,305.22,322.35,244.00,352.54,358.78,318.58,237.98,256.22,268.95,268.82
2000-02-13 21:46:48.016000,L7,312.13,304.63,295.66,211.88,186.88,186.50,181.79,238.52,247.50,252.59,344.24,339.16,333.99,331.50,174.45,206.85,224.47,243.09
2000-04-01 21:46:34.573000,L7,296.77,269.49,275.31,264.57,271.72,260.64,266.25,292.88,301.99,305.03,318.72,308.58,322.28,308.94,277.05,292.29,322.63,347.54
2000-05-19 21:46:07.873000,L7,,272.68,272.11,261.20,270.28,263.18,274.63,,,,,,,,256.26,293.17,321.09,
2000-11-27 21:44:26.720000,L7,343.94,284.77,294.34,277.24,254.12,246.08,268.67,330.24,328.52,331.74,238.20,257.20,278.95,274.98,238.38,285.78,281.95,332.54
2000-12-13 21:44:28.287000,L7,282.73,262.07,258.45,249.06,230.06,217.63,206.11,,,,,,,,221.20,,,
2001-04-04 21:44:06.948000,L7,319.26,299.97,297.43,298.59,300.28,,,300.31,289.21,303.52,308.48,306.72,319.60,310.60,,255.23,272.22,307.59
2001-04-20 21:44:10.657000,L7,,,,,,,,291.47,290.45,305.70,312.23,308.28,307.11,294.45,,,273.81,302.33
2001-05-22 21:43:54.652000,L7,,250.52,282.92,276.40,273.47,271.64,286.55,342.38,339.47,347.40,351.45,355.40,354.61,350.35,277.00,294.78,320.29,
2001-07-25 21:43:18.753000,L7,,,250.68,245.52,239.84,244.02,244.12,329.11,316.26,334.52,335.41,271.18,323.86,347.77,247.33,306.81,302.64,321.95
2001-08-10 21:43:00.495000,L7,,263.61,268.37,255.23,255.62,250.61,254.10,,,,,,,,280.79,,,
2001-09-27 21:42:29.269000,L7,,,,,,,,290.33,289.17,302.35,306.32,308.21,321.62,284.72,228.51,247.05,272.04,300.51
2001-10-13 21:42:15.922000,L7,316.28,291.68,282.87,267.54,272.49,259.37,279.31,335.55,325.68,343.55,350.11,349.35,355.61,347.57,278.59,299.73,315.50,344.63
2001-10-29 21:42:21.289000,L7,310.76,273.06,280.95,266.03,267.72,257.08,259.87,259.24,257.47,308.43,321.49,311.39,363.75,319.19,234.78,251.76,272.08,300.45
2002-01-17 21:42:52.816000,L7,302.67,274.19,261.68,257.57,229.71,216.62,246.24,256.21,319.59,328.97,326.00,341.77,272.46,279.51,203.10,229.04,246.64,265.88
2002-02-02 21:42:54.721000,L7,,,,,,,,254.05,273.73,270.27,273.08,263.40,292.15,285.22,,239.39,266.93,283.66
2002-02-18 21:42:54.191000,L7,297.08,274.63,269.56,256.34,252.01,245.90,251.64,293.59,293.38,345.60,262.21,248.93,275.74,277.61,232.40,253.70,280.94,304.66
2002-03-22 21:42:52.399000,L7,318.28,274.42,251.68,,,,220.33,322.38,262.71,250.35,253.36,,,,261.34,295.44,318.97,344.90
2002-09-14 21:41:55.072000,L7,309.13,288.47,279.60,266.29,273.65,264.90,281.50,334.44,287.68,303.59,307.08,306.64,356.48,348.06,269.41,299.11,325.77,344.86
2002-09-30 21:41:47.719000,L7,,,,,,,,286.34,287.89,304.07,310.68,306.97,309.61,291.79,,,,
2002-11-01 21:41:54.382000,L7,,,,,,,,288.44,289.55,303.57,311.73,303.84,347.45,346.47,,254.78,282.84,300.38
2003-01-20 21:42:33.373000,L7,325.41,302.16,290.88,295.35,291.88,242.97,244.48,334.15,286.30,341.26,357.65,344.19,353.55,354.00,243.15,294.96,319.11,343.20
2003-02-05 21:42:41.878000,L7,322.38,303.81,295.71,293.90,284.60,291.86,289.40,238.09,333.36,344.22,355.52,325.07,338.33,347.62,283.17,299.25,310.26,264.68
2003-02-21 21:42:44.547000,L7,303.29,270.48,272.49,264.27,259.76,258.81,259.41,237.11,271.65,261.18,259.08,249.31,321.73,258.00,254.20,285.96,264.65,267.37
2003-09-25 21:31:42.973000,L5,309.70,291.07,287.54,275.63,265.25,256.94,256.55,324.05,319.58,322.10,338.06,322.01,346.45,345.70,256.13,284.68,301.05,328.74
2003-11-28 21:32:34.027000,L5,316.65,293.89,288.48,284.34,279.18,275.40,275.32,344.48,337.55,331.42,340.34,332.41,345.44,343.18,283.53,,,
2003-12-14 21:32:38.364000,L5,289.66,266.58,263.39,256.22,246.20,238.40,183.43,303.42,293.55,281.64,287.69,273.43,275.63,,,278.44,295.48,315.19
2004-01-15 21:32:50.035000,L5,292.01,265.54,260.10,254.03,247.20,242.48,238.67,,,,,,,,230.58,262.05,292.62,310.26
2004-03-19 21:33:10.985000,L5,275.25,257.02,254.31,244.26,235.66,230.12,227.53,273.55,275.28,280.65,285.30,284.54,304.07,311.98,223.73,251.97,271.39,285.84
2004-05-06 21:34:22.023000,L5,307.36,294.07,291.85,285.01,277.23,287.09,274.75,336.69,334.92,334.54,340.39,337.58,352.93,355.86,274.61,297.10,319.33,336.59
2004-06-23 21:35:46.683000,L5,,,273.25,283.17,278.12,274.85,272.41,330.43,321.86,331.43,334.40,338.06,349.27,359.08,269.16,294.27,313.12,342.78
2004-07-25 21:36:37.854000,L5,,307.45,307.68,313.78,306.55,,,,,,,,,,,,,
2004-08-10 21:36:56.635000,L5,272.94,235.27,230.64,232.37,230.38,234.59,228.66,,,,,,,,207.71,206.35,,
2004-09-11 21:37:49.351000,L5,310.65,287.36,283.69,269.27,259.37,254.46,250.86,311.00,307.83,311.90,319.85,310.39,345.78,350.67,254.81,278.67,303.47,320.41
2004-10-13 21:38:32.826000,L5,313.54,288.92,287.53,276.18,264.52,251.27,245.43,322.64,309.62,323.26,327.97,317.84,340.72,333.16,249.53,277.68,296.63,319.35
2005-02-18 21:40:42.163000,L5,301.98,283.93,281.20,266.17,260.67,255.79,253.31,317.82,308.24,323.43,324.93,322.77,331.63,330.96,246.11,275.07,295.07,325.75
2005-05-09 21:41:19.893000,L5,304.22,292.21,285.07,277.40,272.24,270.14,265.12,321.59,320.02,328.83,336.64,329.76,346.50,350.18,263.52,288.28,307.82,334.37
2005-05-25 21:41:28.038000,L5,,278.63,283.34,274.64,267.61,264.32,261.40,321.48,316.13,321.12,332.87,324.86,342.93,348.75,260.06,286.04,305.70,327.96
2005-06-10 21:41:36.102000,L5,,,282.69,273.03,274.38,267.58,267.28,322.30,321.07,329.23,341.47,330.31,349.01,354.63,261.32,287.36,306.50,330.46
2005-06-26 21:41:40.412000,L5,,,,259.59,263.94,257.23,259.05,308.82,303.04,314.17,318.71,311.74,338.35,344.84,259.03,282.95,300.22,317.20
2005-07-12 21:41:47.390000,L5,,252.96,285.88,281.52,269.23,274.19,264.63,335.51,327.13,340.14,344.93,338.52,356.71,349.43,270.26,290.50,313.32,334.97
2005-07-28 21:41:57.832000,L5,,292.84,286.62,271.06,263.25,268.57,263.15,331.31,321.57,330.59,333.85,329.18,339.06,340.33,257.65,278.52,298.10,331.89
2005-08-13 21:42:05.358000,L5,297.52,280.05,279.62,272.24,263.54,265.17,259.38,309.51,305.33,313.35,317.31,319.00,349.70,349.85,257.01,283.45,297.18,317.60
2005-08-29 21:42:10.705000,L5,306.87,284.98,281.85,271.03,261.03,257.10,251.60,322.63,318.19,310.21,321.55,314.06,341.49,343.36,266.56,291.56,310.48,334.96
2006-01-20 21:44:01.121000,L5,339.67,319.38,311.17,309.18,307.29,,,,,,,364.91,357.47,360.37,,,,
2006-02-21 21:44:44.561000,L5,320.04,298.46,295.28,284.34,286.06,284.05,280.24,338.60,330.69,339.12,347.96,332.86,347.38,359.59,269.08,299.81,322.58,344.19
2006-03-09 21:45:04.554000,L5,297.57,280.75,280.16,270.13,264.05,257.16,252.58,315.17,309.67,315.64,311.33,309.33,330.83,334.96,251.07,288.45,306.11,330.86
2006-04-10 21:45:40.863000,L5,307.70,290.53,287.70,279.04,274.46,265.95,259.85,318.10,319.07,318.70,331.40,324.94,344.81,347.30,255.70,285.85,303.77,325.56
2006-04-26 21:45:56.580000,L5,307.20,288.78,290.28,279.12,273.56,269.09,270.19,319.49,317.60,330.84,333.90,333.34,346.00,351.07,261.02,288.28,307.79,335.30
2006-05-12 21:46:09.770000,L5,299.86,291.79,291.76,279.21,277.82,277.37,281.94,340.55,335.39,350.44,,356.78,356.80,361.82,266.41,294.09,313.95,341.96
2006-06-13 21:46:37.602000,L5,,,274.41,275.26,274.80,269.23,271.07,327.06,319.12,336.15,344.08,337.44,355.30,356.53,261.13,285.55,307.92,328.30
2006-09-01 21:47:43.231000,L5,309.19,284.13,283.61,279.93,271.72,265.58,265.81,318.09,306.66,316.40,324.51,321.14,347.54,346.56,264.61,294.56,304.39,329.55
2006-09-17 21:47:54.852000,L5,304.08,280.31,279.05,273.98,268.15,258.87,258.53,312.00,304.25,310.66,315.85,313.89,346.88,353.18,260.86,288.87,302.85,323.94
2006-12-06 21:48:41.029000,L5,303.42,277.39,279.32,271.68,268.29,264.48,256.96,294.21,280.11,294.67,298.54,295.15,311.72,318.02,258.45,275.84,295.29,308.85
2007-02-08 21:49:02.527000,L5,345.11,327.46,300.85,302.16,312.63,,,,,,349.69,345.59,358.03,352.27,,,,
2011-01-02 21:43:59.020000,L5,276.94,260.41,257.27,251.52,245.55,245.22,246.64,275.13,265.66,272.60,283.33,280.02,288.66,295.75,239.59,266.52,278.95,299.39
2013-04-29 21:55:51.104000,L8,302.92,244.12,239.38,230.96,227.47,225.12,230.34,274.42,276.23,278.97,281.96,286.40,306.51,324.34,209.22,238.55,261.15,287.76
2013-05-31 21:56:07.688000,L8,,,242.20,236.01,227.20,225.53,226.79,277.48,277.90,281.94,281.22,293.56,317.70,313.00,215.78,241.57,263.16,288.74
2013-07-18 21:56:02.364000,L8,,243.27,253.90,251.35,242.28,236.58,229.68,302.92,303.16,312.86,314.36,314.37,327.67,329.01,234.01,261.54,287.89,307.94
2013-08-19 21:56:06.167000,L8,283.53,265.92,258.14,254.52,250.79,244.52,243.01,305.21,305.38,308.96,315.50,318.55,328.82,333.95,238.69,267.19,289.04,311.11
2013-10-06 21:55:57.648000,L8,274.87,249.36,240.35,239.25,223.63,219.71,219.58,279.78,278.50,283.51,279.36,290.92,309.34,305.20,211.97,239.46,269.19,285.03
2014-01-10 21:55:19.190000,L8,292.08,263.65,253.12,252.36,252.51,244.99,245.46,310.00,318.59,329.06,336.32,335.77,350.31,338.80,221.64,273.11,293.19,316.37
2014-02-11 21:54:56.823000,L8,270.52,247.51,241.67,231.36,226.32,218.78,217.55,272.57,272.62,275.34,271.54,273.99,300.60,299.97,211.59,238.61,260.58,285.57
2014-02-27 21:54:44.238000,L8,260.42,241.42,237.38,229.56,223.76,217.93,216.14,271.86,272.57,278.96,274.10,278.66,299.70,300.12,206.81,237.98,259.89,282.09
2014-03-15 21:54:34.241000,L8,273.68,254.59,246.52,231.92,231.16,226.65,235.61,281.50,278.56,284.46,285.96,291.35,317.95,313.64,222.98,250.04,270.66,288.72
2014-05-02 21:53:46.331000,L8,269.62,252.14,247.02,237.62,234.20,227.24,221.64,279.06,281.17,284.03,281.38,292.45,309.97,312.14,215.76,241.96,268.02,289.10
2014-05-18 21:53:35.635000,L8,,245.29,242.97,234.05,229.08,222.12,221.78,276.74,278.93,280.30,277.24,288.99,312.85,310.72,216.44,241.77,260.23,290.55
2014-06-19 21:53:47.342000,L8,,,,250.45,247.61,248.53,243.43,303.91,313.34,323.31,324.89,318.59,327.54,333.79,238.15,265.04,286.07,317.11
2014-07-05 21:53:53.692000,L8,268.18,235.58,249.90,265.92,277.92,254.78,252.78,312.63,314.78,320.55,324.02,323.49,329.39,326.98,244.86,276.80,299.06,327.82
2014-07-21 21:53:57.022000,L8,246.53,282.25,278.89,266.57,277.20,279.72,286.41,335.12,332.54,339.17,342.03,341.95,352.38,345.30,285.71,290.47,311.62,341.91
2014-08-06 21:54:05.764000,L8,279.21,266.01,263.52,258.65,255.24,252.64,251.02,316.01,318.32,330.22,328.70,332.23,341.94,340.41,242.17,275.51,297.80,326.38
2014-09-07 21:54:12.743000,L8,281.37,260.22,253.77,252.46,251.15,243.01,241.08,314.28,314.40,323.66,325.68,322.22,329.95,332.18,236.83,271.89,288.88,317.64
2014-09-23 21:54:09.418000,L8,267.99,238.16,231.77,230.78,213.79,206.88,205.73,266.31,270.22,270.19,267.39,278.16,299.74,290.62,207.31,233.00,255.08,272.09
2014-10-25 21:54:16.772000,L8,274.83,249.16,237.70,242.38,228.49,216.47,215.26,279.00,277.25,280.00,274.58,285.22,305.72,306.06,215.38,244.75,262.49,286.34
