dates,satname,nzd0095-0000,nzd0095-0008,nzd0095-0009,nzd0095-0010,nzd0095-0011,nzd0095-0001,nzd0095-0002,nzd0095-0003,nzd0095-0004,nzd0095-0005,nzd0095-0006,nzd0095-0007,nzd0095-0012,nzd0095-0013,nzd0095-0014,nzd0095-0015,nzd0095-0016,nzd0095-0017,nzd0095-0018
1999-08-26 22:04:44.971000,L7,298.05,322.03,312.02,356.34,371.82,,,,,,,,,,,,,,
1999-09-27 22:04:48.949000,L7,,,,,,,,,,,,,,386.24,371.62,378.57,380.61,381.41,373.65
1999-11-14 22:04:42.286000,L7,367.61,335.36,319.00,352.79,343.93,359.69,395.22,362.68,365.65,356.68,331.31,346.58,349.30,339.92,336.93,341.58,347.31,340.87,342.22
2000-01-17 22:04:35.821000,L7,368.68,333.41,311.62,357.94,383.40,,,385.35,368.45,380.20,326.04,328.64,341.18,325.24,344.56,354.13,298.97,300.96,315.06
2000-05-24 22:03:46.662000,L7,,323.34,306.70,313.81,311.22,,,302.12,310.85,310.59,319.88,294.98,313.51,298.34,285.29,,,,
2000-08-12 22:02:54.094000,L7,,333.55,323.84,377.81,355.40,373.54,382.54,327.98,333.76,325.76,336.41,328.52,325.47,347.58,309.74,332.22,315.24,338.69,309.67
2000-10-15 22:01:56.204000,L7,,324.52,309.38,316.13,315.51,,,277.00,308.22,316.14,319.19,325.84,314.98,301.72,295.97,,,,
2001-01-03 22:02:12.432000,L7,,345.00,326.95,333.75,333.78,388.68,398.38,369.69,384.08,394.97,360.54,327.97,339.01,297.50,316.09,333.14,342.00,300.22,314.55
2001-02-04 22:02:14.384000,L7,,,,,,,,329.64,338.29,366.11,306.90,,329.09,322.15,320.22,306.70,309.29,275.46,318.69
2001-03-24 22:01:59.719000,L7,,333.11,310.19,317.47,320.53,,,307.96,316.85,312.57,321.44,329.34,316.32,298.18,296.78,,,,
2001-06-12 22:01:24.980000,L7,,322.25,309.84,333.34,340.79,,,320.99,334.95,327.59,339.05,313.95,344.96,345.91,341.30,338.00,,,299.03
2001-08-15 22:00:38.680000,L7,,358.84,315.81,334.92,392.41,348.13,355.24,,,,,335.60,331.12,325.86,326.29,392.18,386.33,393.47,390.01
2001-10-02 22:00:04.650000,L7,,377.41,347.98,358.01,355.01,,,,,,,,370.46,357.87,355.07,392.10,355.25,375.54,363.39
2002-01-22 22:00:40.906000,L7,346.80,330.51,320.29,363.22,362.67,329.59,311.16,320.85,335.85,360.07,380.61,381.99,313.15,320.68,311.43,279.48,296.92,351.66,311.36
2002-02-23 22:00:43.620000,L7,,,,,,,,,,,,,,,347.32,364.24,308.21,323.52,309.14
2002-03-27 22:00:37.575000,L7,,322.28,311.30,319.61,325.02,,,313.88,325.31,333.44,329.26,329.88,294.12,,,,336.35,268.05,298.00
2002-06-15 22:00:19.658000,L7,,381.85,367.93,,,,405.55,386.42,393.01,389.15,375.65,373.34,,,,,379.97,375.92,402.50
2002-07-17 22:00:08.747000,L7,,325.46,311.35,315.48,316.41,,275.01,314.17,326.26,329.02,315.32,323.81,,,,,,,
2002-08-18 21:59:57.690000,L7,326.68,365.56,354.84,,393.17,314.17,303.71,401.70,402.47,384.14,370.05,350.77,375.78,373.92,371.09,382.93,380.59,379.46,296.55
2002-10-21 21:59:36.443000,L7,,356.05,337.47,352.26,354.54,,,,380.41,378.46,375.16,368.30,382.83,,372.95,359.91,369.08,353.65,357.63
2002-12-24 22:00:09.147000,L7,372.92,377.20,320.76,408.14,356.78,371.34,403.31,392.93,368.63,382.49,371.48,365.05,359.90,358.47,345.47,340.62,318.95,332.47,333.63
2003-03-30 22:00:31.029000,L7,,319.64,322.39,288.76,,,,314.21,326.50,320.49,324.52,327.27,389.62,275.92,289.26,296.73,302.06,,
