dates,satname,nzd0062-0000,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0026,nzd0062-0027,nzd0062-0028,nzd0062-0029,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0051,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0055,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071
2023-09-28 22:17:43.092000,L8,353.69,349.10,,,,,,,,,,,,,,,,,,,,,,,,356.83,343.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-14 22:17:45.774000,L8,,,,348.25,331.86,383.31,335.20,346.26,346.65,332.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-22 22:17:50.479000,L9,,,,,,,,,,,,,,,,,,,,,,,,,325.89,362.00,313.41,,,,,362.99,350.41,344.57,380.57,392.45,,,,,,,,,,,,,,,,,,,,,299.36,383.85,357.45,358.01,,,,,,,,,,,,398.37
2023-12-01 22:17:46.993000,L8,,,,,,,,,,,,,,,192.42,233.66,243.64,243.26,241.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.51,240.18,241.65,228.97,200.42,,,,,,,,,,,,,,,,215.56,220.69,217.98,256.30,217.59,291.14
2023-12-17 22:17:48.418000,L8,252.79,269.36,299.55,301.17,241.22,,,,,,,,,198.13,215.20,240.19,250.44,254.49,207.06,,,,,,,,,,,,,,,,,,,184.85,307.86,387.33,,,,,,231.33,236.48,218.20,218.88,235.66,235.08,232.51,,,,,,,,,194.98,221.76,312.93,327.83,305.64,400.32,540.92,,,510.18,504.02,485.51
2024-01-10 22:17:52.010000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.03,255.79
2024-02-03 22:17:41.059000,L8,,,,,,,,,,,,,,,,,,,,,250.25,252.53,,,,,,,,,,,,,,,,,,,,,,,,,200.60,220.54,228.82,228.88,203.55,,,,,,,,,,,,,,,,,,,,,
2024-02-11 22:17:53.113000,L9,,,,,,,,,,,,,,,185.19,201.74,248.29,282.01,217.82,,264.53,261.85,261.06,,,,,,,,,,,,,,,,,,,,,,,,280.84,263.01,257.20,252.84,196.81,,,,,,,,,,,,,286.42,199.37,204.68,,,,,,
2024-02-19 22:17:39.652000,L8,,,,,,,,,,,,,,,,,,,,,254.90,230.12,,,,,,,,,,,,,,,,,,,,,,,,,198.67,252.57,248.53,231.12,234.53,237.84,,,,,,,,,,,,237.80,258.52,207.74,219.09,218.05,215.80,265.42,215.60,297.36
2024-02-27 22:17:43.972000,L9,249.37,206.44,,,,,,,,,,,,,,,,,,,253.43,253.11,,,,,,,,,,,,,,,,,,,,,,,222.83,227.83,200.63,217.72,,,,,,,,,,,,,,,,,,,,218.01,216.58,261.45,,
2024-03-30 22:17:36.478000,L9,,,,,,,,,,,,,,,201.14,225.24,244.43,201.44,198.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.70,215.57,260.51,215.51,269.56
2024-04-07 22:17:11.830000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.96,267.08
2024-04-15 22:17:28.257000,L9,,,,,,,249.29,424.19,430.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414.21,329.39,324.45,334.15,,,223.91,228.96,231.80,219.57,,,,,,,318.05,324.36,331.74,362.44,291.13,,,,,,,,216.60,215.65,216.31,264.19,,391.71
2024-05-17 22:17:03.987000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.84
2024-06-26 22:16:52.651000,L8,,341.42,467.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.21,363.86
2024-07-12 22:17:00.992000,L8,,,,,,,,,,,,,,,,233.21,223.78,252.29,251.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.62,260.39,253.05,239.00,194.83,191.02,,,,,,,,,,,,270.55,261.07,258.67,256.84,256.72,260.53,266.26,,379.91
2024-11-01 22:17:31.195000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.60,214.81,217.03,212.09,192.89,,,,,,,,,,,,,,,,,,,,,
2024-11-25 22:17:51.900000,L9,,,,,,,,,,,,,,,169.37,203.08,216.05,238.31,194.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.17,212.06,215.25,214.03,197.85,,,,,,,,,,,,,,,,,,,,,
2024-12-03 22:17:45.212000,L8,,,,,,,,,,,,,,,183.42,227.22,218.54,236.81,214.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.68,214.27,221.65,221.13,202.18,,,,,,,,,,,,,,,,,,,,,
2025-01-12 22:17:45.559000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.74,212.93,216.57,217.50,197.44,,,,,,,,,,,,,,,,,,,,,
2025-01-28 22:17:42.532000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.17,214.40,212.97,217.62,196.72,,,,,,,,,,,,,,,,,,,,,
2025-02-21 22:17:31.397000,L8,,,,,,,,,,,,,,,195.63,234.60,235.56,245.75,241.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.72,214.00,223.02,194.14,198.33,,,,,,,,,,,,,234.66,256.84,204.27,,,,,212.72,259.09
2025-03-09 22:17:26.663000,L8,,,,,,,,,,,,,,,205.42,234.08,235.50,247.03,250.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.81,254.61,250.32,229.80,198.48,,,,,,,,,,,,,,,,221.54,182.40,219.84,264.70,213.34,263.63
2025-03-25 22:17:16.100000,L8,243.24,,,,,,,,,,,,,,199.23,235.51,213.03,238.58,250.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.02,217.02,265.71,,
2025-05-04 22:17:17.676000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415.94,,,,,,,,,,,,,,,,,,,,,,,,,,341.49,289.18,,,,,,,,,212.83,208.52,259.50,,
2025-06-13 22:17:12.853000,L8,,,,,,,330.71,473.41,,,,,,,204.00,237.99,244.82,251.85,252.34,,254.80,254.37,,,,,,,,,,,,,,,,,,,,,,,,225.75,228.15,210.57,202.97,182.57,,,,,,,,,,,,,,264.89,260.66,203.47,254.47,251.98,257.75,265.74,,
2025-06-21 22:17:14.951000,L9,,,,,,,,,,,,,,,,223.27,217.59,245.47,195.81,372.83,351.12,340.24,348.54,,,,,,,,,,,,,,,,,,,,,,,,187.22,211.04,213.26,189.13,192.96,,,,,,,,,,,,,,,,,,,,,
2025-06-29 22:17:21.081000,L8,,,,,,,,,,,,,,,354.36,316.46,,368.14,397.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-23 22:17:27.519000,L9,238.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-08 22:17:36.495000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.89,212.42,190.82,189.61,186.95,,,,,,,,,,,,,,,,,,,,
2025-09-25 22:17:52.465000,L9,,,,,,,,385.78,384.18,,,,,,,,,,,,,,,,,,421.43,333.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
