dates,satname,nzd0062-0000,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0026,nzd0062-0027,nzd0062-0028,nzd0062-0029,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0051,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0055,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071
2008-11-21 22:01:05.982000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.18
2011-01-14 22:07:31.728000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.86,282.69
2011-02-15 22:07:34.670000,L5,,,,,,,,,,,,,,,,,178.93,232.77,242.11,242.36,238.95,247.21,247.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-25 22:19:21.025000,L8,,,,,,,,,,,,,,,,193.83,214.66,232.43,246.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.93,231.96,239.78,,,230.84,237.61,,,
2013-05-11 22:19:31.249000,L8,,,,,,,,,,,,,,,,193.38,209.16,225.09,243.16,252.71,,,,,,,,,,,,,,219.59,259.97,239.00,,,,,,,,,,,,,,,,,,,,,,,,,,,238.73,223.60,187.13,,,236.59,226.52,250.70,,
2013-06-28 22:19:33.252000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.07,201.66,228.81,,381.57
2013-07-14 22:19:34.707000,L8,,,,,,,,,,,,,,,365.22,344.37,331.80,336.72,333.01,329.28,,,,,,,,,,,,,,265.48,270.45,275.30,,,,,,,,,,,,,,,,,259.33,257.78,250.12,244.36,215.88,,,,,,,,,,,215.63,223.70,307.74,323.60,367.32
2013-08-31 22:19:38.558000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.83
2014-02-07 22:18:33.391000,L8,240.50,208.87,,,,,,,,,,,,,,,,,255.48,267.01,248.66,257.43,257.80,,,,,,,,,,224.93,264.42,264.83,269.17,,,,,,,,,,,,,,,,,,,,,,,,,,,263.80,258.22,,,,,,,219.84,264.16
2014-02-23 22:18:20.398000,L8,,,,,,,,,,,,,,,177.55,206.51,226.02,236.08,254.83,256.53,248.05,251.44,255.60,230.72,,,,,,,,199.25,253.02,263.87,263.35,261.44,,,,,,,,,,,240.11,246.84,235.91,218.46,245.50,252.02,257.84,255.55,249.46,242.14,241.84,,,,,,263.18,248.82,248.56,251.82,247.62,244.75,245.48,260.12,218.36,321.13
2014-03-27 22:17:50.001000,L8,,,,,,,,,,,,,,,,,221.16,233.56,251.61,253.20,214.44,246.93,,,,,,,,,,,,260.89,259.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.20,241.23,259.98,214.66,261.40
2014-04-12 22:17:37.464000,L8,,,,,,,,,,,,,,,,205.10,225.53,241.39,258.11,261.59,246.54,254.07,254.74,,,,,,,,,,,265.19,263.81,265.67,,,,,,,,,,,,252.16,238.25,222.77,252.24,252.97,262.90,257.41,,,,,,,,265.73,269.27,257.92,249.39,229.07,225.23,186.15,215.29,266.54,,
2014-05-14 22:17:08.923000,L8,,,,,,,,,,,,,,,173.13,204.42,227.79,241.08,255.97,289.40,248.75,254.03,256.11,241.52,,,,,,,,199.44,255.75,264.82,263.93,264.19,258.24,,,,,,,,221.87,223.96,242.96,272.83,241.08,226.23,254.30,256.03,266.09,284.33,250.52,247.26,244.25,,,,,278.35,267.39,255.12,269.92,266.41,260.19,250.41,253.52,284.79,285.00,276.86
2014-07-17 22:17:28.260000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.04,261.97
2015-01-25 22:17:32.812000,L8,,,,,,,,,,,,,,,,,,,,256.94,249.82,252.15,252.13,,,,,,,,,,253.46,265.67,259.52,254.18,,,,,,,,,232.49,223.85,238.59,242.10,237.22,222.75,247.14,256.22,258.96,256.01,247.04,245.03,245.39,,,,,,264.26,251.00,248.16,255.39,248.75,247.84,250.29,260.71,220.39,268.18
2015-02-26 22:17:23.009000,L8,,,,,,,,,,,,,,,,204.66,220.70,237.88,247.31,256.09,243.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.32,244.11,243.15,,,,,,,
2015-03-30 22:17:01.871000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.69,262.68,260.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.36,240.71,181.89,,,,,,,
2016-05-19 22:17:11.230000,L8,,,,,,,,,,,,,,,174.09,207.01,222.55,239.36,240.58,,,244.81,206.86,,,,,,,,,,,,,,,,,,,,,,,,242.09,216.01,231.02,199.52,,,,,,,,,,,,,263.09,241.72,240.03,,,250.34,250.63,262.54,,
2016-06-04 22:17:16.433000,L8,,,,,,,,,,,,,,,174.31,205.06,223.35,237.45,239.22,212.26,241.01,244.08,204.85,,,,,,,,,,,,,,,,,,,,,,208.68,221.12,239.74,248.70,230.58,218.69,245.07,251.39,243.91,243.26,244.38,243.52,239.78,,,,,,262.70,235.23,240.62,252.99,244.55,185.68,247.61,258.73,,
2016-08-07 22:17:37.552000,L8,,,,,,,,,,,,,,,,,,,,,209.36,249.39,203.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.21,228.49,261.21,,
2016-09-24 22:17:49.840000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.18,390.10,,,,,,,,411.74
2016-10-26 22:17:56.874000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.76,379.38
2017-01-30 22:17:38.957000,L8,,,,,,,,,,,,,,,179.03,209.96,224.68,242.01,218.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189.50,249.99,199.59,208.15,,249.77,250.46,227.52,,
2017-03-03 22:17:25.727000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.32,254.43,236.91,223.51,236.30,,,,,,,,,,,,250.17,253.37,251.34,,,251.47,251.73,266.38,217.81,266.45
