dates,satname,nzd0363-0000,nzd0363-0001,nzd0363-0002,nzd0363-0003,nzd0363-0004,nzd0363-0005,nzd0363-0006,nzd0363-0007,nzd0363-0008,nzd0363-0009,nzd0363-0010,nzd0363-0011,nzd0363-0012,nzd0363-0013,nzd0363-0014,nzd0363-0015,nzd0363-0016,nzd0363-0017,nzd0363-0018,nzd0363-0019,nzd0363-0020,nzd0363-0021,nzd0363-0022,nzd0363-0023,nzd0363-0024,nzd0363-0025,nzd0363-0026,nzd0363-0027,nzd0363-0028,nzd0363-0029,nzd0363-0030,nzd0363-0031,nzd0363-0032,nzd0363-0033,nzd0363-0034,nzd0363-0035,nzd0363-0036,nzd0363-0037,nzd0363-0038,nzd0363-0039
2001-03-08 22:03:44.911000,L7,,,,303.93,306.12,290.96,287.21,282.01,285.14,282.98,280.74,269.02,281.17,279.05,285.93,285.93,281.20,280.81,281.06,280.02,276.50,270.19,277.96,273.44,251.61,258.36,281.91,176.56,,,293.83,252.25,267.13,286.96,258.31,208.53,,,,
2001-03-31 22:09:43.621000,L7,374.93,398.17,403.74,382.00,378.13,383.83,402.21,409.23,410.08,399.76,366.45,357.87,367.02,374.72,371.25,373.43,363.85,371.13,374.60,385.10,381.14,394.01,404.97,419.64,413.81,525.19,520.58,524.93,528.96,529.86,526.57,363.95,361.55,370.07,441.96,418.56,280.60,405.14,411.98,395.36
2001-05-27 22:03:12.319000,L7,,326.97,338.45,340.69,,,,318.16,225.52,316.62,313.21,307.14,314.13,314.75,310.02,285.67,310.72,274.66,297.72,261.91,293.95,296.61,304.53,299.85,284.30,268.66,308.24,310.37,268.53,320.09,293.56,289.43,314.93,219.97,190.33,207.90,,196.27,204.54,205.06
2001-06-03 22:09:16.498000,L7,,,,,,,,,300.69,310.76,300.57,281.22,287.79,297.20,275.51,278.67,276.68,260.36,236.04,206.99,283.41,283.04,272.42,260.07,276.98,271.98,280.39,285.82,229.13,200.05,283.99,268.45,265.70,300.12,260.42,237.83,192.77,180.09,,
2001-06-19 22:09:05.508000,L7,,,,,,,,,,,,,,,268.19,270.95,264.88,246.65,232.96,204.09,199.15,,250.67,271.17,210.36,,,,,230.79,197.28,246.63,,,,,,,,
2001-07-05 22:08:57.615000,L7,250.95,331.94,346.85,345.57,,,,327.57,317.21,315.55,314.14,311.07,312.87,316.05,358.77,320.54,318.02,311.08,312.31,313.48,313.22,310.56,302.11,351.76,328.76,342.05,350.30,340.32,299.25,358.03,372.03,342.30,298.25,239.83,316.72,343.14,,,,
2001-07-14 22:02:45.650000,L7,,324.97,338.07,338.10,,,,314.54,312.46,300.62,305.14,293.01,296.73,298.13,312.42,273.87,311.75,308.79,292.67,316.54,307.28,306.18,301.29,265.59,315.28,309.29,306.10,307.95,301.32,310.60,313.85,255.24,316.33,232.25,260.63,216.05,,,,
2001-08-15 22:02:14.505000,L7,,243.23,182.32,317.24,,,,286.34,293.35,293.58,281.71,280.83,285.01,286.03,292.66,291.62,287.49,288.18,289.91,287.32,285.56,281.37,282.17,295.88,,,259.02,295.11,257.29,198.89,216.35,241.78,267.04,292.05,269.96,,,,,
2001-08-31 22:02:05.221000,L7,325.69,354.13,350.58,347.98,334.19,406.36,366.46,325.49,338.28,382.57,381.54,420.79,384.31,398.11,401.98,419.96,429.61,437.98,392.42,397.06,324.38,311.60,356.82,374.79,318.08,393.00,375.98,390.49,291.90,276.24,292.84,274.91,389.67,359.54,372.51,385.69,225.98,220.13,222.81,187.28
2001-09-23 22:08:02.998000,L7,348.78,362.77,365.45,353.16,349.64,345.98,344.46,340.94,345.29,329.77,332.67,329.63,331.01,325.81,330.37,334.70,329.22,536.93,527.11,530.36,527.59,523.90,525.18,527.64,527.43,519.42,521.98,516.33,526.62,529.12,535.00,514.89,337.46,317.45,302.97,274.60,220.89,199.79,213.63,228.38
2001-10-02 22:01:40.483000,L7,331.47,346.90,357.69,371.77,365.33,327.69,323.48,324.36,326.90,318.54,318.65,347.82,345.73,322.43,330.18,317.54,333.94,318.19,327.56,319.83,318.90,376.92,381.49,354.42,376.52,353.58,341.66,350.86,332.36,349.09,322.43,314.27,319.35,306.10,302.80,297.01,293.05,356.89,362.16,401.57
2001-11-03 22:01:46.660000,L7,335.32,347.87,442.01,446.33,460.27,510.04,490.30,329.83,324.08,320.16,317.06,312.08,313.25,314.44,316.03,312.90,389.24,414.67,393.63,413.21,426.30,396.08,459.54,486.04,487.53,434.33,466.32,466.61,484.05,508.35,529.94,313.23,317.14,305.19,296.83,274.39,218.46,290.95,282.59,240.42
2001-12-21 22:02:05.831000,L7,353.51,391.01,355.56,377.52,366.10,359.56,348.41,338.09,346.84,337.51,333.89,329.38,317.91,320.40,324.56,321.48,329.19,347.16,336.94,327.89,329.67,316.86,312.94,320.84,322.87,320.53,321.02,326.58,324.04,307.53,326.67,322.85,338.04,320.82,316.04,310.89,317.11,319.54,327.54,344.64
2002-02-07 22:02:17.936000,L7,332.99,344.78,357.04,359.22,343.48,337.15,333.00,332.55,329.76,323.55,327.55,331.38,326.03,319.05,319.15,317.23,322.47,319.96,324.40,324.05,317.77,312.69,314.13,317.05,423.19,434.64,450.82,315.94,317.74,315.15,315.61,318.84,381.47,321.18,315.58,316.06,302.96,300.06,311.18,
2002-02-14 22:08:29.220000,L7,338.03,352.98,374.13,369.37,357.93,346.60,346.62,341.67,338.23,333.49,330.35,336.24,337.84,330.97,327.12,337.03,336.61,330.48,332.64,356.80,331.83,319.65,398.48,351.37,427.95,380.84,363.68,400.21,374.62,326.96,392.26,394.21,425.53,380.48,326.25,277.04,320.04,,,
2002-03-02 22:08:32.970000,L7,342.39,367.67,391.31,398.47,388.03,363.18,380.16,341.87,349.95,336.76,331.55,366.05,365.04,337.24,336.43,340.46,334.24,337.77,346.09,336.27,329.40,321.96,321.00,339.15,421.87,435.85,391.05,460.52,343.15,334.83,330.25,332.35,327.97,329.47,322.06,312.37,302.55,308.84,323.22,346.39
2002-03-11 22:02:19.622000,L7,313.17,336.47,348.48,349.23,336.46,394.61,427.18,355.34,364.63,381.24,424.23,410.27,422.48,416.46,433.64,374.05,313.80,378.38,348.64,319.69,317.37,318.76,384.72,469.06,403.54,393.46,329.43,467.35,444.34,386.93,303.62,451.71,463.33,410.94,363.84,402.14,511.96,,,
2002-07-17 22:01:44.458000,L7,467.60,510.78,418.03,529.35,516.97,503.79,516.62,515.67,521.13,517.24,365.94,354.08,532.95,529.17,518.33,486.05,485.37,533.57,533.66,535.50,531.51,533.31,538.66,543.09,546.93,501.02,485.07,485.22,467.72,465.18,460.50,466.88,481.61,487.08,521.25,518.36,504.97,505.09,520.01,545.46
2002-07-24 22:07:50.432000,L7,,309.57,327.78,330.54,,,,311.17,306.82,307.11,299.06,305.23,302.58,299.20,315.12,316.74,322.97,299.61,277.77,298.70,294.56,286.48,289.43,295.29,297.58,303.75,308.21,311.80,291.79,348.30,282.57,317.75,294.68,301.51,,,,,,
2002-08-18 22:01:33.502000,L7,,305.84,327.56,328.83,180.31,,296.82,314.60,343.63,345.48,344.19,306.20,302.93,298.20,306.26,275.73,301.88,296.80,263.61,305.23,307.66,300.91,292.30,300.81,256.46,302.48,298.40,305.13,212.51,,,297.11,,,,,,,,
2002-08-25 22:07:36.489000,L7,,316.52,308.50,,,,,,293.22,286.49,279.46,278.17,284.27,261.52,274.99,282.55,262.96,286.90,226.81,197.72,205.84,273.95,270.67,261.19,214.00,,,,,,,,,,,,,,,
2002-10-05 22:01:07.311000,L7,357.46,355.85,356.44,339.89,319.47,330.19,330.29,332.02,342.93,357.28,304.92,299.06,306.00,311.52,307.02,318.44,321.99,324.78,327.18,330.77,337.96,357.86,301.95,318.96,309.86,297.74,319.03,238.72,279.58,258.39,187.08,284.21,286.82,255.39,313.13,265.56,205.55,192.72,192.57,195.06
2002-12-31 22:07:56.130000,L7,,,,318.29,311.45,298.97,302.39,302.35,317.34,300.24,298.55,298.42,297.77,297.46,298.65,292.76,293.53,294.73,265.05,288.76,291.02,283.13,292.50,294.14,293.30,290.81,291.13,296.84,219.96,295.86,266.21,252.62,,,,,,,,
2003-02-01 22:08:09.844000,L7,,,,314.47,306.36,297.09,300.60,294.78,305.42,302.60,313.66,287.81,292.22,288.63,296.00,295.44,293.71,295.80,248.24,256.37,292.61,278.88,284.40,294.31,245.15,219.77,202.40,214.87,,295.40,283.44,252.17,,,,,,,,
2003-02-26 22:02:04.470000,L7,345.36,352.50,361.86,359.05,364.20,358.41,354.27,353.36,347.37,333.86,326.37,332.94,335.15,342.67,363.14,457.06,433.80,368.12,350.95,347.66,357.66,377.08,344.18,340.96,356.68,353.67,355.05,344.55,372.55,395.37,407.30,415.13,407.54,452.10,441.89,322.78,287.07,240.97,411.86,421.85
2003-03-05 22:08:19.474000,L7,,,,318.48,313.05,307.10,303.19,304.40,304.34,296.12,299.52,290.62,285.43,298.28,282.01,283.12,282.08,284.77,263.22,287.91,265.97,282.58,268.57,248.02,239.78,,,,,,,,,,,,,,,
2003-03-21 22:08:15.672000,L7,,211.42,281.21,315.89,309.69,301.24,305.90,312.35,305.16,295.48,293.54,290.89,294.06,294.72,273.60,274.17,266.11,241.55,225.56,183.72,180.83,245.12,233.39,245.75,,,,,,,,,,,,,,,,
2003-05-24 22:08:16.964000,L7,,341.57,342.75,334.21,,,,323.77,325.57,188.74,313.93,312.24,298.20,308.03,315.33,273.19,315.17,300.48,303.51,310.80,305.92,305.13,303.17,311.81,313.18,241.84,305.32,309.36,318.89,269.04,210.48,314.28,322.92,307.07,284.79,172.35,,,,
2003-07-28 21:50:04.710000,L5,,,,,,,,,,,,,,,250.32,256.80,255.92,254.44,256.96,255.46,250.36,250.07,252.27,254.04,254.43,247.05,243.14,242.89,251.31,252.12,249.18,250.38,243.71,248.65,247.25,219.25,176.57,,,
2003-08-29 21:50:38.152000,L5,321.20,335.23,334.56,327.48,321.04,310.89,317.52,314.56,313.88,311.85,311.01,304.25,302.49,300.79,304.39,303.38,298.16,297.44,298.08,295.67,300.19,298.46,291.67,293.72,292.53,292.13,290.70,289.67,295.60,298.44,299.57,301.03,301.21,295.91,301.07,282.40,262.09,260.14,273.24,258.06
2003-09-14 21:50:54.515000,L5,342.06,344.22,341.46,326.76,323.35,314.56,317.08,320.19,322.82,309.99,313.73,308.33,314.85,301.77,307.43,304.65,308.67,304.49,300.66,299.81,295.53,296.48,294.94,297.85,296.45,293.66,293.65,295.54,300.01,306.74,305.06,311.52,310.77,328.09,302.27,283.28,264.85,214.96,222.53,227.71
2003-10-16 21:51:19.969000,L5,299.17,298.87,295.09,277.12,,181.55,295.60,297.83,296.96,293.05,293.63,286.54,283.48,274.01,285.38,290.82,283.75,284.79,294.84,303.94,312.16,323.31,324.15,327.92,290.09,286.26,284.99,287.50,282.96,272.48,406.51,403.81,377.85,333.68,322.24,269.74,192.17,,,
2003-10-23 21:57:36.620000,L5,337.21,335.22,333.29,314.11,303.85,296.34,300.29,304.23,299.53,297.56,298.48,305.69,310.01,305.36,306.10,304.01,300.52,300.99,302.90,295.43,289.10,287.46,283.93,285.14,288.05,291.08,287.36,299.30,303.19,303.62,304.83,305.40,306.51,302.56,298.56,276.30,273.49,283.66,274.60,263.03
2003-11-17 21:51:45.201000,L5,299.12,308.79,304.86,305.91,294.94,291.30,302.85,305.61,299.71,299.67,294.64,293.86,294.55,290.53,279.33,275.36,274.20,272.12,277.52,278.24,274.79,281.49,285.71,289.37,287.56,290.82,289.28,293.86,292.68,292.62,279.88,281.56,283.50,280.80,269.72,236.32,193.83,,,
